Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
1079,1164,1012,646,299,1480,1032
1079,1164,1012,564,366,1479,989
953,902,1400,525,404,1462,946
316,1349,1590,499,430,1281,729
607,1303,1646,370,559,1247,735
604,1305,1647,370,559,1246,451
646,1209,1745,370,559,1246,458
650,1194,1764,349,580,1178,457
702,1191,1767,300,629,1178,467
702,1155,1803,300,629,1360,552
740,1158,1603,500,626,1392,590
724,1170,1587,523,615,1390,590
645,1189,1658,527,561,1375,531
646,1178,1669,527,561,1374,536
646,1131,1649,594,561,1398,536
632,1145,1649,594,561,1399,536
509,1312,1649,594,473,1399,542
509,1312,1647,596,473,1402,598
509,1312,1647,596,473,1392,729
545,1312,1647,596,473,1339,829
633,1312,1637,606,473,1340,832
633,1312,1299,944,473,1197,971
633,1282,1296,977,473,1194,1021
633,1247,1326,980,459,1191,1004
633,1247,1326,900,539,1106,1004
675,1247,1309,871,585,906,997
675,1246,1269,841,639,610,977
675,1079,1414,765,657,459,980
675,1079,1372,805,654,443,980
675,1079,1298,879,647,438,854
675,1079,1245,932,647,437,725
701,1079,1164,1012,646,437,710
888,1079,1164,1012,564,437,705
888,953,902,1400,525,445,700
888,316,1349,1590,499,551,728
587,607,1303,1646,370,551,714
587,604,1305,1647,370,604,712
574,646,1209,1745,370,605,718
573,650,1194,1764,349,608,753
523,702,1191,1767,300,608,805
523,702,1155,1803,300,426,861
482,740,1158,1603,500,394,822
479,724,1170,1587,523,395,822
464,645,1189,1658,527,357,822
465,646,1178,1669,527,421,817
465,646,1131,1649,594,397,817
465,632,1145,1649,594,396,817
421,509,1312,1649,594,396,811
421,509,1312,1647,596,407,770
421,509,1312,1647,596,296,639
385,545,1312,1647,596,290,540
345,633,1312,1637,606,287,579
612,633,1312,1299,944,287,440
722,633,1282,1296,977,281,401
731,633,1247,1326,980,281,402
908,633,1247,1326,900,281,656
868,675,1247,1309,871,342,642
873,675,1246,1269,841,383,651
896,675,1079,1414,765,383,633
905,675,1079,1372,805,390,633
962,675,1079,1298,879,410,633
1078,675,1079,1245,932,454,676
1090,701,1079,1164,1012,454,734
912,888,1079,1164,1012,454,753
920,888,953,902,1400,446,753
920,888,316,1349,1590,315,723
920,587,607,1303,1646,335,723
920,587,604,1305,1647,323,723
