Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
803,924,928,174,1748,721,441
832,906,927,193,1748,595,428
757,993,739,381,1736,502,433
714,1105,490,630,1682,386,433
707,1122,489,609,1670,336,485
777,1128,485,613,1391,314,485
709,1196,421,677,1391,314,486
704,1279,416,682,1391,278,517
706,1278,423,682,1390,278,517
735,1278,422,683,1390,278,532
731,1320,422,683,1376,319,538
698,1292,485,683,1320,319,578
704,1293,485,683,1239,319,578
712,1213,565,683,1234,319,578
712,1198,580,683,1138,307,578
668,1242,580,683,1020,247,522
746,1194,628,680,1022,374,515
904,1186,636,680,1020,374,513
959,1127,695,655,867,354,506
1014,1045,697,715,878,380,650
1015,947,758,747,860,387,650
1015,918,782,752,842,387,635
1015,892,776,784,772,387,608
1015,633,885,934,771,387,562
1015,606,851,995,771,391,545
1015,529,927,990,527,384,545
1036,527,929,977,434,357,545
1036,527,929,969,358,346,530
1039,502,947,976,358,345,528
914,627,946,977,184,311,530
836,705,947,961,118,247,525
738,803,924,928,174,230,500
709,832,906,927,193,230,516
697,757,993,739,381,230,513
628,714,1105,490,630,230,513
622,707,1122,489,609,224,461
591,777,1128,485,613,224,461
601,709,1196,421,677,225,460
707,704,1279,416,682,246,429
706,706,1278,423,682,258,429
704,735,1278,422,683,270,479
801,731,1320,422,683,229,518
914,698,1292,485,683,239,593
930,704,1293,485,683,239,726
1066,712,1213,565,683,240,745
1066,712,1198,580,683,431,746
1066,668,1242,580,683,444,746
988,746,1194,628,680,339,666
830,904,1186,636,680,427,605
775,959,1127,695,655,433,609
720,1014,1045,697,715,417,526
732,1015,947,758,747,446,558
732,1015,918,782,752,446,558
777,1015,892,776,784,446,555
880,1015,633,885,934,446,555
999,1015,606,851,995,442,555
1016,1015,529,927,990,441,568
1042,1036,527,929,977,464,568
1206,1036,527,929,969,486,567
1294,1039,502,947,976,515,567
1328,914,627,946,977,522,565
1412,836,705,947,961,674,548
1412,738,803,924,928,674,553
1429,709,832,906,927,675,543
1499,697,757,993,739,687,544
1523,628,714,1105,490,691,550
1519,622,707,1122,489,762,554
1509,591,777,1128,485,822,560
1499,601,709,1196,421,832,560
1315,707,704,1279,416,817,573
1308,706,706,1278,423,805,594
1281,704,735,1278,422,793,529
1146,801,731,1320,422,793,484
1031,914,698,1292,485,783,369
1008,930,704,1293,485,783,236
870,1066,712,1213,565,782,217
920,1066,712,1198,580,591,216
955,1066,668,1242,580,573,216
992,988,746,1194,628,591,216
992,830,904,1186,636,516,187
1207,775,959,1127,695,510,190
1211,720,1014,1045,697,500,129
1219,732,1015,947,758,634,106
1224,732,1015,918,782,717,106
1179,777,1015,892,776,721,162
1076,880,1015,633,885,768,184
976,999,1015,606,851,805,189
972,1016,1015,529,927,875,227
954,1042,1036,527,929,958,252
831,1206,1036,527,929,950,252
740,1294,1039,502,947,1056,252
706,1328,914,627,946,1104,252
621,1412,836,705,947,977,252
621,1412,738,803,924,977,263
