Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
2057,116,295,458,817,901,1119
2057,167,299,458,817,1010,1106
1690,579,310,458,817,1092,1050
1871,589,336,458,811,1091,1049
1902,564,369,443,770,1086,974
1787,698,311,501,639,1314,919
1792,708,306,505,540,1335,886
1719,784,293,478,579,1203,802
1719,784,271,500,440,1293,798
1715,788,270,490,401,1287,706
1654,860,269,490,402,1306,692
1464,1055,268,237,656,1325,691
1311,1208,266,239,642,1365,709
1217,1302,266,229,651,1364,709
911,1608,266,229,633,1415,709
860,1659,266,229,633,1384,774
852,1671,266,229,633,1369,845
897,1669,207,245,676,1359,845
948,1690,126,270,734,1255,840
1015,1719,124,251,753,1248,833
1006,1737,124,251,753,1166,815
985,1758,124,251,723,1026,645
967,1776,124,251,723,919,634
964,1779,120,255,723,844,602
973,1779,96,279,698,868,549
973,1778,97,279,663,898,549
968,1783,97,279,599,896,519
925,1826,97,279,458,900,535
941,1841,93,283,458,928,468
904,1872,87,295,458,928,417
903,1883,95,295,458,928,351
708,2057,116,295,458,878,357
653,2057,167,299,458,770,441
597,1690,579,310,458,708,604
380,1871,589,336,458,705,607
341,1902,564,369,443,705,644
323,1787,698,311,501,476,644
308,1792,708,306,505,428,641
303,1719,784,293,478,428,641
303,1719,784,271,500,309,628
303,1715,788,270,490,311,621
292,1654,860,269,490,309,622
290,1464,1055,268,237,347,622
309,1311,1208,266,239,316,601
341,1217,1302,266,229,321,620
343,911,1608,266,229,351,627
344,860,1659,266,229,359,562
357,852,1671,266,229,359,517
357,897,1669,207,245,339,556
283,948,1690,126,270,339,556
187,1015,1719,124,251,337,556
178,1006,1737,124,251,337,570
181,985,1758,124,251,337,574
186,967,1776,124,251,337,708
192,964,1779,120,255,367,708
183,973,1779,96,279,342,749
183,973,1778,97,279,391,778
183,968,1783,97,279,399,804
183,925,1826,97,279,388,982
154,941,1841,93,283,358,935
155,904,1872,87,295,358,931
174,903,1883,95,295,358,910
202,708,2057,116,295,358,901
202,653,2057,167,299,355,816
221,597,1690,579,310,378,692
221,380,1871,589,336,378,689
221,341,1902,564,369,378,652
224,323,1787,698,311,378,652
226,308,1792,708,306,378,652
226,303,1719,784,293,370,652
226,303,1719,784,271,370,652
227,303,1715,788,270,388,652
227,292,1654,860,269,375,651
224,290,1464,1055,268,312,651
221,309,1311,1208,266,297,651
272,341,1217,1302,266,296,632
271,343,911,1608,266,215,625
270,344,860,1659,266,219,628
253,357,852,1671,266,219,782
208,357,897,1669,207,219,820
208,283,948,1690,126,219,824
208,187,1015,1719,124,211,824
208,178,1006,1737,124,211,804
205,181,985,1758,124,211,797
200,186,967,1776,124,211,790
194,192,964,1779,120,181,807
194,183,973,1779,96,181,784
194,183,973,1778,97,102,816
194,183,968,1783,97,94,821
194,183,925,1826,97,124,645
192,154,941,1841,93,154,628
198,155,904,1872,87,197,688
161,174,903,1883,95,259,697
133,202,708,2057,116,330,736
133,202,653,2057,167,330,739
119,221,597,1690,579,297,700
119,221,380,1871,589,297,700
174,221,341,1902,564,297,725
218,224,323,1787,698,297,725
238,226,308,1792,708,297,725
317,226,303,1719,784,297,725
317,226,303,1719,784,317,731
316,227,303,1715,788,297,735
316,227,292,1654,860,292,735
316,224,290,1464,1055,292,735
312,221,309,1311,1208,287,735
252,272,341,1217,1302,295,735
318,271,343,911,1608,295,735
358,270,344,860,1659,283,732
402,253,357,852,1671,283,552
423,208,357,897,1669,283,475
517,208,283,948,1690,283,471
612,208,187,1015,1719,288,471
690,208,178,1006,1737,314,471
846,205,181,985,1758,314,500
915,200,186,967,1776,314,373
917,194,192,964,1779,314,311
917,194,183,973,1779,352,289
961,194,183,973,1778,360,228
961,194,183,968,1783,390,198
1193,194,183,925,1826,360,190
1193,192,154,941,1841,330,275
1186,198,155,904,1872,287,276
1264,161,174,903,1883,225,267
1330,133,202,708,2057,154,228
1330,133,202,653,2057,154,486
1327,119,221,597,1690,144,507
1358,119,221,380,1871,144,507
1303,174,221,341,1902,186,533
1297,218,224,323,1787,186,533
1275,238,226,308,1792,186,632
1196,317,226,303,1719,186,632
1196,317,226,303,1719,179,626
1238,316,227,303,1715,187,627
1262,316,227,292,1654,187,627
1265,316,224,290,1464,187,627
1260,312,221,309,1311,218,693
1238,252,272,341,1217,255,693
1182,318,271,343,911,364,693
1258,358,270,344,860,425,693
1214,402,253,357,852,425,693
