Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
509,1254,831,341,900,547,809
488,1246,398,801,902,525,820
457,1303,402,801,902,524,800
410,1349,403,801,902,524,739
403,1252,502,823,902,524,705
403,1170,569,838,902,525,665
403,1102,637,838,902,522,640
403,1068,671,838,870,522,657
403,1033,706,838,860,531,614
403,1033,706,838,860,549,682
403,1026,713,838,860,549,711
403,772,967,838,738,550,747
350,719,1073,838,700,550,720
350,668,1124,755,678,550,711
350,668,1124,744,614,550,712
350,668,1115,743,624,550,709
295,723,1095,763,624,550,709
315,729,1051,807,624,546,808
389,613,1176,810,624,546,807
321,657,1176,834,624,428,823
319,549,1194,926,624,357,853
346,561,1170,884,569,275,1387
244,665,1170,880,526,78,1509
248,655,1180,880,525,52,1525
248,647,1188,874,521,52,1816
250,544,1291,874,466,73,1921
253,542,1291,876,466,73,1762
253,542,1283,884,428,73,1930
247,548,1264,744,484,73,2053
211,517,1259,816,443,68,2024
209,512,1266,816,395,63,1976
209,509,1254,831,341,63,1983
209,488,1246,398,801,123,2023
179,457,1303,402,801,124,2022
185,410,1349,403,801,124,2035
228,403,1252,502,823,124,2035
228,403,1170,569,838,123,2036
228,403,1102,637,838,117,2036
228,403,1068,671,838,122,2008
228,403,1033,706,838,113,1997
246,403,1033,706,838,121,1967
259,403,1026,713,838,124,1992
380,403,772,967,838,297,1991
538,350,719,1073,838,304,2022
627,350,668,1124,755,308,2019
636,350,668,1124,744,308,2226
636,350,668,1115,743,353,2271
643,295,723,1095,763,378,2320
790,315,729,1051,807,534,2221
709,389,613,1176,810,569,2298
717,321,657,1176,834,723,2325
731,319,549,1194,926,723,2312
692,346,561,1170,884,723,1778
703,244,665,1170,880,724,1715
847,248,655,1180,880,719,1732
1129,248,647,1188,874,719,1464
1244,250,544,1291,874,733,1356
1244,253,542,1291,876,733,1320
1244,253,542,1283,884,735,1080
1245,247,548,1264,744,751,874
1245,211,517,1259,816,751,935
1299,209,512,1266,816,751,978
1321,209,509,1254,831,751,963
1334,209,488,1246,398,691,970
1334,179,457,1303,402,690,994
1328,185,410,1349,403,697,981
1268,228,403,1252,502,697,1003
1268,228,403,1170,569,697,998
1268,228,403,1102,637,697,998
1268,228,403,1068,671,692,979
1268,228,403,1033,706,692,974
1250,246,403,1033,706,666,934
1253,259,403,1026,713,663,878
1133,380,403,772,967,489,888
975,538,350,719,1073,482,884
886,627,350,668,1124,478,1047
882,636,350,668,1124,478,952
925,636,350,668,1115,433,1012
926,643,295,723,1095,423,969
753,790,315,729,1051,339,967
748,709,389,613,1176,345,890
759,717,321,657,1176,205,840
745,731,319,549,1194,205,823
757,692,346,561,1170,205,854
744,703,244,665,1170,239,806
596,847,248,655,1180,240,834
347,1129,248,647,1188,240,834
232,1244,250,544,1291,224,859
229,1244,253,542,1291,236,859
229,1244,253,542,1283,234,918
228,1245,247,548,1264,218,910
228,1245,211,517,1259,218,835
177,1299,209,512,1266,218,792
158,1321,209,509,1254,229,792
155,1334,209,488,1246,229,734
174,1334,179,457,1303,229,711
174,1328,185,410,1349,222,711
174,1268,228,403,1252,222,689
174,1268,228,403,1170,222,689
174,1268,228,403,1102,222,731
174,1268,228,403,1068,228,731
174,1268,228,403,1033,240,731
174,1250,246,403,1033,240,731
159,1253,259,403,1026,240,731
158,1133,380,403,772,240,724
158,975,538,350,719,240,700
158,886,627,350,668,240,609
153,882,636,350,668,240,683
110,925,636,350,668,240,679
102,926,643,295,723,225,719
102,753,790,315,729,153,716
102,748,709,389,613,112,716
83,759,717,321,657,106,716
83,745,731,319,549,110,716
98,757,692,346,561,110,745
195,744,703,244,665,73,772
242,596,847,248,655,72,711
220,347,1129,248,647,80,687
229,232,1244,250,544,61,708
229,229,1244,253,542,49,726
229,229,1244,253,542,53,667
229,228,1245,247,548,160,666
229,228,1245,211,517,183,666
227,177,1299,209,512,183,666
427,158,1321,209,509,172,666
517,155,1334,209,488,177,666
516,174,1334,179,457,207,665
517,174,1328,185,410,207,665
587,174,1268,228,403,207,665
