Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
901,848,531,812,1787,468,852,972,289,784,749,1119,444,989,803,721,441,521,1048,582,946
1010,850,518,825,1784,471,724,1100,228,816,778,1106,436,657,832,595,428,522,1354,569,939
1092,849,385,959,1784,471,716,1106,198,821,804,1050,383,610,757,502,433,522,1398,558,948
1091,832,406,959,1761,494,716,1096,190,645,982,1049,290,580,714,386,433,522,1532,514,1147
1086,820,423,959,1761,494,716,1008,275,628,935,974,169,667,707,336,485,538,1532,472,1391
1314,821,394,988,1719,536,716,947,276,688,931,919,99,588,777,314,485,576,1532,472,1343
1335,722,519,989,1658,597,716,947,267,697,910,886,98,546,709,314,486,577,1532,472,1240
1203,754,627,951,1696,597,716,947,228,736,901,802,98,497,704,278,517,660,1532,472,1221
1293,702,708,770,1877,597,462,940,486,739,816,798,85,389,706,278,517,683,1532,472,1222
1287,612,804,718,1921,605,462,919,507,700,692,706,84,367,735,278,532,703,1532,472,1104
1306,559,858,717,1922,605,319,1062,507,700,689,692,84,411,731,319,538,901,1532,472,1070
1325,410,1013,717,1922,522,340,1073,533,725,652,691,84,430,698,319,578,1050,1527,472,1056
1365,388,1046,717,1882,433,378,1164,533,725,652,709,84,430,704,319,578,1017,1528,472,1020
1364,306,1134,689,1565,777,344,1100,632,725,652,709,88,434,712,319,578,985,1521,472,898
1415,302,1138,689,1565,777,315,1129,632,725,652,709,88,448,712,307,578,1026,1493,507,881
1384,332,1108,720,1453,885,319,1129,626,731,652,774,88,534,668,247,522,1079,1489,517,868
1369,347,1034,722,1379,1024,299,1151,627,735,652,845,81,654,746,374,515,1118,1489,517,871
1359,377,1034,634,1376,1110,304,1151,627,735,651,845,263,683,904,374,513,1127,1489,517,851
1255,480,1035,634,1261,1225,304,1151,627,735,651,840,365,690,959,354,506,1179,1517,563,863
1248,495,944,727,1249,1237,238,1151,693,735,651,833,356,694,1014,380,650,1086,1506,586,868
1166,577,909,762,1249,1237,238,1151,693,735,632,815,354,748,1015,387,650,1073,1500,573,954
1026,717,909,762,1249,1237,231,1158,693,735,625,645,381,803,1015,387,635,1073,1372,572,1036
919,809,924,762,1249,1199,267,1160,693,732,628,634,750,803,1015,387,608,1050,1371,650,1124
844,883,888,799,1247,1196,272,1160,693,552,782,602,750,815,1015,387,562,1072,1332,701,1188
868,884,888,730,1206,1302,276,1160,693,475,820,549,750,815,1015,391,545,1080,1318,650,1172
898,882,890,526,1386,1326,276,1160,693,471,824,549,750,793,1015,384,545,1102,1241,767,1200
896,883,891,525,1387,1326,276,1160,693,471,824,519,750,792,1036,357,545,1026,1213,777,1205
900,887,893,512,1212,1474,317,1088,765,471,804,535,750,790,1036,346,530,1016,1279,642,1197
928,889,893,511,858,1829,317,958,866,500,797,468,750,722,1039,345,528,1017,1151,487,1182
928,852,930,507,839,1722,447,953,871,373,790,417,750,746,914,311,530,1017,1058,487,1182
928,851,915,523,763,1777,468,931,893,311,807,351,736,780,836,247,525,1049,1020,490,1181
878,901,848,531,812,1787,468,852,972,289,784,357,736,991,738,230,500,1091,782,491,1051
770,1010,850,518,825,1784,471,724,1100,228,816,441,764,994,709,230,516,1091,550,491,1036
708,1092,849,385,959,1784,471,716,1106,198,821,604,771,978,697,230,513,1091,564,491,1092
705,1091,832,406,959,1761,494,716,1096,190,645,607,778,1049,628,230,513,1091,437,495,999
705,1086,820,423,959,1761,494,716,1008,275,628,644,775,1086,622,224,461,1075,438,541,839
476,1314,821,394,988,1719,536,716,947,276,688,644,775,1304,591,224,461,1042,438,546,907
428,1335,722,519,989,1658,597,716,947,267,697,641,786,1243,601,225,460,1082,443,592,956
428,1203,754,627,951,1696,597,716,947,228,736,641,786,1240,707,246,429,1059,445,607,985
309,1293,702,708,770,1877,597,462,940,486,739,628,888,1200,706,258,429,1036,445,870,987
311,1287,612,804,718,1921,605,462,919,507,700,621,1042,1199,704,270,479,1021,445,925,952
309,1306,559,858,717,1922,605,319,1062,507,700,622,1063,1145,801,229,518,817,445,980,952
347,1325,410,1013,717,1922,522,340,1073,533,725,622,1083,1126,914,239,593,650,445,1012,1144
316,1365,388,1046,717,1882,433,378,1164,533,725,601,1086,1126,930,239,726,549,443,1212,1147
321,1364,306,1134,689,1565,777,344,1100,632,725,620,1077,1122,1066,240,745,482,443,1216,1147
351,1415,302,1138,689,1565,777,315,1129,632,725,627,1080,1108,1066,431,746,440,434,1181,1147
359,1384,332,1108,720,1453,885,319,1129,626,731,562,1148,1022,1066,444,746,387,434,1171,1157
359,1369,347,1034,722,1379,1024,299,1151,627,735,517,1139,902,988,339,666,348,434,1171,1154
339,1359,377,1034,634,1376,1110,304,1151,627,735,556,951,873,830,427,605,339,434,1211,1141
339,1255,480,1035,634,1261,1225,304,1151,627,735,556,848,866,775,433,609,279,406,1275,1128
337,1248,495,944,727,1249,1237,238,1151,693,735,556,837,884,720,417,526,273,361,1382,1123
337,1166,577,909,762,1249,1237,238,1151,693,735,570,837,830,732,446,558,273,342,1380,1051
337,1026,717,909,762,1249,1237,231,1158,693,735,574,835,775,732,446,558,293,314,1419,980
337,919,809,924,762,1249,1199,267,1160,693,732,708,485,775,777,446,555,293,312,1435,924
367,844,883,888,799,1247,1196,272,1160,693,552,708,485,763,880,446,555,273,312,1402,859
342,868,884,888,730,1206,1302,276,1160,693,475,749,485,776,999,442,555,292,312,1469,817
391,898,882,890,526,1386,1326,276,1160,693,471,778,485,835,1016,441,568,271,286,1491,744
399,896,883,891,525,1387,1326,276,1160,693,471,804,489,835,1042,464,568,271,267,1457,707
388,900,887,893,512,1212,1474,317,1088,765,471,982,489,914,1206,486,567,314,198,1448,729
358,928,889,893,511,858,1829,317,958,866,500,935,508,1079,1294,515,567,313,324,1448,769
358,928,852,930,507,839,1722,447,953,871,373,931,510,1071,1328,522,565,313,366,1448,769
358,928,851,915,523,763,1777,468,931,893,311,910,510,1087,1412,674,548,281,367,1445,820
358,878,901,848,531,812,1787,468,852,972,289,901,632,920,1412,674,553,230,364,1444,897
355,770,1010,850,518,825,1784,471,724,1100,228,816,672,917,1429,675,543,235,262,1444,874
378,708,1092,849,385,959,1784,471,716,1106,198,692,720,917,1499,687,544,241,329,1469,823
378,705,1091,832,406,959,1761,494,716,1096,190,689,713,846,1523,691,550,266,322,1479,753
378,705,1086,820,423,959,1761,494,716,1008,275,652,765,704,1519,762,554,266,321,1433,727
378,476,1314,821,394,988,1719,536,716,947,276,652,780,463,1509,822,560,263,321,1428,670
378,428,1335,722,519,989,1658,597,716,947,267,652,837,513,1499,832,560,228,316,1382,668
370,428,1203,754,627,951,1696,597,716,947,228,652,838,715,1315,817,573,168,317,1367,708
370,309,1293,702,708,770,1877,597,462,940,486,652,743,786,1308,805,594,255,317,1105,758
388,311,1287,612,804,718,1921,605,462,919,507,652,592,812,1281,793,529,251,317,1050,780
375,309,1306,559,858,717,1922,605,319,1062,507,651,571,863,1146,793,484,251,317,1091,851
312,347,1325,410,1013,717,1922,522,340,1073,533,651,551,892,1031,783,369,251,317,1059,717
297,316,1365,388,1046,717,1882,433,378,1164,533,651,548,1008,1008,783,236,251,317,859,723
296,321,1364,306,1134,689,1565,777,344,1100,632,632,548,1018,870,782,217,251,317,855,794
215,351,1415,302,1138,689,1565,777,315,1129,632,625,545,1018,920,591,216,251,317,1089,819
219,359,1384,332,1108,720,1453,885,319,1129,626,628,477,1022,955,573,216,290,317,1246,815
219,359,1369,347,1034,722,1379,1024,299,1151,627,782,466,1055,992,591,216,362,317,1349,923
219,339,1359,377,1034,634,1376,1110,304,1151,627,820,466,1231,992,516,187,396,317,1368,1135
219,339,1255,480,1035,634,1261,1225,304,1151,627,824,462,1254,1207,510,190,443,317,1260,1167
211,337,1248,495,944,727,1249,1237,238,1151,693,824,534,1232,1211,500,129,447,317,1130,1219
