Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
1119,1558,605,556,490,747,888,594,479,444,989,803,721,441,521,1048
1106,1538,639,556,490,747,888,594,473,436,657,832,595,428,522,1354
1050,1549,684,455,591,747,888,594,473,383,610,757,502,433,522,1398
1049,1473,761,455,552,786,888,594,473,290,580,714,386,433,522,1532
974,1367,942,381,626,786,888,594,473,169,667,707,336,485,538,1532
919,1388,771,396,816,786,888,594,473,99,588,777,314,485,576,1532
886,1416,740,432,819,786,888,594,473,98,546,709,314,486,577,1532
802,1408,806,458,819,776,898,592,475,98,497,704,278,517,660,1532
798,1425,788,476,800,743,892,650,475,85,389,706,278,517,683,1532
706,1467,845,476,800,704,896,685,475,84,367,735,278,532,703,1532
692,1437,797,568,800,663,933,684,476,84,411,731,319,538,901,1532
691,1438,671,694,631,832,888,661,540,84,430,698,319,578,1050,1527
709,1438,628,740,608,855,694,711,683,84,430,704,319,578,1017,1528
709,1437,629,740,608,810,655,757,721,88,434,712,319,578,985,1521
709,1427,639,739,389,935,750,702,776,88,448,712,307,578,1026,1493
774,1424,642,646,482,935,750,702,776,88,534,668,247,522,1079,1489
845,1262,802,648,482,935,750,543,935,81,654,746,374,515,1118,1489
845,1107,955,650,482,935,366,879,983,263,683,904,374,513,1127,1489
840,1112,955,650,482,830,471,879,983,365,690,959,354,506,1179,1517
833,1119,955,650,482,811,490,874,945,356,694,1014,380,650,1086,1506
815,1143,955,650,482,793,508,874,743,354,748,1015,387,650,1073,1500
645,1316,955,556,576,790,511,869,662,381,803,1015,387,635,1073,1372
634,1323,959,556,573,793,498,882,662,750,803,1015,387,608,1050,1371
602,1214,1143,558,573,735,508,889,703,750,815,1015,387,562,1072,1332
549,1217,1155,600,573,538,705,889,703,750,815,1015,391,545,1080,1318
549,1180,1187,605,573,516,727,889,703,750,793,1015,384,545,1102,1241
519,1209,1189,605,556,533,727,889,703,750,792,1036,357,545,1026,1213
535,1049,1349,605,556,533,711,905,703,750,790,1036,346,530,1016,1279
468,1079,1453,605,556,495,749,893,709,750,722,1039,345,528,1017,1151
417,1040,1547,605,556,495,749,892,639,750,746,914,311,530,1017,1058
351,1127,1547,605,556,490,754,881,648,736,780,836,247,525,1049,1020
357,1119,1558,605,556,490,747,888,594,736,991,738,230,500,1091,782
441,1106,1538,639,556,490,747,888,594,764,994,709,230,516,1091,550
604,1050,1549,684,455,591,747,888,594,771,978,697,230,513,1091,564
607,1049,1473,761,455,552,786,888,594,778,1049,628,230,513,1091,437
644,974,1367,942,381,626,786,888,594,775,1086,622,224,461,1075,438
644,919,1388,771,396,816,786,888,594,775,1304,591,224,461,1042,438
641,886,1416,740,432,819,786,888,594,786,1243,601,225,460,1082,443
641,802,1408,806,458,819,776,898,592,786,1240,707,246,429,1059,445
628,798,1425,788,476,800,743,892,650,888,1200,706,258,429,1036,445
621,706,1467,845,476,800,704,896,685,1042,1199,704,270,479,1021,445
622,692,1437,797,568,800,663,933,684,1063,1145,801,229,518,817,445
622,691,1438,671,694,631,832,888,661,1083,1126,914,239,593,650,445
601,709,1438,628,740,608,855,694,711,1086,1126,930,239,726,549,443
620,709,1437,629,740,608,810,655,757,1077,1122,1066,240,745,482,443
627,709,1427,639,739,389,935,750,702,1080,1108,1066,431,746,440,434
562,774,1424,642,646,482,935,750,702,1148,1022,1066,444,746,387,434
517,845,1262,802,648,482,935,750,543,1139,902,988,339,666,348,434
556,845,1107,955,650,482,935,366,879,951,873,830,427,605,339,434
556,840,1112,955,650,482,830,471,879,848,866,775,433,609,279,406
556,833,1119,955,650,482,811,490,874,837,884,720,417,526,273,361
570,815,1143,955,650,482,793,508,874,837,830,732,446,558,273,342
574,645,1316,955,556,576,790,511,869,835,775,732,446,558,293,314
708,634,1323,959,556,573,793,498,882,485,775,777,446,555,293,312
708,602,1214,1143,558,573,735,508,889,485,763,880,446,555,273,312
749,549,1217,1155,600,573,538,705,889,485,776,999,442,555,292,312
778,549,1180,1187,605,573,516,727,889,485,835,1016,441,568,271,286
804,519,1209,1189,605,556,533,727,889,489,835,1042,464,568,271,267
982,535,1049,1349,605,556,533,711,905,489,914,1206,486,567,314,198
935,468,1079,1453,605,556,495,749,893,508,1079,1294,515,567,313,324
931,417,1040,1547,605,556,495,749,892,510,1071,1328,522,565,313,366
910,351,1127,1547,605,556,490,754,881,510,1087,1412,674,548,281,367
901,357,1119,1558,605,556,490,747,888,632,920,1412,674,553,230,364
816,441,1106,1538,639,556,490,747,888,672,917,1429,675,543,235,262
692,604,1050,1549,684,455,591,747,888,720,917,1499,687,544,241,329
689,607,1049,1473,761,455,552,786,888,713,846,1523,691,550,266,322
652,644,974,1367,942,381,626,786,888,765,704,1519,762,554,266,321
652,644,919,1388,771,396,816,786,888,780,463,1509,822,560,263,321
652,641,886,1416,740,432,819,786,888,837,513,1499,832,560,228,316
652,641,802,1408,806,458,819,776,898,838,715,1315,817,573,168,317
652,628,798,1425,788,476,800,743,892,743,786,1308,805,594,255,317
652,621,706,1467,845,476,800,704,896,592,812,1281,793,529,251,317
651,622,692,1437,797,568,800,663,933,571,863,1146,793,484,251,317
651,622,691,1438,671,694,631,832,888,551,892,1031,783,369,251,317
651,601,709,1438,628,740,608,855,694,548,1008,1008,783,236,251,317
632,620,709,1437,629,740,608,810,655,548,1018,870,782,217,251,317
625,627,709,1427,639,739,389,935,750,545,1018,920,591,216,251,317
628,562,774,1424,642,646,482,935,750,477,1022,955,573,216,290,317
782,517,845,1262,802,648,482,935,750,466,1055,992,591,216,362,317
820,556,845,1107,955,650,482,935,366,466,1231,992,516,187,396,317
824,556,840,1112,955,650,482,830,471,462,1254,1207,510,190,443,317
824,556,833,1119,955,650,482,811,490,534,1232,1211,500,129,447,317
804,570,815,1143,955,650,482,793,508,547,1251,1219,634,106,447,317
797,574,645,1316,955,556,576,790,511,571,1251,1224,717,106,427,402
790,708,634,1323,959,556,573,793,498,600,1256,1179,721,162,427,438
807,708,602,1214,1143,558,573,735,508,622,1327,1076,768,184,425,438
784,749,549,1217,1155,600,573,538,705,648,1358,976,805,189,394,440
816,778,549,1180,1187,605,573,516,727,654,1299,972,875,227,393,440
821,804,519,1209,1189,605,556,533,727,650,1306,954,958,252,385,471
645,982,535,1049,1349,605,556,533,711,650,1233,831,950,252,329,469
628,935,468,1079,1453,605,556,495,749,631,1068,740,1056,252,329,422
688,931,417,1040,1547,605,556,495,749,629,1040,706,1104,252,415,409
697,910,351,1127,1547,605,556,490,754,629,989,621,977,252,417,409
736,901,357,1119,1558,605,556,490,747,507,945,621,977,263,453,409
739,816,441,1106,1538,639,556,490,747,439,977,604,976,265,517,410
700,692,604,1050,1549,684,455,591,747,384,1094,534,964,318,526,282
700,689,607,1049,1473,761,455,552,786,388,1112,510,960,340,512,282
725,652,644,974,1367,942,381,626,786,340,1112,510,889,342,529,282
725,652,644,919,1388,771,396,816,786,326,1158,475,829,336,527,282
725,652,641,886,1416,740,432,819,786,258,1108,475,818,336,523,285
725,652,641,802,1408,806,458,819,776,257,917,475,815,323,523,282
731,652,628,798,1425,788,476,800,743,250,852,475,823,302,436,282
735,652,621,706,1467,845,476,800,704,247,888,475,846,302,435,282
