Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2
2057,116,295,458,817,536,1164,364,352,901,1119
2057,167,299,458,817,536,1164,356,360,1010,1106
1690,579,310,458,817,536,1055,435,390,1092,1050
1871,589,336,458,811,542,1055,435,360,1091,1049
1902,564,369,443,770,598,1055,435,330,1086,974
1787,698,311,501,639,729,1002,488,287,1314,919
1792,708,306,505,540,829,1002,488,225,1335,886
1719,784,293,478,579,832,962,528,154,1203,802
1719,784,271,500,440,971,860,630,154,1293,798
1715,788,270,490,401,1021,857,633,144,1287,706
1654,860,269,490,402,1004,859,648,144,1306,692
1464,1055,268,237,656,1004,854,611,186,1325,691
1311,1208,266,239,642,997,812,674,186,1365,709
1217,1302,266,229,651,977,833,674,186,1364,709
911,1608,266,229,633,980,811,711,186,1415,709
860,1659,266,229,633,980,811,698,179,1384,774
852,1671,266,229,633,854,937,690,187,1369,845
897,1669,207,245,676,725,1032,726,187,1359,845
948,1690,126,270,734,710,1032,741,187,1255,840
1015,1719,124,251,753,705,989,760,218,1248,833
1006,1737,124,251,753,700,946,754,255,1166,815
985,1758,124,251,723,728,729,864,364,1026,645
967,1776,124,251,723,714,735,811,425,919,634
964,1779,120,255,723,712,451,1097,425,844,602
973,1779,96,279,698,718,458,1101,433,868,549
973,1778,97,279,663,753,457,1102,433,898,549
968,1783,97,279,599,805,467,1104,428,896,519
925,1826,97,279,458,861,552,1104,402,900,535
941,1841,93,283,458,822,590,1105,402,928,468
904,1872,87,295,458,822,590,1105,402,928,417
903,1883,95,295,458,822,531,1164,402,928,351
708,2057,116,295,458,817,536,1164,364,878,357
653,2057,167,299,458,817,536,1164,356,770,441
597,1690,579,310,458,817,536,1055,435,708,604
380,1871,589,336,458,811,542,1055,435,705,607
341,1902,564,369,443,770,598,1055,435,705,644
323,1787,698,311,501,639,729,1002,488,476,644
308,1792,708,306,505,540,829,1002,488,428,641
303,1719,784,293,478,579,832,962,528,428,641
303,1719,784,271,500,440,971,860,630,309,628
303,1715,788,270,490,401,1021,857,633,311,621
292,1654,860,269,490,402,1004,859,648,309,622
290,1464,1055,268,237,656,1004,854,611,347,622
309,1311,1208,266,239,642,997,812,674,316,601
341,1217,1302,266,229,651,977,833,674,321,620
343,911,1608,266,229,633,980,811,711,351,627
344,860,1659,266,229,633,980,811,698,359,562
357,852,1671,266,229,633,854,937,690,359,517
357,897,1669,207,245,676,725,1032,726,339,556
283,948,1690,126,270,734,710,1032,741,339,556
187,1015,1719,124,251,753,705,989,760,337,556
178,1006,1737,124,251,753,700,946,754,337,570
181,985,1758,124,251,723,728,729,864,337,574
186,967,1776,124,251,723,714,735,811,337,708
192,964,1779,120,255,723,712,451,1097,367,708
183,973,1779,96,279,698,718,458,1101,342,749
183,973,1778,97,279,663,753,457,1102,391,778
183,968,1783,97,279,599,805,467,1104,399,804
183,925,1826,97,279,458,861,552,1104,388,982
154,941,1841,93,283,458,822,590,1105,358,935
155,904,1872,87,295,458,822,590,1105,358,931
174,903,1883,95,295,458,822,531,1164,358,910
202,708,2057,116,295,458,817,536,1164,358,901
202,653,2057,167,299,458,817,536,1164,355,816
221,597,1690,579,310,458,817,536,1055,378,692
221,380,1871,589,336,458,811,542,1055,378,689
221,341,1902,564,369,443,770,598,1055,378,652
224,323,1787,698,311,501,639,729,1002,378,652
226,308,1792,708,306,505,540,829,1002,378,652
226,303,1719,784,293,478,579,832,962,370,652
226,303,1719,784,271,500,440,971,860,370,652
227,303,1715,788,270,490,401,1021,857,388,652
227,292,1654,860,269,490,402,1004,859,375,651
224,290,1464,1055,268,237,656,1004,854,312,651
221,309,1311,1208,266,239,642,997,812,297,651
272,341,1217,1302,266,229,651,977,833,296,632
271,343,911,1608,266,229,633,980,811,215,625
270,344,860,1659,266,229,633,980,811,219,628
253,357,852,1671,266,229,633,854,937,219,782
208,357,897,1669,207,245,676,725,1032,219,820
208,283,948,1690,126,270,734,710,1032,219,824
208,187,1015,1719,124,251,753,705,989,211,824
208,178,1006,1737,124,251,753,700,946,211,804
205,181,985,1758,124,251,723,728,729,211,797
200,186,967,1776,124,251,723,714,735,211,790
194,192,964,1779,120,255,723,712,451,181,807
194,183,973,1779,96,279,698,718,458,181,784
194,183,973,1778,97,279,663,753,457,102,816
194,183,968,1783,97,279,599,805,467,94,821
194,183,925,1826,97,279,458,861,552,124,645
192,154,941,1841,93,283,458,822,590,154,628
198,155,904,1872,87,295,458,822,590,197,688
161,174,903,1883,95,295,458,822,531,259,697
133,202,708,2057,116,295,458,817,536,330,736
133,202,653,2057,167,299,458,817,536,330,739
119,221,597,1690,579,310,458,817,536,297,700
119,221,380,1871,589,336,458,811,542,297,700
174,221,341,1902,564,369,443,770,598,297,725
218,224,323,1787,698,311,501,639,729,297,725
238,226,308,1792,708,306,505,540,829,297,725
317,226,303,1719,784,293,478,579,832,297,725
317,226,303,1719,784,271,500,440,971,317,731
316,227,303,1715,788,270,490,401,1021,297,735
316,227,292,1654,860,269,490,402,1004,292,735
316,224,290,1464,1055,268,237,656,1004,292,735
312,221,309,1311,1208,266,239,642,997,287,735
252,272,341,1217,1302,266,229,651,977,295,735
318,271,343,911,1608,266,229,633,980,295,735
358,270,344,860,1659,266,229,633,980,283,732
402,253,357,852,1671,266,229,633,854,283,552
423,208,357,897,1669,207,245,676,725,283,475
517,208,283,948,1690,126,270,734,710,283,471
612,208,187,1015,1719,124,251,753,705,288,471
690,208,178,1006,1737,124,251,753,700,314,471
846,205,181,985,1758,124,251,723,728,314,500
915,200,186,967,1776,124,251,723,714,314,373
917,194,192,964,1779,120,255,723,712,314,311
917,194,183,973,1779,96,279,698,718,352,289
961,194,183,973,1778,97,279,663,753,360,228
961,194,183,968,1783,97,279,599,805,390,198
1193,194,183,925,1826,97,279,458,861,360,190
1193,192,154,941,1841,93,283,458,822,330,275
1186,198,155,904,1872,87,295,458,822,287,276
1264,161,174,903,1883,95,295,458,822,225,267
1330,133,202,708,2057,116,295,458,817,154,228
1330,133,202,653,2057,167,299,458,817,154,486
1327,119,221,597,1690,579,310,458,817,144,507
1358,119,221,380,1871,589,336,458,811,144,507
1303,174,221,341,1902,564,369,443,770,186,533
1297,218,224,323,1787,698,311,501,639,186,533
1275,238,226,308,1792,708,306,505,540,186,632
1196,317,226,303,1719,784,293,478,579,186,632
1196,317,226,303,1719,784,271,500,440,179,626
1238,316,227,303,1715,788,270,490,401,187,627
1262,316,227,292,1654,860,269,490,402,187,627
1265,316,224,290,1464,1055,268,237,656,187,627
1260,312,221,309,1311,1208,266,239,642,218,693
1238,252,272,341,1217,1302,266,229,651,255,693
1182,318,271,343,911,1608,266,229,633,364,693
1258,358,270,344,860,1659,266,229,633,425,693
1214,402,253,357,852,1671,266,229,633,425,693
1193,423,208,357,897,1669,207,245,676,433,693
1099,517,208,283,948,1690,126,270,734,433,693
1004,612,208,187,1015,1719,124,251,753,428,693
926,690,208,178,1006,1737,124,251,753,402,765
770,846,205,181,985,1758,124,251,723,402,866
701,915,200,186,967,1776,124,251,723,402,871
700,917,194,192,964,1779,120,255,723,402,893
700,917,194,183,973,1779,96,279,698,364,972
701,961,194,183,973,1778,97,279,663,356,1100
704,961,194,183,968,1783,97,279,599,435,1106
472,1193,194,183,925,1826,97,279,458,435,1096
754,1193,192,154,941,1841,93,283,458,435,1008
772,1186,198,155,904,1872,87,295,458,488,947
695,1264,161,174,903,1883,95,295,458,488,947
708,1330,133,202,708,2057,116,295,458,528,947
750,1330,133,202,653,2057,167,299,458,630,940
748,1327,119,221,597,1690,579,310,458,633,919
717,1358,119,221,380,1871,589,336,458,648,1062
717,1303,174,221,341,1902,564,369,443,611,1073
819,1297,218,224,323,1787,698,311,501,674,1164
822,1275,238,226,308,1792,708,306,505,674,1100
889,1196,317,226,303,1719,784,293,478,711,1129
889,1196,317,226,303,1719,784,271,500,698,1129
857,1238,316,227,303,1715,788,270,490,690,1151
963,1262,316,227,292,1654,860,269,490,726,1151
960,1265,316,224,290,1464,1055,268,237,741,1151
954,1260,312,221,309,1311,1208,266,239,760,1151
970,1238,252,272,341,1217,1302,266,229,754,1151
1165,1182,318,271,343,911,1608,266,229,864,1158
1083,1258,358,270,344,860,1659,266,229,811,1160
1084,1214,402,253,357,852,1671,266,229,1097,1160
1084,1193,423,208,357,897,1669,207,245,1101,1160
1152,1099,517,208,283,948,1690,126,270,1102,1160
1152,1004,612,208,187,1015,1719,124,251,1104,1160
1152,926,690,208,178,1006,1737,124,251,1104,1088
1152,770,846,205,181,985,1758,124,251,1105,958
1154,701,915,200,186,967,1776,124,251,1105,953
1206,700,917,194,192,964,1779,120,255,1164,931
1207,700,917,194,183,973,1779,96,279,1164,852
1162,701,961,194,183,973,1778,97,279,1164,724
1159,704,961,194,183,968,1783,97,279,1055,716
1159,472,1193,194,183,925,1826,97,279,1055,716
