Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2
1119,1558,605,556,490,747,888,594,479,444,989
1106,1538,639,556,490,747,888,594,473,436,657
1050,1549,684,455,591,747,888,594,473,383,610
1049,1473,761,455,552,786,888,594,473,290,580
974,1367,942,381,626,786,888,594,473,169,667
919,1388,771,396,816,786,888,594,473,99,588
886,1416,740,432,819,786,888,594,473,98,546
802,1408,806,458,819,776,898,592,475,98,497
798,1425,788,476,800,743,892,650,475,85,389
706,1467,845,476,800,704,896,685,475,84,367
692,1437,797,568,800,663,933,684,476,84,411
691,1438,671,694,631,832,888,661,540,84,430
709,1438,628,740,608,855,694,711,683,84,430
709,1437,629,740,608,810,655,757,721,88,434
709,1427,639,739,389,935,750,702,776,88,448
774,1424,642,646,482,935,750,702,776,88,534
845,1262,802,648,482,935,750,543,935,81,654
845,1107,955,650,482,935,366,879,983,263,683
840,1112,955,650,482,830,471,879,983,365,690
833,1119,955,650,482,811,490,874,945,356,694
815,1143,955,650,482,793,508,874,743,354,748
645,1316,955,556,576,790,511,869,662,381,803
634,1323,959,556,573,793,498,882,662,750,803
602,1214,1143,558,573,735,508,889,703,750,815
549,1217,1155,600,573,538,705,889,703,750,815
549,1180,1187,605,573,516,727,889,703,750,793
519,1209,1189,605,556,533,727,889,703,750,792
535,1049,1349,605,556,533,711,905,703,750,790
468,1079,1453,605,556,495,749,893,709,750,722
417,1040,1547,605,556,495,749,892,639,750,746
351,1127,1547,605,556,490,754,881,648,736,780
357,1119,1558,605,556,490,747,888,594,736,991
441,1106,1538,639,556,490,747,888,594,764,994
604,1050,1549,684,455,591,747,888,594,771,978
607,1049,1473,761,455,552,786,888,594,778,1049
644,974,1367,942,381,626,786,888,594,775,1086
644,919,1388,771,396,816,786,888,594,775,1304
641,886,1416,740,432,819,786,888,594,786,1243
641,802,1408,806,458,819,776,898,592,786,1240
628,798,1425,788,476,800,743,892,650,888,1200
621,706,1467,845,476,800,704,896,685,1042,1199
622,692,1437,797,568,800,663,933,684,1063,1145
622,691,1438,671,694,631,832,888,661,1083,1126
601,709,1438,628,740,608,855,694,711,1086,1126
620,709,1437,629,740,608,810,655,757,1077,1122
627,709,1427,639,739,389,935,750,702,1080,1108
562,774,1424,642,646,482,935,750,702,1148,1022
517,845,1262,802,648,482,935,750,543,1139,902
556,845,1107,955,650,482,935,366,879,951,873
556,840,1112,955,650,482,830,471,879,848,866
556,833,1119,955,650,482,811,490,874,837,884
570,815,1143,955,650,482,793,508,874,837,830
574,645,1316,955,556,576,790,511,869,835,775
708,634,1323,959,556,573,793,498,882,485,775
708,602,1214,1143,558,573,735,508,889,485,763
749,549,1217,1155,600,573,538,705,889,485,776
778,549,1180,1187,605,573,516,727,889,485,835
804,519,1209,1189,605,556,533,727,889,489,835
982,535,1049,1349,605,556,533,711,905,489,914
935,468,1079,1453,605,556,495,749,893,508,1079
931,417,1040,1547,605,556,495,749,892,510,1071
910,351,1127,1547,605,556,490,754,881,510,1087
901,357,1119,1558,605,556,490,747,888,632,920
816,441,1106,1538,639,556,490,747,888,672,917
692,604,1050,1549,684,455,591,747,888,720,917
689,607,1049,1473,761,455,552,786,888,713,846
652,644,974,1367,942,381,626,786,888,765,704
652,644,919,1388,771,396,816,786,888,780,463
652,641,886,1416,740,432,819,786,888,837,513
652,641,802,1408,806,458,819,776,898,838,715
652,628,798,1425,788,476,800,743,892,743,786
652,621,706,1467,845,476,800,704,896,592,812
651,622,692,1437,797,568,800,663,933,571,863
651,622,691,1438,671,694,631,832,888,551,892
651,601,709,1438,628,740,608,855,694,548,1008
632,620,709,1437,629,740,608,810,655,548,1018
625,627,709,1427,639,739,389,935,750,545,1018
628,562,774,1424,642,646,482,935,750,477,1022
782,517,845,1262,802,648,482,935,750,466,1055
820,556,845,1107,955,650,482,935,366,466,1231
824,556,840,1112,955,650,482,830,471,462,1254
824,556,833,1119,955,650,482,811,490,534,1232
804,570,815,1143,955,650,482,793,508,547,1251
797,574,645,1316,955,556,576,790,511,571,1251
790,708,634,1323,959,556,573,793,498,600,1256
807,708,602,1214,1143,558,573,735,508,622,1327
784,749,549,1217,1155,600,573,538,705,648,1358
816,778,549,1180,1187,605,573,516,727,654,1299
821,804,519,1209,1189,605,556,533,727,650,1306
645,982,535,1049,1349,605,556,533,711,650,1233
628,935,468,1079,1453,605,556,495,749,631,1068
688,931,417,1040,1547,605,556,495,749,629,1040
697,910,351,1127,1547,605,556,490,754,629,989
736,901,357,1119,1558,605,556,490,747,507,945
739,816,441,1106,1538,639,556,490,747,439,977
700,692,604,1050,1549,684,455,591,747,384,1094
700,689,607,1049,1473,761,455,552,786,388,1112
725,652,644,974,1367,942,381,626,786,340,1112
725,652,644,919,1388,771,396,816,786,326,1158
725,652,641,886,1416,740,432,819,786,258,1108
725,652,641,802,1408,806,458,819,776,257,917
731,652,628,798,1425,788,476,800,743,250,852
735,652,621,706,1467,845,476,800,704,247,888
735,651,622,692,1437,797,568,800,663,247,930
735,651,622,691,1438,671,694,631,832,247,927
735,651,601,709,1438,628,740,608,855,290,811
735,632,620,709,1437,629,740,608,810,492,801
735,625,627,709,1427,639,739,389,935,578,803
732,628,562,774,1424,642,646,482,935,578,857
552,782,517,845,1262,802,648,482,935,578,825
475,820,556,845,1107,955,650,482,935,578,696
471,824,556,840,1112,955,650,482,830,578,673
471,824,556,833,1119,955,650,482,811,505,685
471,804,570,815,1143,955,650,482,793,492,674
500,797,574,645,1316,955,556,576,790,448,674
373,790,708,634,1323,959,556,573,793,471,669
311,807,708,602,1214,1143,558,573,735,451,598
289,784,749,549,1217,1155,600,573,538,479,716
228,816,778,549,1180,1187,605,573,516,473,724
198,821,804,519,1209,1189,605,556,533,473,730
190,645,982,535,1049,1349,605,556,533,473,747
275,628,935,468,1079,1453,605,556,495,473,747
276,688,931,417,1040,1547,605,556,495,473,747
267,697,910,351,1127,1547,605,556,490,473,747
228,736,901,357,1119,1558,605,556,490,475,747
486,739,816,441,1106,1538,639,556,490,475,715
507,700,692,604,1050,1549,684,455,591,475,598
507,700,689,607,1049,1473,761,455,552,476,579
533,725,652,644,974,1367,942,381,626,540,579
533,725,652,644,919,1388,771,396,816,683,532
632,725,652,641,886,1416,740,432,819,721,532
632,725,652,641,802,1408,806,458,819,776,521
626,731,652,628,798,1425,788,476,800,776,515
627,735,652,621,706,1467,845,476,800,935,453
627,735,651,622,692,1437,797,568,800,983,360
627,735,651,622,691,1438,671,694,631,983,392
693,735,651,601,709,1438,628,740,608,945,418
693,735,632,620,709,1437,629,740,608,743,423
693,735,625,627,709,1427,639,739,389,662,437
693,732,628,562,774,1424,642,646,482,662,379
693,552,782,517,845,1262,802,648,482,703,378
693,475,820,556,845,1107,955,650,482,703,331
693,471,824,556,840,1112,955,650,482,703,331
693,471,824,556,833,1119,955,650,482,703,326
765,471,804,570,815,1143,955,650,482,703,321
866,500,797,574,645,1316,955,556,576,709,330
871,373,790,708,634,1323,959,556,573,639,367
893,311,807,708,602,1214,1143,558,573,648,386
972,289,784,749,549,1217,1155,600,573,594,291
1100,228,816,778,549,1180,1187,605,573,594,354
1106,198,821,804,519,1209,1189,605,556,594,341
1096,190,645,982,535,1049,1349,605,556,594,318
1008,275,628,935,468,1079,1453,605,556,594,330
947,276,688,931,417,1040,1547,605,556,594,345
947,267,697,910,351,1127,1547,605,556,594,345
947,228,736,901,357,1119,1558,605,556,592,567
940,486,739,816,441,1106,1538,639,556,650,653
919,507,700,692,604,1050,1549,684,455,685,658
1062,507,700,689,607,1049,1473,761,455,684,658
1073,533,725,652,644,974,1367,942,381,661,658
1164,533,725,652,644,919,1388,771,396,711,658
1100,632,725,652,641,886,1416,740,432,757,658
1129,632,725,652,641,802,1408,806,458,702,746
1129,626,731,652,628,798,1425,788,476,702,746
1151,627,735,652,621,706,1467,845,476,543,824
1151,627,735,651,622,692,1437,797,568,879,841
1151,627,735,651,622,691,1438,671,694,879,836
1151,693,735,651,601,709,1438,628,740,874,810
1151,693,735,632,620,709,1437,629,740,874,805
1158,693,735,625,627,709,1427,639,739,869,846
1160,693,732,628,562,774,1424,642,646,882,848
1160,693,552,782,517,845,1262,802,648,889,848
1160,693,475,820,556,845,1107,955,650,889,876
1160,693,471,824,556,840,1112,955,650,889,876
1160,693,471,824,556,833,1119,955,650,889,869
1088,765,471,804,570,815,1143,955,650,905,1109
958,866,500,797,574,645,1316,955,556,893,1100
953,871,373,790,708,634,1323,959,556,892,1063
931,893,311,807,708,602,1214,1143,558,881,1044
852,972,289,784,749,549,1217,1155,600,888,977
724,1100,228,816,778,549,1180,1187,605,888,906
716,1106,198,821,804,519,1209,1189,605,888,906
716,1096,190,645,982,535,1049,1349,605,888,1077
716,1008,275,628,935,468,1079,1453,605,888,1153
716,947,276,688,931,417,1040,1547,605,888,1138
716,947,267,697,910,351,1127,1547,605,888,1138
716,947,228,736,901,357,1119,1558,605,898,916
462,940,486,739,816,441,1106,1538,639,892,870
462,919,507,700,692,604,1050,1549,684,896,895
319,1062,507,700,689,607,1049,1473,761,933,895
340,1073,533,725,652,644,974,1367,942,888,900
378,1164,533,725,652,644,919,1388,771,694,967
344,1100,632,725,652,641,886,1416,740,655,971
315,1129,632,725,652,641,802,1408,806,750,883
319,1129,626,731,652,628,798,1425,788,750,883
299,1151,627,735,652,621,706,1467,845,750,805
304,1151,627,735,651,622,692,1437,797,366,808
304,1151,627,735,651,622,691,1438,671,471,765
238,1151,693,735,651,601,709,1438,628,490,766
238,1151,693,735,632,620,709,1437,629,508,832
231,1158,693,735,625,627,709,1427,639,511,820
267,1160,693,732,628,562,774,1424,642,498,821
272,1160,693,552,782,517,845,1262,802,508,821
276,1160,693,475,820,556,845,1107,955,705,793
276,1160,693,471,824,556,840,1112,955,727,793
276,1160,693,471,824,556,833,1119,955,727,793
317,1088,765,471,804,570,815,1143,955,711,622
317,958,866,500,797,574,645,1316,955,749,801
447,953,871,373,790,708,634,1323,959,749,854
468,931,893,311,807,708,602,1214,1143,754,854
468,852,972,289,784,749,549,1217,1155,747,854
471,724,1100,228,816,778,549,1180,1187,747,854
471,716,1106,198,821,804,519,1209,1189,747,869
494,716,1096,190,645,982,535,1049,1349,786,704
494,716,1008,275,628,935,468,1079,1453,786,690
536,716,947,276,688,931,417,1040,1547,786,904
597,716,947,267,697,910,351,1127,1547,786,904
597,716,947,228,736,901,357,1119,1558,776,904
597,462,940,486,739,816,441,1106,1538,743,864
605,462,919,507,700,692,604,1050,1549,704,879
605,319,1062,507,700,689,607,1049,1473,663,879
522,340,1073,533,725,652,644,974,1367,832,874
433,378,1164,533,725,652,644,919,1388,855,828
777,344,1100,632,725,652,641,886,1416,810,877
777,315,1129,632,725,652,641,802,1408,935,880
885,319,1129,626,731,652,628,798,1425,935,880
1024,299,1151,627,735,652,621,706,1467,935,888
1110,304,1151,627,735,651,622,692,1437,935,869
1225,304,1151,627,735,651,622,691,1438,830,865
1237,238,1151,693,735,651,601,709,1438,811,864
1237,238,1151,693,735,632,620,709,1437,793,839
1237,231,1158,693,735,625,627,709,1427,790,812
1199,267,1160,693,732,628,562,774,1424,793,809
1196,272,1160,693,552,782,517,845,1262,735,922
1302,276,1160,693,475,820,556,845,1107,538,922
1326,276,1160,693,471,824,556,840,1112,516,941
1326,276,1160,693,471,824,556,833,1119,533,943
1474,317,1088,765,471,804,570,815,1143,533,871
1829,317,958,866,500,797,574,645,1316,495,692
1722,447,953,871,373,790,708,634,1323,495,639
1777,468,931,893,311,807,708,602,1214,490,639
1787,468,852,972,289,784,749,549,1217,490,639
1784,471,724,1100,228,816,778,549,1180,490,639
1784,471,716,1106,198,821,804,519,1209,591,627
1761,494,716,1096,190,645,982,535,1049,552,685
1761,494,716,1008,275,628,935,468,1079,626,687
1719,536,716,947,276,688,931,417,1040,816,473
1658,597,716,947,267,697,910,351,1127,819,683
1696,597,716,947,228,736,901,357,1119,819,741
1877,597,462,940,486,739,816,441,1106,800,758
1921,605,462,919,507,700,692,604,1050,800,713
1922,605,319,1062,507,700,689,607,1049,800,713
1922,522,340,1073,533,725,652,644,974,631,713
1882,433,378,1164,533,725,652,644,919,608,707
1565,777,344,1100,632,725,652,641,886,608,1057
1565,777,315,1129,632,725,652,641,802,389,1283
1453,885,319,1129,626,731,652,628,798,482,1283
1379,1024,299,1151,627,735,652,621,706,482,1275
1376,1110,304,1151,627,735,651,622,692,482,1274
1261,1225,304,1151,627,735,651,622,691,482,1268
1249,1237,238,1151,693,735,651,601,709,482,1268
1249,1237,238,1151,693,735,632,620,709,482,1227
1249,1237,231,1158,693,735,625,627,709,576,1209
1249,1199,267,1160,693,732,628,562,774,573,1209
1247,1196,272,1160,693,552,782,517,845,573,1096
1206,1302,276,1160,693,475,820,556,845,573,1100
1386,1326,276,1160,693,471,824,556,840,573,1081
1387,1326,276,1160,693,471,824,556,833,556,1079
1212,1474,317,1088,765,471,804,570,815,556,1079
858,1829,317,958,866,500,797,574,645,556,1079
839,1722,447,953,871,373,790,708,634,556,1079
763,1777,468,931,893,311,807,708,602,556,1079
812,1787,468,852,972,289,784,749,549,556,1155
825,1784,471,724,1100,228,816,778,549,556,1253
959,1784,471,716,1106,198,821,804,519,455,1302
959,1761,494,716,1096,190,645,982,535,455,1264
959,1761,494,716,1008,275,628,935,468,381,1190
988,1719,536,716,947,276,688,931,417,396,1257
989,1658,597,716,947,267,697,910,351,432,1091
951,1696,597,716,947,228,736,901,357,458,1033
770,1877,597,462,940,486,739,816,441,476,1065
718,1921,605,462,919,507,700,692,604,476,1065
717,1922,605,319,1062,507,700,689,607,568,1065
717,1922,522,340,1073,533,725,652,644,694,1065
717,1882,433,378,1164,533,725,652,644,740,1052
689,1565,777,344,1100,632,725,652,641,740,649
689,1565,777,315,1129,632,725,652,641,739,420
720,1453,885,319,1129,626,731,652,628,646,428
722,1379,1024,299,1151,627,735,652,621,648,491
634,1376,1110,304,1151,627,735,651,622,650,491
634,1261,1225,304,1151,627,735,651,622,650,491
727,1249,1237,238,1151,693,735,651,601,650,491
762,1249,1237,238,1151,693,735,632,620,650,491
762,1249,1237,231,1158,693,735,625,627,556,510
762,1249,1199,267,1160,693,732,628,562,556,510
799,1247,1196,272,1160,693,552,782,517,558,511
730,1206,1302,276,1160,693,475,820,556,600,515
526,1386,1326,276,1160,693,471,824,556,605,515
525,1387,1326,276,1160,693,471,824,556,605,515
512,1212,1474,317,1088,765,471,804,570,605,679
511,858,1829,317,958,866,500,797,574,605,682
507,839,1722,447,953,871,373,790,708,605,702
523,763,1777,468,931,893,311,807,708,605,760
531,812,1787,468,852,972,289,784,749,605,734
518,825,1784,471,724,1100,228,816,778,639,689
385,959,1784,471,716,1106,198,821,804,684,637
406,959,1761,494,716,1096,190,645,982,761,611
