Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2
989,826,352,530,1179,987,1401,1183,83,803,721
657,1158,352,530,1179,984,1398,1123,136,832,595
610,1221,338,544,1179,936,1374,1195,107,757,502
580,1252,333,549,1087,834,1320,1443,66,714,386
667,1270,333,440,1196,659,1495,1443,66,707,336
588,1373,333,434,1202,625,1529,1443,66,777,314
546,1403,406,429,1207,565,1589,1419,90,709,314
497,1452,409,420,912,840,1618,1417,92,704,278
389,1500,509,420,871,881,1618,1417,92,706,278
367,1412,615,425,847,810,1713,1311,198,735,278
411,1394,592,476,751,899,1689,1261,279,731,319
430,1362,624,447,771,907,1656,1204,370,698,319
430,1362,624,446,772,906,1583,1278,370,704,319
434,1306,680,446,767,903,1591,1250,398,712,319
448,1296,690,446,767,901,1593,1235,413,712,307
534,1296,690,446,767,901,1588,1220,433,668,247
654,1296,690,446,716,952,1560,1237,444,746,374
683,1296,680,456,659,1009,1472,1290,479,904,374
690,1296,680,379,710,1035,1428,1175,638,959,354
694,1150,826,360,729,1035,1304,1213,724,1014,380
748,1144,832,360,679,1028,1307,1267,724,1015,387
803,1106,856,374,668,963,1382,1230,762,1015,387
803,1106,855,375,590,974,1417,1122,902,1015,387
815,1088,873,375,256,1304,1369,1173,903,1015,387
815,1088,873,375,255,1268,1313,1266,903,1015,391
793,1090,893,318,312,1267,1197,1383,903,1015,384
792,1047,937,318,312,1267,1155,1425,903,1036,357
790,1040,946,318,312,1267,1084,1448,951,1036,346
722,1108,946,151,479,1267,962,1409,1112,1039,345
746,1111,716,380,489,1223,992,1376,1159,914,311
780,1108,707,352,530,1179,995,1399,1177,836,247
991,989,826,352,530,1179,987,1401,1183,738,230
994,657,1158,352,530,1179,984,1398,1123,709,230
978,610,1221,338,544,1179,936,1374,1195,697,230
1049,580,1252,333,549,1087,834,1320,1443,628,230
1086,667,1270,333,440,1196,659,1495,1443,622,224
1304,588,1373,333,434,1202,625,1529,1443,591,224
1243,546,1403,406,429,1207,565,1589,1419,601,225
1240,497,1452,409,420,912,840,1618,1417,707,246
1200,389,1500,509,420,871,881,1618,1417,706,258
1199,367,1412,615,425,847,810,1713,1311,704,270
1145,411,1394,592,476,751,899,1689,1261,801,229
1126,430,1362,624,447,771,907,1656,1204,914,239
1126,430,1362,624,446,772,906,1583,1278,930,239
1122,434,1306,680,446,767,903,1591,1250,1066,240
1108,448,1296,690,446,767,901,1593,1235,1066,431
1022,534,1296,690,446,767,901,1588,1220,1066,444
902,654,1296,690,446,716,952,1560,1237,988,339
873,683,1296,680,456,659,1009,1472,1290,830,427
866,690,1296,680,379,710,1035,1428,1175,775,433
884,694,1150,826,360,729,1035,1304,1213,720,417
830,748,1144,832,360,679,1028,1307,1267,732,446
775,803,1106,856,374,668,963,1382,1230,732,446
775,803,1106,855,375,590,974,1417,1122,777,446
763,815,1088,873,375,256,1304,1369,1173,880,446
776,815,1088,873,375,255,1268,1313,1266,999,442
835,793,1090,893,318,312,1267,1197,1383,1016,441
835,792,1047,937,318,312,1267,1155,1425,1042,464
914,790,1040,946,318,312,1267,1084,1448,1206,486
1079,722,1108,946,151,479,1267,962,1409,1294,515
1071,746,1111,716,380,489,1223,992,1376,1328,522
1087,780,1108,707,352,530,1179,995,1399,1412,674
920,991,989,826,352,530,1179,987,1401,1412,674
917,994,657,1158,352,530,1179,984,1398,1429,675
917,978,610,1221,338,544,1179,936,1374,1499,687
846,1049,580,1252,333,549,1087,834,1320,1523,691
704,1086,667,1270,333,440,1196,659,1495,1519,762
463,1304,588,1373,333,434,1202,625,1529,1509,822
513,1243,546,1403,406,429,1207,565,1589,1499,832
715,1240,497,1452,409,420,912,840,1618,1315,817
786,1200,389,1500,509,420,871,881,1618,1308,805
812,1199,367,1412,615,425,847,810,1713,1281,793
863,1145,411,1394,592,476,751,899,1689,1146,793
892,1126,430,1362,624,447,771,907,1656,1031,783
1008,1126,430,1362,624,446,772,906,1583,1008,783
1018,1122,434,1306,680,446,767,903,1591,870,782
1018,1108,448,1296,690,446,767,901,1593,920,591
1022,1022,534,1296,690,446,767,901,1588,955,573
1055,902,654,1296,690,446,716,952,1560,992,591
1231,873,683,1296,680,456,659,1009,1472,992,516
1254,866,690,1296,680,379,710,1035,1428,1207,510
1232,884,694,1150,826,360,729,1035,1304,1211,500
1251,830,748,1144,832,360,679,1028,1307,1219,634
1251,775,803,1106,856,374,668,963,1382,1224,717
1256,775,803,1106,855,375,590,974,1417,1179,721
1327,763,815,1088,873,375,256,1304,1369,1076,768
1358,776,815,1088,873,375,255,1268,1313,976,805
1299,835,793,1090,893,318,312,1267,1197,972,875
1306,835,792,1047,937,318,312,1267,1155,954,958
1233,914,790,1040,946,318,312,1267,1084,831,950
1068,1079,722,1108,946,151,479,1267,962,740,1056
1040,1071,746,1111,716,380,489,1223,992,706,1104
989,1087,780,1108,707,352,530,1179,995,621,977
945,920,991,989,826,352,530,1179,987,621,977
977,917,994,657,1158,352,530,1179,984,604,976
1094,917,978,610,1221,338,544,1179,936,534,964
1112,846,1049,580,1252,333,549,1087,834,510,960
1112,704,1086,667,1270,333,440,1196,659,510,889
1158,463,1304,588,1373,333,434,1202,625,475,829
1108,513,1243,546,1403,406,429,1207,565,475,818
917,715,1240,497,1452,409,420,912,840,475,815
852,786,1200,389,1500,509,420,871,881,475,823
888,812,1199,367,1412,615,425,847,810,475,846
930,863,1145,411,1394,592,476,751,899,475,856
927,892,1126,430,1362,624,447,771,907,475,915
811,1008,1126,430,1362,624,446,772,906,475,922
801,1018,1122,434,1306,680,446,767,903,469,922
803,1018,1108,448,1296,690,446,767,901,419,922
857,1022,1022,534,1296,690,446,767,901,384,922
825,1055,902,654,1296,690,446,716,952,347,877
696,1231,873,683,1296,680,456,659,1009,347,906
673,1254,866,690,1296,680,379,710,1035,132,906
685,1232,884,694,1150,826,360,729,1035,128,906
