Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2
882,573,650,1194,1764,349,580,387,828,349,663
891,523,702,1191,1767,300,629,373,799,418,599
891,523,702,1155,1803,300,629,364,678,667,458
891,482,740,1158,1603,500,626,367,661,728,458
891,479,724,1170,1587,523,615,378,661,763,458
891,464,645,1189,1658,527,561,432,534,763,458
889,465,646,1178,1669,527,561,432,471,699,458
889,465,646,1131,1649,594,561,421,248,706,458
889,465,632,1145,1649,594,561,417,218,767,458
985,421,509,1312,1649,594,473,408,313,962,458
1082,421,509,1312,1647,596,473,343,338,951,443
1090,421,509,1312,1647,596,473,335,346,986,501
1090,385,545,1312,1647,596,473,303,377,1014,505
1042,345,633,1312,1637,606,473,283,397,1034,478
780,612,633,1312,1299,944,473,283,389,1040,500
716,722,633,1282,1296,977,473,275,395,1040,490
710,731,633,1247,1326,980,459,243,441,1066,490
533,908,633,1247,1326,900,539,208,476,1184,237
531,868,675,1247,1309,871,585,208,476,1170,239
839,873,675,1246,1269,841,639,219,482,1373,229
839,896,675,1079,1414,765,657,299,472,1402,229
863,905,675,1079,1372,805,654,304,471,1397,229
865,962,675,1079,1298,879,647,298,476,1380,229
749,1078,675,1079,1245,932,647,297,462,1336,245
715,1090,701,1079,1164,1012,646,299,462,1336,270
713,912,888,1079,1164,1012,564,366,477,1336,251
709,920,888,953,902,1400,525,404,423,1336,251
890,920,888,316,1349,1590,499,430,423,1336,251
1136,920,587,607,1303,1646,370,559,423,1316,251
1144,920,587,604,1305,1647,370,559,423,1275,255
1214,889,574,646,1209,1745,370,559,421,1275,279
1352,882,573,650,1194,1764,349,580,387,1248,279
1470,891,523,702,1191,1767,300,629,373,1180,279
1507,891,523,702,1155,1803,300,629,364,931,279
1507,891,482,740,1158,1603,500,626,367,882,283
1507,891,479,724,1170,1587,523,615,378,896,295
1507,891,464,645,1189,1658,527,561,432,896,295
1507,889,465,646,1178,1669,527,561,432,896,295
1659,889,465,646,1131,1649,594,561,421,1043,299
1758,889,465,632,1145,1649,594,561,417,1121,310
1805,985,421,509,1312,1649,594,473,408,947,336
1768,1082,421,509,1312,1647,596,473,343,977,369
1812,1090,421,509,1312,1647,596,473,335,942,311
