Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
2057,116,295,901,1119,444,989
2057,167,299,1010,1106,436,657
1690,579,310,1092,1050,383,610
1871,589,336,1091,1049,290,580
1902,564,369,1086,974,169,667
1787,698,311,1314,919,99,588
1792,708,306,1335,886,98,546
1719,784,293,1203,802,98,497
1719,784,271,1293,798,85,389
1715,788,270,1287,706,84,367
1654,860,269,1306,692,84,411
1464,1055,268,1325,691,84,430
1311,1208,266,1365,709,84,430
1217,1302,266,1364,709,88,434
911,1608,266,1415,709,88,448
860,1659,266,1384,774,88,534
852,1671,266,1369,845,81,654
897,1669,207,1359,845,263,683
948,1690,126,1255,840,365,690
1015,1719,124,1248,833,356,694
1006,1737,124,1166,815,354,748
985,1758,124,1026,645,381,803
967,1776,124,919,634,750,803
964,1779,120,844,602,750,815
973,1779,96,868,549,750,815
973,1778,97,898,549,750,793
968,1783,97,896,519,750,792
925,1826,97,900,535,750,790
941,1841,93,928,468,750,722
904,1872,87,928,417,750,746
903,1883,95,928,351,736,780
708,2057,116,878,357,736,991
653,2057,167,770,441,764,994
597,1690,579,708,604,771,978
380,1871,589,705,607,778,1049
341,1902,564,705,644,775,1086
323,1787,698,476,644,775,1304
308,1792,708,428,641,786,1243
303,1719,784,428,641,786,1240
303,1719,784,309,628,888,1200
303,1715,788,311,621,1042,1199
292,1654,860,309,622,1063,1145
290,1464,1055,347,622,1083,1126
309,1311,1208,316,601,1086,1126
341,1217,1302,321,620,1077,1122
343,911,1608,351,627,1080,1108
344,860,1659,359,562,1148,1022
357,852,1671,359,517,1139,902
357,897,1669,339,556,951,873
283,948,1690,339,556,848,866
187,1015,1719,337,556,837,884
178,1006,1737,337,570,837,830
181,985,1758,337,574,835,775
186,967,1776,337,708,485,775
192,964,1779,367,708,485,763
183,973,1779,342,749,485,776
183,973,1778,391,778,485,835
183,968,1783,399,804,489,835
183,925,1826,388,982,489,914
154,941,1841,358,935,508,1079
155,904,1872,358,931,510,1071
174,903,1883,358,910,510,1087
202,708,2057,358,901,632,920
202,653,2057,355,816,672,917
221,597,1690,378,692,720,917
221,380,1871,378,689,713,846
221,341,1902,378,652,765,704
224,323,1787,378,652,780,463
226,308,1792,378,652,837,513
226,303,1719,370,652,838,715
226,303,1719,370,652,743,786
227,303,1715,388,652,592,812
227,292,1654,375,651,571,863
224,290,1464,312,651,551,892
221,309,1311,297,651,548,1008
272,341,1217,296,632,548,1018
271,343,911,215,625,545,1018
270,344,860,219,628,477,1022
253,357,852,219,782,466,1055
208,357,897,219,820,466,1231
208,283,948,219,824,462,1254
208,187,1015,211,824,534,1232
208,178,1006,211,804,547,1251
205,181,985,211,797,571,1251
200,186,967,211,790,600,1256
194,192,964,181,807,622,1327
194,183,973,181,784,648,1358
194,183,973,102,816,654,1299
194,183,968,94,821,650,1306
194,183,925,124,645,650,1233
192,154,941,154,628,631,1068
198,155,904,197,688,629,1040
161,174,903,259,697,629,989
133,202,708,330,736,507,945
133,202,653,330,739,439,977
119,221,597,297,700,384,1094
119,221,380,297,700,388,1112
174,221,341,297,725,340,1112
218,224,323,297,725,326,1158
238,226,308,297,725,258,1108
317,226,303,297,725,257,917
317,226,303,317,731,250,852
316,227,303,297,735,247,888
316,227,292,292,735,247,930
316,224,290,292,735,247,927
312,221,309,287,735,290,811
252,272,341,295,735,492,801
318,271,343,295,735,578,803
358,270,344,283,732,578,857
402,253,357,283,552,578,825
