Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
512,415,2031,1049,509,547,809
543,316,2130,1091,488,525,820
590,296,2088,1168,457,524,800
633,274,2086,1240,410,524,739
611,293,2089,1339,403,524,705
611,293,2089,1360,403,525,665
628,291,2008,1391,403,522,640
665,291,2008,1391,403,522,657
680,281,2038,1382,403,531,614
675,255,2069,1315,403,549,682
635,279,2017,1184,403,549,711
589,330,1971,1135,403,550,747
582,343,1965,1141,350,550,720
588,355,1966,1142,350,550,711
592,311,1940,1169,350,550,712
590,295,1956,1242,350,550,709
607,265,1986,1123,295,550,709
582,290,1955,1160,315,546,808
490,382,1939,1229,389,546,807
487,384,1940,1139,321,428,823
487,384,1940,1021,319,357,853
486,385,1939,1021,346,275,1387
486,385,1883,1019,244,78,1509
486,390,1661,962,248,52,1525
530,393,1347,867,248,52,1816
526,482,1181,823,250,73,1921
473,516,1182,815,253,73,1762
536,523,1139,814,253,73,1930
536,523,765,785,247,73,2053
536,513,683,785,211,68,2024
536,512,624,772,209,63,1976
536,512,415,763,209,63,1983
505,543,316,622,209,123,2023
458,590,296,540,179,124,2022
438,633,274,468,185,124,2035
468,611,293,369,228,124,2035
519,611,293,348,228,123,2036
549,628,291,320,228,117,2036
514,665,291,320,228,122,2008
466,680,281,320,228,113,1997
466,675,255,320,246,121,1967
467,635,279,320,259,124,1992
462,589,330,320,380,297,1991
456,582,343,313,538,304,2022
437,588,355,308,627,308,2019
434,592,311,281,636,308,2226
439,590,295,208,636,353,2271
426,607,265,204,643,378,2320
457,582,290,114,790,534,2221
511,490,382,18,709,569,2298
581,487,384,11,717,723,2325
640,487,384,20,731,723,2312
720,486,385,44,692,723,1778
733,486,385,44,703,724,1715
743,486,390,40,847,719,1732
696,530,393,38,1129,719,1464
611,526,482,38,1244,733,1356
565,473,516,38,1244,733,1320
494,536,523,59,1244,735,1080
546,536,523,60,1245,751,874
604,536,513,61,1245,751,935
683,536,512,80,1299,751,978
744,536,512,281,1321,751,963
761,505,543,322,1334,691,970
761,458,590,364,1334,690,994
745,438,633,496,1328,697,981
744,468,611,625,1268,697,1003
707,519,611,625,1268,697,998
694,549,628,620,1268,697,998
692,514,665,625,1268,692,979
691,466,680,626,1268,692,974
691,466,675,628,1250,666,934
690,467,635,629,1253,663,878
690,462,589,631,1133,489,888
690,456,582,631,975,482,884
690,437,588,631,886,478,1047
710,434,592,631,882,478,952
710,439,590,631,925,433,1012
708,426,607,632,926,423,969
705,457,582,635,753,339,967
692,511,490,635,748,345,890
648,581,487,655,759,205,840
589,640,487,646,745,205,823
525,720,486,622,757,205,854
539,733,486,627,744,239,806
543,743,486,629,596,240,834
636,696,530,629,347,240,834
636,611,526,629,232,224,859
636,565,473,629,229,236,859
636,494,536,608,229,234,918
