Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1382,1230,762,219,1024,724,232
1417,1122,902,219,1024,776,392
1369,1173,903,223,1024,775,392
1313,1266,903,223,1027,679,392
1197,1383,903,223,1076,679,396
1155,1425,903,223,1093,681,398
1084,1448,951,82,1091,689,471
962,1409,1112,88,1134,689,493
992,1376,1159,124,1273,689,493
995,1399,1177,124,1657,689,493
987,1401,1183,122,1456,689,532
984,1398,1123,122,1398,689,506
936,1374,1195,134,1334,636,467
834,1320,1443,188,1285,533,441
659,1495,1443,222,1286,525,417
625,1529,1443,501,1252,506,322
565,1589,1419,482,1297,506,322
840,1618,1417,465,1045,506,322
881,1618,1417,465,1055,454,322
810,1713,1311,461,1007,406,322
899,1689,1261,475,1007,382,322
907,1656,1204,531,1007,499,322
906,1583,1278,612,1019,497,322
903,1591,1250,617,1032,567,322
901,1593,1235,713,1135,654,322
901,1588,1220,831,1249,682,322
952,1560,1237,832,1249,682,322
1009,1472,1290,834,1249,863,315
1035,1428,1175,1012,1249,900,494
1035,1304,1213,1021,1139,995,623
1028,1307,1267,1044,1160,927,623
963,1382,1230,1062,1093,1010,608
974,1417,1122,1132,1093,982,448
1304,1369,1173,1113,1093,982,448
1268,1313,1266,1113,1092,983,448
1267,1197,1383,1363,1044,1022,444
1267,1155,1425,1469,1087,1097,442
1267,1084,1448,1553,1087,1112,369
1267,962,1409,1539,1043,1124,347
1223,992,1376,1666,904,1221,356
1179,995,1399,1748,470,1249,506
1179,987,1401,1748,469,1278,473
1179,984,1398,1748,469,1278,473
1179,936,1374,1736,469,1278,473
1087,834,1320,1682,469,1278,473
1196,659,1495,1670,468,1271,473
1202,625,1529,1391,468,1252,473
1207,565,1589,1391,409,1252,473
912,840,1618,1391,409,1252,482
871,881,1618,1390,354,1229,629
847,810,1713,1390,326,1229,629
751,899,1689,1376,327,1229,629
771,907,1656,1320,658,1233,658
772,906,1583,1239,759,1239,658
767,903,1591,1234,776,1167,658
767,901,1593,1138,673,1081,658
767,901,1588,1020,560,1053,658
716,952,1560,1022,610,1056,658
659,1009,1472,1020,652,875,658
710,1035,1428,867,652,836,479
729,1035,1304,878,652,641,350
679,1028,1307,860,631,641,350
668,963,1382,842,631,539,350
590,974,1417,772,631,518,350
256,1304,1369,771,631,537,382
255,1268,1313,771,629,654,388
312,1267,1197,527,628,620,388
312,1267,1155,434,575,562,388
312,1267,1084,358,575,539,388
479,1267,962,358,586,549,390
489,1223,992,184,596,453,400
530,1179,995,118,613,427,250
530,1179,987,174,652,456,244
530,1179,984,193,825,456,285
544,1179,936,381,842,456,369
549,1087,834,630,842,456,399
440,1196,659,609,842,456,399
434,1202,625,613,842,509,410
429,1207,565,677,842,512,481
420,912,840,682,842,518,627
420,871,881,682,842,537,517
425,847,810,683,843,551,517
476,751,899,683,842,551,518
447,771,907,683,511,420,491
446,772,906,683,398,414,491
446,767,903,683,368,425,491
446,767,901,683,368,456,491
446,767,901,683,367,478,491
446,716,952,680,317,552,491
456,659,1009,680,275,624,491
379,710,1035,655,280,645,491
360,729,1035,715,323,618,491
360,679,1028,747,383,757,491
374,668,963,752,424,746,491
375,590,974,784,477,743,491
375,256,1304,934,481,724,459
375,255,1268,995,481,643,453
318,312,1267,990,483,638,453
318,312,1267,977,476,598,453
318,312,1267,969,476,715,453
151,479,1267,976,465,713,473
380,489,1223,977,455,753,471
352,530,1179,961,438,753,517
352,530,1179,928,493,695,703
352,530,1179,927,338,713,671
338,544,1179,739,402,766,647
333,549,1087,490,471,839,640
333,440,1196,489,522,848,640
333,434,1202,485,547,795,629
406,429,1207,421,547,834,558
409,420,912,416,552,828,403
509,420,871,423,552,810,366
615,425,847,422,561,842,366
592,476,751,422,561,852,365
624,447,771,485,563,852,363
624,446,772,485,573,854,381
680,446,767,565,573,843,381
690,446,767,580,573,811,418
690,446,767,580,647,789,418
690,446,716,628,665,715,496
680,456,659,636,680,651,555
680,379,710,695,675,742,561
826,360,729,697,632,733,563
832,360,679,758,572,594,563
856,374,668,782,539,607,563
855,375,590,776,486,619,565
873,375,256,885,482,629,592
873,375,255,851,520,592,592
893,318,312,927,518,592,624
937,318,312,929,542,616,673
946,318,312,929,569,499,717
946,151,479,947,593,481,695
716,380,489,946,593,440,680
707,352,530,947,593,438,678
826,352,530,924,499,457,501
1158,352,530,906,607,452,492
1221,338,544,993,619,399,432
1252,333,549,1105,666,326,409
1270,333,440,1122,671,317,409
1373,333,434,1128,668,317,409
1403,406,429,1196,668,275,409
1452,409,420,1279,699,275,409
1500,509,420,1278,699,274,409
1412,615,425,1278,689,228,409
1394,592,476,1320,689,218,415
1362,624,447,1292,687,218,433
1362,624,446,1293,677,216,549
1306,680,446,1213,677,216,648
1296,690,446,1198,689,216,612
1296,690,446,1242,680,272,612
1296,690,446,1194,667,356,534
1296,680,456,1186,660,440,475
1296,680,379,1127,680,344,477
1150,826,360,1045,680,344,574
1144,832,360,947,680,344,587
1106,856,374,918,672,346,587
1106,855,375,892,672,365,608
1088,873,375,633,672,402,581
1088,873,375,606,634,419,585
1090,893,318,529,642,419,553
1047,937,318,527,645,395,588
1040,946,318,527,629,411,567
1108,946,151,502,606,411,567
1111,716,380,627,640,411,565
1108,707,352,705,704,433,521
989,826,352,803,721,441,521
657,1158,352,832,595,428,522
610,1221,338,757,502,433,522
580,1252,333,714,386,433,522
667,1270,333,707,336,485,538
588,1373,333,777,314,485,576
546,1403,406,709,314,486,577
497,1452,409,704,278,517,660
389,1500,509,706,278,517,683
367,1412,615,735,278,532,703
411,1394,592,731,319,538,901
430,1362,624,698,319,578,1050
430,1362,624,704,319,578,1017
434,1306,680,712,319,578,985
448,1296,690,712,307,578,1026
534,1296,690,668,247,522,1079
654,1296,690,746,374,515,1118
683,1296,680,904,374,513,1127
690,1296,680,959,354,506,1179
694,1150,826,1014,380,650,1086
748,1144,832,1015,387,650,1073
803,1106,856,1015,387,635,1073
803,1106,855,1015,387,608,1050
815,1088,873,1015,387,562,1072
815,1088,873,1015,391,545,1080
793,1090,893,1015,384,545,1102
792,1047,937,1036,357,545,1026
790,1040,946,1036,346,530,1016
722,1108,946,1039,345,528,1017
746,1111,716,914,311,530,1017
780,1108,707,836,247,525,1049
991,989,826,738,230,500,1091
994,657,1158,709,230,516,1091
978,610,1221,697,230,513,1091
1049,580,1252,628,230,513,1091
1086,667,1270,622,224,461,1075
1304,588,1373,591,224,461,1042
1243,546,1403,601,225,460,1082
1240,497,1452,707,246,429,1059
1200,389,1500,706,258,429,1036
1199,367,1412,704,270,479,1021
1145,411,1394,801,229,518,817
1126,430,1362,914,239,593,650
1126,430,1362,930,239,726,549
1122,434,1306,1066,240,745,482
1108,448,1296,1066,431,746,440
1022,534,1296,1066,444,746,387
902,654,1296,988,339,666,348
873,683,1296,830,427,605,339
866,690,1296,775,433,609,279
884,694,1150,720,417,526,273
830,748,1144,732,446,558,273
775,803,1106,732,446,558,293
775,803,1106,777,446,555,293
763,815,1088,880,446,555,273
776,815,1088,999,442,555,292
835,793,1090,1016,441,568,271
835,792,1047,1042,464,568,271
914,790,1040,1206,486,567,314
1079,722,1108,1294,515,567,313
1071,746,1111,1328,522,565,313
1087,780,1108,1412,674,548,281
920,991,989,1412,674,553,230
917,994,657,1429,675,543,235
917,978,610,1499,687,544,241
846,1049,580,1523,691,550,266
704,1086,667,1519,762,554,266
463,1304,588,1509,822,560,263
513,1243,546,1499,832,560,228
715,1240,497,1315,817,573,168
786,1200,389,1308,805,594,255
812,1199,367,1281,793,529,251
863,1145,411,1146,793,484,251
892,1126,430,1031,783,369,251
1008,1126,430,1008,783,236,251
1018,1122,434,870,782,217,251
1018,1108,448,920,591,216,251
1022,1022,534,955,573,216,290
1055,902,654,992,591,216,362
1231,873,683,992,516,187,396
1254,866,690,1207,510,190,443
1232,884,694,1211,500,129,447
1251,830,748,1219,634,106,447
1251,775,803,1224,717,106,427
1256,775,803,1179,721,162,427
1327,763,815,1076,768,184,425
1358,776,815,976,805,189,394
1299,835,793,972,875,227,393
1306,835,792,954,958,252,385
1233,914,790,831,950,252,329
1068,1079,722,740,1056,252,329
1040,1071,746,706,1104,252,415
989,1087,780,621,977,252,417
945,920,991,621,977,263,453
977,917,994,604,976,265,517
1094,917,978,534,964,318,526
1112,846,1049,510,960,340,512
1112,704,1086,510,889,342,529
1158,463,1304,475,829,336,527
1108,513,1243,475,818,336,523
917,715,1240,475,815,323,523
852,786,1200,475,823,302,436
888,812,1199,475,846,302,435
930,863,1145,475,856,302,435
927,892,1126,475,915,342,435
811,1008,1126,475,922,383,435
801,1018,1122,469,922,383,443
803,1018,1108,419,922,406,472
857,1022,1022,384,922,470,515
825,1055,902,347,877,476,446
696,1231,873,347,906,476,412
673,1254,866,132,906,460,514
685,1232,884,128,906,463,510
674,1251,830,107,736,455,510
674,1251,775,102,653,564,510
669,1256,775,102,682,568,510
598,1327,763,102,635,545,542
716,1358,776,83,598,551,563
724,1299,835,136,528,500,569
730,1306,835,107,520,475,569
747,1233,914,66,517,475,571
747,1068,1079,66,382,475,571
747,1040,1071,66,327,545,523
747,989,1087,90,302,568,538
747,945,920,92,317,559,503
715,977,917,92,317,565,502
598,1094,917,198,317,607,694
579,1112,846,279,427,590,892
579,1112,704,370,432,584,877
532,1158,463,370,432,584,877
532,1108,513,398,432,584,984
