Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
379,857,1022,1022,902,1144,723,873,1091,711
378,825,1055,902,903,1191,721,870,1121,711
331,696,1231,873,903,1160,722,870,1158,727
331,673,1254,866,903,1173,737,721,1157,739
326,685,1232,884,903,1197,734,721,1247,745
321,674,1251,830,951,1247,733,721,1247,756
330,674,1251,775,1112,1385,624,721,1244,767
367,669,1256,775,1159,1384,563,721,1123,739
386,598,1327,763,1177,1384,563,689,1111,711
291,716,1358,776,1183,1487,796,668,1179,646
354,724,1299,835,1123,1512,796,675,1135,634
341,730,1306,835,1195,1428,796,675,956,609
318,747,1233,914,1443,1468,796,673,949,574
330,747,1068,1079,1443,1468,796,707,984,573
345,747,1040,1071,1443,1468,772,669,1005,559
345,747,989,1087,1419,1470,749,710,1022,382
567,747,945,920,1417,1456,740,709,1046,334
653,715,977,917,1417,1456,758,640,1046,461
658,598,1094,917,1311,1456,660,433,1046,461
658,579,1112,846,1261,1346,649,224,1131,465
658,579,1112,704,1204,1341,649,222,1123,488
658,532,1158,463,1278,1341,649,295,1161,504
658,532,1108,513,1250,1341,649,208,1161,517
746,521,917,715,1235,1213,649,299,1120,523
746,515,852,786,1220,1191,556,291,1108,510
824,453,888,812,1237,1288,468,291,1240,474
841,360,930,863,1290,1338,468,291,1240,476
836,392,927,892,1175,941,468,291,1234,476
810,418,811,1008,1213,941,468,291,1230,476
805,423,801,1018,1267,1017,468,305,983,367
846,437,803,1018,1230,1114,468,326,713,367
848,379,857,1022,1122,929,343,326,713,367
848,378,825,1055,1173,898,339,327,683,367
876,331,696,1231,1266,879,338,423,645,351
876,331,673,1254,1383,866,323,423,645,339
869,326,685,1232,1425,842,323,444,555,333
1109,321,674,1251,1448,933,325,444,555,322
1100,330,674,1251,1409,803,326,444,555,311
1063,367,669,1256,1376,782,326,444,555,311
1044,386,598,1327,1399,782,376,444,555,330
977,291,716,1358,1401,681,334,444,458,330
906,354,724,1299,1398,656,392,431,484,330
906,341,730,1306,1374,642,456,484,523,340
1077,318,747,1233,1320,591,505,587,549,408
1153,330,747,1068,1495,591,505,568,537,492
1138,345,747,1040,1529,591,493,606,611,474
1138,345,747,989,1589,608,507,548,594,415
916,567,747,945,1618,624,759,548,570,406
870,653,715,977,1618,625,772,623,570,270
895,658,598,1094,1713,629,848,671,570,270
895,658,579,1112,1689,629,848,695,481,274
900,658,579,1112,1656,629,848,705,481,465
967,658,532,1158,1583,629,848,634,443,449
971,658,532,1108,1591,629,848,614,443,436
883,746,521,917,1593,629,848,523,442,524
883,746,515,852,1588,629,848,523,442,538
805,824,453,888,1560,532,847,523,274,541
808,841,360,930,1472,482,847,523,281,539
765,836,392,927,1428,482,847,525,281,561
766,810,418,811,1304,482,957,661,217,561
832,805,423,801,1307,367,957,715,217,561
820,846,437,803,1382,219,1024,724,232,561
821,848,379,857,1417,219,1024,776,392,561
821,848,378,825,1369,223,1024,775,392,561
793,876,331,696,1313,223,1027,679,392,564
793,876,331,673,1197,223,1076,679,396,569
793,869,326,685,1155,223,1093,681,398,571
622,1109,321,674,1084,82,1091,689,471,571
801,1100,330,674,962,88,1134,689,493,571
854,1063,367,669,992,124,1273,689,493,571
854,1044,386,598,995,124,1657,689,493,547
854,977,291,716,987,122,1456,689,532,557
854,906,354,724,984,122,1398,689,506,598
869,906,341,730,936,134,1334,636,467,605
704,1077,318,747,834,188,1285,533,441,600
690,1153,330,747,659,222,1286,525,417,555
904,1138,345,747,625,501,1252,506,322,593
904,1138,345,747,565,482,1297,506,322,577
904,916,567,747,840,465,1045,506,322,594
864,870,653,715,881,465,1055,454,322,594
879,895,658,598,810,461,1007,406,322,596
879,895,658,579,899,475,1007,382,322,622
874,900,658,579,907,531,1007,499,322,466
828,967,658,532,906,612,1019,497,322,469
877,971,658,532,903,617,1032,567,322,467
880,883,746,521,901,713,1135,654,322,373
880,883,746,515,901,831,1249,682,322,359
888,805,824,453,952,832,1249,682,322,356
869,808,841,360,1009,834,1249,863,315,356
865,765,836,392,1035,1012,1249,900,494,334
864,766,810,418,1035,1021,1139,995,623,334
839,832,805,423,1028,1044,1160,927,623,363
812,820,846,437,963,1062,1093,1010,608,371
809,821,848,379,974,1132,1093,982,448,424
922,821,848,378,1304,1113,1093,982,448,427
922,793,876,331,1268,1113,1092,983,448,464
941,793,876,331,1267,1363,1044,1022,444,542
943,793,869,326,1267,1469,1087,1097,442,544
871,622,1109,321,1267,1553,1087,1112,369,663
692,801,1100,330,1267,1539,1043,1124,347,956
639,854,1063,367,1223,1666,904,1221,356,967
639,854,1044,386,1179,1748,470,1249,506,1206
639,854,977,291,1179,1748,469,1278,473,1196
639,854,906,354,1179,1748,469,1278,473,1155
627,869,906,341,1179,1736,469,1278,473,1138
685,704,1077,318,1087,1682,469,1278,473,1075
687,690,1153,330,1196,1670,468,1271,473,1055
473,904,1138,345,1202,1391,468,1252,473,1043
683,904,1138,345,1207,1391,409,1252,473,1043
741,904,916,567,912,1391,409,1252,482,1024
758,864,870,653,871,1390,354,1229,629,1024
713,879,895,658,847,1390,326,1229,629,1022
713,879,895,658,751,1376,327,1229,629,989
713,874,900,658,771,1320,658,1233,658,1126
707,828,967,658,772,1239,759,1239,658,1123
1057,877,971,658,767,1234,776,1167,658,1123
1283,880,883,746,767,1138,673,1081,658,1123
1283,880,883,746,767,1020,560,1053,658,1123
1275,888,805,824,716,1022,610,1056,658,1123
1274,869,808,841,659,1020,652,875,658,1123
1268,865,765,836,710,867,652,836,479,1123
1268,864,766,810,729,878,652,641,350,1123
1227,839,832,805,679,860,631,641,350,1094
1209,812,820,846,668,842,631,539,350,1086
1209,809,821,848,590,772,631,518,350,1033
1096,922,821,848,256,771,631,537,382,1144
1100,922,793,876,255,771,629,654,388,1112
1081,941,793,876,312,527,628,620,388,1029
1079,943,793,869,312,434,575,562,388,1060
1079,871,622,1109,312,358,575,539,388,1025
1079,692,801,1100,479,358,586,549,390,742
1079,639,854,1063,489,184,596,453,400,731
1079,639,854,1044,530,118,613,427,250,492
1155,639,854,977,530,174,652,456,244,492
1253,639,854,906,530,193,825,456,285,492
1302,627,869,906,544,381,842,456,369,492
1264,685,704,1077,549,630,842,456,399,493
1190,687,690,1153,440,609,842,456,399,474
1257,473,904,1138,434,613,842,509,410,502
1091,683,904,1138,429,677,842,512,481,515
1033,741,904,916,420,682,842,518,627,515
1065,758,864,870,420,682,842,537,517,515
1065,713,879,895,425,683,843,551,517,515
1065,713,879,895,476,683,842,551,518,514
1065,713,874,900,447,683,511,420,491,319
1052,707,828,967,446,683,398,414,491,337
649,1057,877,971,446,683,368,425,491,340
420,1283,880,883,446,683,368,456,491,340
428,1283,880,883,446,683,367,478,491,370
491,1275,888,805,446,680,317,552,491,496
491,1274,869,808,456,680,275,624,491,550
491,1268,865,765,379,655,280,645,491,581
491,1268,864,766,360,715,323,618,491,581
491,1227,839,832,360,747,383,757,491,596
510,1209,812,820,374,752,424,746,491,703
510,1209,809,821,375,784,477,743,491,950
511,1096,922,821,375,934,481,724,459,871
515,1100,922,793,375,995,481,643,453,905
515,1081,941,793,318,990,483,638,453,1257
515,1079,943,793,318,977,476,598,453,1400
679,1079,871,622,318,969,476,715,453,1421
682,1079,692,801,151,976,465,713,473,1411
702,1079,639,854,380,977,455,753,471,1412
760,1079,639,854,352,961,438,753,517,1413
734,1155,639,854,352,928,493,695,703,1416
689,1253,639,854,352,927,338,713,671,1465
637,1302,627,869,338,739,402,766,647,1651
611,1264,685,704,333,490,471,839,640,1702
609,1190,687,690,333,489,522,848,640,1720
542,1257,473,904,333,485,547,795,629,1666
505,1091,683,904,406,421,547,834,558,1716
506,1033,741,904,409,416,552,828,403,1739
457,1065,758,864,509,423,552,810,366,1857
569,1065,713,879,615,422,561,842,366,1886
618,1065,713,879,592,422,561,852,365,2073
668,1065,713,874,624,485,563,852,363,2089
674,1052,707,828,624,485,573,854,381,2072
674,649,1057,877,680,565,573,843,381,2111
674,420,1283,880,690,580,573,811,418,2138
670,428,1283,880,690,580,647,789,418,2154
634,491,1275,888,690,628,665,715,496,2127
634,491,1274,869,680,636,680,651,555,2080
640,491,1268,865,680,695,675,742,561,2049
642,491,1268,864,826,697,632,733,563,2049
648,491,1227,839,832,758,572,594,563,2034
657,510,1209,812,856,782,539,607,563,1984
720,510,1209,809,855,776,486,619,565,1742
729,511,1096,922,873,885,482,629,592,1731
737,515,1100,922,873,851,520,592,592,1697
737,515,1081,941,893,927,518,592,624,1406
737,515,1079,943,937,929,542,616,673,1228
573,679,1079,871,946,929,569,499,717,1123
570,682,1079,692,946,947,593,481,695,1132
550,702,1079,639,716,946,593,440,680,1141
527,760,1079,639,707,947,593,438,678,1144
553,734,1155,639,826,924,499,457,501,1209
508,689,1253,639,1158,906,607,452,492,1188
561,637,1302,627,1221,993,619,399,432,1005
654,611,1264,685,1252,1105,666,326,409,953
778,609,1190,687,1270,1122,671,317,409,935
848,542,1257,473,1373,1128,668,317,409,935
842,505,1091,683,1403,1196,668,275,409,872
841,506,1033,741,1452,1279,699,275,409,849
854,457,1065,758,1500,1278,699,274,409,731
743,569,1065,713,1412,1278,689,228,409,702
694,618,1065,713,1394,1320,689,218,415,515
644,668,1065,713,1362,1292,687,218,433,504
636,674,1052,707,1362,1293,677,216,549,504
641,674,649,1057,1306,1213,677,216,648,469
641,674,420,1283,1296,1198,689,216,612,479
637,670,428,1283,1296,1242,680,272,612,437
637,634,491,1275,1296,1194,667,356,534,338
643,634,491,1274,1296,1186,660,440,475,331
642,640,491,1268,1296,1127,680,344,477,331
661,642,491,1268,1150,1045,680,344,574,387
657,648,491,1227,1144,947,680,344,587,412
630,657,510,1209,1106,918,672,346,587,511
567,720,510,1209,1106,892,672,365,608,509
557,729,511,1096,1088,633,672,402,581,524
541,737,515,1100,1088,606,634,419,585,530
541,737,515,1081,1090,529,642,419,553,572
541,737,515,1079,1047,527,645,395,588,619
541,573,679,1079,1040,527,629,411,567,624
541,570,682,1079,1108,502,606,411,567,758
541,550,702,1079,1111,627,640,411,565,841
520,527,760,1079,1108,705,704,433,521,875
444,553,734,1155,989,803,721,441,521,1048
436,508,689,1253,657,832,595,428,522,1354
383,561,637,1302,610,757,502,433,522,1398
290,654,611,1264,580,714,386,433,522,1532
169,778,609,1190,667,707,336,485,538,1532
99,848,542,1257,588,777,314,485,576,1532
98,842,505,1091,546,709,314,486,577,1532
98,841,506,1033,497,704,278,517,660,1532
85,854,457,1065,389,706,278,517,683,1532
84,743,569,1065,367,735,278,532,703,1532
84,694,618,1065,411,731,319,538,901,1532
84,644,668,1065,430,698,319,578,1050,1527
84,636,674,1052,430,704,319,578,1017,1528
88,641,674,649,434,712,319,578,985,1521
88,641,674,420,448,712,307,578,1026,1493
88,637,670,428,534,668,247,522,1079,1489
81,637,634,491,654,746,374,515,1118,1489
263,643,634,491,683,904,374,513,1127,1489
365,642,640,491,690,959,354,506,1179,1517
356,661,642,491,694,1014,380,650,1086,1506
354,657,648,491,748,1015,387,650,1073,1500
381,630,657,510,803,1015,387,635,1073,1372
750,567,720,510,803,1015,387,608,1050,1371
