Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
547,337,457,850,809,2307,647,575,1184,1363
525,295,469,902,820,2337,437,575,1431,1363
524,296,468,903,800,2432,363,575,1586,1363
524,238,296,1132,739,2431,232,595,1732,1363
524,238,280,1042,705,2560,233,620,1900,1363
525,238,243,1079,665,2721,276,620,1910,1363
522,247,241,1006,640,2685,283,620,1955,1363
522,247,239,1008,657,2553,292,629,2013,1363
531,235,251,947,614,2494,319,656,2096,1363
549,235,251,766,682,2301,465,720,2086,1363
549,235,251,764,711,2250,756,720,2177,1363
550,235,251,726,747,2230,941,720,2124,1293
550,235,251,692,720,2134,1001,720,2111,1150
550,235,251,685,711,2158,1011,720,2111,993
550,220,266,642,712,2120,1011,720,2101,863
550,150,336,642,709,2038,1006,699,2101,786
550,117,369,640,709,1975,1010,611,2101,639
546,86,404,552,808,1969,1052,501,2101,612
546,86,385,569,807,1773,1038,378,2116,594
428,191,398,568,823,1348,1022,339,2103,307
357,249,411,568,853,1256,985,224,2068,297
275,331,411,568,1387,1152,996,194,2068,174
78,530,411,568,1509,1126,1000,172,2068,264
52,561,411,568,1525,1057,1061,172,2068,419
52,561,411,568,1816,1107,1068,172,2008,647
73,561,409,494,1921,1153,1076,171,1840,657
73,559,411,493,1762,1253,1085,162,1747,670
73,537,425,500,1930,1253,1096,162,1737,715
73,537,380,414,2053,1185,1126,162,1462,715
68,542,337,457,2024,1129,1126,162,1349,715
63,547,337,457,1976,951,1126,162,1331,715
63,547,337,457,1983,958,1126,162,1248,715
123,525,295,469,2023,994,1126,162,993,800
124,524,296,468,2022,994,1126,163,838,855
124,524,238,296,2035,968,1126,178,692,855
124,524,238,280,2035,839,1125,172,524,855
123,525,238,243,2036,695,1087,172,527,855
117,522,247,241,2036,674,1031,172,482,858
122,522,247,239,2008,677,1022,163,429,858
113,531,235,251,1997,681,995,187,359,858
121,549,235,251,1967,681,849,137,201,971
124,549,235,251,1992,681,538,223,142,1018
297,550,235,251,1991,626,325,242,142,1101
304,550,235,251,2022,586,257,314,142,1148
308,550,235,251,2019,531,247,314,150,1248
308,550,220,266,2226,531,247,373,175,1453
353,550,150,336,2271,531,244,397,175,1453
378,550,117,369,2320,531,256,406,175,1460
534,546,86,404,2221,531,214,406,175,1460
569,546,86,385,2298,507,223,396,160,1460
723,428,191,398,2325,501,236,389,160,1457
