Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
370,559,423,857,937,515,1380,410,402,283,552
370,559,421,858,925,528,1336,454,423,283,475
349,580,387,828,989,528,1336,454,517,283,471
300,629,373,799,1032,528,1336,454,612,288,471
300,629,364,678,1146,544,1336,446,690,314,471
500,626,367,661,1162,545,1336,315,846,314,500
523,615,378,661,1162,545,1316,335,915,314,373
527,561,432,534,1289,545,1275,323,917,314,311
527,561,432,471,1352,545,1275,322,917,352,289
594,561,421,248,1460,668,1248,349,961,360,228
594,561,417,218,1491,670,1180,418,961,390,198
594,473,408,313,1493,670,931,667,1193,360,190
596,473,343,338,1533,658,882,728,1193,330,275
596,473,335,346,1533,608,896,763,1186,287,276
596,473,303,377,1452,690,896,763,1264,225,267
606,473,283,397,1449,693,896,699,1330,154,228
944,473,283,389,1434,562,1043,706,1330,154,486
977,473,275,395,1355,504,1121,767,1327,144,507
980,459,243,441,1329,511,947,962,1358,144,507
900,539,208,476,1329,478,977,951,1303,186,533
871,585,208,476,1316,491,942,986,1297,186,533
841,639,219,482,1316,478,927,1014,1275,186,632
765,657,299,472,1307,497,907,1034,1196,186,632
805,654,304,471,1292,513,901,1040,1196,179,626
879,647,298,476,1300,424,990,1040,1238,187,627
932,647,297,462,1315,424,964,1066,1262,187,627
1012,646,299,462,1314,425,846,1184,1265,187,627
1012,564,366,477,1166,573,799,1170,1260,218,693
1400,525,404,423,1101,693,555,1373,1238,255,693
1590,499,430,423,1016,778,526,1402,1182,364,693
1646,370,559,423,858,936,518,1397,1258,425,693
1647,370,559,423,857,937,515,1380,1214,425,693
1745,370,559,421,858,925,528,1336,1193,433,693
1764,349,580,387,828,989,528,1336,1099,433,693
1767,300,629,373,799,1032,528,1336,1004,428,693
1803,300,629,364,678,1146,544,1336,926,402,765
1603,500,626,367,661,1162,545,1336,770,402,866
1587,523,615,378,661,1162,545,1316,701,402,871
1658,527,561,432,534,1289,545,1275,700,402,893
1669,527,561,432,471,1352,545,1275,700,364,972
1649,594,561,421,248,1460,668,1248,701,356,1100
1649,594,561,417,218,1491,670,1180,704,435,1106
1649,594,473,408,313,1493,670,931,472,435,1096
1647,596,473,343,338,1533,658,882,754,435,1008
1647,596,473,335,346,1533,608,896,772,488,947
1647,596,473,303,377,1452,690,896,695,488,947
1637,606,473,283,397,1449,693,896,708,528,947
1299,944,473,283,389,1434,562,1043,750,630,940
1296,977,473,275,395,1355,504,1121,748,633,919
1326,980,459,243,441,1329,511,947,717,648,1062
1326,900,539,208,476,1329,478,977,717,611,1073
1309,871,585,208,476,1316,491,942,819,674,1164
1269,841,639,219,482,1316,478,927,822,674,1100
1414,765,657,299,472,1307,497,907,889,711,1129
1372,805,654,304,471,1292,513,901,889,698,1129
1298,879,647,298,476,1300,424,990,857,690,1151
1245,932,647,297,462,1315,424,964,963,726,1151
1164,1012,646,299,462,1314,425,846,960,741,1151
1164,1012,564,366,477,1166,573,799,954,760,1151
902,1400,525,404,423,1101,693,555,970,754,1151
1349,1590,499,430,423,1016,778,526,1165,864,1158
1303,1646,370,559,423,858,936,518,1083,811,1160
1305,1647,370,559,423,857,937,515,1084,1097,1160
1209,1745,370,559,421,858,925,528,1084,1101,1160
1194,1764,349,580,387,828,989,528,1152,1102,1160
1191,1767,300,629,373,799,1032,528,1152,1104,1160
