Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
946,1503,952,1092,620,1971,551,624,1633,512,1049
939,1409,1081,1102,620,1971,405,756,1622,543,1091
948,1355,1073,1062,678,1934,486,756,1600,590,1168
1147,1303,1128,947,793,1703,717,756,1671,633,1240
1391,1297,1134,946,794,1703,717,756,1671,611,1339
1343,1228,1205,993,799,1461,896,769,1691,611,1360
1240,1244,1292,993,799,1434,883,809,1641,628,1391
1221,1164,1391,805,987,1425,667,997,1668,665,1391
1222,1110,1271,979,982,1209,887,940,1615,680,1382
1104,1242,1161,1110,953,1205,920,936,1602,675,1315
1070,1276,1055,1216,953,949,1176,931,1451,635,1184
1056,1290,1050,1221,953,910,1208,938,1158,589,1135
1020,1181,1195,1221,953,898,1211,947,1037,582,1141
898,1251,1247,1211,963,890,1219,944,1006,588,1142
881,1263,1252,1211,963,781,1328,858,1001,592,1169
868,1249,1231,1259,963,745,1364,857,1001,590,1242
871,1247,1226,1263,966,707,1402,857,982,607,1123
851,1271,1235,1079,1150,694,1415,857,865,582,1160
863,1272,1142,1160,1162,694,1415,832,705,490,1229
868,1240,1159,1174,1050,807,1415,811,705,487,1139
954,1227,1172,1147,917,967,1415,789,719,487,1021
1036,1157,1242,1108,800,1123,1415,725,727,486,1021
1124,1046,1354,1108,800,1123,1415,725,719,486,1019
1188,903,1467,1137,802,1123,1412,607,691,486,962
1172,962,1467,1137,802,973,1562,603,510,530,867
1200,918,1550,1147,805,941,1588,609,341,526,823
1205,884,1616,1147,805,924,1596,610,260,473,815
1197,854,1650,1133,723,820,1758,618,199,536,814
1182,869,1643,1138,713,774,1816,585,284,536,785
1182,869,1642,941,910,754,1837,584,293,536,785
1181,870,1483,1098,912,620,1971,568,286,536,772
1051,946,1503,952,1092,620,1971,551,279,536,763
1036,939,1409,1081,1102,620,1971,405,295,505,622
1092,948,1355,1073,1062,678,1934,486,295,458,540
999,1147,1303,1128,947,793,1703,717,219,438,468
839,1391,1297,1134,946,794,1703,717,219,468,369
907,1343,1228,1205,993,799,1461,896,220,519,348
956,1240,1244,1292,993,799,1434,883,248,549,320
985,1221,1164,1391,805,987,1425,667,301,514,320
987,1222,1110,1271,979,982,1209,887,302,466,320
952,1104,1242,1161,1110,953,1205,920,389,466,320
952,1070,1276,1055,1216,953,949,1176,389,467,320
1144,1056,1290,1050,1221,953,910,1208,411,462,320
1147,1020,1181,1195,1221,953,898,1211,433,456,313
1147,898,1251,1247,1211,963,890,1219,443,437,308
1147,881,1263,1252,1211,963,781,1328,511,434,281
1157,868,1249,1231,1259,963,745,1364,582,439,208
1154,871,1247,1226,1263,966,707,1402,584,426,204
1141,851,1271,1235,1079,1150,694,1415,700,457,114
1128,863,1272,1142,1160,1162,694,1415,710,511,18
1123,868,1240,1159,1174,1050,807,1415,710,581,11
1051,954,1227,1172,1147,917,967,1415,696,640,20
980,1036,1157,1242,1108,800,1123,1415,688,720,44
924,1124,1046,1354,1108,800,1123,1415,686,733,44
859,1188,903,1467,1137,802,1123,1412,726,743,40
817,1172,962,1467,1137,802,973,1562,754,696,38
744,1200,918,1550,1147,805,941,1588,754,611,38
707,1205,884,1616,1147,805,924,1596,754,565,38
729,1197,854,1650,1133,723,820,1758,844,494,59
769,1182,869,1643,1138,713,774,1816,807,546,60
769,1182,869,1642,941,910,754,1837,794,604,61
820,1181,870,1483,1098,912,620,1971,934,683,80
897,1051,946,1503,952,1092,620,1971,937,744,281
874,1036,939,1409,1081,1102,620,1971,921,761,322
823,1092,948,1355,1073,1062,678,1934,921,761,364
753,999,1147,1303,1128,947,793,1703,920,745,496
727,839,1391,1297,1134,946,794,1703,938,744,625
670,907,1343,1228,1205,993,799,1461,916,707,625
668,956,1240,1244,1292,993,799,1434,890,694,620
708,985,1221,1164,1391,805,987,1425,797,692,625
758,987,1222,1110,1271,979,982,1209,793,691,626
780,952,1104,1242,1161,1110,953,1205,706,691,628
851,952,1070,1276,1055,1216,953,949,728,690,629
717,1144,1056,1290,1050,1221,953,910,706,690,631
723,1147,1020,1181,1195,1221,953,898,684,690,631
794,1147,898,1251,1247,1211,963,890,675,690,631
819,1147,881,1263,1252,1211,963,781,610,710,631
815,1157,868,1249,1231,1259,963,745,539,710,631
923,1154,871,1247,1226,1263,966,707,537,708,632
1135,1141,851,1271,1235,1079,1150,694,420,705,635
1167,1128,863,1272,1142,1160,1162,694,409,692,635
1219,1123,868,1240,1159,1174,1050,807,410,648,655
1280,1051,954,1227,1172,1147,917,967,485,589,646
1305,980,1036,1157,1242,1108,800,1123,563,525,622
1272,924,1124,1046,1354,1108,800,1123,572,539,627
1285,859,1188,903,1467,1137,802,1123,555,543,629
1404,817,1172,962,1467,1137,802,973,527,636,629
1400,744,1200,918,1550,1147,805,941,655,636,629
1400,707,1205,884,1616,1147,805,924,719,636,629
1378,729,1197,854,1650,1133,723,820,645,636,608
1338,769,1182,869,1643,1138,713,774,598,584,607
1355,769,1182,869,1642,941,910,754,597,533,650
1322,820,1181,870,1483,1098,912,620,493,473,895
1341,897,1051,946,1503,952,1092,620,503,413,809
1375,874,1036,939,1409,1081,1102,620,525,396,800
1426,823,1092,948,1355,1073,1062,678,525,402,892
1424,753,999,1147,1303,1128,947,793,525,462,856
1374,727,839,1391,1297,1134,946,794,507,433,729
1441,670,907,1343,1228,1205,993,799,506,419,782
1452,668,956,1240,1244,1292,993,799,504,381,813
1384,708,985,1221,1164,1391,805,987,565,395,813
1331,758,987,1222,1110,1271,979,982,595,511,815
1309,780,952,1104,1242,1161,1110,953,651,555,813
1336,851,952,1070,1276,1055,1216,953,673,774,815
1330,717,1144,1056,1290,1050,1221,953,710,787,926
1334,723,1147,1020,1181,1195,1221,953,780,787,927
1263,794,1147,898,1251,1247,1211,963,781,787,975
1263,819,1147,881,1263,1252,1211,963,778,767,1042
1267,815,1157,868,1249,1231,1259,963,781,762,1042
1161,923,1154,871,1247,1226,1263,966,781,784,1119
952,1135,1141,851,1271,1235,1079,1150,782,789,1123
920,1167,1128,863,1272,1142,1160,1162,782,773,1123
868,1219,1123,868,1240,1159,1174,1050,860,773,1103
1064,1280,1051,954,1227,1172,1147,917,785,773,1105
1087,1305,980,1036,1157,1242,1108,800,707,757,1114
1117,1272,924,1124,1046,1354,1108,800,698,731,1245
1123,1285,859,1188,903,1467,1137,802,675,712,1385
1057,1404,817,1172,962,1467,1137,802,675,619,1423
1209,1400,744,1200,918,1550,1147,805,561,619,1423
1209,1400,707,1205,884,1616,1147,805,497,619,1423
1209,1378,729,1197,854,1650,1133,723,472,685,1450
1288,1338,769,1182,869,1643,1138,713,468,685,1519
1271,1355,769,1182,869,1642,941,910,518,678,1475
1253,1322,820,1181,870,1483,1098,912,482,661,1211
1157,1341,897,1051,946,1503,952,1092,506,663,1097
1123,1375,874,1036,939,1409,1081,1102,542,668,1069
1058,1426,823,1092,948,1355,1073,1062,546,693,937
1021,1424,753,999,1147,1303,1128,947,551,626,841
1013,1374,727,839,1391,1297,1134,946,551,626,839
929,1441,670,907,1343,1228,1205,993,551,675,786
871,1452,668,956,1240,1244,1292,993,554,681,755
870,1384,708,985,1221,1164,1391,805,579,673,750
870,1331,758,987,1222,1110,1271,979,550,595,747
881,1309,780,952,1104,1242,1161,1110,494,551,747
787,1336,851,952,1070,1276,1055,1216,450,332,744
