Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
776,257,838,786,98,841,506,1033,521,413,557
776,250,743,888,85,854,457,1065,515,433,571
935,247,592,1042,84,743,569,1065,453,444,548
983,247,571,1063,84,694,618,1065,360,479,538
983,247,551,1083,84,644,668,1065,392,638,876
945,290,548,1086,84,636,674,1052,418,724,869
743,492,548,1077,88,641,674,649,423,724,908
662,578,545,1080,88,641,674,420,437,762,959
662,578,477,1148,88,637,670,428,379,902,1144
703,578,466,1139,81,637,634,491,378,903,1191
703,578,466,951,263,643,634,491,331,903,1160
703,578,462,848,365,642,640,491,331,903,1173
703,505,534,837,356,661,642,491,326,903,1197
703,492,547,837,354,657,648,491,321,951,1247
709,448,571,835,381,630,657,510,330,1112,1385
639,471,600,485,750,567,720,510,367,1159,1384
648,451,622,485,750,557,729,511,386,1177,1384
594,479,648,485,750,541,737,515,291,1183,1487
594,473,654,485,750,541,737,515,354,1123,1512
594,473,650,489,750,541,737,515,341,1195,1428
594,473,650,489,750,541,573,679,318,1443,1468
594,473,631,508,750,541,570,682,330,1443,1468
594,473,629,510,750,541,550,702,345,1443,1468
594,473,629,510,736,520,527,760,345,1419,1470
592,475,507,632,736,444,553,734,567,1417,1456
650,475,439,672,764,436,508,689,653,1417,1456
685,475,384,720,771,383,561,637,658,1311,1456
684,476,388,713,778,290,654,611,658,1261,1346
661,540,340,765,775,169,778,609,658,1204,1341
711,683,326,780,775,99,848,542,658,1278,1341
757,721,258,837,786,98,842,505,658,1250,1341
702,776,257,838,786,98,841,506,746,1235,1213
702,776,250,743,888,85,854,457,746,1220,1191
543,935,247,592,1042,84,743,569,824,1237,1288
879,983,247,571,1063,84,694,618,841,1290,1338
879,983,247,551,1083,84,644,668,836,1175,941
874,945,290,548,1086,84,636,674,810,1213,941
874,743,492,548,1077,88,641,674,805,1267,1017
869,662,578,545,1080,88,641,674,846,1230,1114
882,662,578,477,1148,88,637,670,848,1122,929
889,703,578,466,1139,81,637,634,848,1173,898
889,703,578,466,951,263,643,634,876,1266,879
889,703,578,462,848,365,642,640,876,1383,866
889,703,505,534,837,356,661,642,869,1425,842
905,703,492,547,837,354,657,648,1109,1448,933
893,709,448,571,835,381,630,657,1100,1409,803
892,639,471,600,485,750,567,720,1063,1376,782
881,648,451,622,485,750,557,729,1044,1399,782
888,594,479,648,485,750,541,737,977,1401,681
888,594,473,654,485,750,541,737,906,1398,656
888,594,473,650,489,750,541,737,906,1374,642
888,594,473,650,489,750,541,573,1077,1320,591
888,594,473,631,508,750,541,570,1153,1495,591
888,594,473,629,510,750,541,550,1138,1529,591
888,594,473,629,510,736,520,527,1138,1589,608
898,592,475,507,632,736,444,553,916,1618,624
892,650,475,439,672,764,436,508,870,1618,625
896,685,475,384,720,771,383,561,895,1713,629
933,684,476,388,713,778,290,654,895,1689,629
888,661,540,340,765,775,169,778,900,1656,629
694,711,683,326,780,775,99,848,967,1583,629
655,757,721,258,837,786,98,842,971,1591,629
750,702,776,257,838,786,98,841,883,1593,629
750,702,776,250,743,888,85,854,883,1588,629
750,543,935,247,592,1042,84,743,805,1560,532
366,879,983,247,571,1063,84,694,808,1472,482
471,879,983,247,551,1083,84,644,765,1428,482
490,874,945,290,548,1086,84,636,766,1304,482
508,874,743,492,548,1077,88,641,832,1307,367
511,869,662,578,545,1080,88,641,820,1382,219
498,882,662,578,477,1148,88,637,821,1417,219
508,889,703,578,466,1139,81,637,821,1369,223
705,889,703,578,466,951,263,643,793,1313,223
727,889,703,578,462,848,365,642,793,1197,223
727,889,703,505,534,837,356,661,793,1155,223
711,905,703,492,547,837,354,657,622,1084,82
749,893,709,448,571,835,381,630,801,962,88
749,892,639,471,600,485,750,567,854,992,124
754,881,648,451,622,485,750,557,854,995,124
747,888,594,479,648,485,750,541,854,987,122
747,888,594,473,654,485,750,541,854,984,122
747,888,594,473,650,489,750,541,869,936,134
786,888,594,473,650,489,750,541,704,834,188
786,888,594,473,631,508,750,541,690,659,222
786,888,594,473,629,510,750,541,904,625,501
786,888,594,473,629,510,736,520,904,565,482
776,898,592,475,507,632,736,444,904,840,465
743,892,650,475,439,672,764,436,864,881,465
704,896,685,475,384,720,771,383,879,810,461
663,933,684,476,388,713,778,290,879,899,475
832,888,661,540,340,765,775,169,874,907,531
855,694,711,683,326,780,775,99,828,906,612
810,655,757,721,258,837,786,98,877,903,617
935,750,702,776,257,838,786,98,880,901,713
935,750,702,776,250,743,888,85,880,901,831
935,750,543,935,247,592,1042,84,888,952,832
