Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
2057,116,295,458,817,536,1164,364,352,181,342,868,901,1119
2057,167,299,458,817,536,1164,356,360,102,391,898,1010,1106
1690,579,310,458,817,536,1055,435,390,94,399,896,1092,1050
1871,589,336,458,811,542,1055,435,360,124,388,900,1091,1049
1902,564,369,443,770,598,1055,435,330,154,358,928,1086,974
1787,698,311,501,639,729,1002,488,287,197,358,928,1314,919
1792,708,306,505,540,829,1002,488,225,259,358,928,1335,886
1719,784,293,478,579,832,962,528,154,330,358,878,1203,802
1719,784,271,500,440,971,860,630,154,330,355,770,1293,798
1715,788,270,490,401,1021,857,633,144,297,378,708,1287,706
1654,860,269,490,402,1004,859,648,144,297,378,705,1306,692
1464,1055,268,237,656,1004,854,611,186,297,378,705,1325,691
1311,1208,266,239,642,997,812,674,186,297,378,476,1365,709
1217,1302,266,229,651,977,833,674,186,297,378,428,1364,709
911,1608,266,229,633,980,811,711,186,297,370,428,1415,709
860,1659,266,229,633,980,811,698,179,317,370,309,1384,774
852,1671,266,229,633,854,937,690,187,297,388,311,1369,845
897,1669,207,245,676,725,1032,726,187,292,375,309,1359,845
948,1690,126,270,734,710,1032,741,187,292,312,347,1255,840
1015,1719,124,251,753,705,989,760,218,287,297,316,1248,833
1006,1737,124,251,753,700,946,754,255,295,296,321,1166,815
985,1758,124,251,723,728,729,864,364,295,215,351,1026,645
967,1776,124,251,723,714,735,811,425,283,219,359,919,634
964,1779,120,255,723,712,451,1097,425,283,219,359,844,602
973,1779,96,279,698,718,458,1101,433,283,219,339,868,549
973,1778,97,279,663,753,457,1102,433,283,219,339,898,549
968,1783,97,279,599,805,467,1104,428,288,211,337,896,519
925,1826,97,279,458,861,552,1104,402,314,211,337,900,535
941,1841,93,283,458,822,590,1105,402,314,211,337,928,468
904,1872,87,295,458,822,590,1105,402,314,211,337,928,417
903,1883,95,295,458,822,531,1164,402,314,181,367,928,351
708,2057,116,295,458,817,536,1164,364,352,181,342,878,357
653,2057,167,299,458,817,536,1164,356,360,102,391,770,441
597,1690,579,310,458,817,536,1055,435,390,94,399,708,604
380,1871,589,336,458,811,542,1055,435,360,124,388,705,607
341,1902,564,369,443,770,598,1055,435,330,154,358,705,644
323,1787,698,311,501,639,729,1002,488,287,197,358,476,644
308,1792,708,306,505,540,829,1002,488,225,259,358,428,641
303,1719,784,293,478,579,832,962,528,154,330,358,428,641
303,1719,784,271,500,440,971,860,630,154,330,355,309,628
303,1715,788,270,490,401,1021,857,633,144,297,378,311,621
292,1654,860,269,490,402,1004,859,648,144,297,378,309,622
290,1464,1055,268,237,656,1004,854,611,186,297,378,347,622
309,1311,1208,266,239,642,997,812,674,186,297,378,316,601
341,1217,1302,266,229,651,977,833,674,186,297,378,321,620
343,911,1608,266,229,633,980,811,711,186,297,370,351,627
344,860,1659,266,229,633,980,811,698,179,317,370,359,562
357,852,1671,266,229,633,854,937,690,187,297,388,359,517
