Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
475,252,567,528,411,481,713,549,1124,571,432,466
545,252,565,530,411,440,753,453,1221,523,403,498
568,252,548,525,433,438,753,427,1249,538,402,750
559,263,553,500,441,457,695,456,1278,503,402,809
565,265,543,516,428,452,713,456,1278,502,401,818
607,318,544,513,433,399,766,456,1278,694,401,818
590,340,550,513,433,326,839,456,1278,892,405,818
584,342,554,461,485,317,848,456,1271,877,413,818
584,336,560,461,485,317,795,509,1252,877,413,818
584,336,560,460,486,275,834,512,1252,984,410,820
584,323,573,429,517,275,828,518,1252,984,452,820
677,302,594,429,517,274,810,537,1229,992,464,833
766,302,529,479,532,228,842,551,1229,992,500,869
766,302,484,518,538,218,852,551,1229,992,500,841
726,342,369,593,578,218,852,420,1233,992,506,780
685,383,236,726,578,216,854,414,1239,992,574,720
685,383,217,745,578,216,843,425,1167,984,821,827
662,406,216,746,578,216,811,456,1081,955,1091,771
723,470,216,746,522,272,789,478,1053,873,1091,711
721,476,216,666,515,356,715,552,1056,870,1121,711
722,476,187,605,513,440,651,624,875,870,1158,727
737,460,190,609,506,344,742,645,836,721,1157,739
734,463,129,526,650,344,733,618,641,721,1247,745
733,455,106,558,650,344,594,757,641,721,1247,756
624,564,106,558,635,346,607,746,539,721,1244,767
563,568,162,555,608,365,619,743,518,721,1123,739
563,545,184,555,562,402,629,724,537,689,1111,711
796,551,189,555,545,419,592,643,654,668,1179,646
796,500,227,568,545,419,592,638,620,675,1135,634
796,475,252,568,545,395,616,598,562,675,956,609
796,475,252,567,530,411,499,715,539,673,949,574
796,475,252,567,528,411,481,713,549,707,984,573
772,545,252,565,530,411,440,753,453,669,1005,559
749,568,252,548,525,433,438,753,427,710,1022,382
740,559,263,553,500,441,457,695,456,709,1046,334
758,565,265,543,516,428,452,713,456,640,1046,461
660,607,318,544,513,433,399,766,456,433,1046,461
649,590,340,550,513,433,326,839,456,224,1131,465
