Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
1119,1558,605,556,490,747,888,594,479,444,989,803
1106,1538,639,556,490,747,888,594,473,436,657,832
1050,1549,684,455,591,747,888,594,473,383,610,757
1049,1473,761,455,552,786,888,594,473,290,580,714
974,1367,942,381,626,786,888,594,473,169,667,707
919,1388,771,396,816,786,888,594,473,99,588,777
886,1416,740,432,819,786,888,594,473,98,546,709
802,1408,806,458,819,776,898,592,475,98,497,704
798,1425,788,476,800,743,892,650,475,85,389,706
706,1467,845,476,800,704,896,685,475,84,367,735
692,1437,797,568,800,663,933,684,476,84,411,731
691,1438,671,694,631,832,888,661,540,84,430,698
709,1438,628,740,608,855,694,711,683,84,430,704
709,1437,629,740,608,810,655,757,721,88,434,712
709,1427,639,739,389,935,750,702,776,88,448,712
774,1424,642,646,482,935,750,702,776,88,534,668
845,1262,802,648,482,935,750,543,935,81,654,746
845,1107,955,650,482,935,366,879,983,263,683,904
840,1112,955,650,482,830,471,879,983,365,690,959
833,1119,955,650,482,811,490,874,945,356,694,1014
815,1143,955,650,482,793,508,874,743,354,748,1015
645,1316,955,556,576,790,511,869,662,381,803,1015
634,1323,959,556,573,793,498,882,662,750,803,1015
602,1214,1143,558,573,735,508,889,703,750,815,1015
549,1217,1155,600,573,538,705,889,703,750,815,1015
549,1180,1187,605,573,516,727,889,703,750,793,1015
519,1209,1189,605,556,533,727,889,703,750,792,1036
535,1049,1349,605,556,533,711,905,703,750,790,1036
468,1079,1453,605,556,495,749,893,709,750,722,1039
417,1040,1547,605,556,495,749,892,639,750,746,914
351,1127,1547,605,556,490,754,881,648,736,780,836
357,1119,1558,605,556,490,747,888,594,736,991,738
441,1106,1538,639,556,490,747,888,594,764,994,709
604,1050,1549,684,455,591,747,888,594,771,978,697
607,1049,1473,761,455,552,786,888,594,778,1049,628
644,974,1367,942,381,626,786,888,594,775,1086,622
644,919,1388,771,396,816,786,888,594,775,1304,591
641,886,1416,740,432,819,786,888,594,786,1243,601
641,802,1408,806,458,819,776,898,592,786,1240,707
628,798,1425,788,476,800,743,892,650,888,1200,706
621,706,1467,845,476,800,704,896,685,1042,1199,704
622,692,1437,797,568,800,663,933,684,1063,1145,801
622,691,1438,671,694,631,832,888,661,1083,1126,914
601,709,1438,628,740,608,855,694,711,1086,1126,930
620,709,1437,629,740,608,810,655,757,1077,1122,1066
627,709,1427,639,739,389,935,750,702,1080,1108,1066
562,774,1424,642,646,482,935,750,702,1148,1022,1066
517,845,1262,802,648,482,935,750,543,1139,902,988
556,845,1107,955,650,482,935,366,879,951,873,830
556,840,1112,955,650,482,830,471,879,848,866,775
556,833,1119,955,650,482,811,490,874,837,884,720
570,815,1143,955,650,482,793,508,874,837,830,732
574,645,1316,955,556,576,790,511,869,835,775,732
708,634,1323,959,556,573,793,498,882,485,775,777
708,602,1214,1143,558,573,735,508,889,485,763,880
749,549,1217,1155,600,573,538,705,889,485,776,999
778,549,1180,1187,605,573,516,727,889,485,835,1016
