Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
976,999,1015,606,851,995,771,1113,223,879,1160,906,805,189,394,440
972,1016,1015,529,927,990,527,1363,223,866,1173,906,875,227,393,440
954,1042,1036,527,929,977,434,1469,223,842,1197,906,958,252,385,471
831,1206,1036,527,929,969,358,1553,82,933,1247,736,950,252,329,469
740,1294,1039,502,947,976,358,1539,88,803,1385,653,1056,252,329,422
706,1328,914,627,946,977,184,1666,124,782,1384,682,1104,252,415,409
621,1412,836,705,947,961,118,1748,124,782,1384,635,977,252,417,409
621,1412,738,803,924,928,174,1748,122,681,1487,598,977,263,453,409
604,1429,709,832,906,927,193,1748,122,656,1512,528,976,265,517,410
534,1499,697,757,993,739,381,1736,134,642,1428,520,964,318,526,282
510,1523,628,714,1105,490,630,1682,188,591,1468,517,960,340,512,282
510,1519,622,707,1122,489,609,1670,222,591,1468,382,889,342,529,282
475,1509,591,777,1128,485,613,1391,501,591,1468,327,829,336,527,282
475,1499,601,709,1196,421,677,1391,482,608,1470,302,818,336,523,285
475,1315,707,704,1279,416,682,1391,465,624,1456,317,815,323,523,282
475,1308,706,706,1278,423,682,1390,465,625,1456,317,823,302,436,282
475,1281,704,735,1278,422,683,1390,461,629,1456,317,846,302,435,282
475,1146,801,731,1320,422,683,1376,475,629,1346,427,856,302,435,282
475,1031,914,698,1292,485,683,1320,531,629,1341,432,915,342,435,282
475,1008,930,704,1293,485,683,1239,612,629,1341,432,922,383,435,282
469,870,1066,712,1213,565,683,1234,617,629,1341,432,922,383,443,282
419,920,1066,712,1198,580,683,1138,713,629,1213,557,922,406,472,282
384,955,1066,668,1242,580,683,1020,831,629,1191,571,922,470,515,282
347,992,988,746,1194,628,680,1022,832,532,1288,548,877,476,446,282
347,992,830,904,1186,636,680,1020,834,482,1338,538,906,476,412,283
132,1207,775,959,1127,695,655,867,1012,482,941,876,906,460,514,284
128,1211,720,1014,1045,697,715,878,1021,482,941,869,906,463,510,284
107,1219,732,1015,947,758,747,860,1044,367,1017,908,736,455,510,284
