Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
901,848,531,812,1787,468,852,972,289,1119
1010,850,518,825,1784,471,724,1100,228,1106
1092,849,385,959,1784,471,716,1106,198,1050
1091,832,406,959,1761,494,716,1096,190,1049
1086,820,423,959,1761,494,716,1008,275,974
1314,821,394,988,1719,536,716,947,276,919
1335,722,519,989,1658,597,716,947,267,886
1203,754,627,951,1696,597,716,947,228,802
1293,702,708,770,1877,597,462,940,486,798
1287,612,804,718,1921,605,462,919,507,706
1306,559,858,717,1922,605,319,1062,507,692
1325,410,1013,717,1922,522,340,1073,533,691
1365,388,1046,717,1882,433,378,1164,533,709
1364,306,1134,689,1565,777,344,1100,632,709
1415,302,1138,689,1565,777,315,1129,632,709
1384,332,1108,720,1453,885,319,1129,626,774
1369,347,1034,722,1379,1024,299,1151,627,845
1359,377,1034,634,1376,1110,304,1151,627,845
1255,480,1035,634,1261,1225,304,1151,627,840
1248,495,944,727,1249,1237,238,1151,693,833
1166,577,909,762,1249,1237,238,1151,693,815
1026,717,909,762,1249,1237,231,1158,693,645
919,809,924,762,1249,1199,267,1160,693,634
844,883,888,799,1247,1196,272,1160,693,602
868,884,888,730,1206,1302,276,1160,693,549
898,882,890,526,1386,1326,276,1160,693,549
896,883,891,525,1387,1326,276,1160,693,519
900,887,893,512,1212,1474,317,1088,765,535
928,889,893,511,858,1829,317,958,866,468
928,852,930,507,839,1722,447,953,871,417
928,851,915,523,763,1777,468,931,893,351
878,901,848,531,812,1787,468,852,972,357
770,1010,850,518,825,1784,471,724,1100,441
708,1092,849,385,959,1784,471,716,1106,604
705,1091,832,406,959,1761,494,716,1096,607
705,1086,820,423,959,1761,494,716,1008,644
476,1314,821,394,988,1719,536,716,947,644
428,1335,722,519,989,1658,597,716,947,641
428,1203,754,627,951,1696,597,716,947,641
309,1293,702,708,770,1877,597,462,940,628
311,1287,612,804,718,1921,605,462,919,621
309,1306,559,858,717,1922,605,319,1062,622
347,1325,410,1013,717,1922,522,340,1073,622
316,1365,388,1046,717,1882,433,378,1164,601
321,1364,306,1134,689,1565,777,344,1100,620
351,1415,302,1138,689,1565,777,315,1129,627
359,1384,332,1108,720,1453,885,319,1129,562
359,1369,347,1034,722,1379,1024,299,1151,517
339,1359,377,1034,634,1376,1110,304,1151,556
339,1255,480,1035,634,1261,1225,304,1151,556
337,1248,495,944,727,1249,1237,238,1151,556
337,1166,577,909,762,1249,1237,238,1151,570
337,1026,717,909,762,1249,1237,231,1158,574
337,919,809,924,762,1249,1199,267,1160,708
367,844,883,888,799,1247,1196,272,1160,708
342,868,884,888,730,1206,1302,276,1160,749
391,898,882,890,526,1386,1326,276,1160,778
399,896,883,891,525,1387,1326,276,1160,804
388,900,887,893,512,1212,1474,317,1088,982
358,928,889,893,511,858,1829,317,958,935
358,928,852,930,507,839,1722,447,953,931
358,928,851,915,523,763,1777,468,931,910
358,878,901,848,531,812,1787,468,852,901
355,770,1010,850,518,825,1784,471,724,816
378,708,1092,849,385,959,1784,471,716,692
378,705,1091,832,406,959,1761,494,716,689
378,705,1086,820,423,959,1761,494,716,652
378,476,1314,821,394,988,1719,536,716,652
378,428,1335,722,519,989,1658,597,716,652
370,428,1203,754,627,951,1696,597,716,652
370,309,1293,702,708,770,1877,597,462,652
388,311,1287,612,804,718,1921,605,462,652
375,309,1306,559,858,717,1922,605,319,651
312,347,1325,410,1013,717,1922,522,340,651
297,316,1365,388,1046,717,1882,433,378,651
296,321,1364,306,1134,689,1565,777,344,632
215,351,1415,302,1138,689,1565,777,315,625
219,359,1384,332,1108,720,1453,885,319,628
219,359,1369,347,1034,722,1379,1024,299,782
219,339,1359,377,1034,634,1376,1110,304,820
219,339,1255,480,1035,634,1261,1225,304,824
211,337,1248,495,944,727,1249,1237,238,824
211,337,1166,577,909,762,1249,1237,238,804
211,337,1026,717,909,762,1249,1237,231,797
211,337,919,809,924,762,1249,1199,267,790
181,367,844,883,888,799,1247,1196,272,807
181,342,868,884,888,730,1206,1302,276,784
102,391,898,882,890,526,1386,1326,276,816
94,399,896,883,891,525,1387,1326,276,821
124,388,900,887,893,512,1212,1474,317,645
154,358,928,889,893,511,858,1829,317,628
197,358,928,852,930,507,839,1722,447,688
259,358,928,851,915,523,763,1777,468,697
330,358,878,901,848,531,812,1787,468,736
330,355,770,1010,850,518,825,1784,471,739
297,378,708,1092,849,385,959,1784,471,700
297,378,705,1091,832,406,959,1761,494,700
297,378,705,1086,820,423,959,1761,494,725
297,378,476,1314,821,394,988,1719,536,725
297,378,428,1335,722,519,989,1658,597,725
297,370,428,1203,754,627,951,1696,597,725
317,370,309,1293,702,708,770,1877,597,731
297,388,311,1287,612,804,718,1921,605,735
292,375,309,1306,559,858,717,1922,605,735
292,312,347,1325,410,1013,717,1922,522,735
287,297,316,1365,388,1046,717,1882,433,735
295,296,321,1364,306,1134,689,1565,777,735
295,215,351,1415,302,1138,689,1565,777,735
283,219,359,1384,332,1108,720,1453,885,732
283,219,359,1369,347,1034,722,1379,1024,552
283,219,339,1359,377,1034,634,1376,1110,475
283,219,339,1255,480,1035,634,1261,1225,471
288,211,337,1248,495,944,727,1249,1237,471
314,211,337,1166,577,909,762,1249,1237,471
314,211,337,1026,717,909,762,1249,1237,500
314,211,337,919,809,924,762,1249,1199,373
314,181,367,844,883,888,799,1247,1196,311
352,181,342,868,884,888,730,1206,1302,289
360,102,391,898,882,890,526,1386,1326,228
390,94,399,896,883,891,525,1387,1326,198
360,124,388,900,887,893,512,1212,1474,190
330,154,358,928,889,893,511,858,1829,275
287,197,358,928,852,930,507,839,1722,276
225,259,358,928,851,915,523,763,1777,267
154,330,358,878,901,848,531,812,1787,228
154,330,355,770,1010,850,518,825,1784,486
144,297,378,708,1092,849,385,959,1784,507
144,297,378,705,1091,832,406,959,1761,507
186,297,378,705,1086,820,423,959,1761,533
186,297,378,476,1314,821,394,988,1719,533
186,297,378,428,1335,722,519,989,1658,632
186,297,370,428,1203,754,627,951,1696,632
179,317,370,309,1293,702,708,770,1877,626
187,297,388,311,1287,612,804,718,1921,627
187,292,375,309,1306,559,858,717,1922,627
187,292,312,347,1325,410,1013,717,1922,627
218,287,297,316,1365,388,1046,717,1882,693
255,295,296,321,1364,306,1134,689,1565,693
364,295,215,351,1415,302,1138,689,1565,693
425,283,219,359,1384,332,1108,720,1453,693
425,283,219,359,1369,347,1034,722,1379,693
433,283,219,339,1359,377,1034,634,1376,693
433,283,219,339,1255,480,1035,634,1261,693
428,288,211,337,1248,495,944,727,1249,693
402,314,211,337,1166,577,909,762,1249,765
402,314,211,337,1026,717,909,762,1249,866
402,314,211,337,919,809,924,762,1249,871
402,314,181,367,844,883,888,799,1247,893
364,352,181,342,868,884,888,730,1206,972
356,360,102,391,898,882,890,526,1386,1100
435,390,94,399,896,883,891,525,1387,1106
435,360,124,388,900,887,893,512,1212,1096
435,330,154,358,928,889,893,511,858,1008
488,287,197,358,928,852,930,507,839,947
488,225,259,358,928,851,915,523,763,947
528,154,330,358,878,901,848,531,812,947
630,154,330,355,770,1010,850,518,825,940
633,144,297,378,708,1092,849,385,959,919
648,144,297,378,705,1091,832,406,959,1062
