Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
521,501,703,244,473,532,458,1179,326,1048
522,492,671,285,473,506,484,1135,370,1354
522,432,647,369,473,467,523,956,518,1398
522,409,640,399,473,441,549,949,525,1532
538,409,640,399,473,417,537,984,432,1532
576,409,629,410,473,322,611,1005,403,1532
577,409,558,481,473,322,594,1022,402,1532
660,409,403,627,482,322,570,1046,402,1532
683,409,366,517,629,322,570,1046,401,1532
703,409,366,517,629,322,570,1046,401,1532
901,415,365,518,629,322,481,1131,405,1532
1050,433,363,491,658,322,481,1123,413,1527
1017,549,381,491,658,322,443,1161,413,1528
985,648,381,491,658,322,443,1161,410,1521
1026,612,418,491,658,322,442,1120,452,1493
1079,612,418,491,658,322,442,1108,464,1489
1118,534,496,491,658,322,274,1240,500,1489
1127,475,555,491,658,315,281,1240,500,1489
1179,477,561,491,479,494,281,1234,506,1517
1086,574,563,491,350,623,217,1230,574,1506
1073,587,563,491,350,623,217,983,821,1500
1073,587,563,491,350,608,232,713,1091,1372
1050,608,565,491,350,448,392,713,1091,1371
1072,581,592,459,382,448,392,683,1121,1332
1080,585,592,453,388,448,392,645,1158,1318
1102,553,624,453,388,444,396,645,1157,1241
1026,588,673,453,388,442,398,555,1247,1213
1016,567,717,453,388,369,471,555,1247,1279
1017,567,695,473,390,347,493,555,1244,1151
1017,565,680,471,400,356,493,555,1123,1058
1049,521,678,517,250,506,493,555,1111,1020
1091,521,501,703,244,473,532,458,1179,782
1091,522,492,671,285,473,506,484,1135,550
1091,522,432,647,369,473,467,523,956,564
1091,522,409,640,399,473,441,549,949,437
1075,538,409,640,399,473,417,537,984,438
1042,576,409,629,410,473,322,611,1005,438
1082,577,409,558,481,473,322,594,1022,443
1059,660,409,403,627,482,322,570,1046,445
1036,683,409,366,517,629,322,570,1046,445
1021,703,409,366,517,629,322,570,1046,445
817,901,415,365,518,629,322,481,1131,445
650,1050,433,363,491,658,322,481,1123,445
549,1017,549,381,491,658,322,443,1161,443
482,985,648,381,491,658,322,443,1161,443
440,1026,612,418,491,658,322,442,1120,434
387,1079,612,418,491,658,322,442,1108,434
