Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
377,1452,690,896,763,357,1375,1206,700,903
397,1449,693,896,699,421,1374,1207,700,708
389,1434,562,1043,706,397,1398,1162,701,653
395,1355,504,1121,767,396,1399,1159,704,597
441,1329,511,947,962,396,1399,1159,472,380
476,1329,478,977,951,407,1402,877,754,341
476,1316,491,942,986,296,1392,980,772,323
482,1316,478,927,1014,290,1339,1038,695,308
472,1307,497,907,1034,287,1340,961,708,303
471,1292,513,901,1040,287,1197,1062,750,303
476,1300,424,990,1040,281,1194,1071,748,303
462,1315,424,964,1066,281,1191,1074,717,292
462,1314,425,846,1184,281,1106,1159,717,290
477,1166,573,799,1170,342,906,1215,819,309
423,1101,693,555,1373,383,610,1508,822,341
423,1016,778,526,1402,383,459,1592,889,343
423,858,936,518,1397,390,443,1614,889,344
423,857,937,515,1380,410,438,1609,857,357
421,858,925,528,1336,454,437,1480,963,357
387,828,989,528,1336,454,437,1480,960,283
373,799,1032,528,1336,454,437,1479,954,187
364,678,1146,544,1336,446,445,1462,970,178
367,661,1162,545,1336,315,551,1281,1165,181
378,661,1162,545,1316,335,551,1247,1083,186
432,534,1289,545,1275,323,604,1246,1084,192
432,471,1352,545,1275,322,605,1246,1084,183
421,248,1460,668,1248,349,608,1178,1152,183
417,218,1491,670,1180,418,608,1178,1152,183
408,313,1493,670,931,667,426,1360,1152,183
343,338,1533,658,882,728,394,1392,1152,154
335,346,1533,608,896,763,395,1390,1154,155
303,377,1452,690,896,763,357,1375,1206,174
283,397,1449,693,896,699,421,1374,1207,202
283,389,1434,562,1043,706,397,1398,1162,202
275,395,1355,504,1121,767,396,1399,1159,221
243,441,1329,511,947,962,396,1399,1159,221
208,476,1329,478,977,951,407,1402,877,221
208,476,1316,491,942,986,296,1392,980,224
219,482,1316,478,927,1014,290,1339,1038,226
299,472,1307,497,907,1034,287,1340,961,226
304,471,1292,513,901,1040,287,1197,1062,226
298,476,1300,424,990,1040,281,1194,1071,227
297,462,1315,424,964,1066,281,1191,1074,227
299,462,1314,425,846,1184,281,1106,1159,224
366,477,1166,573,799,1170,342,906,1215,221
404,423,1101,693,555,1373,383,610,1508,272
430,423,1016,778,526,1402,383,459,1592,271
559,423,858,936,518,1397,390,443,1614,270
559,423,857,937,515,1380,410,438,1609,253
559,421,858,925,528,1336,454,437,1480,208
580,387,828,989,528,1336,454,437,1480,208
629,373,799,1032,528,1336,454,437,1479,208
629,364,678,1146,544,1336,446,445,1462,208
626,367,661,1162,545,1336,315,551,1281,205
615,378,661,1162,545,1316,335,551,1247,200
561,432,534,1289,545,1275,323,604,1246,194
561,432,471,1352,545,1275,322,605,1246,194
561,421,248,1460,668,1248,349,608,1178,194
561,417,218,1491,670,1180,418,608,1178,194
473,408,313,1493,670,931,667,426,1360,194
