Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
286,773,692,511,490,382,1939,594,1164,430
260,773,648,581,487,384,1940,594,1164,430
260,773,589,640,487,384,1940,594,1164,448
260,757,525,720,486,385,1939,595,1164,454
259,731,539,733,486,385,1883,651,1086,369
293,712,543,743,486,390,1661,873,1056,460
293,619,636,696,530,393,1347,1187,1055,430
316,619,636,611,526,482,1181,1353,975,431
316,619,636,565,473,516,1182,1417,975,553
250,685,636,494,536,523,1139,1445,991,526
285,685,584,546,536,523,765,1765,1045,513
396,678,533,604,536,513,683,1795,1107,513
443,661,473,683,536,512,624,1853,1109,513
487,663,413,744,536,512,415,2031,1140,512
488,668,396,761,505,543,316,2130,1140,512
517,693,402,761,458,590,296,2088,1200,620
540,626,462,745,438,633,274,2086,1041,620
540,626,433,744,468,611,293,2089,930,628
491,675,419,707,519,611,293,2089,924,628
485,681,381,694,549,628,291,2008,968,644
492,673,395,692,514,665,291,2008,968,676
822,595,511,691,466,680,281,2038,918,680
822,551,555,691,466,675,255,2069,913,732
822,332,774,690,467,635,279,2017,958,756
822,319,787,690,462,589,330,1971,976,771
814,327,787,690,456,582,343,1965,981,775
773,368,787,690,437,588,355,1966,621,776
770,369,767,710,434,592,311,1940,665,776
779,367,762,710,439,590,295,1956,573,776
813,343,784,708,426,607,265,1986,562,776
812,311,789,705,457,582,290,1955,578,776
812,286,773,692,511,490,382,1939,594,776
812,260,773,648,581,487,384,1940,594,776
812,260,773,589,640,487,384,1940,594,764
930,260,757,525,720,486,385,1939,595,749
1024,259,731,539,733,486,385,1883,651,716
991,293,712,543,743,486,390,1661,873,485
1016,293,619,636,696,530,393,1347,1187,477
1053,316,619,636,611,526,482,1181,1353,514
1053,316,619,636,565,473,516,1182,1417,410
1053,250,685,636,494,536,523,1139,1445,410
1018,285,685,584,546,536,523,765,1765,354
907,396,678,533,604,536,513,683,1795,354
858,443,661,473,683,536,512,624,1853,354
1022,487,663,413,744,536,512,415,2031,354
1062,488,668,396,761,505,543,316,2130,410
1003,517,693,402,761,458,590,296,2088,301
980,540,626,462,745,438,633,274,2086,314
980,540,626,433,744,468,611,293,2089,339
980,491,675,419,707,519,611,293,2089,356
1190,485,681,381,694,549,628,291,2008,360
1177,492,673,395,692,514,665,291,2008,424
809,822,595,511,691,466,680,281,2038,421
824,822,551,555,691,466,675,255,2069,391
824,822,332,774,690,467,635,279,2017,454
824,822,319,787,690,462,589,330,1971,543
824,814,327,787,690,456,582,343,1965,540
824,773,368,787,690,437,588,355,1966,539
824,770,369,767,710,434,592,311,1940,539
826,779,367,762,710,439,590,295,1956,539
792,813,343,784,708,426,607,265,1986,539
792,812,311,789,705,457,582,290,1955,552
792,812,286,773,692,511,490,382,1939,552
792,812,260,773,648,581,487,384,1940,552
792,812,260,773,589,640,487,384,1940,544
674,930,260,757,525,720,486,385,1939,544
580,1024,259,731,539,733,486,385,1883,526
579,991,293,712,543,743,486,390,1661,587
554,1016,293,619,636,696,530,393,1347,587
494,1053,316,619,636,611,526,482,1181,549
494,1053,316,619,636,565,473,516,1182,560
494,1053,250,685,636,494,536,523,1139,603
510,1018,285,685,584,546,536,523,765,604
523,907,396,678,533,604,536,513,683,605
561,858,443,661,473,683,536,512,624,605
354,1022,487,663,413,744,536,512,415,605
323,1062,488,668,396,761,505,543,316,545
332,1003,517,693,402,761,458,590,296,544
392,980,540,626,462,745,438,633,274,531
400,980,540,626,433,744,468,611,293,498
400,980,491,675,419,707,519,611,293,481
190,1190,485,681,381,694,549,628,291,461
190,1177,492,673,395,692,514,665,291,365
265,809,822,595,511,691,466,680,281,364
254,824,822,551,555,691,466,675,255,342
326,824,822,332,774,690,467,635,279,255
326,824,822,319,787,690,462,589,330,151
384,824,814,327,787,690,456,582,343,150
384,824,773,368,787,690,437,588,355,150
384,824,770,369,767,710,434,592,311,150
373,826,779,367,762,710,439,590,295,228
373,792,813,343,784,708,426,607,265,258
373,792,812,311,789,705,457,582,290,246
373,792,812,286,773,692,511,490,382,326
406,792,812,260,773,648,581,487,384,326
730,792,812,260,773,589,640,487,384,326
731,674,930,260,757,525,720,486,385,326
731,580,1024,259,731,539,733,486,385,326
731,579,991,293,712,543,743,486,390,263
731,554,1016,293,619,636,696,530,393,263
731,494,1053,316,619,636,611,526,482,263
731,494,1053,316,619,636,565,473,516,236
731,494,1053,250,685,636,494,536,523,376
715,510,1018,285,685,584,546,536,523,486
702,523,907,396,678,533,604,536,513,491
664,561,858,443,661,473,683,536,512,534
660,354,1022,487,663,413,744,536,512,534
645,323,1062,488,668,396,761,505,543,598
635,332,1003,517,693,402,761,458,590,603
575,392,980,540,626,462,745,438,633,626
567,400,980,540,626,433,744,468,611,654
567,400,980,491,675,419,707,519,611,655
567,190,1190,485,681,381,694,549,628,1015
567,190,1177,492,673,395,692,514,665,1042
492,265,809,822,595,511,691,466,680,1138
567,254,824,822,551,555,691,466,675,1149
495,326,824,822,332,774,690,467,635,1164
546,326,824,822,319,787,690,462,589,1164
488,384,824,814,327,787,690,456,582,1164
489,384,824,773,368,787,690,437,588,1164
532,384,824,770,369,767,710,434,592,1164
579,373,826,779,367,762,710,439,590,1086
621,373,792,813,343,784,708,426,607,1056
647,373,792,812,311,789,705,457,582,1055
648,373,792,812,286,773,692,511,490,975
630,406,792,812,260,773,648,581,487,975
368,730,792,812,260,773,589,640,487,991
380,731,674,930,260,757,525,720,486,1045
411,731,580,1024,259,731,539,733,486,1107
554,731,579,991,293,712,543,743,486,1109
688,731,554,1016,293,619,636,696,530,1140
705,731,494,1053,316,619,636,611,526,1140
813,731,494,1053,316,619,636,565,473,1200
838,731,494,1053,250,685,636,494,536,1041
898,715,510,1018,285,685,584,546,536,930
899,702,523,907,396,678,533,604,536,924
899,664,561,858,443,661,473,683,536,968
899,660,354,1022,487,663,413,744,536,968
933,645,323,1062,488,668,396,761,505,918
