Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
2057,116,295,458,817,536,1164,364,352,901
2057,167,299,458,817,536,1164,356,360,1010
1690,579,310,458,817,536,1055,435,390,1092
1871,589,336,458,811,542,1055,435,360,1091
1902,564,369,443,770,598,1055,435,330,1086
1787,698,311,501,639,729,1002,488,287,1314
1792,708,306,505,540,829,1002,488,225,1335
1719,784,293,478,579,832,962,528,154,1203
1719,784,271,500,440,971,860,630,154,1293
1715,788,270,490,401,1021,857,633,144,1287
1654,860,269,490,402,1004,859,648,144,1306
1464,1055,268,237,656,1004,854,611,186,1325
1311,1208,266,239,642,997,812,674,186,1365
1217,1302,266,229,651,977,833,674,186,1364
911,1608,266,229,633,980,811,711,186,1415
860,1659,266,229,633,980,811,698,179,1384
852,1671,266,229,633,854,937,690,187,1369
897,1669,207,245,676,725,1032,726,187,1359
948,1690,126,270,734,710,1032,741,187,1255
1015,1719,124,251,753,705,989,760,218,1248
1006,1737,124,251,753,700,946,754,255,1166
985,1758,124,251,723,728,729,864,364,1026
967,1776,124,251,723,714,735,811,425,919
964,1779,120,255,723,712,451,1097,425,844
973,1779,96,279,698,718,458,1101,433,868
973,1778,97,279,663,753,457,1102,433,898
968,1783,97,279,599,805,467,1104,428,896
925,1826,97,279,458,861,552,1104,402,900
941,1841,93,283,458,822,590,1105,402,928
904,1872,87,295,458,822,590,1105,402,928
903,1883,95,295,458,822,531,1164,402,928
708,2057,116,295,458,817,536,1164,364,878
653,2057,167,299,458,817,536,1164,356,770
597,1690,579,310,458,817,536,1055,435,708
380,1871,589,336,458,811,542,1055,435,705
341,1902,564,369,443,770,598,1055,435,705
323,1787,698,311,501,639,729,1002,488,476
308,1792,708,306,505,540,829,1002,488,428
303,1719,784,293,478,579,832,962,528,428
303,1719,784,271,500,440,971,860,630,309
303,1715,788,270,490,401,1021,857,633,311
292,1654,860,269,490,402,1004,859,648,309
290,1464,1055,268,237,656,1004,854,611,347
309,1311,1208,266,239,642,997,812,674,316
341,1217,1302,266,229,651,977,833,674,321
343,911,1608,266,229,633,980,811,711,351
344,860,1659,266,229,633,980,811,698,359
357,852,1671,266,229,633,854,937,690,359
357,897,1669,207,245,676,725,1032,726,339
283,948,1690,126,270,734,710,1032,741,339
187,1015,1719,124,251,753,705,989,760,337
178,1006,1737,124,251,753,700,946,754,337
181,985,1758,124,251,723,728,729,864,337
186,967,1776,124,251,723,714,735,811,337
192,964,1779,120,255,723,712,451,1097,367
183,973,1779,96,279,698,718,458,1101,342
183,973,1778,97,279,663,753,457,1102,391
183,968,1783,97,279,599,805,467,1104,399
183,925,1826,97,279,458,861,552,1104,388
154,941,1841,93,283,458,822,590,1105,358
