Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
803,924,928,174,1748,122,681,1487,598,721
832,906,927,193,1748,122,656,1512,528,595
757,993,739,381,1736,134,642,1428,520,502
714,1105,490,630,1682,188,591,1468,517,386
707,1122,489,609,1670,222,591,1468,382,336
777,1128,485,613,1391,501,591,1468,327,314
709,1196,421,677,1391,482,608,1470,302,314
704,1279,416,682,1391,465,624,1456,317,278
706,1278,423,682,1390,465,625,1456,317,278
735,1278,422,683,1390,461,629,1456,317,278
731,1320,422,683,1376,475,629,1346,427,319
698,1292,485,683,1320,531,629,1341,432,319
704,1293,485,683,1239,612,629,1341,432,319
712,1213,565,683,1234,617,629,1341,432,319
712,1198,580,683,1138,713,629,1213,557,307
668,1242,580,683,1020,831,629,1191,571,247
746,1194,628,680,1022,832,532,1288,548,374
904,1186,636,680,1020,834,482,1338,538,374
959,1127,695,655,867,1012,482,941,876,354
1014,1045,697,715,878,1021,482,941,869,380
1015,947,758,747,860,1044,367,1017,908,387
1015,918,782,752,842,1062,219,1114,959,387
1015,892,776,784,772,1132,219,929,1144,387
1015,633,885,934,771,1113,223,898,1191,387
1015,606,851,995,771,1113,223,879,1160,391
1015,529,927,990,527,1363,223,866,1173,384
1036,527,929,977,434,1469,223,842,1197,357
1036,527,929,969,358,1553,82,933,1247,346
1039,502,947,976,358,1539,88,803,1385,345
914,627,946,977,184,1666,124,782,1384,311
836,705,947,961,118,1748,124,782,1384,247
738,803,924,928,174,1748,122,681,1487,230
709,832,906,927,193,1748,122,656,1512,230
697,757,993,739,381,1736,134,642,1428,230
628,714,1105,490,630,1682,188,591,1468,230
622,707,1122,489,609,1670,222,591,1468,224
591,777,1128,485,613,1391,501,591,1468,224
601,709,1196,421,677,1391,482,608,1470,225
707,704,1279,416,682,1391,465,624,1456,246
706,706,1278,423,682,1390,465,625,1456,258
704,735,1278,422,683,1390,461,629,1456,270
801,731,1320,422,683,1376,475,629,1346,229
914,698,1292,485,683,1320,531,629,1341,239
930,704,1293,485,683,1239,612,629,1341,239
1066,712,1213,565,683,1234,617,629,1341,240
1066,712,1198,580,683,1138,713,629,1213,431
1066,668,1242,580,683,1020,831,629,1191,444
988,746,1194,628,680,1022,832,532,1288,339
830,904,1186,636,680,1020,834,482,1338,427
775,959,1127,695,655,867,1012,482,941,433
720,1014,1045,697,715,878,1021,482,941,417
732,1015,947,758,747,860,1044,367,1017,446
732,1015,918,782,752,842,1062,219,1114,446
777,1015,892,776,784,772,1132,219,929,446
880,1015,633,885,934,771,1113,223,898,446
999,1015,606,851,995,771,1113,223,879,442
1016,1015,529,927,990,527,1363,223,866,441
1042,1036,527,929,977,434,1469,223,842,464
1206,1036,527,929,969,358,1553,82,933,486
1294,1039,502,947,976,358,1539,88,803,515
1328,914,627,946,977,184,1666,124,782,522
1412,836,705,947,961,118,1748,124,782,674
1412,738,803,924,928,174,1748,122,681,674
1429,709,832,906,927,193,1748,122,656,675
