Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
1119,1558,605,556,490,747,888,594,479,444
1106,1538,639,556,490,747,888,594,473,436
1050,1549,684,455,591,747,888,594,473,383
1049,1473,761,455,552,786,888,594,473,290
974,1367,942,381,626,786,888,594,473,169
919,1388,771,396,816,786,888,594,473,99
886,1416,740,432,819,786,888,594,473,98
802,1408,806,458,819,776,898,592,475,98
798,1425,788,476,800,743,892,650,475,85
706,1467,845,476,800,704,896,685,475,84
692,1437,797,568,800,663,933,684,476,84
691,1438,671,694,631,832,888,661,540,84
709,1438,628,740,608,855,694,711,683,84
709,1437,629,740,608,810,655,757,721,88
709,1427,639,739,389,935,750,702,776,88
774,1424,642,646,482,935,750,702,776,88
845,1262,802,648,482,935,750,543,935,81
845,1107,955,650,482,935,366,879,983,263
840,1112,955,650,482,830,471,879,983,365
833,1119,955,650,482,811,490,874,945,356
815,1143,955,650,482,793,508,874,743,354
645,1316,955,556,576,790,511,869,662,381
634,1323,959,556,573,793,498,882,662,750
602,1214,1143,558,573,735,508,889,703,750
549,1217,1155,600,573,538,705,889,703,750
549,1180,1187,605,573,516,727,889,703,750
519,1209,1189,605,556,533,727,889,703,750
535,1049,1349,605,556,533,711,905,703,750
468,1079,1453,605,556,495,749,893,709,750
417,1040,1547,605,556,495,749,892,639,750
351,1127,1547,605,556,490,754,881,648,736
357,1119,1558,605,556,490,747,888,594,736
441,1106,1538,639,556,490,747,888,594,764
604,1050,1549,684,455,591,747,888,594,771
607,1049,1473,761,455,552,786,888,594,778
644,974,1367,942,381,626,786,888,594,775
644,919,1388,771,396,816,786,888,594,775
641,886,1416,740,432,819,786,888,594,786
641,802,1408,806,458,819,776,898,592,786
628,798,1425,788,476,800,743,892,650,888
621,706,1467,845,476,800,704,896,685,1042
622,692,1437,797,568,800,663,933,684,1063
622,691,1438,671,694,631,832,888,661,1083
601,709,1438,628,740,608,855,694,711,1086
620,709,1437,629,740,608,810,655,757,1077
627,709,1427,639,739,389,935,750,702,1080
562,774,1424,642,646,482,935,750,702,1148
517,845,1262,802,648,482,935,750,543,1139
556,845,1107,955,650,482,935,366,879,951
556,840,1112,955,650,482,830,471,879,848
556,833,1119,955,650,482,811,490,874,837
570,815,1143,955,650,482,793,508,874,837
574,645,1316,955,556,576,790,511,869,835
708,634,1323,959,556,573,793,498,882,485
708,602,1214,1143,558,573,735,508,889,485
749,549,1217,1155,600,573,538,705,889,485
778,549,1180,1187,605,573,516,727,889,485
804,519,1209,1189,605,556,533,727,889,489
982,535,1049,1349,605,556,533,711,905,489
935,468,1079,1453,605,556,495,749,893,508
931,417,1040,1547,605,556,495,749,892,510
910,351,1127,1547,605,556,490,754,881,510
901,357,1119,1558,605,556,490,747,888,632
816,441,1106,1538,639,556,490,747,888,672
692,604,1050,1549,684,455,591,747,888,720
689,607,1049,1473,761,455,552,786,888,713
652,644,974,1367,942,381,626,786,888,765
652,644,919,1388,771,396,816,786,888,780
652,641,886,1416,740,432,819,786,888,837
652,641,802,1408,806,458,819,776,898,838
652,628,798,1425,788,476,800,743,892,743
652,621,706,1467,845,476,800,704,896,592
651,622,692,1437,797,568,800,663,933,571
651,622,691,1438,671,694,631,832,888,551
651,601,709,1438,628,740,608,855,694,548
632,620,709,1437,629,740,608,810,655,548
625,627,709,1427,639,739,389,935,750,545
628,562,774,1424,642,646,482,935,750,477
782,517,845,1262,802,648,482,935,750,466
820,556,845,1107,955,650,482,935,366,466
824,556,840,1112,955,650,482,830,471,462
824,556,833,1119,955,650,482,811,490,534
804,570,815,1143,955,650,482,793,508,547
797,574,645,1316,955,556,576,790,511,571
790,708,634,1323,959,556,573,793,498,600
807,708,602,1214,1143,558,573,735,508,622
784,749,549,1217,1155,600,573,538,705,648
816,778,549,1180,1187,605,573,516,727,654
821,804,519,1209,1189,605,556,533,727,650
645,982,535,1049,1349,605,556,533,711,650
628,935,468,1079,1453,605,556,495,749,631
688,931,417,1040,1547,605,556,495,749,629
697,910,351,1127,1547,605,556,490,754,629
736,901,357,1119,1558,605,556,490,747,507
739,816,441,1106,1538,639,556,490,747,439
700,692,604,1050,1549,684,455,591,747,384
700,689,607,1049,1473,761,455,552,786,388
725,652,644,974,1367,942,381,626,786,340
725,652,644,919,1388,771,396,816,786,326
725,652,641,886,1416,740,432,819,786,258
725,652,641,802,1408,806,458,819,776,257
731,652,628,798,1425,788,476,800,743,250
735,652,621,706,1467,845,476,800,704,247
735,651,622,692,1437,797,568,800,663,247
735,651,622,691,1438,671,694,631,832,247
735,651,601,709,1438,628,740,608,855,290
735,632,620,709,1437,629,740,608,810,492
735,625,627,709,1427,639,739,389,935,578
732,628,562,774,1424,642,646,482,935,578
552,782,517,845,1262,802,648,482,935,578
475,820,556,845,1107,955,650,482,935,578
471,824,556,840,1112,955,650,482,830,578
471,824,556,833,1119,955,650,482,811,505
471,804,570,815,1143,955,650,482,793,492
500,797,574,645,1316,955,556,576,790,448
373,790,708,634,1323,959,556,573,793,471
311,807,708,602,1214,1143,558,573,735,451
289,784,749,549,1217,1155,600,573,538,479
228,816,778,549,1180,1187,605,573,516,473
198,821,804,519,1209,1189,605,556,533,473
190,645,982,535,1049,1349,605,556,533,473
275,628,935,468,1079,1453,605,556,495,473
276,688,931,417,1040,1547,605,556,495,473
267,697,910,351,1127,1547,605,556,490,473
228,736,901,357,1119,1558,605,556,490,475
486,739,816,441,1106,1538,639,556,490,475
507,700,692,604,1050,1549,684,455,591,475
507,700,689,607,1049,1473,761,455,552,476
533,725,652,644,974,1367,942,381,626,540
533,725,652,644,919,1388,771,396,816,683
632,725,652,641,886,1416,740,432,819,721
632,725,652,641,802,1408,806,458,819,776
626,731,652,628,798,1425,788,476,800,776
627,735,652,621,706,1467,845,476,800,935
627,735,651,622,692,1437,797,568,800,983
