Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
2057,116,295,458,817,536,1164,364,352,901,1119,444,989,803
2057,167,299,458,817,536,1164,356,360,1010,1106,436,657,832
1690,579,310,458,817,536,1055,435,390,1092,1050,383,610,757
1871,589,336,458,811,542,1055,435,360,1091,1049,290,580,714
1902,564,369,443,770,598,1055,435,330,1086,974,169,667,707
1787,698,311,501,639,729,1002,488,287,1314,919,99,588,777
1792,708,306,505,540,829,1002,488,225,1335,886,98,546,709
1719,784,293,478,579,832,962,528,154,1203,802,98,497,704
1719,784,271,500,440,971,860,630,154,1293,798,85,389,706
1715,788,270,490,401,1021,857,633,144,1287,706,84,367,735
1654,860,269,490,402,1004,859,648,144,1306,692,84,411,731
1464,1055,268,237,656,1004,854,611,186,1325,691,84,430,698
1311,1208,266,239,642,997,812,674,186,1365,709,84,430,704
1217,1302,266,229,651,977,833,674,186,1364,709,88,434,712
911,1608,266,229,633,980,811,711,186,1415,709,88,448,712
860,1659,266,229,633,980,811,698,179,1384,774,88,534,668
852,1671,266,229,633,854,937,690,187,1369,845,81,654,746
897,1669,207,245,676,725,1032,726,187,1359,845,263,683,904
948,1690,126,270,734,710,1032,741,187,1255,840,365,690,959
1015,1719,124,251,753,705,989,760,218,1248,833,356,694,1014
1006,1737,124,251,753,700,946,754,255,1166,815,354,748,1015
985,1758,124,251,723,728,729,864,364,1026,645,381,803,1015
967,1776,124,251,723,714,735,811,425,919,634,750,803,1015
964,1779,120,255,723,712,451,1097,425,844,602,750,815,1015
973,1779,96,279,698,718,458,1101,433,868,549,750,815,1015
973,1778,97,279,663,753,457,1102,433,898,549,750,793,1015
968,1783,97,279,599,805,467,1104,428,896,519,750,792,1036
925,1826,97,279,458,861,552,1104,402,900,535,750,790,1036
941,1841,93,283,458,822,590,1105,402,928,468,750,722,1039
904,1872,87,295,458,822,590,1105,402,928,417,750,746,914
903,1883,95,295,458,822,531,1164,402,928,351,736,780,836
708,2057,116,295,458,817,536,1164,364,878,357,736,991,738
653,2057,167,299,458,817,536,1164,356,770,441,764,994,709
597,1690,579,310,458,817,536,1055,435,708,604,771,978,697
380,1871,589,336,458,811,542,1055,435,705,607,778,1049,628
341,1902,564,369,443,770,598,1055,435,705,644,775,1086,622
323,1787,698,311,501,639,729,1002,488,476,644,775,1304,591
308,1792,708,306,505,540,829,1002,488,428,641,786,1243,601
303,1719,784,293,478,579,832,962,528,428,641,786,1240,707
303,1719,784,271,500,440,971,860,630,309,628,888,1200,706
303,1715,788,270,490,401,1021,857,633,311,621,1042,1199,704
292,1654,860,269,490,402,1004,859,648,309,622,1063,1145,801
290,1464,1055,268,237,656,1004,854,611,347,622,1083,1126,914
