Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
247,592,1042,84,743,569,1065,713,879,888,475,846,302,435
247,571,1063,84,694,618,1065,713,879,930,475,856,302,435
247,551,1083,84,644,668,1065,713,874,927,475,915,342,435
290,548,1086,84,636,674,1052,707,828,811,475,922,383,435
492,548,1077,88,641,674,649,1057,877,801,469,922,383,443
578,545,1080,88,641,674,420,1283,880,803,419,922,406,472
578,477,1148,88,637,670,428,1283,880,857,384,922,470,515
578,466,1139,81,637,634,491,1275,888,825,347,877,476,446
578,466,951,263,643,634,491,1274,869,696,347,906,476,412
578,462,848,365,642,640,491,1268,865,673,132,906,460,514
505,534,837,356,661,642,491,1268,864,685,128,906,463,510
492,547,837,354,657,648,491,1227,839,674,107,736,455,510
448,571,835,381,630,657,510,1209,812,674,102,653,564,510
471,600,485,750,567,720,510,1209,809,669,102,682,568,510
451,622,485,750,557,729,511,1096,922,598,102,635,545,542
479,648,485,750,541,737,515,1100,922,716,83,598,551,563
473,654,485,750,541,737,515,1081,941,724,136,528,500,569
473,650,489,750,541,737,515,1079,943,730,107,520,475,569
473,650,489,750,541,573,679,1079,871,747,66,517,475,571
473,631,508,750,541,570,682,1079,692,747,66,382,475,571
473,629,510,750,541,550,702,1079,639,747,66,327,545,523
473,629,510,736,520,527,760,1079,639,747,90,302,568,538
475,507,632,736,444,553,734,1155,639,747,92,317,559,503
475,439,672,764,436,508,689,1253,639,715,92,317,565,502
475,384,720,771,383,561,637,1302,627,598,198,317,607,694
476,388,713,778,290,654,611,1264,685,579,279,427,590,892
540,340,765,775,169,778,609,1190,687,579,370,432,584,877
683,326,780,775,99,848,542,1257,473,532,370,432,584,877
721,258,837,786,98,842,505,1091,683,532,398,432,584,984
776,257,838,786,98,841,506,1033,741,521,413,557,584,984
776,250,743,888,85,854,457,1065,758,515,433,571,677,992
935,247,592,1042,84,743,569,1065,713,453,444,548,766,992
983,247,571,1063,84,694,618,1065,713,360,479,538,766,992
983,247,551,1083,84,644,668,1065,713,392,638,876,726,992
945,290,548,1086,84,636,674,1052,707,418,724,869,685,992
743,492,548,1077,88,641,674,649,1057,423,724,908,685,984
662,578,545,1080,88,641,674,420,1283,437,762,959,662,955
662,578,477,1148,88,637,670,428,1283,379,902,1144,723,873
703,578,466,1139,81,637,634,491,1275,378,903,1191,721,870
703,578,466,951,263,643,634,491,1274,331,903,1160,722,870
703,578,462,848,365,642,640,491,1268,331,903,1173,737,721
703,505,534,837,356,661,642,491,1268,326,903,1197,734,721
703,492,547,837,354,657,648,491,1227,321,951,1247,733,721
709,448,571,835,381,630,657,510,1209,330,1112,1385,624,721
639,471,600,485,750,567,720,510,1209,367,1159,1384,563,721
648,451,622,485,750,557,729,511,1096,386,1177,1384,563,689
594,479,648,485,750,541,737,515,1100,291,1183,1487,796,668
594,473,654,485,750,541,737,515,1081,354,1123,1512,796,675
594,473,650,489,750,541,737,515,1079,341,1195,1428,796,675
594,473,650,489,750,541,573,679,1079,318,1443,1468,796,673
594,473,631,508,750,541,570,682,1079,330,1443,1468,796,707
594,473,629,510,750,541,550,702,1079,345,1443,1468,772,669
594,473,629,510,736,520,527,760,1079,345,1419,1470,749,710
592,475,507,632,736,444,553,734,1155,567,1417,1456,740,709
650,475,439,672,764,436,508,689,1253,653,1417,1456,758,640
685,475,384,720,771,383,561,637,1302,658,1311,1456,660,433
684,476,388,713,778,290,654,611,1264,658,1261,1346,649,224
661,540,340,765,775,169,778,609,1190,658,1204,1341,649,222
711,683,326,780,775,99,848,542,1257,658,1278,1341,649,295
757,721,258,837,786,98,842,505,1091,658,1250,1341,649,208
702,776,257,838,786,98,841,506,1033,746,1235,1213,649,299
702,776,250,743,888,85,854,457,1065,746,1220,1191,556,291
543,935,247,592,1042,84,743,569,1065,824,1237,1288,468,291
879,983,247,571,1063,84,694,618,1065,841,1290,1338,468,291
879,983,247,551,1083,84,644,668,1065,836,1175,941,468,291
874,945,290,548,1086,84,636,674,1052,810,1213,941,468,291
874,743,492,548,1077,88,641,674,649,805,1267,1017,468,305
869,662,578,545,1080,88,641,674,420,846,1230,1114,468,326
882,662,578,477,1148,88,637,670,428,848,1122,929,343,326
889,703,578,466,1139,81,637,634,491,848,1173,898,339,327
889,703,578,466,951,263,643,634,491,876,1266,879,338,423
889,703,578,462,848,365,642,640,491,876,1383,866,323,423
889,703,505,534,837,356,661,642,491,869,1425,842,323,444
905,703,492,547,837,354,657,648,491,1109,1448,933,325,444
893,709,448,571,835,381,630,657,510,1100,1409,803,326,444
892,639,471,600,485,750,567,720,510,1063,1376,782,326,444
881,648,451,622,485,750,557,729,511,1044,1399,782,376,444
888,594,479,648,485,750,541,737,515,977,1401,681,334,444
888,594,473,654,485,750,541,737,515,906,1398,656,392,431
888,594,473,650,489,750,541,737,515,906,1374,642,456,484
888,594,473,650,489,750,541,573,679,1077,1320,591,505,587
888,594,473,631,508,750,541,570,682,1153,1495,591,505,568
888,594,473,629,510,750,541,550,702,1138,1529,591,493,606
888,594,473,629,510,736,520,527,760,1138,1589,608,507,548
898,592,475,507,632,736,444,553,734,916,1618,624,759,548
892,650,475,439,672,764,436,508,689,870,1618,625,772,623
896,685,475,384,720,771,383,561,637,895,1713,629,848,671
933,684,476,388,713,778,290,654,611,895,1689,629,848,695
888,661,540,340,765,775,169,778,609,900,1656,629,848,705
694,711,683,326,780,775,99,848,542,967,1583,629,848,634
655,757,721,258,837,786,98,842,505,971,1591,629,848,614
750,702,776,257,838,786,98,841,506,883,1593,629,848,523
750,702,776,250,743,888,85,854,457,883,1588,629,848,523
750,543,935,247,592,1042,84,743,569,805,1560,532,847,523
366,879,983,247,571,1063,84,694,618,808,1472,482,847,523
471,879,983,247,551,1083,84,644,668,765,1428,482,847,525
490,874,945,290,548,1086,84,636,674,766,1304,482,957,661
508,874,743,492,548,1077,88,641,674,832,1307,367,957,715
511,869,662,578,545,1080,88,641,674,820,1382,219,1024,724
498,882,662,578,477,1148,88,637,670,821,1417,219,1024,776
508,889,703,578,466,1139,81,637,634,821,1369,223,1024,775
705,889,703,578,466,951,263,643,634,793,1313,223,1027,679
727,889,703,578,462,848,365,642,640,793,1197,223,1076,679
727,889,703,505,534,837,356,661,642,793,1155,223,1093,681
711,905,703,492,547,837,354,657,648,622,1084,82,1091,689
749,893,709,448,571,835,381,630,657,801,962,88,1134,689
749,892,639,471,600,485,750,567,720,854,992,124,1273,689
754,881,648,451,622,485,750,557,729,854,995,124,1657,689
747,888,594,479,648,485,750,541,737,854,987,122,1456,689
747,888,594,473,654,485,750,541,737,854,984,122,1398,689
747,888,594,473,650,489,750,541,737,869,936,134,1334,636
786,888,594,473,650,489,750,541,573,704,834,188,1285,533
786,888,594,473,631,508,750,541,570,690,659,222,1286,525
786,888,594,473,629,510,750,541,550,904,625,501,1252,506
786,888,594,473,629,510,736,520,527,904,565,482,1297,506
776,898,592,475,507,632,736,444,553,904,840,465,1045,506
743,892,650,475,439,672,764,436,508,864,881,465,1055,454
704,896,685,475,384,720,771,383,561,879,810,461,1007,406
663,933,684,476,388,713,778,290,654,879,899,475,1007,382
832,888,661,540,340,765,775,169,778,874,907,531,1007,499
855,694,711,683,326,780,775,99,848,828,906,612,1019,497
810,655,757,721,258,837,786,98,842,877,903,617,1032,567
935,750,702,776,257,838,786,98,841,880,901,713,1135,654
935,750,702,776,250,743,888,85,854,880,901,831,1249,682
935,750,543,935,247,592,1042,84,743,888,952,832,1249,682
935,366,879,983,247,571,1063,84,694,869,1009,834,1249,863
830,471,879,983,247,551,1083,84,644,865,1035,1012,1249,900
811,490,874,945,290,548,1086,84,636,864,1035,1021,1139,995
793,508,874,743,492,548,1077,88,641,839,1028,1044,1160,927
790,511,869,662,578,545,1080,88,641,812,963,1062,1093,1010
793,498,882,662,578,477,1148,88,637,809,974,1132,1093,982
735,508,889,703,578,466,1139,81,637,922,1304,1113,1093,982
538,705,889,703,578,466,951,263,643,922,1268,1113,1092,983
516,727,889,703,578,462,848,365,642,941,1267,1363,1044,1022
533,727,889,703,505,534,837,356,661,943,1267,1469,1087,1097
533,711,905,703,492,547,837,354,657,871,1267,1553,1087,1112
495,749,893,709,448,571,835,381,630,692,1267,1539,1043,1124
495,749,892,639,471,600,485,750,567,639,1223,1666,904,1221
490,754,881,648,451,622,485,750,557,639,1179,1748,470,1249
490,747,888,594,479,648,485,750,541,639,1179,1748,469,1278
490,747,888,594,473,654,485,750,541,639,1179,1748,469,1278
591,747,888,594,473,650,489,750,541,627,1179,1736,469,1278
552,786,888,594,473,650,489,750,541,685,1087,1682,469,1278
626,786,888,594,473,631,508,750,541,687,1196,1670,468,1271
816,786,888,594,473,629,510,750,541,473,1202,1391,468,1252
819,786,888,594,473,629,510,736,520,683,1207,1391,409,1252
819,776,898,592,475,507,632,736,444,741,912,1391,409,1252
800,743,892,650,475,439,672,764,436,758,871,1390,354,1229
800,704,896,685,475,384,720,771,383,713,847,1390,326,1229
800,663,933,684,476,388,713,778,290,713,751,1376,327,1229
631,832,888,661,540,340,765,775,169,713,771,1320,658,1233
608,855,694,711,683,326,780,775,99,707,772,1239,759,1239
608,810,655,757,721,258,837,786,98,1057,767,1234,776,1167
389,935,750,702,776,257,838,786,98,1283,767,1138,673,1081
482,935,750,702,776,250,743,888,85,1283,767,1020,560,1053
482,935,750,543,935,247,592,1042,84,1275,716,1022,610,1056
482,935,366,879,983,247,571,1063,84,1274,659,1020,652,875
482,830,471,879,983,247,551,1083,84,1268,710,867,652,836
482,811,490,874,945,290,548,1086,84,1268,729,878,652,641
482,793,508,874,743,492,548,1077,88,1227,679,860,631,641
576,790,511,869,662,578,545,1080,88,1209,668,842,631,539
573,793,498,882,662,578,477,1148,88,1209,590,772,631,518
573,735,508,889,703,578,466,1139,81,1096,256,771,631,537
573,538,705,889,703,578,466,951,263,1100,255,771,629,654
573,516,727,889,703,578,462,848,365,1081,312,527,628,620
556,533,727,889,703,505,534,837,356,1079,312,434,575,562
556,533,711,905,703,492,547,837,354,1079,312,358,575,539
556,495,749,893,709,448,571,835,381,1079,479,358,586,549
