Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
444,553,734,989,803,721,441,521,1048,582,946
436,508,689,657,832,595,428,522,1354,569,939
383,561,637,610,757,502,433,522,1398,558,948
290,654,611,580,714,386,433,522,1532,514,1147
169,778,609,667,707,336,485,538,1532,472,1391
99,848,542,588,777,314,485,576,1532,472,1343
98,842,505,546,709,314,486,577,1532,472,1240
98,841,506,497,704,278,517,660,1532,472,1221
85,854,457,389,706,278,517,683,1532,472,1222
84,743,569,367,735,278,532,703,1532,472,1104
84,694,618,411,731,319,538,901,1532,472,1070
84,644,668,430,698,319,578,1050,1527,472,1056
84,636,674,430,704,319,578,1017,1528,472,1020
88,641,674,434,712,319,578,985,1521,472,898
88,641,674,448,712,307,578,1026,1493,507,881
88,637,670,534,668,247,522,1079,1489,517,868
81,637,634,654,746,374,515,1118,1489,517,871
263,643,634,683,904,374,513,1127,1489,517,851
365,642,640,690,959,354,506,1179,1517,563,863
356,661,642,694,1014,380,650,1086,1506,586,868
354,657,648,748,1015,387,650,1073,1500,573,954
381,630,657,803,1015,387,635,1073,1372,572,1036
750,567,720,803,1015,387,608,1050,1371,650,1124
750,557,729,815,1015,387,562,1072,1332,701,1188
750,541,737,815,1015,391,545,1080,1318,650,1172
750,541,737,793,1015,384,545,1102,1241,767,1200
750,541,737,792,1036,357,545,1026,1213,777,1205
750,541,573,790,1036,346,530,1016,1279,642,1197
750,541,570,722,1039,345,528,1017,1151,487,1182
750,541,550,746,914,311,530,1017,1058,487,1182
736,520,527,780,836,247,525,1049,1020,490,1181
736,444,553,991,738,230,500,1091,782,491,1051
764,436,508,994,709,230,516,1091,550,491,1036
771,383,561,978,697,230,513,1091,564,491,1092
778,290,654,1049,628,230,513,1091,437,495,999
775,169,778,1086,622,224,461,1075,438,541,839
775,99,848,1304,591,224,461,1042,438,546,907
786,98,842,1243,601,225,460,1082,443,592,956
786,98,841,1240,707,246,429,1059,445,607,985
888,85,854,1200,706,258,429,1036,445,870,987
1042,84,743,1199,704,270,479,1021,445,925,952
1063,84,694,1145,801,229,518,817,445,980,952
1083,84,644,1126,914,239,593,650,445,1012,1144
1086,84,636,1126,930,239,726,549,443,1212,1147
1077,88,641,1122,1066,240,745,482,443,1216,1147
1080,88,641,1108,1066,431,746,440,434,1181,1147
1148,88,637,1022,1066,444,746,387,434,1171,1157
1139,81,637,902,988,339,666,348,434,1171,1154
951,263,643,873,830,427,605,339,434,1211,1141
848,365,642,866,775,433,609,279,406,1275,1128
837,356,661,884,720,417,526,273,361,1382,1123
837,354,657,830,732,446,558,273,342,1380,1051
835,381,630,775,732,446,558,293,314,1419,980
485,750,567,775,777,446,555,293,312,1435,924
485,750,557,763,880,446,555,273,312,1402,859
485,750,541,776,999,442,555,292,312,1469,817
485,750,541,835,1016,441,568,271,286,1491,744
489,750,541,835,1042,464,568,271,267,1457,707
489,750,541,914,1206,486,567,314,198,1448,729
508,750,541,1079,1294,515,567,313,324,1448,769
510,750,541,1071,1328,522,565,313,366,1448,769
510,736,520,1087,1412,674,548,281,367,1445,820
632,736,444,920,1412,674,553,230,364,1444,897
672,764,436,917,1429,675,543,235,262,1444,874
720,771,383,917,1499,687,544,241,329,1469,823
713,778,290,846,1523,691,550,266,322,1479,753
765,775,169,704,1519,762,554,266,321,1433,727
780,775,99,463,1509,822,560,263,321,1428,670
837,786,98,513,1499,832,560,228,316,1382,668
838,786,98,715,1315,817,573,168,317,1367,708
743,888,85,786,1308,805,594,255,317,1105,758
592,1042,84,812,1281,793,529,251,317,1050,780
571,1063,84,863,1146,793,484,251,317,1091,851
551,1083,84,892,1031,783,369,251,317,1059,717
548,1086,84,1008,1008,783,236,251,317,859,723
548,1077,88,1018,870,782,217,251,317,855,794
545,1080,88,1018,920,591,216,251,317,1089,819
477,1148,88,1022,955,573,216,290,317,1246,815
466,1139,81,1055,992,591,216,362,317,1349,923
466,951,263,1231,992,516,187,396,317,1368,1135
462,848,365,1254,1207,510,190,443,317,1260,1167
534,837,356,1232,1211,500,129,447,317,1130,1219
547,837,354,1251,1219,634,106,447,317,1130,1280
571,835,381,1251,1224,717,106,427,402,1080,1305
600,485,750,1256,1179,721,162,427,438,986,1272
622,485,750,1327,1076,768,184,425,438,960,1285
648,485,750,1358,976,805,189,394,440,857,1404
654,485,750,1299,972,875,227,393,440,718,1400
650,489,750,1306,954,958,252,385,471,694,1400
650,489,750,1233,831,950,252,329,469,693,1378
631,508,750,1068,740,1056,252,329,422,693,1338
629,510,750,1040,706,1104,252,415,409,693,1355
629,510,736,989,621,977,252,417,409,693,1322
507,632,736,945,621,977,263,453,409,693,1341
439,672,764,977,604,976,265,517,410,693,1375
384,720,771,1094,534,964,318,526,282,668,1426
388,713,778,1112,510,960,340,512,282,654,1424
340,765,775,1112,510,889,342,529,282,654,1374
326,780,775,1158,475,829,336,527,282,654,1441
258,837,786,1108,475,818,336,523,285,654,1452
257,838,786,917,475,815,323,523,282,654,1384
250,743,888,852,475,823,302,436,282,653,1331
247,592,1042,888,475,846,302,435,282,653,1309
247,571,1063,930,475,856,302,435,282,585,1336
247,551,1083,927,475,915,342,435,282,646,1330
290,548,1086,811,475,922,383,435,282,706,1334
492,548,1077,801,469,922,383,443,282,708,1263
578,545,1080,803,419,922,406,472,282,530,1263
578,477,1148,857,384,922,470,515,282,433,1267
578,466,1139,825,347,877,476,446,282,330,1161
578,466,951,696,347,906,476,412,283,271,952
578,462,848,673,132,906,460,514,284,267,920
505,534,837,685,128,906,463,510,284,267,868
492,547,837,674,107,736,455,510,284,267,1064
448,571,835,674,102,653,564,510,202,267,1087
471,600,485,669,102,682,568,510,287,295,1117
451,622,485,598,102,635,545,542,299,328,1123
479,648,485,716,83,598,551,563,326,393,1057
473,654,485,724,136,528,500,569,370,405,1209
473,650,489,730,107,520,475,569,518,430,1209
473,650,489,747,66,517,475,571,525,465,1209
473,631,508,747,66,382,475,571,432,466,1288
473,629,510,747,66,327,545,523,403,498,1271
473,629,510,747,90,302,568,538,402,750,1253
475,507,632,747,92,317,559,503,402,809,1157
475,439,672,715,92,317,565,502,401,818,1123
475,384,720,598,198,317,607,694,401,818,1058
476,388,713,579,279,427,590,892,405,818,1021
540,340,765,579,370,432,584,877,413,818,1013
