Average Fitness 	  Best Individual
8.835369510347353E8	 6.5578980090092
1.1568859370157874E8	 6.5578980090092
86018.65768686458	 6.160284133090806
238698.02866996313	 5.752608126135644
80123.95308533772	 5.636950766975295
440.35550004275933	 5.636950766975295
46.804809747697114	 5.58532304241272
190.8063533006537	 5.479700771298234
19.976710937380147	 5.479700771298234
105.01765517538405	 4.842441211614064
31441.211479563226	 4.842441211614064
72.23937537001135	 4.842441211614064
31432.85657830523	 4.842441211614064
99.19932469896548	 4.842441211614064
61.87153905802792	 4.842441211614064
268.0031006907465	 4.842441211614064
62766.747634771076	 4.8274729098333955
276.56643003214646	 4.826769722776074
18946.099002584448	 4.826769722776074
31438.244189316036	 3.980062387678832
134868.6533251181	 3.980062387678832
17.605607894998467	 3.980062387678832
68820.86307838239	 3.80368918897778
120021.7780285397	 3.80368918897778
43789.60136879367	 3.80368918897778
26175.60781296906	 3.7692689101301178
157614.54292650046	 3.733582755186331
10980.9290895154	 3.494464662361888
144387.82621016464	 3.4943351995670415
1744.0051722555952	 3.2337558882551636
106683.83312740731	 3.2337558882551636
335928.3850516295	 3.213539167695871
201403.2200056732	 3.213539167695871
198161.64362975556	 3.2098108577207762
218965.27337242436	 3.1263078301622858
230425.09638234103	 3.1263078301622858
154141.05609837276	 3.070235661108707
284145.982403258	 3.070235661108707
231969.5594287679	 2.8667463347753905
314579.5603610562	 2.8664493907099744
345479.75765586674	 2.759255918361481
227235.22695930046	 2.6401531773341222
238367.84349412523	 2.5965155529878183
217135.12353993612	 2.5965155529878183
155950.23802110882	 2.5807924908590607
274540.0421151575	 2.5807924908590607
158906.2611423583	 2.554667684871725
228987.45900316414	 2.538289375287251
219060.5078824315	 2.5186818335591705
381645.4822495216	 2.5090013046101554
