Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
5.932245e+00,7.280697e+00,6.536692e+00,6.805723e+00,6.833032e+00,5.860786e+00,6.601230e+00,6.659294e+00
5.983936e+00,7.278629e+00,6.541030e+00,6.562444e+00,6.777647e+00,5.877736e+00,6.601230e+00,6.898715e+00
5.963579e+00,7.268223e+00,6.331502e+00,6.481577e+00,6.646391e+00,6.089045e+00,6.638568e+00,6.901737e+00
5.978886e+00,7.211557e+00,6.222576e+00,6.391917e+00,6.562444e+00,6.403574e+00,6.647688e+00,6.885510e+00
6.089045e+00,7.192182e+00,6.236370e+00,5.940171e+00,6.558198e+00,6.408529e+00,6.656727e+00,6.955593e+00
6.165418e+00,7.192182e+00,6.169611e+00,5.831882e+00,6.558198e+00,6.467699e+00,6.652863e+00,6.990257e+00
6.165418e+00,7.182352e+00,6.196444e+00,5.777652e+00,6.165418e+00,6.467699e+00,6.652863e+00,7.173192e+00
6.177944e+00,7.182352e+00,6.169611e+00,5.730100e+00,6.059123e+00,6.463029e+00,6.666957e+00,7.125283e+00
6.156979e+00,7.175490e+00,6.208590e+00,5.713733e+00,6.059123e+00,6.463029e+00,6.666957e+00,7.122867e+00
6.154858e+00,7.163947e+00,6.240276e+00,5.713733e+00,5.733341e+00,6.442540e+00,6.788972e+00,7.090077e+00
6.165418e+00,7.170120e+00,6.049733e+00,5.713733e+00,5.739793e+00,6.431331e+00,6.948897e+00,7.089243e+00
6.135565e+00,7.181592e+00,6.049733e+00,5.676754e+00,5.733341e+00,6.432940e+00,6.968850e+00,7.043160e+00
6.135565e+00,7.180831e+00,6.052089e+00,5.669881e+00,5.849325e+00,6.432940e+00,6.987490e+00,7.026427e+00
6.167516e+00,7.061334e+00,6.350886e+00,5.733341e+00,5.755742e+00,6.398595e+00,6.990257e+00,7.026427e+00
6.047372e+00,7.003974e+00,6.541030e+00,5.831882e+00,5.771441e+00,6.429719e+00,6.981935e+00,7.022868e+00
