Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
2057,116,295,458,817,536,1164,901,1119,444,989,803,721,441
2057,167,299,458,817,536,1164,1010,1106,436,657,832,595,428
1690,579,310,458,817,536,1055,1092,1050,383,610,757,502,433
1871,589,336,458,811,542,1055,1091,1049,290,580,714,386,433
1902,564,369,443,770,598,1055,1086,974,169,667,707,336,485
1787,698,311,501,639,729,1002,1314,919,99,588,777,314,485
1792,708,306,505,540,829,1002,1335,886,98,546,709,314,486
1719,784,293,478,579,832,962,1203,802,98,497,704,278,517
1719,784,271,500,440,971,860,1293,798,85,389,706,278,517
1715,788,270,490,401,1021,857,1287,706,84,367,735,278,532
1654,860,269,490,402,1004,859,1306,692,84,411,731,319,538
1464,1055,268,237,656,1004,854,1325,691,84,430,698,319,578
1311,1208,266,239,642,997,812,1365,709,84,430,704,319,578
1217,1302,266,229,651,977,833,1364,709,88,434,712,319,578
911,1608,266,229,633,980,811,1415,709,88,448,712,307,578
860,1659,266,229,633,980,811,1384,774,88,534,668,247,522
852,1671,266,229,633,854,937,1369,845,81,654,746,374,515
897,1669,207,245,676,725,1032,1359,845,263,683,904,374,513
948,1690,126,270,734,710,1032,1255,840,365,690,959,354,506
1015,1719,124,251,753,705,989,1248,833,356,694,1014,380,650
1006,1737,124,251,753,700,946,1166,815,354,748,1015,387,650
985,1758,124,251,723,728,729,1026,645,381,803,1015,387,635
967,1776,124,251,723,714,735,919,634,750,803,1015,387,608
964,1779,120,255,723,712,451,844,602,750,815,1015,387,562
973,1779,96,279,698,718,458,868,549,750,815,1015,391,545
973,1778,97,279,663,753,457,898,549,750,793,1015,384,545
968,1783,97,279,599,805,467,896,519,750,792,1036,357,545
925,1826,97,279,458,861,552,900,535,750,790,1036,346,530
941,1841,93,283,458,822,590,928,468,750,722,1039,345,528
904,1872,87,295,458,822,590,928,417,750,746,914,311,530
903,1883,95,295,458,822,531,928,351,736,780,836,247,525
708,2057,116,295,458,817,536,878,357,736,991,738,230,500
653,2057,167,299,458,817,536,770,441,764,994,709,230,516
597,1690,579,310,458,817,536,708,604,771,978,697,230,513
380,1871,589,336,458,811,542,705,607,778,1049,628,230,513
341,1902,564,369,443,770,598,705,644,775,1086,622,224,461
323,1787,698,311,501,639,729,476,644,775,1304,591,224,461
308,1792,708,306,505,540,829,428,641,786,1243,601,225,460
