Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
1086,667,1270,333,440,1196,622,224,461,1075,438,541,839,219,468
1304,588,1373,333,434,1202,591,224,461,1042,438,546,907,220,519
1243,546,1403,406,429,1207,601,225,460,1082,443,592,956,248,549
1240,497,1452,409,420,912,707,246,429,1059,445,607,985,301,514
1200,389,1500,509,420,871,706,258,429,1036,445,870,987,302,466
1199,367,1412,615,425,847,704,270,479,1021,445,925,952,389,466
1145,411,1394,592,476,751,801,229,518,817,445,980,952,389,467
1126,430,1362,624,447,771,914,239,593,650,445,1012,1144,411,462
1126,430,1362,624,446,772,930,239,726,549,443,1212,1147,433,456
1122,434,1306,680,446,767,1066,240,745,482,443,1216,1147,443,437
1108,448,1296,690,446,767,1066,431,746,440,434,1181,1147,511,434
1022,534,1296,690,446,767,1066,444,746,387,434,1171,1157,582,439
902,654,1296,690,446,716,988,339,666,348,434,1171,1154,584,426
873,683,1296,680,456,659,830,427,605,339,434,1211,1141,700,457
866,690,1296,680,379,710,775,433,609,279,406,1275,1128,710,511
884,694,1150,826,360,729,720,417,526,273,361,1382,1123,710,581
830,748,1144,832,360,679,732,446,558,273,342,1380,1051,696,640
775,803,1106,856,374,668,732,446,558,293,314,1419,980,688,720
775,803,1106,855,375,590,777,446,555,293,312,1435,924,686,733
763,815,1088,873,375,256,880,446,555,273,312,1402,859,726,743
776,815,1088,873,375,255,999,442,555,292,312,1469,817,754,696
835,793,1090,893,318,312,1016,441,568,271,286,1491,744,754,611
835,792,1047,937,318,312,1042,464,568,271,267,1457,707,754,565
914,790,1040,946,318,312,1206,486,567,314,198,1448,729,844,494
1079,722,1108,946,151,479,1294,515,567,313,324,1448,769,807,546
1071,746,1111,716,380,489,1328,522,565,313,366,1448,769,794,604
1087,780,1108,707,352,530,1412,674,548,281,367,1445,820,934,683
920,991,989,826,352,530,1412,674,553,230,364,1444,897,937,744
917,994,657,1158,352,530,1429,675,543,235,262,1444,874,921,761
917,978,610,1221,338,544,1499,687,544,241,329,1469,823,921,761
846,1049,580,1252,333,549,1523,691,550,266,322,1479,753,920,745
704,1086,667,1270,333,440,1519,762,554,266,321,1433,727,938,744
463,1304,588,1373,333,434,1509,822,560,263,321,1428,670,916,707
513,1243,546,1403,406,429,1499,832,560,228,316,1382,668,890,694
715,1240,497,1452,409,420,1315,817,573,168,317,1367,708,797,692
786,1200,389,1500,509,420,1308,805,594,255,317,1105,758,793,691
812,1199,367,1412,615,425,1281,793,529,251,317,1050,780,706,691
863,1145,411,1394,592,476,1146,793,484,251,317,1091,851,728,690
892,1126,430,1362,624,447,1031,783,369,251,317,1059,717,706,690
1008,1126,430,1362,624,446,1008,783,236,251,317,859,723,684,690
1018,1122,434,1306,680,446,870,782,217,251,317,855,794,675,690
1018,1108,448,1296,690,446,920,591,216,251,317,1089,819,610,710
1022,1022,534,1296,690,446,955,573,216,290,317,1246,815,539,710
1055,902,654,1296,690,446,992,591,216,362,317,1349,923,537,708
1231,873,683,1296,680,456,992,516,187,396,317,1368,1135,420,705
1254,866,690,1296,680,379,1207,510,190,443,317,1260,1167,409,692
1232,884,694,1150,826,360,1211,500,129,447,317,1130,1219,410,648
1251,830,748,1144,832,360,1219,634,106,447,317,1130,1280,485,589
1251,775,803,1106,856,374,1224,717,106,427,402,1080,1305,563,525
1256,775,803,1106,855,375,1179,721,162,427,438,986,1272,572,539
1327,763,815,1088,873,375,1076,768,184,425,438,960,1285,555,543
1358,776,815,1088,873,375,976,805,189,394,440,857,1404,527,636
1299,835,793,1090,893,318,972,875,227,393,440,718,1400,655,636
1306,835,792,1047,937,318,954,958,252,385,471,694,1400,719,636
1233,914,790,1040,946,318,831,950,252,329,469,693,1378,645,636
1068,1079,722,1108,946,151,740,1056,252,329,422,693,1338,598,584
1040,1071,746,1111,716,380,706,1104,252,415,409,693,1355,597,533
989,1087,780,1108,707,352,621,977,252,417,409,693,1322,493,473
945,920,991,989,826,352,621,977,263,453,409,693,1341,503,413
977,917,994,657,1158,352,604,976,265,517,410,693,1375,525,396
1094,917,978,610,1221,338,534,964,318,526,282,668,1426,525,402
1112,846,1049,580,1252,333,510,960,340,512,282,654,1424,525,462
1112,704,1086,667,1270,333,510,889,342,529,282,654,1374,507,433
1158,463,1304,588,1373,333,475,829,336,527,282,654,1441,506,419
1108,513,1243,546,1403,406,475,818,336,523,285,654,1452,504,381
917,715,1240,497,1452,409,475,815,323,523,282,654,1384,565,395
852,786,1200,389,1500,509,475,823,302,436,282,653,1331,595,511
888,812,1199,367,1412,615,475,846,302,435,282,653,1309,651,555
930,863,1145,411,1394,592,475,856,302,435,282,585,1336,673,774
927,892,1126,430,1362,624,475,915,342,435,282,646,1330,710,787
811,1008,1126,430,1362,624,475,922,383,435,282,706,1334,780,787
801,1018,1122,434,1306,680,469,922,383,443,282,708,1263,781,787
803,1018,1108,448,1296,690,419,922,406,472,282,530,1263,778,767
857,1022,1022,534,1296,690,384,922,470,515,282,433,1267,781,762
825,1055,902,654,1296,690,347,877,476,446,282,330,1161,781,784
696,1231,873,683,1296,680,347,906,476,412,283,271,952,782,789
673,1254,866,690,1296,680,132,906,460,514,284,267,920,782,773
685,1232,884,694,1150,826,128,906,463,510,284,267,868,860,773
674,1251,830,748,1144,832,107,736,455,510,284,267,1064,785,773
674,1251,775,803,1106,856,102,653,564,510,202,267,1087,707,757
669,1256,775,803,1106,855,102,682,568,510,287,295,1117,698,731
598,1327,763,815,1088,873,102,635,545,542,299,328,1123,675,712
716,1358,776,815,1088,873,83,598,551,563,326,393,1057,675,619
724,1299,835,793,1090,893,136,528,500,569,370,405,1209,561,619
730,1306,835,792,1047,937,107,520,475,569,518,430,1209,497,619
747,1233,914,790,1040,946,66,517,475,571,525,465,1209,472,685
747,1068,1079,722,1108,946,66,382,475,571,432,466,1288,468,685
747,1040,1071,746,1111,716,66,327,545,523,403,498,1271,518,678
747,989,1087,780,1108,707,90,302,568,538,402,750,1253,482,661
747,945,920,991,989,826,92,317,559,503,402,809,1157,506,663
715,977,917,994,657,1158,92,317,565,502,401,818,1123,542,668
598,1094,917,978,610,1221,198,317,607,694,401,818,1058,546,693
579,1112,846,1049,580,1252,279,427,590,892,405,818,1021,551,626
579,1112,704,1086,667,1270,370,432,584,877,413,818,1013,551,626
532,1158,463,1304,588,1373,370,432,584,877,413,818,929,551,675
532,1108,513,1243,546,1403,398,432,584,984,410,820,871,554,681
521,917,715,1240,497,1452,413,557,584,984,452,820,870,579,673
515,852,786,1200,389,1500,433,571,677,992,464,833,870,550,595
453,888,812,1199,367,1412,444,548,766,992,500,869,881,494,551
360,930,863,1145,411,1394,479,538,766,992,500,841,787,450,332
392,927,892,1126,430,1362,638,876,726,992,506,780,779,438,319
418,811,1008,1126,430,1362,724,869,685,992,574,720,769,389,327
423,801,1018,1122,434,1306,724,908,685,984,821,827,785,409,368
437,803,1018,1108,448,1296,762,959,662,955,1091,771,760,473,369
379,857,1022,1022,534,1296,902,1144,723,873,1091,711,750,470,367
378,825,1055,902,654,1296,903,1191,721,870,1121,711,748,591,343
331,696,1231,873,683,1296,903,1160,722,870,1158,727,745,594,311
331,673,1254,866,690,1296,903,1173,737,721,1157,739,745,594,286
326,685,1232,884,694,1150,903,1197,734,721,1247,745,745,523,260
321,674,1251,830,748,1144,951,1247,733,721,1247,756,474,557,260
330,674,1251,775,803,1106,1112,1385,624,721,1244,767,415,590,260
367,669,1256,775,803,1106,1159,1384,563,721,1123,739,385,591,259
386,598,1327,763,815,1088,1177,1384,563,689,1111,711,366,607,293
291,716,1358,776,815,1088,1183,1487,796,668,1179,646,312,624,293
