Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
654,1433,541,472,1374,507,433,729,174,222,689,786,225
654,1428,546,472,1441,506,419,782,174,222,689,921,227
654,1382,592,472,1452,504,381,813,174,222,731,931,227
654,1367,607,472,1384,565,395,813,174,228,731,996,283
653,1105,870,472,1331,595,511,815,174,240,731,992,350
653,1050,925,472,1309,651,555,813,174,240,731,983,355
585,1091,980,472,1336,673,774,815,159,240,731,983,366
646,1059,1012,472,1330,710,787,926,158,240,724,921,366
706,859,1212,472,1334,780,787,927,158,240,700,914,366
708,855,1216,472,1263,781,787,975,158,240,609,897,356
530,1089,1181,507,1263,778,767,1042,153,240,683,854,358
433,1246,1171,517,1267,781,762,1042,110,240,679,754,358
330,1349,1171,517,1161,781,784,1119,102,225,719,754,358
271,1368,1211,517,952,782,789,1123,102,153,716,698,347
267,1260,1275,563,920,782,773,1123,102,112,716,686,317
267,1130,1382,586,868,860,773,1103,83,106,716,681,310
267,1130,1380,573,1064,785,773,1105,83,110,716,723,310
267,1080,1419,572,1087,707,757,1114,98,110,745,682,310
295,986,1435,650,1117,698,731,1245,195,73,772,679,301
328,960,1402,701,1123,675,712,1385,242,72,711,693,301
393,857,1469,650,1057,675,619,1423,220,80,687,680,301
405,718,1491,767,1209,561,619,1423,229,61,708,679,301
430,694,1457,777,1209,497,619,1423,229,49,726,679,315
465,693,1448,642,1209,472,685,1450,229,53,667,600,319
466,693,1448,487,1288,468,685,1519,229,160,666,499,288
498,693,1448,487,1271,518,678,1475,229,183,666,460,288
750,693,1445,490,1253,482,661,1211,227,183,666,523,288
809,693,1444,491,1157,506,663,1097,427,172,666,453,225
818,693,1444,491,1123,542,668,1069,517,177,666,482,197
818,668,1469,491,1058,546,693,937,516,207,665,477,276
818,654,1479,495,1021,551,626,841,517,207,665,534,298
818,654,1433,541,1013,551,626,839,587,207,665,506,323
818,654,1428,546,929,551,675,786,617,207,665,371,321
820,654,1382,592,871,554,681,755,638,207,623,361,335
820,654,1367,607,870,579,673,750,653,201,623,297,601
833,653,1105,870,870,550,595,747,653,189,623,297,910
869,653,1050,925,881,494,551,747,653,189,623,329,921
841,585,1091,980,787,450,332,744,678,190,623,329,917
780,646,1059,1012,779,438,319,631,710,212,653,329,917
720,706,859,1212,769,389,327,630,710,329,757,329,917
827,708,855,1216,785,409,368,582,849,430,806,362,957
771,530,1089,1181,760,473,369,515,851,495,621,369,955
711,433,1246,1171,750,470,367,515,927,495,520,464,1044
711,330,1349,1171,748,591,343,437,1054,498,474,577,1046
727,271,1368,1211,745,594,311,430,1054,528,473,583,1046
739,267,1260,1275,745,594,286,430,1054,531,473,698,1041
745,267,1130,1382,745,523,260,430,1054,523,473,718,1041
756,267,1130,1380,474,557,260,448,1054,568,509,655,1041
767,267,1080,1419,415,590,260,454,1027,641,449,672,1130
739,295,986,1435,385,591,259,369,930,713,421,674,1193
711,328,960,1402,366,607,293,460,883,713,438,660,1256
646,393,857,1469,312,624,293,430,872,705,470,660,1256
634,405,718,1491,157,756,316,431,861,705,448,660,1294
609,430,694,1457,157,756,316,553,861,705,449,660,1280
574,465,693,1448,159,756,250,526,861,840,472,660,1276
573,466,693,1448,90,756,285,513,861,749,512,794,1365
559,498,693,1448,117,769,396,513,861,726,552,825,1391
382,750,693,1445,117,809,443,513,860,726,599,926,1391
334,809,693,1444,117,997,487,512,657,726,610,938,1391
461,818,693,1444,117,940,488,512,557,721,610,898,1374
461,818,668,1469,208,936,517,620,731,691,645,900,1281
465,818,654,1479,222,931,540,620,866,691,645,840,1259
488,818,654,1433,222,938,540,628,796,691,645,840,1234
504,818,654,1428,356,947,491,628,766,691,646,859,1293
517,820,654,1382,364,944,485,644,885,691,646,864,1282
523,820,654,1367,364,858,492,676,870,691,658,863,986
510,833,653,1105,364,857,822,680,1077,691,689,857,620
474,869,653,1050,353,857,822,732,1116,691,689,805,638
476,841,585,1091,666,857,822,756,1090,690,705,805,646
476,780,646,1059,678,832,822,771,1092,668,649,805,662
476,720,706,859,748,811,814,775,1310,551,577,805,669
367,827,708,855,733,789,773,776,1171,450,508,772,629
367,771,530,1089,733,725,770,776,1178,385,506,765,629
367,711,433,1246,733,725,779,776,1144,480,506,670,540
367,711,330,1349,733,607,813,776,1098,484,533,557,677
351,727,271,1368,733,603,812,776,1180,464,533,551,677
339,739,267,1260,733,609,812,776,1410,461,533,436,677
333,745,267,1130,733,610,812,776,1516,466,533,416,677
