Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
551,1083,84,644,668,1065,713,874,900,658,579,892,1031,783,369,251,317,1059,717
548,1086,84,636,674,1052,707,828,967,658,532,1008,1008,783,236,251,317,859,723
548,1077,88,641,674,649,1057,877,971,658,532,1018,870,782,217,251,317,855,794
545,1080,88,641,674,420,1283,880,883,746,521,1018,920,591,216,251,317,1089,819
477,1148,88,637,670,428,1283,880,883,746,515,1022,955,573,216,290,317,1246,815
466,1139,81,637,634,491,1275,888,805,824,453,1055,992,591,216,362,317,1349,923
466,951,263,643,634,491,1274,869,808,841,360,1231,992,516,187,396,317,1368,1135
462,848,365,642,640,491,1268,865,765,836,392,1254,1207,510,190,443,317,1260,1167
534,837,356,661,642,491,1268,864,766,810,418,1232,1211,500,129,447,317,1130,1219
547,837,354,657,648,491,1227,839,832,805,423,1251,1219,634,106,447,317,1130,1280
571,835,381,630,657,510,1209,812,820,846,437,1251,1224,717,106,427,402,1080,1305
600,485,750,567,720,510,1209,809,821,848,379,1256,1179,721,162,427,438,986,1272
622,485,750,557,729,511,1096,922,821,848,378,1327,1076,768,184,425,438,960,1285
648,485,750,541,737,515,1100,922,793,876,331,1358,976,805,189,394,440,857,1404
654,485,750,541,737,515,1081,941,793,876,331,1299,972,875,227,393,440,718,1400
650,489,750,541,737,515,1079,943,793,869,326,1306,954,958,252,385,471,694,1400
650,489,750,541,573,679,1079,871,622,1109,321,1233,831,950,252,329,469,693,1378
631,508,750,541,570,682,1079,692,801,1100,330,1068,740,1056,252,329,422,693,1338
629,510,750,541,550,702,1079,639,854,1063,367,1040,706,1104,252,415,409,693,1355
629,510,736,520,527,760,1079,639,854,1044,386,989,621,977,252,417,409,693,1322
507,632,736,444,553,734,1155,639,854,977,291,945,621,977,263,453,409,693,1341
439,672,764,436,508,689,1253,639,854,906,354,977,604,976,265,517,410,693,1375
384,720,771,383,561,637,1302,627,869,906,341,1094,534,964,318,526,282,668,1426
388,713,778,290,654,611,1264,685,704,1077,318,1112,510,960,340,512,282,654,1424
340,765,775,169,778,609,1190,687,690,1153,330,1112,510,889,342,529,282,654,1374
326,780,775,99,848,542,1257,473,904,1138,345,1158,475,829,336,527,282,654,1441
258,837,786,98,842,505,1091,683,904,1138,345,1108,475,818,336,523,285,654,1452
257,838,786,98,841,506,1033,741,904,916,567,917,475,815,323,523,282,654,1384
250,743,888,85,854,457,1065,758,864,870,653,852,475,823,302,436,282,653,1331
247,592,1042,84,743,569,1065,713,879,895,658,888,475,846,302,435,282,653,1309
247,571,1063,84,694,618,1065,713,879,895,658,930,475,856,302,435,282,585,1336
247,551,1083,84,644,668,1065,713,874,900,658,927,475,915,342,435,282,646,1330
290,548,1086,84,636,674,1052,707,828,967,658,811,475,922,383,435,282,706,1334
492,548,1077,88,641,674,649,1057,877,971,658,801,469,922,383,443,282,708,1263
578,545,1080,88,641,674,420,1283,880,883,746,803,419,922,406,472,282,530,1263
578,477,1148,88,637,670,428,1283,880,883,746,857,384,922,470,515,282,433,1267
578,466,1139,81,637,634,491,1275,888,805,824,825,347,877,476,446,282,330,1161
578,466,951,263,643,634,491,1274,869,808,841,696,347,906,476,412,283,271,952
578,462,848,365,642,640,491,1268,865,765,836,673,132,906,460,514,284,267,920
505,534,837,356,661,642,491,1268,864,766,810,685,128,906,463,510,284,267,868
492,547,837,354,657,648,491,1227,839,832,805,674,107,736,455,510,284,267,1064
448,571,835,381,630,657,510,1209,812,820,846,674,102,653,564,510,202,267,1087
471,600,485,750,567,720,510,1209,809,821,848,669,102,682,568,510,287,295,1117
451,622,485,750,557,729,511,1096,922,821,848,598,102,635,545,542,299,328,1123
479,648,485,750,541,737,515,1100,922,793,876,716,83,598,551,563,326,393,1057
473,654,485,750,541,737,515,1081,941,793,876,724,136,528,500,569,370,405,1209
473,650,489,750,541,737,515,1079,943,793,869,730,107,520,475,569,518,430,1209
473,650,489,750,541,573,679,1079,871,622,1109,747,66,517,475,571,525,465,1209
473,631,508,750,541,570,682,1079,692,801,1100,747,66,382,475,571,432,466,1288
473,629,510,750,541,550,702,1079,639,854,1063,747,66,327,545,523,403,498,1271
473,629,510,736,520,527,760,1079,639,854,1044,747,90,302,568,538,402,750,1253
475,507,632,736,444,553,734,1155,639,854,977,747,92,317,559,503,402,809,1157
475,439,672,764,436,508,689,1253,639,854,906,715,92,317,565,502,401,818,1123
475,384,720,771,383,561,637,1302,627,869,906,598,198,317,607,694,401,818,1058
476,388,713,778,290,654,611,1264,685,704,1077,579,279,427,590,892,405,818,1021
540,340,765,775,169,778,609,1190,687,690,1153,579,370,432,584,877,413,818,1013
683,326,780,775,99,848,542,1257,473,904,1138,532,370,432,584,877,413,818,929
721,258,837,786,98,842,505,1091,683,904,1138,532,398,432,584,984,410,820,871
776,257,838,786,98,841,506,1033,741,904,916,521,413,557,584,984,452,820,870
776,250,743,888,85,854,457,1065,758,864,870,515,433,571,677,992,464,833,870
935,247,592,1042,84,743,569,1065,713,879,895,453,444,548,766,992,500,869,881
983,247,571,1063,84,694,618,1065,713,879,895,360,479,538,766,992,500,841,787
983,247,551,1083,84,644,668,1065,713,874,900,392,638,876,726,992,506,780,779
945,290,548,1086,84,636,674,1052,707,828,967,418,724,869,685,992,574,720,769
743,492,548,1077,88,641,674,649,1057,877,971,423,724,908,685,984,821,827,785
662,578,545,1080,88,641,674,420,1283,880,883,437,762,959,662,955,1091,771,760
662,578,477,1148,88,637,670,428,1283,880,883,379,902,1144,723,873,1091,711,750
703,578,466,1139,81,637,634,491,1275,888,805,378,903,1191,721,870,1121,711,748
703,578,466,951,263,643,634,491,1274,869,808,331,903,1160,722,870,1158,727,745
703,578,462,848,365,642,640,491,1268,865,765,331,903,1173,737,721,1157,739,745
703,505,534,837,356,661,642,491,1268,864,766,326,903,1197,734,721,1247,745,745
703,492,547,837,354,657,648,491,1227,839,832,321,951,1247,733,721,1247,756,474
709,448,571,835,381,630,657,510,1209,812,820,330,1112,1385,624,721,1244,767,415
639,471,600,485,750,567,720,510,1209,809,821,367,1159,1384,563,721,1123,739,385
648,451,622,485,750,557,729,511,1096,922,821,386,1177,1384,563,689,1111,711,366
594,479,648,485,750,541,737,515,1100,922,793,291,1183,1487,796,668,1179,646,312
594,473,654,485,750,541,737,515,1081,941,793,354,1123,1512,796,675,1135,634,157
594,473,650,489,750,541,737,515,1079,943,793,341,1195,1428,796,675,956,609,157
594,473,650,489,750,541,573,679,1079,871,622,318,1443,1468,796,673,949,574,159
594,473,631,508,750,541,570,682,1079,692,801,330,1443,1468,796,707,984,573,90
594,473,629,510,750,541,550,702,1079,639,854,345,1443,1468,772,669,1005,559,117
594,473,629,510,736,520,527,760,1079,639,854,345,1419,1470,749,710,1022,382,117
592,475,507,632,736,444,553,734,1155,639,854,567,1417,1456,740,709,1046,334,117
650,475,439,672,764,436,508,689,1253,639,854,653,1417,1456,758,640,1046,461,117
685,475,384,720,771,383,561,637,1302,627,869,658,1311,1456,660,433,1046,461,208
684,476,388,713,778,290,654,611,1264,685,704,658,1261,1346,649,224,1131,465,222
661,540,340,765,775,169,778,609,1190,687,690,658,1204,1341,649,222,1123,488,222
711,683,326,780,775,99,848,542,1257,473,904,658,1278,1341,649,295,1161,504,356
757,721,258,837,786,98,842,505,1091,683,904,658,1250,1341,649,208,1161,517,364
702,776,257,838,786,98,841,506,1033,741,904,746,1235,1213,649,299,1120,523,364
702,776,250,743,888,85,854,457,1065,758,864,746,1220,1191,556,291,1108,510,364
543,935,247,592,1042,84,743,569,1065,713,879,824,1237,1288,468,291,1240,474,353
879,983,247,571,1063,84,694,618,1065,713,879,841,1290,1338,468,291,1240,476,666
879,983,247,551,1083,84,644,668,1065,713,874,836,1175,941,468,291,1234,476,678
874,945,290,548,1086,84,636,674,1052,707,828,810,1213,941,468,291,1230,476,748
874,743,492,548,1077,88,641,674,649,1057,877,805,1267,1017,468,305,983,367,733
869,662,578,545,1080,88,641,674,420,1283,880,846,1230,1114,468,326,713,367,733
882,662,578,477,1148,88,637,670,428,1283,880,848,1122,929,343,326,713,367,733
889,703,578,466,1139,81,637,634,491,1275,888,848,1173,898,339,327,683,367,733
889,703,578,466,951,263,643,634,491,1274,869,876,1266,879,338,423,645,351,733
889,703,578,462,848,365,642,640,491,1268,865,876,1383,866,323,423,645,339,733
889,703,505,534,837,356,661,642,491,1268,864,869,1425,842,323,444,555,333,733
905,703,492,547,837,354,657,648,491,1227,839,1109,1448,933,325,444,555,322,733
893,709,448,571,835,381,630,657,510,1209,812,1100,1409,803,326,444,555,311,757
892,639,471,600,485,750,567,720,510,1209,809,1063,1376,782,326,444,555,311,791
881,648,451,622,485,750,557,729,511,1096,922,1044,1399,782,376,444,555,330,791
888,594,479,648,485,750,541,737,515,1100,922,977,1401,681,334,444,458,330,791
888,594,473,654,485,750,541,737,515,1081,941,906,1398,656,392,431,484,330,793
888,594,473,650,489,750,541,737,515,1079,943,906,1374,642,456,484,523,340,793
888,594,473,650,489,750,541,573,679,1079,871,1077,1320,591,505,587,549,408,791
888,594,473,631,508,750,541,570,682,1079,692,1153,1495,591,505,568,537,492,781
888,594,473,629,510,750,541,550,702,1079,639,1138,1529,591,493,606,611,474,754
888,594,473,629,510,736,520,527,760,1079,639,1138,1589,608,507,548,594,415,772
898,592,475,507,632,736,444,553,734,1155,639,916,1618,624,759,548,570,406,929
892,650,475,439,672,764,436,508,689,1253,639,870,1618,625,772,623,570,270,937
896,685,475,384,720,771,383,561,637,1302,627,895,1713,629,848,671,570,270,846
933,684,476,388,713,778,290,654,611,1264,685,895,1689,629,848,695,481,274,832
888,661,540,340,765,775,169,778,609,1190,687,900,1656,629,848,705,481,465,854
694,711,683,326,780,775,99,848,542,1257,473,967,1583,629,848,634,443,449,721
655,757,721,258,837,786,98,842,505,1091,683,971,1591,629,848,614,443,436,759
750,702,776,257,838,786,98,841,506,1033,741,883,1593,629,848,523,442,524,1039
750,702,776,250,743,888,85,854,457,1065,758,883,1588,629,848,523,442,538,1156
750,543,935,247,592,1042,84,743,569,1065,713,805,1560,532,847,523,274,541,1165
366,879,983,247,571,1063,84,694,618,1065,713,808,1472,482,847,523,281,539,848
471,879,983,247,551,1083,84,644,668,1065,713,765,1428,482,847,525,281,561,834
490,874,945,290,548,1086,84,636,674,1052,707,766,1304,482,957,661,217,561,820
508,874,743,492,548,1077,88,641,674,649,1057,832,1307,367,957,715,217,561,890
511,869,662,578,545,1080,88,641,674,420,1283,820,1382,219,1024,724,232,561,893
498,882,662,578,477,1148,88,637,670,428,1283,821,1417,219,1024,776,392,561,893
508,889,703,578,466,1139,81,637,634,491,1275,821,1369,223,1024,775,392,561,893
705,889,703,578,466,951,263,643,634,491,1274,793,1313,223,1027,679,392,564,909
727,889,703,578,462,848,365,642,640,491,1268,793,1197,223,1076,679,396,569,909
727,889,703,505,534,837,356,661,642,491,1268,793,1155,223,1093,681,398,571,909
711,905,703,492,547,837,354,657,648,491,1227,622,1084,82,1091,689,471,571,909
749,893,709,448,571,835,381,630,657,510,1209,801,962,88,1134,689,493,571,885
749,892,639,471,600,485,750,567,720,510,1209,854,992,124,1273,689,493,571,851
754,881,648,451,622,485,750,557,729,511,1096,854,995,124,1657,689,493,547,851
747,888,594,479,648,485,750,541,737,515,1100,854,987,122,1456,689,532,557,851
747,888,594,473,654,485,750,541,737,515,1081,854,984,122,1398,689,506,598,849
747,888,594,473,650,489,750,541,737,515,1079,869,936,134,1334,636,467,605,849
786,888,594,473,650,489,750,541,573,679,1079,704,834,188,1285,533,441,600,853
786,888,594,473,631,508,750,541,570,682,1079,690,659,222,1286,525,417,555,902
786,888,594,473,629,510,750,541,550,702,1079,904,625,501,1252,506,322,593,930
786,888,594,473,629,510,736,520,527,760,1079,904,565,482,1297,506,322,577,947
776,898,592,475,507,632,736,444,553,734,1155,904,840,465,1045,506,322,594,856
743,892,650,475,439,672,764,436,508,689,1253,864,881,465,1055,454,322,594,1001
704,896,685,475,384,720,771,383,561,637,1302,879,810,461,1007,406,322,596,1002
663,933,684,476,388,713,778,290,654,611,1264,879,899,475,1007,382,322,622,1003
832,888,661,540,340,765,775,169,778,609,1190,874,907,531,1007,499,322,466,993
855,694,711,683,326,780,775,99,848,542,1257,828,906,612,1019,497,322,469,992
810,655,757,721,258,837,786,98,842,505,1091,877,903,617,1032,567,322,467,946
935,750,702,776,257,838,786,98,841,506,1033,880,901,713,1135,654,322,373,666
935,750,702,776,250,743,888,85,854,457,1065,880,901,831,1249,682,322,359,549
935,750,543,935,247,592,1042,84,743,569,1065,888,952,832,1249,682,322,356,540
935,366,879,983,247,571,1063,84,694,618,1065,869,1009,834,1249,863,315,356,589
830,471,879,983,247,551,1083,84,644,668,1065,865,1035,1012,1249,900,494,334,551
811,490,874,945,290,548,1086,84,636,674,1052,864,1035,1021,1139,995,623,334,525
793,508,874,743,492,548,1077,88,641,674,649,839,1028,1044,1160,927,623,363,458
790,511,869,662,578,545,1080,88,641,674,420,812,963,1062,1093,1010,608,371,455
793,498,882,662,578,477,1148,88,637,670,428,809,974,1132,1093,982,448,424,455
735,508,889,703,578,466,1139,81,637,634,491,922,1304,1113,1093,982,448,427,455
538,705,889,703,578,466,951,263,643,634,491,922,1268,1113,1092,983,448,464,439
516,727,889,703,578,462,848,365,642,640,491,941,1267,1363,1044,1022,444,542,439
533,727,889,703,505,534,837,356,661,642,491,943,1267,1469,1087,1097,442,544,439
533,711,905,703,492,547,837,354,657,648,491,871,1267,1553,1087,1112,369,663,439
495,749,893,709,448,571,835,381,630,657,510,692,1267,1539,1043,1124,347,956,439
495,749,892,639,471,600,485,750,567,720,510,639,1223,1666,904,1221,356,967,439
490,754,881,648,451,622,485,750,557,729,511,639,1179,1748,470,1249,506,1206,439
490,747,888,594,479,648,485,750,541,737,515,639,1179,1748,469,1278,473,1196,454
490,747,888,594,473,654,485,750,541,737,515,639,1179,1748,469,1278,473,1155,469
591,747,888,594,473,650,489,750,541,737,515,627,1179,1736,469,1278,473,1138,469
552,786,888,594,473,650,489,750,541,573,679,685,1087,1682,469,1278,473,1075,465
