Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
626,367,661,1162,545,1336,315,551,1281,1165,1182,205,211,797,571,1251,1224,717,106
615,378,661,1162,545,1316,335,551,1247,1083,1258,200,211,790,600,1256,1179,721,162
561,432,534,1289,545,1275,323,604,1246,1084,1214,194,181,807,622,1327,1076,768,184
561,432,471,1352,545,1275,322,605,1246,1084,1193,194,181,784,648,1358,976,805,189
561,421,248,1460,668,1248,349,608,1178,1152,1099,194,102,816,654,1299,972,875,227
561,417,218,1491,670,1180,418,608,1178,1152,1004,194,94,821,650,1306,954,958,252
473,408,313,1493,670,931,667,426,1360,1152,926,194,124,645,650,1233,831,950,252
473,343,338,1533,658,882,728,394,1392,1152,770,192,154,628,631,1068,740,1056,252
473,335,346,1533,608,896,763,395,1390,1154,701,198,197,688,629,1040,706,1104,252
473,303,377,1452,690,896,763,357,1375,1206,700,161,259,697,629,989,621,977,252
473,283,397,1449,693,896,699,421,1374,1207,700,133,330,736,507,945,621,977,263
473,283,389,1434,562,1043,706,397,1398,1162,701,133,330,739,439,977,604,976,265
473,275,395,1355,504,1121,767,396,1399,1159,704,119,297,700,384,1094,534,964,318
459,243,441,1329,511,947,962,396,1399,1159,472,119,297,700,388,1112,510,960,340
539,208,476,1329,478,977,951,407,1402,877,754,174,297,725,340,1112,510,889,342
585,208,476,1316,491,942,986,296,1392,980,772,218,297,725,326,1158,475,829,336
639,219,482,1316,478,927,1014,290,1339,1038,695,238,297,725,258,1108,475,818,336
657,299,472,1307,497,907,1034,287,1340,961,708,317,297,725,257,917,475,815,323
654,304,471,1292,513,901,1040,287,1197,1062,750,317,317,731,250,852,475,823,302
647,298,476,1300,424,990,1040,281,1194,1071,748,316,297,735,247,888,475,846,302
647,297,462,1315,424,964,1066,281,1191,1074,717,316,292,735,247,930,475,856,302
646,299,462,1314,425,846,1184,281,1106,1159,717,316,292,735,247,927,475,915,342
564,366,477,1166,573,799,1170,342,906,1215,819,312,287,735,290,811,475,922,383
525,404,423,1101,693,555,1373,383,610,1508,822,252,295,735,492,801,469,922,383
499,430,423,1016,778,526,1402,383,459,1592,889,318,295,735,578,803,419,922,406
370,559,423,858,936,518,1397,390,443,1614,889,358,283,732,578,857,384,922,470
370,559,423,857,937,515,1380,410,438,1609,857,402,283,552,578,825,347,877,476
370,559,421,858,925,528,1336,454,437,1480,963,423,283,475,578,696,347,906,476
349,580,387,828,989,528,1336,454,437,1480,960,517,283,471,578,673,132,906,460
300,629,373,799,1032,528,1336,454,437,1479,954,612,288,471,505,685,128,906,463
300,629,364,678,1146,544,1336,446,445,1462,970,690,314,471,492,674,107,736,455
500,626,367,661,1162,545,1336,315,551,1281,1165,846,314,500,448,674,102,653,564
523,615,378,661,1162,545,1316,335,551,1247,1083,915,314,373,471,669,102,682,568
527,561,432,534,1289,545,1275,323,604,1246,1084,917,314,311,451,598,102,635,545
527,561,432,471,1352,545,1275,322,605,1246,1084,917,352,289,479,716,83,598,551
594,561,421,248,1460,668,1248,349,608,1178,1152,961,360,228,473,724,136,528,500
594,561,417,218,1491,670,1180,418,608,1178,1152,961,390,198,473,730,107,520,475
594,473,408,313,1493,670,931,667,426,1360,1152,1193,360,190,473,747,66,517,475
596,473,343,338,1533,658,882,728,394,1392,1152,1193,330,275,473,747,66,382,475
596,473,335,346,1533,608,896,763,395,1390,1154,1186,287,276,473,747,66,327,545
596,473,303,377,1452,690,896,763,357,1375,1206,1264,225,267,473,747,90,302,568
606,473,283,397,1449,693,896,699,421,1374,1207,1330,154,228,475,747,92,317,559
944,473,283,389,1434,562,1043,706,397,1398,1162,1330,154,486,475,715,92,317,565
977,473,275,395,1355,504,1121,767,396,1399,1159,1327,144,507,475,598,198,317,607
980,459,243,441,1329,511,947,962,396,1399,1159,1358,144,507,476,579,279,427,590
900,539,208,476,1329,478,977,951,407,1402,877,1303,186,533,540,579,370,432,584
871,585,208,476,1316,491,942,986,296,1392,980,1297,186,533,683,532,370,432,584
841,639,219,482,1316,478,927,1014,290,1339,1038,1275,186,632,721,532,398,432,584
765,657,299,472,1307,497,907,1034,287,1340,961,1196,186,632,776,521,413,557,584
805,654,304,471,1292,513,901,1040,287,1197,1062,1196,179,626,776,515,433,571,677
879,647,298,476,1300,424,990,1040,281,1194,1071,1238,187,627,935,453,444,548,766
932,647,297,462,1315,424,964,1066,281,1191,1074,1262,187,627,983,360,479,538,766
1012,646,299,462,1314,425,846,1184,281,1106,1159,1265,187,627,983,392,638,876,726
1012,564,366,477,1166,573,799,1170,342,906,1215,1260,218,693,945,418,724,869,685
1400,525,404,423,1101,693,555,1373,383,610,1508,1238,255,693,743,423,724,908,685
1590,499,430,423,1016,778,526,1402,383,459,1592,1182,364,693,662,437,762,959,662
1646,370,559,423,858,936,518,1397,390,443,1614,1258,425,693,662,379,902,1144,723
1647,370,559,423,857,937,515,1380,410,438,1609,1214,425,693,703,378,903,1191,721
1745,370,559,421,858,925,528,1336,454,437,1480,1193,433,693,703,331,903,1160,722
1764,349,580,387,828,989,528,1336,454,437,1480,1099,433,693,703,331,903,1173,737
1767,300,629,373,799,1032,528,1336,454,437,1479,1004,428,693,703,326,903,1197,734
1803,300,629,364,678,1146,544,1336,446,445,1462,926,402,765,703,321,951,1247,733
1603,500,626,367,661,1162,545,1336,315,551,1281,770,402,866,709,330,1112,1385,624
1587,523,615,378,661,1162,545,1316,335,551,1247,701,402,871,639,367,1159,1384,563
1658,527,561,432,534,1289,545,1275,323,604,1246,700,402,893,648,386,1177,1384,563
1669,527,561,432,471,1352,545,1275,322,605,1246,700,364,972,594,291,1183,1487,796
1649,594,561,421,248,1460,668,1248,349,608,1178,701,356,1100,594,354,1123,1512,796
1649,594,561,417,218,1491,670,1180,418,608,1178,704,435,1106,594,341,1195,1428,796
1649,594,473,408,313,1493,670,931,667,426,1360,472,435,1096,594,318,1443,1468,796
1647,596,473,343,338,1533,658,882,728,394,1392,754,435,1008,594,330,1443,1468,796
1647,596,473,335,346,1533,608,896,763,395,1390,772,488,947,594,345,1443,1468,772
1647,596,473,303,377,1452,690,896,763,357,1375,695,488,947,594,345,1419,1470,749
1637,606,473,283,397,1449,693,896,699,421,1374,708,528,947,592,567,1417,1456,740
1299,944,473,283,389,1434,562,1043,706,397,1398,750,630,940,650,653,1417,1456,758
1296,977,473,275,395,1355,504,1121,767,396,1399,748,633,919,685,658,1311,1456,660
1326,980,459,243,441,1329,511,947,962,396,1399,717,648,1062,684,658,1261,1346,649
1326,900,539,208,476,1329,478,977,951,407,1402,717,611,1073,661,658,1204,1341,649
1309,871,585,208,476,1316,491,942,986,296,1392,819,674,1164,711,658,1278,1341,649
1269,841,639,219,482,1316,478,927,1014,290,1339,822,674,1100,757,658,1250,1341,649
1414,765,657,299,472,1307,497,907,1034,287,1340,889,711,1129,702,746,1235,1213,649
1372,805,654,304,471,1292,513,901,1040,287,1197,889,698,1129,702,746,1220,1191,556
1298,879,647,298,476,1300,424,990,1040,281,1194,857,690,1151,543,824,1237,1288,468
1245,932,647,297,462,1315,424,964,1066,281,1191,963,726,1151,879,841,1290,1338,468
1164,1012,646,299,462,1314,425,846,1184,281,1106,960,741,1151,879,836,1175,941,468
1164,1012,564,366,477,1166,573,799,1170,342,906,954,760,1151,874,810,1213,941,468
902,1400,525,404,423,1101,693,555,1373,383,610,970,754,1151,874,805,1267,1017,468
1349,1590,499,430,423,1016,778,526,1402,383,459,1165,864,1158,869,846,1230,1114,468
1303,1646,370,559,423,858,936,518,1397,390,443,1083,811,1160,882,848,1122,929,343
1305,1647,370,559,423,857,937,515,1380,410,438,1084,1097,1160,889,848,1173,898,339
1209,1745,370,559,421,858,925,528,1336,454,437,1084,1101,1160,889,876,1266,879,338
1194,1764,349,580,387,828,989,528,1336,454,437,1152,1102,1160,889,876,1383,866,323
1191,1767,300,629,373,799,1032,528,1336,454,437,1152,1104,1160,889,869,1425,842,323
1155,1803,300,629,364,678,1146,544,1336,446,445,1152,1104,1088,905,1109,1448,933,325
1158,1603,500,626,367,661,1162,545,1336,315,551,1152,1105,958,893,1100,1409,803,326
1170,1587,523,615,378,661,1162,545,1316,335,551,1154,1105,953,892,1063,1376,782,326
1189,1658,527,561,432,534,1289,545,1275,323,604,1206,1164,931,881,1044,1399,782,376
1178,1669,527,561,432,471,1352,545,1275,322,605,1207,1164,852,888,977,1401,681,334
1131,1649,594,561,421,248,1460,668,1248,349,608,1162,1164,724,888,906,1398,656,392
1145,1649,594,561,417,218,1491,670,1180,418,608,1159,1055,716,888,906,1374,642,456
1312,1649,594,473,408,313,1493,670,931,667,426,1159,1055,716,888,1077,1320,591,505
1312,1647,596,473,343,338,1533,658,882,728,394,877,1055,716,888,1153,1495,591,505
1312,1647,596,473,335,346,1533,608,896,763,395,980,1002,716,888,1138,1529,591,493
1312,1647,596,473,303,377,1452,690,896,763,357,1038,1002,716,888,1138,1589,608,507
1312,1637,606,473,283,397,1449,693,896,699,421,961,962,716,898,916,1618,624,759
1312,1299,944,473,283,389,1434,562,1043,706,397,1062,860,462,892,870,1618,625,772
1282,1296,977,473,275,395,1355,504,1121,767,396,1071,857,462,896,895,1713,629,848
1247,1326,980,459,243,441,1329,511,947,962,396,1074,859,319,933,895,1689,629,848
1247,1326,900,539,208,476,1329,478,977,951,407,1159,854,340,888,900,1656,629,848
1247,1309,871,585,208,476,1316,491,942,986,296,1215,812,378,694,967,1583,629,848
1246,1269,841,639,219,482,1316,478,927,1014,290,1508,833,344,655,971,1591,629,848
1079,1414,765,657,299,472,1307,497,907,1034,287,1592,811,315,750,883,1593,629,848
1079,1372,805,654,304,471,1292,513,901,1040,287,1614,811,319,750,883,1588,629,848
1079,1298,879,647,298,476,1300,424,990,1040,281,1609,937,299,750,805,1560,532,847
1079,1245,932,647,297,462,1315,424,964,1066,281,1480,1032,304,366,808,1472,482,847
1079,1164,1012,646,299,462,1314,425,846,1184,281,1480,1032,304,471,765,1428,482,847
1079,1164,1012,564,366,477,1166,573,799,1170,342,1479,989,238,490,766,1304,482,957
953,902,1400,525,404,423,1101,693,555,1373,383,1462,946,238,508,832,1307,367,957
316,1349,1590,499,430,423,1016,778,526,1402,383,1281,729,231,511,820,1382,219,1024
607,1303,1646,370,559,423,858,936,518,1397,390,1247,735,267,498,821,1417,219,1024
604,1305,1647,370,559,423,857,937,515,1380,410,1246,451,272,508,821,1369,223,1024
646,1209,1745,370,559,421,858,925,528,1336,454,1246,458,276,705,793,1313,223,1027
650,1194,1764,349,580,387,828,989,528,1336,454,1178,457,276,727,793,1197,223,1076
702,1191,1767,300,629,373,799,1032,528,1336,454,1178,467,276,727,793,1155,223,1093
702,1155,1803,300,629,364,678,1146,544,1336,446,1360,552,317,711,622,1084,82,1091
740,1158,1603,500,626,367,661,1162,545,1336,315,1392,590,317,749,801,962,88,1134
724,1170,1587,523,615,378,661,1162,545,1316,335,1390,590,447,749,854,992,124,1273
645,1189,1658,527,561,432,534,1289,545,1275,323,1375,531,468,754,854,995,124,1657
646,1178,1669,527,561,432,471,1352,545,1275,322,1374,536,468,747,854,987,122,1456
646,1131,1649,594,561,421,248,1460,668,1248,349,1398,536,471,747,854,984,122,1398
632,1145,1649,594,561,417,218,1491,670,1180,418,1399,536,471,747,869,936,134,1334
509,1312,1649,594,473,408,313,1493,670,931,667,1399,542,494,786,704,834,188,1285
509,1312,1647,596,473,343,338,1533,658,882,728,1402,598,494,786,690,659,222,1286
509,1312,1647,596,473,335,346,1533,608,896,763,1392,729,536,786,904,625,501,1252
545,1312,1647,596,473,303,377,1452,690,896,763,1339,829,597,786,904,565,482,1297
633,1312,1637,606,473,283,397,1449,693,896,699,1340,832,597,776,904,840,465,1045
633,1312,1299,944,473,283,389,1434,562,1043,706,1197,971,597,743,864,881,465,1055
633,1282,1296,977,473,275,395,1355,504,1121,767,1194,1021,605,704,879,810,461,1007
633,1247,1326,980,459,243,441,1329,511,947,962,1191,1004,605,663,879,899,475,1007
633,1247,1326,900,539,208,476,1329,478,977,951,1106,1004,522,832,874,907,531,1007
675,1247,1309,871,585,208,476,1316,491,942,986,906,997,433,855,828,906,612,1019
675,1246,1269,841,639,219,482,1316,478,927,1014,610,977,777,810,877,903,617,1032
675,1079,1414,765,657,299,472,1307,497,907,1034,459,980,777,935,880,901,713,1135
675,1079,1372,805,654,304,471,1292,513,901,1040,443,980,885,935,880,901,831,1249
675,1079,1298,879,647,298,476,1300,424,990,1040,438,854,1024,935,888,952,832,1249
675,1079,1245,932,647,297,462,1315,424,964,1066,437,725,1110,935,869,1009,834,1249
701,1079,1164,1012,646,299,462,1314,425,846,1184,437,710,1225,830,865,1035,1012,1249
888,1079,1164,1012,564,366,477,1166,573,799,1170,437,705,1237,811,864,1035,1021,1139
888,953,902,1400,525,404,423,1101,693,555,1373,445,700,1237,793,839,1028,1044,1160
888,316,1349,1590,499,430,423,1016,778,526,1402,551,728,1237,790,812,963,1062,1093
587,607,1303,1646,370,559,423,858,936,518,1397,551,714,1199,793,809,974,1132,1093
587,604,1305,1647,370,559,423,857,937,515,1380,604,712,1196,735,922,1304,1113,1093
574,646,1209,1745,370,559,421,858,925,528,1336,605,718,1302,538,922,1268,1113,1092
573,650,1194,1764,349,580,387,828,989,528,1336,608,753,1326,516,941,1267,1363,1044
523,702,1191,1767,300,629,373,799,1032,528,1336,608,805,1326,533,943,1267,1469,1087
523,702,1155,1803,300,629,364,678,1146,544,1336,426,861,1474,533,871,1267,1553,1087
482,740,1158,1603,500,626,367,661,1162,545,1336,394,822,1829,495,692,1267,1539,1043
479,724,1170,1587,523,615,378,661,1162,545,1316,395,822,1722,495,639,1223,1666,904
464,645,1189,1658,527,561,432,534,1289,545,1275,357,822,1777,490,639,1179,1748,470
465,646,1178,1669,527,561,432,471,1352,545,1275,421,817,1787,490,639,1179,1748,469
465,646,1131,1649,594,561,421,248,1460,668,1248,397,817,1784,490,639,1179,1748,469
465,632,1145,1649,594,561,417,218,1491,670,1180,396,817,1784,591,627,1179,1736,469
421,509,1312,1649,594,473,408,313,1493,670,931,396,811,1761,552,685,1087,1682,469
421,509,1312,1647,596,473,343,338,1533,658,882,407,770,1761,626,687,1196,1670,468
421,509,1312,1647,596,473,335,346,1533,608,896,296,639,1719,816,473,1202,1391,468
385,545,1312,1647,596,473,303,377,1452,690,896,290,540,1658,819,683,1207,1391,409
345,633,1312,1637,606,473,283,397,1449,693,896,287,579,1696,819,741,912,1391,409
612,633,1312,1299,944,473,283,389,1434,562,1043,287,440,1877,800,758,871,1390,354
722,633,1282,1296,977,473,275,395,1355,504,1121,281,401,1921,800,713,847,1390,326
731,633,1247,1326,980,459,243,441,1329,511,947,281,402,1922,800,713,751,1376,327
908,633,1247,1326,900,539,208,476,1329,478,977,281,656,1922,631,713,771,1320,658
868,675,1247,1309,871,585,208,476,1316,491,942,342,642,1882,608,707,772,1239,759
873,675,1246,1269,841,639,219,482,1316,478,927,383,651,1565,608,1057,767,1234,776
896,675,1079,1414,765,657,299,472,1307,497,907,383,633,1565,389,1283,767,1138,673
905,675,1079,1372,805,654,304,471,1292,513,901,390,633,1453,482,1283,767,1020,560
962,675,1079,1298,879,647,298,476,1300,424,990,410,633,1379,482,1275,716,1022,610
1078,675,1079,1245,932,647,297,462,1315,424,964,454,676,1376,482,1274,659,1020,652
1090,701,1079,1164,1012,646,299,462,1314,425,846,454,734,1261,482,1268,710,867,652
912,888,1079,1164,1012,564,366,477,1166,573,799,454,753,1249,482,1268,729,878,652
920,888,953,902,1400,525,404,423,1101,693,555,446,753,1249,482,1227,679,860,631
920,888,316,1349,1590,499,430,423,1016,778,526,315,723,1249,576,1209,668,842,631
920,587,607,1303,1646,370,559,423,858,936,518,335,723,1249,573,1209,590,772,631
920,587,604,1305,1647,370,559,423,857,937,515,323,723,1247,573,1096,256,771,631
889,574,646,1209,1745,370,559,421,858,925,528,322,698,1206,573,1100,255,771,629
882,573,650,1194,1764,349,580,387,828,989,528,349,663,1386,573,1081,312,527,628
891,523,702,1191,1767,300,629,373,799,1032,528,418,599,1387,556,1079,312,434,575
891,523,702,1155,1803,300,629,364,678,1146,544,667,458,1212,556,1079,312,358,575
891,482,740,1158,1603,500,626,367,661,1162,545,728,458,858,556,1079,479,358,586
891,479,724,1170,1587,523,615,378,661,1162,545,763,458,839,556,1079,489,184,596
891,464,645,1189,1658,527,561,432,534,1289,545,763,458,763,556,1079,530,118,613
889,465,646,1178,1669,527,561,432,471,1352,545,699,458,812,556,1155,530,174,652
889,465,646,1131,1649,594,561,421,248,1460,668,706,458,825,556,1253,530,193,825
889,465,632,1145,1649,594,561,417,218,1491,670,767,458,959,455,1302,544,381,842
985,421,509,1312,1649,594,473,408,313,1493,670,962,458,959,455,1264,549,630,842
1082,421,509,1312,1647,596,473,343,338,1533,658,951,443,959,381,1190,440,609,842
1090,421,509,1312,1647,596,473,335,346,1533,608,986,501,988,396,1257,434,613,842
1090,385,545,1312,1647,596,473,303,377,1452,690,1014,505,989,432,1091,429,677,842
1042,345,633,1312,1637,606,473,283,397,1449,693,1034,478,951,458,1033,420,682,842
780,612,633,1312,1299,944,473,283,389,1434,562,1040,500,770,476,1065,420,682,842
716,722,633,1282,1296,977,473,275,395,1355,504,1040,490,718,476,1065,425,683,843
710,731,633,1247,1326,980,459,243,441,1329,511,1066,490,717,568,1065,476,683,842
533,908,633,1247,1326,900,539,208,476,1329,478,1184,237,717,694,1065,447,683,511
531,868,675,1247,1309,871,585,208,476,1316,491,1170,239,717,740,1052,446,683,398
839,873,675,1246,1269,841,639,219,482,1316,478,1373,229,689,740,649,446,683,368
839,896,675,1079,1414,765,657,299,472,1307,497,1402,229,689,739,420,446,683,368
863,905,675,1079,1372,805,654,304,471,1292,513,1397,229,720,646,428,446,683,367
865,962,675,1079,1298,879,647,298,476,1300,424,1380,229,722,648,491,446,680,317
749,1078,675,1079,1245,932,647,297,462,1315,424,1336,245,634,650,491,456,680,275
715,1090,701,1079,1164,1012,646,299,462,1314,425,1336,270,634,650,491,379,655,280
713,912,888,1079,1164,1012,564,366,477,1166,573,1336,251,727,650,491,360,715,323
709,920,888,953,902,1400,525,404,423,1101,693,1336,251,762,650,491,360,747,383
890,920,888,316,1349,1590,499,430,423,1016,778,1336,251,762,556,510,374,752,424
1136,920,587,607,1303,1646,370,559,423,858,936,1316,251,762,556,510,375,784,477
1144,920,587,604,1305,1647,370,559,423,857,937,1275,255,799,558,511,375,934,481
1214,889,574,646,1209,1745,370,559,421,858,925,1275,279,730,600,515,375,995,481
1352,882,573,650,1194,1764,349,580,387,828,989,1248,279,526,605,515,318,990,483
1470,891,523,702,1191,1767,300,629,373,799,1032,1180,279,525,605,515,318,977,476
1507,891,523,702,1155,1803,300,629,364,678,1146,931,279,512,605,679,318,969,476
1507,891,482,740,1158,1603,500,626,367,661,1162,882,283,511,605,682,151,976,465
1507,891,479,724,1170,1587,523,615,378,661,1162,896,295,507,605,702,380,977,455
1507,891,464,645,1189,1658,527,561,432,534,1289,896,295,523,605,760,352,961,438
1507,889,465,646,1178,1669,527,561,432,471,1352,896,295,531,605,734,352,928,493
1659,889,465,646,1131,1649,594,561,421,248,1460,1043,299,518,639,689,352,927,338
1758,889,465,632,1145,1649,594,561,417,218,1491,1121,310,385,684,637,338,739,402
1805,985,421,509,1312,1649,594,473,408,313,1493,947,336,406,761,611,333,490,471
1768,1082,421,509,1312,1647,596,473,343,338,1533,977,369,423,942,609,333,489,522
1812,1090,421,509,1312,1647,596,473,335,346,1533,942,311,394,771,542,333,485,547
1828,1090,385,545,1312,1647,596,473,303,377,1452,927,306,519,740,505,406,421,547
2000,1042,345,633,1312,1637,606,473,283,397,1449,907,293,627,806,506,409,416,552
2010,780,612,633,1312,1299,944,473,283,389,1434,901,271,708,788,457,509,423,552
2055,716,722,633,1282,1296,977,473,275,395,1355,990,270,804,845,569,615,422,561
2052,710,731,633,1247,1326,980,459,243,441,1329,964,269,858,797,618,592,422,561
2060,533,908,633,1247,1326,900,539,208,476,1329,846,268,1013,671,668,624,485,563
2065,531,868,675,1247,1309,871,585,208,476,1316,799,266,1046,628,674,624,485,573
1789,839,873,675,1246,1269,841,639,219,482,1316,555,266,1134,629,674,680,565,573
1767,839,896,675,1079,1414,765,657,299,472,1307,526,266,1138,639,674,690,580,573
1734,863,905,675,1079,1372,805,654,304,471,1292,518,266,1108,642,670,690,580,647
1675,865,962,675,1079,1298,879,647,298,476,1300,515,266,1034,802,634,690,628,665
1675,749,1078,675,1079,1245,932,647,297,462,1315,528,207,1034,955,634,680,636,680
1683,715,1090,701,1079,1164,1012,646,299,462,1314,528,126,1035,955,640,680,695,675
1687,713,912,888,1079,1164,1012,564,366,477,1166,528,124,944,955,642,826,697,632
1719,709,920,888,953,902,1400,525,404,423,1101,544,124,909,955,648,832,758,572
1538,890,920,888,316,1349,1590,499,430,423,1016,545,124,909,955,657,856,782,539
1292,1136,920,587,607,1303,1646,370,559,423,858,545,124,924,959,720,855,776,486
1286,1144,920,587,604,1305,1647,370,559,423,857,545,120,888,1143,729,873,885,482
1218,1214,889,574,646,1209,1745,370,559,421,858,545,96,888,1155,737,873,851,520
1080,1352,882,573,650,1194,1764,349,580,387,828,668,97,890,1187,737,893,927,518
951,1470,891,523,702,1191,1767,300,629,373,799,670,97,891,1189,737,937,929,542
914,1507,891,523,702,1155,1803,300,629,364,678,670,97,893,1349,573,946,929,569
928,1507,891,482,740,1158,1603,500,626,367,661,658,93,893,1453,570,946,947,593
928,1507,891,479,724,1170,1587,523,615,378,661,608,87,930,1547,550,716,946,593
997,1507,891,464,645,1189,1658,527,561,432,534,690,95,915,1547,527,707,947,593
997,1507,889,465,646,1178,1669,527,561,432,471,693,116,848,1558,553,826,924,499
845,1659,889,465,646,1131,1649,594,561,421,248,562,167,850,1538,508,1158,906,607
746,1758,889,465,632,1145,1649,594,561,417,218,504,579,849,1549,561,1221,993,619
617,1805,985,421,509,1312,1649,594,473,408,313,511,589,832,1473,654,1252,1105,666
557,1768,1082,421,509,1312,1647,596,473,343,338,478,564,820,1367,778,1270,1122,671
511,1812,1090,421,509,1312,1647,596,473,335,346,491,698,821,1388,848,1373,1128,668
497,1828,1090,385,545,1312,1647,596,473,303,377,478,708,722,1416,842,1403,1196,668
325,2000,1042,345,633,1312,1637,606,473,283,397,497,784,754,1408,841,1452,1279,699
310,2010,780,612,633,1312,1299,944,473,283,389,513,784,702,1425,854,1500,1278,699
219,2055,716,722,633,1282,1296,977,473,275,395,424,788,612,1467,743,1412,1278,689
219,2052,710,731,633,1247,1326,980,459,243,441,424,860,559,1437,694,1394,1320,689
211,2060,533,908,633,1247,1326,900,539,208,476,425,1055,410,1438,644,1362,1292,687
234,2065,531,868,675,1247,1309,871,585,208,476,573,1208,388,1438,636,1362,1293,677
197,1789,839,873,675,1246,1269,841,639,219,482,693,1302,306,1437,641,1306,1213,677
