Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
1154,701,915,200,186,967,1105,953
1206,700,917,194,192,964,1164,931
1207,700,917,194,183,973,1164,852
1162,701,961,194,183,973,1164,724
1159,704,961,194,183,968,1055,716
1159,472,1193,194,183,925,1055,716
877,754,1193,192,154,941,1055,716
980,772,1186,198,155,904,1002,716
1038,695,1264,161,174,903,1002,716
961,708,1330,133,202,708,962,716
1062,750,1330,133,202,653,860,462
1071,748,1327,119,221,597,857,462
1074,717,1358,119,221,380,859,319
1159,717,1303,174,221,341,854,340
1215,819,1297,218,224,323,812,378
1508,822,1275,238,226,308,833,344
1592,889,1196,317,226,303,811,315
1614,889,1196,317,226,303,811,319
1609,857,1238,316,227,303,937,299
1480,963,1262,316,227,292,1032,304
1480,960,1265,316,224,290,1032,304
1479,954,1260,312,221,309,989,238
1462,970,1238,252,272,341,946,238
1281,1165,1182,318,271,343,729,231
1247,1083,1258,358,270,344,735,267
1246,1084,1214,402,253,357,451,272
1246,1084,1193,423,208,357,458,276
1178,1152,1099,517,208,283,457,276
1178,1152,1004,612,208,187,467,276
1360,1152,926,690,208,178,552,317
1392,1152,770,846,205,181,590,317
1390,1154,701,915,200,186,590,447
1375,1206,700,917,194,192,531,468
1374,1207,700,917,194,183,536,468
1398,1162,701,961,194,183,536,471
1399,1159,704,961,194,183,536,471
1399,1159,472,1193,194,183,542,494
1402,877,754,1193,192,154,598,494
1392,980,772,1186,198,155,729,536
1339,1038,695,1264,161,174,829,597
1340,961,708,1330,133,202,832,597
1197,1062,750,1330,133,202,971,597
1194,1071,748,1327,119,221,1021,605
1191,1074,717,1358,119,221,1004,605
1106,1159,717,1303,174,221,1004,522
906,1215,819,1297,218,224,997,433
610,1508,822,1275,238,226,977,777
459,1592,889,1196,317,226,980,777
443,1614,889,1196,317,226,980,885
438,1609,857,1238,316,227,854,1024
437,1480,963,1262,316,227,725,1110
437,1480,960,1265,316,224,710,1225
437,1479,954,1260,312,221,705,1237
445,1462,970,1238,252,272,700,1237
551,1281,1165,1182,318,271,728,1237
551,1247,1083,1258,358,270,714,1199
604,1246,1084,1214,402,253,712,1196
605,1246,1084,1193,423,208,718,1302
608,1178,1152,1099,517,208,753,1326
608,1178,1152,1004,612,208,805,1326
426,1360,1152,926,690,208,861,1474
394,1392,1152,770,846,205,822,1829
395,1390,1154,701,915,200,822,1722
357,1375,1206,700,917,194,822,1777
421,1374,1207,700,917,194,817,1787
397,1398,1162,701,961,194,817,1784
396,1399,1159,704,961,194,817,1784
396,1399,1159,472,1193,194,811,1761
407,1402,877,754,1193,192,770,1761
296,1392,980,772,1186,198,639,1719
290,1339,1038,695,1264,161,540,1658
287,1340,961,708,1330,133,579,1696
287,1197,1062,750,1330,133,440,1877
281,1194,1071,748,1327,119,401,1921
281,1191,1074,717,1358,119,402,1922
281,1106,1159,717,1303,174,656,1922
342,906,1215,819,1297,218,642,1882
383,610,1508,822,1275,238,651,1565
383,459,1592,889,1196,317,633,1565
390,443,1614,889,1196,317,633,1453
410,438,1609,857,1238,316,633,1379
454,437,1480,963,1262,316,676,1376
454,437,1480,960,1265,316,734,1261
454,437,1479,954,1260,312,753,1249
446,445,1462,970,1238,252,753,1249
315,551,1281,1165,1182,318,723,1249
335,551,1247,1083,1258,358,723,1249
323,604,1246,1084,1214,402,723,1247
322,605,1246,1084,1193,423,698,1206
349,608,1178,1152,1099,517,663,1386
418,608,1178,1152,1004,612,599,1387
667,426,1360,1152,926,690,458,1212
728,394,1392,1152,770,846,458,858
763,395,1390,1154,701,915,458,839
763,357,1375,1206,700,917,458,763
699,421,1374,1207,700,917,458,812
706,397,1398,1162,701,961,458,825
767,396,1399,1159,704,961,458,959
962,396,1399,1159,472,1193,458,959
951,407,1402,877,754,1193,443,959
986,296,1392,980,772,1186,501,988
1014,290,1339,1038,695,1264,505,989
1034,287,1340,961,708,1330,478,951
1040,287,1197,1062,750,1330,500,770
1040,281,1194,1071,748,1327,490,718
1066,281,1191,1074,717,1358,490,717
1184,281,1106,1159,717,1303,237,717
1170,342,906,1215,819,1297,239,717
1373,383,610,1508,822,1275,229,689
1402,383,459,1592,889,1196,229,689
1397,390,443,1614,889,1196,229,720
1380,410,438,1609,857,1238,229,722
1336,454,437,1480,963,1262,245,634
1336,454,437,1480,960,1265,270,634
