Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
803,924,928,174,1748,122,721,441
832,906,927,193,1748,122,595,428
757,993,739,381,1736,134,502,433
714,1105,490,630,1682,188,386,433
707,1122,489,609,1670,222,336,485
777,1128,485,613,1391,501,314,485
709,1196,421,677,1391,482,314,486
704,1279,416,682,1391,465,278,517
706,1278,423,682,1390,465,278,517
735,1278,422,683,1390,461,278,532
731,1320,422,683,1376,475,319,538
698,1292,485,683,1320,531,319,578
704,1293,485,683,1239,612,319,578
712,1213,565,683,1234,617,319,578
712,1198,580,683,1138,713,307,578
668,1242,580,683,1020,831,247,522
746,1194,628,680,1022,832,374,515
904,1186,636,680,1020,834,374,513
959,1127,695,655,867,1012,354,506
1014,1045,697,715,878,1021,380,650
1015,947,758,747,860,1044,387,650
1015,918,782,752,842,1062,387,635
1015,892,776,784,772,1132,387,608
1015,633,885,934,771,1113,387,562
1015,606,851,995,771,1113,391,545
1015,529,927,990,527,1363,384,545
1036,527,929,977,434,1469,357,545
1036,527,929,969,358,1553,346,530
1039,502,947,976,358,1539,345,528
914,627,946,977,184,1666,311,530
836,705,947,961,118,1748,247,525
738,803,924,928,174,1748,230,500
709,832,906,927,193,1748,230,516
697,757,993,739,381,1736,230,513
628,714,1105,490,630,1682,230,513
622,707,1122,489,609,1670,224,461
591,777,1128,485,613,1391,224,461
601,709,1196,421,677,1391,225,460
707,704,1279,416,682,1391,246,429
706,706,1278,423,682,1390,258,429
704,735,1278,422,683,1390,270,479
801,731,1320,422,683,1376,229,518
914,698,1292,485,683,1320,239,593
930,704,1293,485,683,1239,239,726
1066,712,1213,565,683,1234,240,745
1066,712,1198,580,683,1138,431,746
1066,668,1242,580,683,1020,444,746
988,746,1194,628,680,1022,339,666
830,904,1186,636,680,1020,427,605
775,959,1127,695,655,867,433,609
720,1014,1045,697,715,878,417,526
732,1015,947,758,747,860,446,558
732,1015,918,782,752,842,446,558
777,1015,892,776,784,772,446,555
880,1015,633,885,934,771,446,555
999,1015,606,851,995,771,442,555
1016,1015,529,927,990,527,441,568
1042,1036,527,929,977,434,464,568
1206,1036,527,929,969,358,486,567
1294,1039,502,947,976,358,515,567
1328,914,627,946,977,184,522,565
1412,836,705,947,961,118,674,548
1412,738,803,924,928,174,674,553
1429,709,832,906,927,193,675,543
1499,697,757,993,739,381,687,544
1523,628,714,1105,490,630,691,550
1519,622,707,1122,489,609,762,554
1509,591,777,1128,485,613,822,560
1499,601,709,1196,421,677,832,560
1315,707,704,1279,416,682,817,573
1308,706,706,1278,423,682,805,594
1281,704,735,1278,422,683,793,529
1146,801,731,1320,422,683,793,484
1031,914,698,1292,485,683,783,369
1008,930,704,1293,485,683,783,236
870,1066,712,1213,565,683,782,217
920,1066,712,1198,580,683,591,216
955,1066,668,1242,580,683,573,216
992,988,746,1194,628,680,591,216
992,830,904,1186,636,680,516,187
1207,775,959,1127,695,655,510,190
1211,720,1014,1045,697,715,500,129
1219,732,1015,947,758,747,634,106
1224,732,1015,918,782,752,717,106
1179,777,1015,892,776,784,721,162
1076,880,1015,633,885,934,768,184
976,999,1015,606,851,995,805,189
972,1016,1015,529,927,990,875,227
954,1042,1036,527,929,977,958,252
831,1206,1036,527,929,969,950,252
740,1294,1039,502,947,976,1056,252
706,1328,914,627,946,977,1104,252
621,1412,836,705,947,961,977,252
621,1412,738,803,924,928,977,263
604,1429,709,832,906,927,976,265
534,1499,697,757,993,739,964,318
510,1523,628,714,1105,490,960,340
510,1519,622,707,1122,489,889,342
475,1509,591,777,1128,485,829,336
475,1499,601,709,1196,421,818,336
475,1315,707,704,1279,416,815,323
475,1308,706,706,1278,423,823,302
475,1281,704,735,1278,422,846,302
475,1146,801,731,1320,422,856,302
475,1031,914,698,1292,485,915,342
475,1008,930,704,1293,485,922,383
469,870,1066,712,1213,565,922,383
419,920,1066,712,1198,580,922,406
384,955,1066,668,1242,580,922,470
347,992,988,746,1194,628,877,476
347,992,830,904,1186,636,906,476
132,1207,775,959,1127,695,906,460
128,1211,720,1014,1045,697,906,463
107,1219,732,1015,947,758,736,455
102,1224,732,1015,918,782,653,564
102,1179,777,1015,892,776,682,568
102,1076,880,1015,633,885,635,545
83,976,999,1015,606,851,598,551
136,972,1016,1015,529,927,528,500
107,954,1042,1036,527,929,520,475
66,831,1206,1036,527,929,517,475
66,740,1294,1039,502,947,382,475
66,706,1328,914,627,946,327,545
90,621,1412,836,705,947,302,568
92,621,1412,738,803,924,317,559
92,604,1429,709,832,906,317,565
198,534,1499,697,757,993,317,607
279,510,1523,628,714,1105,427,590
370,510,1519,622,707,1122,432,584
370,475,1509,591,777,1128,432,584
398,475,1499,601,709,1196,432,584
413,475,1315,707,704,1279,557,584
433,475,1308,706,706,1278,571,677
444,475,1281,704,735,1278,548,766
479,475,1146,801,731,1320,538,766
638,475,1031,914,698,1292,876,726
724,475,1008,930,704,1293,869,685
724,469,870,1066,712,1213,908,685
762,419,920,1066,712,1198,959,662
902,384,955,1066,668,1242,1144,723
903,347,992,988,746,1194,1191,721
903,347,992,830,904,1186,1160,722
903,132,1207,775,959,1127,1173,737
903,128,1211,720,1014,1045,1197,734
951,107,1219,732,1015,947,1247,733
1112,102,1224,732,1015,918,1385,624
1159,102,1179,777,1015,892,1384,563
1177,102,1076,880,1015,633,1384,563
1183,83,976,999,1015,606,1487,796
1123,136,972,1016,1015,529,1512,796
1195,107,954,1042,1036,527,1428,796
1443,66,831,1206,1036,527,1468,796
1443,66,740,1294,1039,502,1468,796
1443,66,706,1328,914,627,1468,772
1419,90,621,1412,836,705,1470,749
1417,92,621,1412,738,803,1456,740
1417,92,604,1429,709,832,1456,758
1311,198,534,1499,697,757,1456,660
1261,279,510,1523,628,714,1346,649
1204,370,510,1519,622,707,1341,649
1278,370,475,1509,591,777,1341,649
1250,398,475,1499,601,709,1341,649
1235,413,475,1315,707,704,1213,649
1220,433,475,1308,706,706,1191,556
1237,444,475,1281,704,735,1288,468
1290,479,475,1146,801,731,1338,468
1175,638,475,1031,914,698,941,468
1213,724,475,1008,930,704,941,468
1267,724,469,870,1066,712,1017,468
1230,762,419,920,1066,712,1114,468
1122,902,384,955,1066,668,929,343
1173,903,347,992,988,746,898,339
1266,903,347,992,830,904,879,338
1383,903,132,1207,775,959,866,323
1425,903,128,1211,720,1014,842,323
1448,951,107,1219,732,1015,933,325
1409,1112,102,1224,732,1015,803,326
1376,1159,102,1179,777,1015,782,326
1399,1177,102,1076,880,1015,782,376
1401,1183,83,976,999,1015,681,334
1398,1123,136,972,1016,1015,656,392
1374,1195,107,954,1042,1036,642,456
1320,1443,66,831,1206,1036,591,505
1495,1443,66,740,1294,1039,591,505
1529,1443,66,706,1328,914,591,493
1589,1419,90,621,1412,836,608,507
1618,1417,92,621,1412,738,624,759
1618,1417,92,604,1429,709,625,772
1713,1311,198,534,1499,697,629,848
1689,1261,279,510,1523,628,629,848
1656,1204,370,510,1519,622,629,848
1583,1278,370,475,1509,591,629,848
1591,1250,398,475,1499,601,629,848
1593,1235,413,475,1315,707,629,848
1588,1220,433,475,1308,706,629,848
1560,1237,444,475,1281,704,532,847
1472,1290,479,475,1146,801,482,847
1428,1175,638,475,1031,914,482,847
1304,1213,724,475,1008,930,482,957
1307,1267,724,469,870,1066,367,957
1382,1230,762,419,920,1066,219,1024
1417,1122,902,384,955,1066,219,1024
1369,1173,903,347,992,988,223,1024
1313,1266,903,347,992,830,223,1027
1197,1383,903,132,1207,775,223,1076
1155,1425,903,128,1211,720,223,1093
1084,1448,951,107,1219,732,82,1091
962,1409,1112,102,1224,732,88,1134
992,1376,1159,102,1179,777,124,1273
995,1399,1177,102,1076,880,124,1657
987,1401,1183,83,976,999,122,1456
984,1398,1123,136,972,1016,122,1398
936,1374,1195,107,954,1042,134,1334
834,1320,1443,66,831,1206,188,1285
659,1495,1443,66,740,1294,222,1286
625,1529,1443,66,706,1328,501,1252
565,1589,1419,90,621,1412,482,1297
840,1618,1417,92,621,1412,465,1045
881,1618,1417,92,604,1429,465,1055
810,1713,1311,198,534,1499,461,1007
899,1689,1261,279,510,1523,475,1007
907,1656,1204,370,510,1519,531,1007
906,1583,1278,370,475,1509,612,1019
903,1591,1250,398,475,1499,617,1032
901,1593,1235,413,475,1315,713,1135
901,1588,1220,433,475,1308,831,1249
952,1560,1237,444,475,1281,832,1249
1009,1472,1290,479,475,1146,834,1249
1035,1428,1175,638,475,1031,1012,1249
1035,1304,1213,724,475,1008,1021,1139
1028,1307,1267,724,469,870,1044,1160
963,1382,1230,762,419,920,1062,1093
974,1417,1122,902,384,955,1132,1093
1304,1369,1173,903,347,992,1113,1093
1268,1313,1266,903,347,992,1113,1092
1267,1197,1383,903,132,1207,1363,1044
1267,1155,1425,903,128,1211,1469,1087
1267,1084,1448,951,107,1219,1553,1087
1267,962,1409,1112,102,1224,1539,1043
1223,992,1376,1159,102,1179,1666,904
1179,995,1399,1177,102,1076,1748,470
1179,987,1401,1183,83,976,1748,469
1179,984,1398,1123,136,972,1748,469
1179,936,1374,1195,107,954,1736,469
1087,834,1320,1443,66,831,1682,469
1196,659,1495,1443,66,740,1670,468
1202,625,1529,1443,66,706,1391,468
1207,565,1589,1419,90,621,1391,409
912,840,1618,1417,92,621,1391,409
871,881,1618,1417,92,604,1390,354
847,810,1713,1311,198,534,1390,326
751,899,1689,1261,279,510,1376,327
771,907,1656,1204,370,510,1320,658
772,906,1583,1278,370,475,1239,759
767,903,1591,1250,398,475,1234,776
767,901,1593,1235,413,475,1138,673
767,901,1588,1220,433,475,1020,560
716,952,1560,1237,444,475,1022,610
659,1009,1472,1290,479,475,1020,652
710,1035,1428,1175,638,475,867,652
729,1035,1304,1213,724,475,878,652
679,1028,1307,1267,724,469,860,631
