Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
1269,841,639,219,482,1316,822,674
1414,765,657,299,472,1307,889,711
1372,805,654,304,471,1292,889,698
1298,879,647,298,476,1300,857,690
1245,932,647,297,462,1315,963,726
1164,1012,646,299,462,1314,960,741
1164,1012,564,366,477,1166,954,760
902,1400,525,404,423,1101,970,754
1349,1590,499,430,423,1016,1165,864
1303,1646,370,559,423,858,1083,811
1305,1647,370,559,423,857,1084,1097
1209,1745,370,559,421,858,1084,1101
1194,1764,349,580,387,828,1152,1102
1191,1767,300,629,373,799,1152,1104
1155,1803,300,629,364,678,1152,1104
1158,1603,500,626,367,661,1152,1105
1170,1587,523,615,378,661,1154,1105
1189,1658,527,561,432,534,1206,1164
1178,1669,527,561,432,471,1207,1164
1131,1649,594,561,421,248,1162,1164
1145,1649,594,561,417,218,1159,1055
1312,1649,594,473,408,313,1159,1055
1312,1647,596,473,343,338,877,1055
1312,1647,596,473,335,346,980,1002
1312,1647,596,473,303,377,1038,1002
1312,1637,606,473,283,397,961,962
1312,1299,944,473,283,389,1062,860
1282,1296,977,473,275,395,1071,857
1247,1326,980,459,243,441,1074,859
1247,1326,900,539,208,476,1159,854
1247,1309,871,585,208,476,1215,812
1246,1269,841,639,219,482,1508,833
1079,1414,765,657,299,472,1592,811
1079,1372,805,654,304,471,1614,811
1079,1298,879,647,298,476,1609,937
1079,1245,932,647,297,462,1480,1032
1079,1164,1012,646,299,462,1480,1032
1079,1164,1012,564,366,477,1479,989
953,902,1400,525,404,423,1462,946
316,1349,1590,499,430,423,1281,729
607,1303,1646,370,559,423,1247,735
604,1305,1647,370,559,423,1246,451
646,1209,1745,370,559,421,1246,458
650,1194,1764,349,580,387,1178,457
702,1191,1767,300,629,373,1178,467
702,1155,1803,300,629,364,1360,552
740,1158,1603,500,626,367,1392,590
724,1170,1587,523,615,378,1390,590
645,1189,1658,527,561,432,1375,531
646,1178,1669,527,561,432,1374,536
646,1131,1649,594,561,421,1398,536
632,1145,1649,594,561,417,1399,536
509,1312,1649,594,473,408,1399,542
509,1312,1647,596,473,343,1402,598
509,1312,1647,596,473,335,1392,729
545,1312,1647,596,473,303,1339,829
633,1312,1637,606,473,283,1340,832
633,1312,1299,944,473,283,1197,971
633,1282,1296,977,473,275,1194,1021
633,1247,1326,980,459,243,1191,1004
633,1247,1326,900,539,208,1106,1004
675,1247,1309,871,585,208,906,997
675,1246,1269,841,639,219,610,977
675,1079,1414,765,657,299,459,980
675,1079,1372,805,654,304,443,980
675,1079,1298,879,647,298,438,854
675,1079,1245,932,647,297,437,725
701,1079,1164,1012,646,299,437,710
888,1079,1164,1012,564,366,437,705
888,953,902,1400,525,404,445,700
888,316,1349,1590,499,430,551,728
587,607,1303,1646,370,559,551,714
587,604,1305,1647,370,559,604,712
574,646,1209,1745,370,559,605,718
573,650,1194,1764,349,580,608,753
523,702,1191,1767,300,629,608,805
523,702,1155,1803,300,629,426,861
482,740,1158,1603,500,626,394,822
479,724,1170,1587,523,615,395,822
464,645,1189,1658,527,561,357,822
465,646,1178,1669,527,561,421,817
465,646,1131,1649,594,561,397,817
465,632,1145,1649,594,561,396,817
421,509,1312,1649,594,473,396,811
421,509,1312,1647,596,473,407,770
421,509,1312,1647,596,473,296,639
385,545,1312,1647,596,473,290,540
345,633,1312,1637,606,473,287,579
612,633,1312,1299,944,473,287,440
722,633,1282,1296,977,473,281,401
731,633,1247,1326,980,459,281,402
908,633,1247,1326,900,539,281,656
868,675,1247,1309,871,585,342,642
873,675,1246,1269,841,639,383,651
896,675,1079,1414,765,657,383,633
905,675,1079,1372,805,654,390,633
962,675,1079,1298,879,647,410,633
1078,675,1079,1245,932,647,454,676
1090,701,1079,1164,1012,646,454,734
912,888,1079,1164,1012,564,454,753
920,888,953,902,1400,525,446,753
920,888,316,1349,1590,499,315,723
920,587,607,1303,1646,370,335,723
920,587,604,1305,1647,370,323,723
889,574,646,1209,1745,370,322,698
882,573,650,1194,1764,349,349,663
891,523,702,1191,1767,300,418,599
891,523,702,1155,1803,300,667,458
891,482,740,1158,1603,500,728,458
891,479,724,1170,1587,523,763,458
891,464,645,1189,1658,527,763,458
889,465,646,1178,1669,527,699,458
889,465,646,1131,1649,594,706,458
889,465,632,1145,1649,594,767,458
985,421,509,1312,1649,594,962,458
1082,421,509,1312,1647,596,951,443
1090,421,509,1312,1647,596,986,501
1090,385,545,1312,1647,596,1014,505
1042,345,633,1312,1637,606,1034,478
780,612,633,1312,1299,944,1040,500
716,722,633,1282,1296,977,1040,490
710,731,633,1247,1326,980,1066,490
533,908,633,1247,1326,900,1184,237
531,868,675,1247,1309,871,1170,239
839,873,675,1246,1269,841,1373,229
839,896,675,1079,1414,765,1402,229
863,905,675,1079,1372,805,1397,229
865,962,675,1079,1298,879,1380,229
749,1078,675,1079,1245,932,1336,245
715,1090,701,1079,1164,1012,1336,270
713,912,888,1079,1164,1012,1336,251
709,920,888,953,902,1400,1336,251
890,920,888,316,1349,1590,1336,251
1136,920,587,607,1303,1646,1316,251
1144,920,587,604,1305,1647,1275,255
1214,889,574,646,1209,1745,1275,279
1352,882,573,650,1194,1764,1248,279
