Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
901,848,531,812,1787,468,1119,444
1010,850,518,825,1784,471,1106,436
1092,849,385,959,1784,471,1050,383
1091,832,406,959,1761,494,1049,290
1086,820,423,959,1761,494,974,169
1314,821,394,988,1719,536,919,99
1335,722,519,989,1658,597,886,98
1203,754,627,951,1696,597,802,98
1293,702,708,770,1877,597,798,85
1287,612,804,718,1921,605,706,84
1306,559,858,717,1922,605,692,84
1325,410,1013,717,1922,522,691,84
1365,388,1046,717,1882,433,709,84
1364,306,1134,689,1565,777,709,88
1415,302,1138,689,1565,777,709,88
1384,332,1108,720,1453,885,774,88
1369,347,1034,722,1379,1024,845,81
1359,377,1034,634,1376,1110,845,263
1255,480,1035,634,1261,1225,840,365
1248,495,944,727,1249,1237,833,356
1166,577,909,762,1249,1237,815,354
1026,717,909,762,1249,1237,645,381
919,809,924,762,1249,1199,634,750
844,883,888,799,1247,1196,602,750
868,884,888,730,1206,1302,549,750
898,882,890,526,1386,1326,549,750
896,883,891,525,1387,1326,519,750
900,887,893,512,1212,1474,535,750
928,889,893,511,858,1829,468,750
928,852,930,507,839,1722,417,750
928,851,915,523,763,1777,351,736
878,901,848,531,812,1787,357,736
770,1010,850,518,825,1784,441,764
708,1092,849,385,959,1784,604,771
705,1091,832,406,959,1761,607,778
705,1086,820,423,959,1761,644,775
476,1314,821,394,988,1719,644,775
428,1335,722,519,989,1658,641,786
428,1203,754,627,951,1696,641,786
309,1293,702,708,770,1877,628,888
311,1287,612,804,718,1921,621,1042
309,1306,559,858,717,1922,622,1063
347,1325,410,1013,717,1922,622,1083
316,1365,388,1046,717,1882,601,1086
321,1364,306,1134,689,1565,620,1077
351,1415,302,1138,689,1565,627,1080
359,1384,332,1108,720,1453,562,1148
359,1369,347,1034,722,1379,517,1139
339,1359,377,1034,634,1376,556,951
339,1255,480,1035,634,1261,556,848
337,1248,495,944,727,1249,556,837
337,1166,577,909,762,1249,570,837
337,1026,717,909,762,1249,574,835
337,919,809,924,762,1249,708,485
367,844,883,888,799,1247,708,485
342,868,884,888,730,1206,749,485
391,898,882,890,526,1386,778,485
399,896,883,891,525,1387,804,489
388,900,887,893,512,1212,982,489
358,928,889,893,511,858,935,508
358,928,852,930,507,839,931,510
358,928,851,915,523,763,910,510
358,878,901,848,531,812,901,632
355,770,1010,850,518,825,816,672
378,708,1092,849,385,959,692,720
378,705,1091,832,406,959,689,713
378,705,1086,820,423,959,652,765
378,476,1314,821,394,988,652,780
378,428,1335,722,519,989,652,837
370,428,1203,754,627,951,652,838
370,309,1293,702,708,770,652,743
388,311,1287,612,804,718,652,592
375,309,1306,559,858,717,651,571
312,347,1325,410,1013,717,651,551
297,316,1365,388,1046,717,651,548
296,321,1364,306,1134,689,632,548
215,351,1415,302,1138,689,625,545
219,359,1384,332,1108,720,628,477
219,359,1369,347,1034,722,782,466
219,339,1359,377,1034,634,820,466
219,339,1255,480,1035,634,824,462
211,337,1248,495,944,727,824,534
211,337,1166,577,909,762,804,547
211,337,1026,717,909,762,797,571
211,337,919,809,924,762,790,600
181,367,844,883,888,799,807,622
181,342,868,884,888,730,784,648
102,391,898,882,890,526,816,654
94,399,896,883,891,525,821,650
124,388,900,887,893,512,645,650
154,358,928,889,893,511,628,631
197,358,928,852,930,507,688,629
259,358,928,851,915,523,697,629
330,358,878,901,848,531,736,507
330,355,770,1010,850,518,739,439
297,378,708,1092,849,385,700,384
297,378,705,1091,832,406,700,388
297,378,705,1086,820,423,725,340
297,378,476,1314,821,394,725,326
297,378,428,1335,722,519,725,258
297,370,428,1203,754,627,725,257
317,370,309,1293,702,708,731,250
297,388,311,1287,612,804,735,247
292,375,309,1306,559,858,735,247
292,312,347,1325,410,1013,735,247
287,297,316,1365,388,1046,735,290
295,296,321,1364,306,1134,735,492
295,215,351,1415,302,1138,735,578
283,219,359,1384,332,1108,732,578
283,219,359,1369,347,1034,552,578
283,219,339,1359,377,1034,475,578
283,219,339,1255,480,1035,471,578
288,211,337,1248,495,944,471,505
314,211,337,1166,577,909,471,492
314,211,337,1026,717,909,500,448
314,211,337,919,809,924,373,471
314,181,367,844,883,888,311,451
352,181,342,868,884,888,289,479
360,102,391,898,882,890,228,473
390,94,399,896,883,891,198,473
360,124,388,900,887,893,190,473
330,154,358,928,889,893,275,473
287,197,358,928,852,930,276,473
225,259,358,928,851,915,267,473
154,330,358,878,901,848,228,475
154,330,355,770,1010,850,486,475
144,297,378,708,1092,849,507,475
144,297,378,705,1091,832,507,476
186,297,378,705,1086,820,533,540
186,297,378,476,1314,821,533,683
186,297,378,428,1335,722,632,721
186,297,370,428,1203,754,632,776
179,317,370,309,1293,702,626,776
187,297,388,311,1287,612,627,935
187,292,375,309,1306,559,627,983
187,292,312,347,1325,410,627,983
218,287,297,316,1365,388,693,945
255,295,296,321,1364,306,693,743
364,295,215,351,1415,302,693,662
425,283,219,359,1384,332,693,662
425,283,219,359,1369,347,693,703
433,283,219,339,1359,377,693,703
433,283,219,339,1255,480,693,703
428,288,211,337,1248,495,693,703
402,314,211,337,1166,577,765,703
402,314,211,337,1026,717,866,709
402,314,211,337,919,809,871,639
402,314,181,367,844,883,893,648
364,352,181,342,868,884,972,594
356,360,102,391,898,882,1100,594
435,390,94,399,896,883,1106,594
435,360,124,388,900,887,1096,594
