Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
2057,116,295,458,817,901,1119,444,989,803,721
2057,167,299,458,817,1010,1106,436,657,832,595
1690,579,310,458,817,1092,1050,383,610,757,502
1871,589,336,458,811,1091,1049,290,580,714,386
1902,564,369,443,770,1086,974,169,667,707,336
1787,698,311,501,639,1314,919,99,588,777,314
1792,708,306,505,540,1335,886,98,546,709,314
1719,784,293,478,579,1203,802,98,497,704,278
1719,784,271,500,440,1293,798,85,389,706,278
1715,788,270,490,401,1287,706,84,367,735,278
1654,860,269,490,402,1306,692,84,411,731,319
1464,1055,268,237,656,1325,691,84,430,698,319
1311,1208,266,239,642,1365,709,84,430,704,319
1217,1302,266,229,651,1364,709,88,434,712,319
911,1608,266,229,633,1415,709,88,448,712,307
860,1659,266,229,633,1384,774,88,534,668,247
852,1671,266,229,633,1369,845,81,654,746,374
897,1669,207,245,676,1359,845,263,683,904,374
948,1690,126,270,734,1255,840,365,690,959,354
1015,1719,124,251,753,1248,833,356,694,1014,380
1006,1737,124,251,753,1166,815,354,748,1015,387
985,1758,124,251,723,1026,645,381,803,1015,387
967,1776,124,251,723,919,634,750,803,1015,387
964,1779,120,255,723,844,602,750,815,1015,387
973,1779,96,279,698,868,549,750,815,1015,391
973,1778,97,279,663,898,549,750,793,1015,384
968,1783,97,279,599,896,519,750,792,1036,357
925,1826,97,279,458,900,535,750,790,1036,346
941,1841,93,283,458,928,468,750,722,1039,345
904,1872,87,295,458,928,417,750,746,914,311
903,1883,95,295,458,928,351,736,780,836,247
708,2057,116,295,458,878,357,736,991,738,230
653,2057,167,299,458,770,441,764,994,709,230
597,1690,579,310,458,708,604,771,978,697,230
380,1871,589,336,458,705,607,778,1049,628,230
341,1902,564,369,443,705,644,775,1086,622,224
323,1787,698,311,501,476,644,775,1304,591,224
308,1792,708,306,505,428,641,786,1243,601,225
303,1719,784,293,478,428,641,786,1240,707,246
303,1719,784,271,500,309,628,888,1200,706,258
303,1715,788,270,490,311,621,1042,1199,704,270
292,1654,860,269,490,309,622,1063,1145,801,229
290,1464,1055,268,237,347,622,1083,1126,914,239
309,1311,1208,266,239,316,601,1086,1126,930,239
341,1217,1302,266,229,321,620,1077,1122,1066,240
343,911,1608,266,229,351,627,1080,1108,1066,431
344,860,1659,266,229,359,562,1148,1022,1066,444
357,852,1671,266,229,359,517,1139,902,988,339
357,897,1669,207,245,339,556,951,873,830,427
283,948,1690,126,270,339,556,848,866,775,433
187,1015,1719,124,251,337,556,837,884,720,417
178,1006,1737,124,251,337,570,837,830,732,446
181,985,1758,124,251,337,574,835,775,732,446
186,967,1776,124,251,337,708,485,775,777,446
192,964,1779,120,255,367,708,485,763,880,446
183,973,1779,96,279,342,749,485,776,999,442
183,973,1778,97,279,391,778,485,835,1016,441
183,968,1783,97,279,399,804,489,835,1042,464
183,925,1826,97,279,388,982,489,914,1206,486
154,941,1841,93,283,358,935,508,1079,1294,515
155,904,1872,87,295,358,931,510,1071,1328,522
174,903,1883,95,295,358,910,510,1087,1412,674
202,708,2057,116,295,358,901,632,920,1412,674
202,653,2057,167,299,355,816,672,917,1429,675
221,597,1690,579,310,378,692,720,917,1499,687
221,380,1871,589,336,378,689,713,846,1523,691
221,341,1902,564,369,378,652,765,704,1519,762
224,323,1787,698,311,378,652,780,463,1509,822
226,308,1792,708,306,378,652,837,513,1499,832
226,303,1719,784,293,370,652,838,715,1315,817
226,303,1719,784,271,370,652,743,786,1308,805
227,303,1715,788,270,388,652,592,812,1281,793
227,292,1654,860,269,375,651,571,863,1146,793
224,290,1464,1055,268,312,651,551,892,1031,783
221,309,1311,1208,266,297,651,548,1008,1008,783
272,341,1217,1302,266,296,632,548,1018,870,782
271,343,911,1608,266,215,625,545,1018,920,591
270,344,860,1659,266,219,628,477,1022,955,573
253,357,852,1671,266,219,782,466,1055,992,591
208,357,897,1669,207,219,820,466,1231,992,516
208,283,948,1690,126,219,824,462,1254,1207,510
208,187,1015,1719,124,211,824,534,1232,1211,500
208,178,1006,1737,124,211,804,547,1251,1219,634
205,181,985,1758,124,211,797,571,1251,1224,717
200,186,967,1776,124,211,790,600,1256,1179,721
194,192,964,1779,120,181,807,622,1327,1076,768
194,183,973,1779,96,181,784,648,1358,976,805
194,183,973,1778,97,102,816,654,1299,972,875
194,183,968,1783,97,94,821,650,1306,954,958
194,183,925,1826,97,124,645,650,1233,831,950
192,154,941,1841,93,154,628,631,1068,740,1056
198,155,904,1872,87,197,688,629,1040,706,1104
161,174,903,1883,95,259,697,629,989,621,977
133,202,708,2057,116,330,736,507,945,621,977
133,202,653,2057,167,330,739,439,977,604,976
119,221,597,1690,579,297,700,384,1094,534,964
119,221,380,1871,589,297,700,388,1112,510,960
174,221,341,1902,564,297,725,340,1112,510,889
218,224,323,1787,698,297,725,326,1158,475,829
238,226,308,1792,708,297,725,258,1108,475,818
317,226,303,1719,784,297,725,257,917,475,815
317,226,303,1719,784,317,731,250,852,475,823
316,227,303,1715,788,297,735,247,888,475,846
316,227,292,1654,860,292,735,247,930,475,856
316,224,290,1464,1055,292,735,247,927,475,915
