Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
1209,1400,707,1205,884,497,619,1423,229,49,726
1209,1378,729,1197,854,472,685,1450,229,53,667
1288,1338,769,1182,869,468,685,1519,229,160,666
1271,1355,769,1182,869,518,678,1475,229,183,666
1253,1322,820,1181,870,482,661,1211,227,183,666
1157,1341,897,1051,946,506,663,1097,427,172,666
1123,1375,874,1036,939,542,668,1069,517,177,666
1058,1426,823,1092,948,546,693,937,516,207,665
1021,1424,753,999,1147,551,626,841,517,207,665
1013,1374,727,839,1391,551,626,839,587,207,665
929,1441,670,907,1343,551,675,786,617,207,665
871,1452,668,956,1240,554,681,755,638,207,623
870,1384,708,985,1221,579,673,750,653,201,623
870,1331,758,987,1222,550,595,747,653,189,623
881,1309,780,952,1104,494,551,747,653,189,623
787,1336,851,952,1070,450,332,744,678,190,623
779,1330,717,1144,1056,438,319,631,710,212,653
769,1334,723,1147,1020,389,327,630,710,329,757
785,1263,794,1147,898,409,368,582,849,430,806
760,1263,819,1147,881,473,369,515,851,495,621
750,1267,815,1157,868,470,367,515,927,495,520
748,1161,923,1154,871,591,343,437,1054,498,474
745,952,1135,1141,851,594,311,430,1054,528,473
745,920,1167,1128,863,594,286,430,1054,531,473
745,868,1219,1123,868,523,260,430,1054,523,473
474,1064,1280,1051,954,557,260,448,1054,568,509
415,1087,1305,980,1036,590,260,454,1027,641,449
385,1117,1272,924,1124,591,259,369,930,713,421
366,1123,1285,859,1188,607,293,460,883,713,438
312,1057,1404,817,1172,624,293,430,872,705,470
157,1209,1400,744,1200,756,316,431,861,705,448
157,1209,1400,707,1205,756,316,553,861,705,449
159,1209,1378,729,1197,756,250,526,861,840,472
90,1288,1338,769,1182,756,285,513,861,749,512
117,1271,1355,769,1182,769,396,513,861,726,552
117,1253,1322,820,1181,809,443,513,860,726,599
117,1157,1341,897,1051,997,487,512,657,726,610
117,1123,1375,874,1036,940,488,512,557,721,610
208,1058,1426,823,1092,936,517,620,731,691,645
222,1021,1424,753,999,931,540,620,866,691,645
222,1013,1374,727,839,938,540,628,796,691,645
356,929,1441,670,907,947,491,628,766,691,646
364,871,1452,668,956,944,485,644,885,691,646
364,870,1384,708,985,858,492,676,870,691,658
364,870,1331,758,987,857,822,680,1077,691,689
353,881,1309,780,952,857,822,732,1116,691,689
666,787,1336,851,952,857,822,756,1090,690,705
678,779,1330,717,1144,832,822,771,1092,668,649
748,769,1334,723,1147,811,814,775,1310,551,577
733,785,1263,794,1147,789,773,776,1171,450,508
733,760,1263,819,1147,725,770,776,1178,385,506
733,750,1267,815,1157,725,779,776,1144,480,506
733,748,1161,923,1154,607,813,776,1098,484,533
733,745,952,1135,1141,603,812,776,1180,464,533
733,745,920,1167,1128,609,812,776,1410,461,533
733,745,868,1219,1123,610,812,776,1516,466,533
733,474,1064,1280,1051,618,812,764,1606,417,497
757,415,1087,1305,980,585,930,749,1747,344,497
791,385,1117,1272,924,584,1024,716,1843,272,487
791,366,1123,1285,859,568,991,485,1843,273,470
791,312,1057,1404,817,551,1016,477,1871,286,438
793,157,1209,1400,744,405,1053,514,1911,295,408
793,157,1209,1400,707,486,1053,410,1921,316,389
791,159,1209,1378,729,717,1053,410,1989,251,400
781,90,1288,1338,769,717,1018,354,2059,250,384
754,117,1271,1355,769,896,907,354,2314,295,359
772,117,1253,1322,820,883,858,354,2317,366,312
929,117,1157,1341,897,667,1022,354,2322,383,301
937,117,1123,1375,874,887,1062,410,2331,395,301
846,208,1058,1426,823,920,1003,301,2139,395,266
832,222,1021,1424,753,1176,980,314,2003,419,266
854,222,1013,1374,727,1208,980,339,2003,426,266
721,356,929,1441,670,1211,980,356,2003,426,272
759,364,871,1452,668,1219,1190,360,1868,426,273
1039,364,870,1384,708,1328,1177,424,1868,426,261
1156,364,870,1331,758,1364,809,421,1766,426,230
1165,353,881,1309,780,1402,824,391,1727,426,268
848,666,787,1336,851,1415,824,454,1727,426,252
834,678,779,1330,717,1415,824,543,1821,426,252
820,748,769,1334,723,1415,824,540,1628,426,217
890,733,785,1263,794,1415,824,539,1679,426,158
893,733,760,1263,819,1415,824,539,1701,426,158
893,733,750,1267,815,1415,826,539,1659,331,158
893,733,748,1161,923,1412,792,539,1578,324,209
909,733,745,952,1135,1562,792,552,1496,363,209
909,733,745,920,1167,1588,792,552,1283,364,209
909,733,745,868,1219,1596,792,552,1189,359,209
909,733,474,1064,1280,1758,792,544,1099,359,293
885,757,415,1087,1305,1816,674,544,959,359,350
851,791,385,1117,1272,1837,580,526,863,359,358
851,791,366,1123,1285,1971,579,587,863,364,358
851,791,312,1057,1404,1971,554,587,848,351,358
849,793,157,1209,1400,1971,494,549,866,342,358
849,793,157,1209,1400,1934,494,560,866,321,358
853,791,159,1209,1378,1703,494,603,870,247,324
902,781,90,1288,1338,1703,510,604,801,232,300
930,754,117,1271,1355,1461,523,605,546,187,285
947,772,117,1253,1322,1434,561,605,543,116,285
856,929,117,1157,1341,1425,354,605,538,131,285
1001,937,117,1123,1375,1209,323,545,529,129,382
1002,846,208,1058,1426,1205,332,544,529,129,443
1003,832,222,1021,1424,949,392,531,529,105,443
993,854,222,1013,1374,910,400,498,529,220,443
992,721,356,929,1441,898,400,481,529,258,436
946,759,364,871,1452,890,190,461,524,363,436
666,1039,364,870,1384,781,190,365,524,438,436
549,1156,364,870,1331,745,265,364,419,438,436
540,1165,353,881,1309,707,254,342,419,438,398
589,848,666,787,1336,694,326,255,419,438,398
551,834,678,779,1330,694,326,151,292,438,386
525,820,748,769,1334,807,384,150,288,438,386
458,890,733,785,1263,967,384,150,237,438,386
455,893,733,760,1263,1123,384,150,206,559,386
455,893,733,750,1267,1123,373,228,206,606,386
455,893,733,748,1161,1123,373,258,206,607,391
439,909,733,745,952,973,373,246,207,568,472
439,909,733,745,920,941,373,326,190,622,539
439,909,733,745,868,924,406,326,178,622,539
439,909,733,474,1064,820,730,326,236,660,455
439,885,757,415,1087,774,731,326,263,763,440
439,851,791,385,1117,754,731,326,401,804,439
439,851,791,366,1123,620,731,263,416,846,474
454,851,791,312,1057,620,731,263,473,900,474
469,849,793,157,1209,620,731,263,416,902,474
469,849,793,157,1209,678,731,236,656,902,474
465,853,791,159,1209,793,731,376,584,902,475
527,902,781,90,1288,794,715,486,583,902,581
569,930,754,117,1271,799,702,491,583,902,581
535,947,772,117,1253,799,664,534,583,902,656
647,856,929,117,1157,987,660,534,583,870,656
519,1001,937,117,1123,982,645,598,586,860,620
545,1002,846,208,1058,953,635,603,586,860,740
574,1003,832,222,1021,953,575,626,586,860,742
568,993,854,222,1013,953,567,654,586,738,780
575,992,721,356,929,953,567,655,586,700,814
577,946,759,364,871,963,567,1015,651,678,820
709,666,1039,364,870,963,567,1042,679,614,863
711,549,1156,364,870,963,492,1138,679,624,863
794,540,1165,353,881,966,567,1149,679,624,865
782,589,848,666,787,1150,495,1164,679,624,953
778,551,834,678,779,1162,546,1164,678,624,955
745,525,820,748,769,1050,488,1164,657,624,956
1020,458,890,733,785,917,489,1164,657,624,956
1022,455,893,733,760,800,532,1164,657,569,956
1024,455,893,733,750,800,579,1086,657,526,956
1024,455,893,733,748,802,621,1056,657,525,873
1024,439,909,733,745,802,647,1055,656,521,792
1024,439,909,733,745,805,648,975,656,466,801
1024,439,909,733,745,805,630,975,656,466,802
1123,439,909,733,474,723,368,991,598,428,803
1123,439,885,757,415,713,380,1045,570,484,892
1123,439,851,791,385,910,411,1107,432,443,885
1158,439,851,791,366,912,554,1109,417,395,850
1143,454,851,791,312,1092,688,1140,347,341,850
1203,469,849,793,157,1102,705,1140,346,801,902
1372,469,849,793,157,1062,813,1200,96,801,903
1419,465,853,791,159,947,838,1041,96,801,1132
1309,527,902,781,90,946,898,930,96,823,1042
1241,569,930,754,117,993,899,924,96,838,1079
1272,535,947,772,117,993,899,968,96,838,1006
1114,647,856,929,117,805,899,968,276,838,1008
1096,519,1001,937,117,979,933,918,355,838,947
1069,545,1002,846,208,1110,946,913,372,838,766
1039,574,1003,832,222,1216,948,958,443,838,764
1034,568,993,854,222,1221,952,976,558,838,726
1027,575,992,721,356,1221,952,981,646,838,692
1025,577,946,759,364,1211,952,621,601,755,685
901,709,666,1039,364,1211,952,665,597,744,642
904,711,549,1156,364,1259,952,573,684,743,642
821,794,540,1165,353,1263,873,562,689,763,640
784,782,589,848,666,1079,873,578,689,807,552
819,778,551,834,678,1160,822,594,689,810,569
819,745,525,820,748,1174,822,594,689,834,568
541,1020,458,890,733,1147,834,594,689,926,568
553,1022,455,893,733,1108,791,595,689,884,568
552,1024,455,893,733,1108,829,651,689,880,568
598,1024,455,893,733,1137,796,873,689,880,568
616,1024,439,909,733,1137,936,1187,689,874,568
616,1024,439,909,733,1147,944,1353,689,874,494
616,1024,439,909,733,1147,929,1417,689,876,493
529,1123,439,909,733,1133,867,1445,689,884,500
530,1123,439,885,757,1138,854,1765,689,744,414
530,1123,439,851,791,941,823,1795,689,816,457
495,1158,439,851,791,1098,748,1853,689,816,457
519,1143,454,851,791,952,618,2031,689,831,457
444,1203,469,849,793,1081,613,2130,689,398,469
275,1372,469,849,793,1073,720,2088,689,402,468
228,1419,465,853,791,1128,696,2086,689,403,296
227,1309,527,902,781,1134,636,2089,718,502,280
225,1241,569,930,754,1205,663,2089,822,569,243
247,1272,535,947,772,1292,667,2008,1028,637,241
356,1114,647,856,929,1391,667,2008,849,671,239
502,1096,519,1001,937,1271,636,2038,779,706,251
505,1069,545,1002,846,1161,657,2069,899,706,251
505,1039,574,1003,832,1055,677,2017,844,713,251
504,1034,568,993,854,1050,691,1971,750,967,251
527,1027,575,992,721,1195,691,1965,735,1073,251
527,1025,577,946,759,1247,691,1966,717,1124,251
520,901,709,666,1039,1252,693,1940,693,1124,266
515,904,711,549,1156,1231,693,1956,611,1115,336
515,821,794,540,1165,1226,698,1986,615,1095,369
515,784,782,589,848,1235,700,1955,615,1051,404
480,819,778,551,834,1142,700,1939,615,1176,385
480,819,745,525,820,1159,705,1940,630,1176,398
479,541,1020,458,890,1172,696,1940,673,1194,411
465,553,1022,455,893,1242,696,1939,675,1170,411
535,552,1024,455,893,1354,614,1883,675,1170,411
494,598,1024,455,893,1467,614,1661,675,1180,411
512,616,1024,439,909,1467,470,1347,675,1188,411
551,616,1024,439,909,1550,469,1181,675,1291,409
611,616,1024,439,909,1616,469,1182,675,1291,411
631,529,1123,439,909,1650,481,1139,694,1283,425
631,530,1123,439,885,1643,481,765,743,1264,380
713,530,1123,439,851,1642,481,683,847,1259,337
796,495,1158,439,851,1483,413,624,877,1266,337
788,519,1143,454,851,1503,415,415,878,1254,337
801,444,1203,469,849,1409,414,316,977,1246,295
812,275,1372,469,849,1355,221,296,982,1303,296
856,228,1419,465,853,1303,226,274,982,1349,238
898,227,1309,527,902,1297,226,293,953,1252,238
898,225,1241,569,930,1228,200,293,849,1170,238
844,247,1272,535,947,1244,246,291,645,1102,247
715,356,1114,647,856,1164,259,291,644,1068,247
562,502,1096,519,1001,1110,312,281,641,1033,235
559,505,1069,545,1002,1242,291,255,571,1033,235
559,505,1039,574,1003,1276,420,279,686,1026,235
559,504,1034,568,993,1290,695,330,714,772,235
536,527,1027,575,992,1181,816,343,642,719,235
536,527,1025,577,946,1251,847,355,644,668,235
535,520,901,709,666,1263,850,311,644,668,220
535,515,904,711,549,1249,850,295,639,668,150
535,515,821,794,540,1247,864,265,753,723,117
535,515,784,782,589,1271,980,290,806,729,86
537,480,819,778,551,1272,1141,382,833,613,86
537,480,819,745,525,1240,1136,384,915,657,191
552,479,541,1020,458,1227,1132,384,990,549,249
564,465,553,1022,455,1157,1132,385,988,561,331
493,535,552,1024,455,1046,1139,385,990,665,530
496,494,598,1024,455,903,1158,390,1051,655,561
547,512,616,1024,439,962,1317,393,1148,647,561
508,551,616,1024,439,918,1478,482,1192,544,561
496,611,616,1024,439,884,1559,516,1200,542,559
609,631,529,1123,439,854,1617,523,1182,542,537
763,631,530,1123,439,869,1620,523,1162,548,537
681,713,530,1123,439,869,1625,513,1058,517,542
598,796,495,1158,439,870,1632,512,1041,512,547
582,788,519,1143,454,946,1633,512,1049,509,547
569,801,444,1203,469,939,1622,543,1091,488,525
558,812,275,1372,469,948,1600,590,1168,457,524
514,856,228,1419,465,1147,1671,633,1240,410,524
472,898,227,1309,527,1391,1671,611,1339,403,524
472,898,225,1241,569,1343,1691,611,1360,403,525
472,844,247,1272,535,1240,1641,628,1391,403,522
472,715,356,1114,647,1221,1668,665,1391,403,522
472,562,502,1096,519,1222,1615,680,1382,403,531
472,559,505,1069,545,1104,1602,675,1315,403,549
472,559,505,1039,574,1070,1451,635,1184,403,549
472,559,504,1034,568,1056,1158,589,1135,403,550
472,536,527,1027,575,1020,1037,582,1141,350,550
472,536,527,1025,577,898,1006,588,1142,350,550
507,535,520,901,709,881,1001,592,1169,350,550
517,535,515,904,711,868,1001,590,1242,350,550
517,535,515,821,794,871,982,607,1123,295,550
517,535,515,784,782,851,865,582,1160,315,546
563,537,480,819,778,863,705,490,1229,389,546
586,537,480,819,745,868,705,487,1139,321,428
573,552,479,541,1020,954,719,487,1021,319,357
572,564,465,553,1022,1036,727,486,1021,346,275
650,493,535,552,1024,1124,719,486,1019,244,78
701,496,494,598,1024,1188,691,486,962,248,52
650,547,512,616,1024,1172,510,530,867,248,52
767,508,551,616,1024,1200,341,526,823,250,73
