Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
721,499,493,652,469,1456,334,796,551,189,555,545,441,521,1048,582,946,1633,512,1049
595,607,338,825,469,1398,392,796,500,227,568,545,428,522,1354,569,939,1622,543,1091
502,619,402,842,469,1334,456,796,475,252,568,545,433,522,1398,558,948,1600,590,1168
386,666,471,842,469,1285,505,796,475,252,567,530,433,522,1532,514,1147,1671,633,1240
336,671,522,842,468,1286,505,796,475,252,567,528,485,538,1532,472,1391,1671,611,1339
314,668,547,842,468,1252,493,772,545,252,565,530,485,576,1532,472,1343,1691,611,1360
314,668,547,842,409,1297,507,749,568,252,548,525,486,577,1532,472,1240,1641,628,1391
278,699,552,842,409,1045,759,740,559,263,553,500,517,660,1532,472,1221,1668,665,1391
278,699,552,842,354,1055,772,758,565,265,543,516,517,683,1532,472,1222,1615,680,1382
278,689,561,843,326,1007,848,660,607,318,544,513,532,703,1532,472,1104,1602,675,1315
319,689,561,842,327,1007,848,649,590,340,550,513,538,901,1532,472,1070,1451,635,1184
319,687,563,511,658,1007,848,649,584,342,554,461,578,1050,1527,472,1056,1158,589,1135
319,677,573,398,759,1019,848,649,584,336,560,461,578,1017,1528,472,1020,1037,582,1141
319,677,573,368,776,1032,848,649,584,336,560,460,578,985,1521,472,898,1006,588,1142
307,689,573,368,673,1135,848,649,584,323,573,429,578,1026,1493,507,881,1001,592,1169
247,680,647,367,560,1249,848,556,677,302,594,429,522,1079,1489,517,868,1001,590,1242
374,667,665,317,610,1249,847,468,766,302,529,479,515,1118,1489,517,871,982,607,1123
374,660,680,275,652,1249,847,468,766,302,484,518,513,1127,1489,517,851,865,582,1160
354,680,675,280,652,1249,847,468,726,342,369,593,506,1179,1517,563,863,705,490,1229
380,680,632,323,652,1139,957,468,685,383,236,726,650,1086,1506,586,868,705,487,1139
387,680,572,383,631,1160,957,468,685,383,217,745,650,1073,1500,573,954,719,487,1021
387,672,539,424,631,1093,1024,468,662,406,216,746,635,1073,1372,572,1036,727,486,1021
387,672,486,477,631,1093,1024,343,723,470,216,746,608,1050,1371,650,1124,719,486,1019
387,672,482,481,631,1093,1024,339,721,476,216,666,562,1072,1332,701,1188,691,486,962
391,634,520,481,629,1092,1027,338,722,476,187,605,545,1080,1318,650,1172,510,530,867
384,642,518,483,628,1044,1076,323,737,460,190,609,545,1102,1241,767,1200,341,526,823
357,645,542,476,575,1087,1093,323,734,463,129,526,545,1026,1213,777,1205,260,473,815
346,629,569,476,575,1087,1091,325,733,455,106,558,530,1016,1279,642,1197,199,536,814
345,606,593,465,586,1043,1134,326,624,564,106,558,528,1017,1151,487,1182,284,536,785
311,640,593,455,596,904,1273,326,563,568,162,555,530,1017,1058,487,1182,293,536,785
247,704,593,438,613,470,1657,376,563,545,184,555,525,1049,1020,490,1181,286,536,772
230,721,499,493,652,469,1456,334,796,551,189,555,500,1091,782,491,1051,279,536,763
230,595,607,338,825,469,1398,392,796,500,227,568,516,1091,550,491,1036,295,505,622
230,502,619,402,842,469,1334,456,796,475,252,568,513,1091,564,491,1092,295,458,540
230,386,666,471,842,469,1285,505,796,475,252,567,513,1091,437,495,999,219,438,468
224,336,671,522,842,468,1286,505,796,475,252,567,461,1075,438,541,839,219,468,369
224,314,668,547,842,468,1252,493,772,545,252,565,461,1042,438,546,907,220,519,348
225,314,668,547,842,409,1297,507,749,568,252,548,460,1082,443,592,956,248,549,320
246,278,699,552,842,409,1045,759,740,559,263,553,429,1059,445,607,985,301,514,320
258,278,699,552,842,354,1055,772,758,565,265,543,429,1036,445,870,987,302,466,320
270,278,689,561,843,326,1007,848,660,607,318,544,479,1021,445,925,952,389,466,320
229,319,689,561,842,327,1007,848,649,590,340,550,518,817,445,980,952,389,467,320
239,319,687,563,511,658,1007,848,649,584,342,554,593,650,445,1012,1144,411,462,320
239,319,677,573,398,759,1019,848,649,584,336,560,726,549,443,1212,1147,433,456,313
240,319,677,573,368,776,1032,848,649,584,336,560,745,482,443,1216,1147,443,437,308
431,307,689,573,368,673,1135,848,649,584,323,573,746,440,434,1181,1147,511,434,281
444,247,680,647,367,560,1249,848,556,677,302,594,746,387,434,1171,1157,582,439,208
339,374,667,665,317,610,1249,847,468,766,302,529,666,348,434,1171,1154,584,426,204
427,374,660,680,275,652,1249,847,468,766,302,484,605,339,434,1211,1141,700,457,114
433,354,680,675,280,652,1249,847,468,726,342,369,609,279,406,1275,1128,710,511,18
417,380,680,632,323,652,1139,957,468,685,383,236,526,273,361,1382,1123,710,581,11
446,387,680,572,383,631,1160,957,468,685,383,217,558,273,342,1380,1051,696,640,20
446,387,672,539,424,631,1093,1024,468,662,406,216,558,293,314,1419,980,688,720,44
446,387,672,486,477,631,1093,1024,343,723,470,216,555,293,312,1435,924,686,733,44
446,387,672,482,481,631,1093,1024,339,721,476,216,555,273,312,1402,859,726,743,40
442,391,634,520,481,629,1092,1027,338,722,476,187,555,292,312,1469,817,754,696,38
441,384,642,518,483,628,1044,1076,323,737,460,190,568,271,286,1491,744,754,611,38
464,357,645,542,476,575,1087,1093,323,734,463,129,568,271,267,1457,707,754,565,38
486,346,629,569,476,575,1087,1091,325,733,455,106,567,314,198,1448,729,844,494,59
515,345,606,593,465,586,1043,1134,326,624,564,106,567,313,324,1448,769,807,546,60
522,311,640,593,455,596,904,1273,326,563,568,162,565,313,366,1448,769,794,604,61
674,247,704,593,438,613,470,1657,376,563,545,184,548,281,367,1445,820,934,683,80
674,230,721,499,493,652,469,1456,334,796,551,189,553,230,364,1444,897,937,744,281
675,230,595,607,338,825,469,1398,392,796,500,227,543,235,262,1444,874,921,761,322
687,230,502,619,402,842,469,1334,456,796,475,252,544,241,329,1469,823,921,761,364
691,230,386,666,471,842,469,1285,505,796,475,252,550,266,322,1479,753,920,745,496
762,224,336,671,522,842,468,1286,505,796,475,252,554,266,321,1433,727,938,744,625
822,224,314,668,547,842,468,1252,493,772,545,252,560,263,321,1428,670,916,707,625
832,225,314,668,547,842,409,1297,507,749,568,252,560,228,316,1382,668,890,694,620
817,246,278,699,552,842,409,1045,759,740,559,263,573,168,317,1367,708,797,692,625
805,258,278,699,552,842,354,1055,772,758,565,265,594,255,317,1105,758,793,691,626
793,270,278,689,561,843,326,1007,848,660,607,318,529,251,317,1050,780,706,691,628
793,229,319,689,561,842,327,1007,848,649,590,340,484,251,317,1091,851,728,690,629
783,239,319,687,563,511,658,1007,848,649,584,342,369,251,317,1059,717,706,690,631
783,239,319,677,573,398,759,1019,848,649,584,336,236,251,317,859,723,684,690,631
782,240,319,677,573,368,776,1032,848,649,584,336,217,251,317,855,794,675,690,631
591,431,307,689,573,368,673,1135,848,649,584,323,216,251,317,1089,819,610,710,631
573,444,247,680,647,367,560,1249,848,556,677,302,216,290,317,1246,815,539,710,631
591,339,374,667,665,317,610,1249,847,468,766,302,216,362,317,1349,923,537,708,632
516,427,374,660,680,275,652,1249,847,468,766,302,187,396,317,1368,1135,420,705,635
510,433,354,680,675,280,652,1249,847,468,726,342,190,443,317,1260,1167,409,692,635
500,417,380,680,632,323,652,1139,957,468,685,383,129,447,317,1130,1219,410,648,655
634,446,387,680,572,383,631,1160,957,468,685,383,106,447,317,1130,1280,485,589,646
717,446,387,672,539,424,631,1093,1024,468,662,406,106,427,402,1080,1305,563,525,622
721,446,387,672,486,477,631,1093,1024,343,723,470,162,427,438,986,1272,572,539,627
768,446,387,672,482,481,631,1093,1024,339,721,476,184,425,438,960,1285,555,543,629
805,442,391,634,520,481,629,1092,1027,338,722,476,189,394,440,857,1404,527,636,629
875,441,384,642,518,483,628,1044,1076,323,737,460,227,393,440,718,1400,655,636,629
958,464,357,645,542,476,575,1087,1093,323,734,463,252,385,471,694,1400,719,636,629
950,486,346,629,569,476,575,1087,1091,325,733,455,252,329,469,693,1378,645,636,608
1056,515,345,606,593,465,586,1043,1134,326,624,564,252,329,422,693,1338,598,584,607
1104,522,311,640,593,455,596,904,1273,326,563,568,252,415,409,693,1355,597,533,650
977,674,247,704,593,438,613,470,1657,376,563,545,252,417,409,693,1322,493,473,895
977,674,230,721,499,493,652,469,1456,334,796,551,263,453,409,693,1341,503,413,809
976,675,230,595,607,338,825,469,1398,392,796,500,265,517,410,693,1375,525,396,800
964,687,230,502,619,402,842,469,1334,456,796,475,318,526,282,668,1426,525,402,892
960,691,230,386,666,471,842,469,1285,505,796,475,340,512,282,654,1424,525,462,856
889,762,224,336,671,522,842,468,1286,505,796,475,342,529,282,654,1374,507,433,729
829,822,224,314,668,547,842,468,1252,493,772,545,336,527,282,654,1441,506,419,782
818,832,225,314,668,547,842,409,1297,507,749,568,336,523,285,654,1452,504,381,813
815,817,246,278,699,552,842,409,1045,759,740,559,323,523,282,654,1384,565,395,813
823,805,258,278,699,552,842,354,1055,772,758,565,302,436,282,653,1331,595,511,815
846,793,270,278,689,561,843,326,1007,848,660,607,302,435,282,653,1309,651,555,813
856,793,229,319,689,561,842,327,1007,848,649,590,302,435,282,585,1336,673,774,815
915,783,239,319,687,563,511,658,1007,848,649,584,342,435,282,646,1330,710,787,926
922,783,239,319,677,573,398,759,1019,848,649,584,383,435,282,706,1334,780,787,927
922,782,240,319,677,573,368,776,1032,848,649,584,383,443,282,708,1263,781,787,975
922,591,431,307,689,573,368,673,1135,848,649,584,406,472,282,530,1263,778,767,1042
922,573,444,247,680,647,367,560,1249,848,556,677,470,515,282,433,1267,781,762,1042
877,591,339,374,667,665,317,610,1249,847,468,766,476,446,282,330,1161,781,784,1119
906,516,427,374,660,680,275,652,1249,847,468,766,476,412,283,271,952,782,789,1123
906,510,433,354,680,675,280,652,1249,847,468,726,460,514,284,267,920,782,773,1123
906,500,417,380,680,632,323,652,1139,957,468,685,463,510,284,267,868,860,773,1103
736,634,446,387,680,572,383,631,1160,957,468,685,455,510,284,267,1064,785,773,1105
653,717,446,387,672,539,424,631,1093,1024,468,662,564,510,202,267,1087,707,757,1114
682,721,446,387,672,486,477,631,1093,1024,343,723,568,510,287,295,1117,698,731,1245
