Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
347,1325,410,1013,717,1922,522,340,1073,533,725,652,622,1083,1126,914,239
316,1365,388,1046,717,1882,433,378,1164,533,725,652,601,1086,1126,930,239
321,1364,306,1134,689,1565,777,344,1100,632,725,652,620,1077,1122,1066,240
351,1415,302,1138,689,1565,777,315,1129,632,725,652,627,1080,1108,1066,431
359,1384,332,1108,720,1453,885,319,1129,626,731,652,562,1148,1022,1066,444
359,1369,347,1034,722,1379,1024,299,1151,627,735,652,517,1139,902,988,339
339,1359,377,1034,634,1376,1110,304,1151,627,735,651,556,951,873,830,427
339,1255,480,1035,634,1261,1225,304,1151,627,735,651,556,848,866,775,433
337,1248,495,944,727,1249,1237,238,1151,693,735,651,556,837,884,720,417
337,1166,577,909,762,1249,1237,238,1151,693,735,632,570,837,830,732,446
337,1026,717,909,762,1249,1237,231,1158,693,735,625,574,835,775,732,446
337,919,809,924,762,1249,1199,267,1160,693,732,628,708,485,775,777,446
367,844,883,888,799,1247,1196,272,1160,693,552,782,708,485,763,880,446
342,868,884,888,730,1206,1302,276,1160,693,475,820,749,485,776,999,442
391,898,882,890,526,1386,1326,276,1160,693,471,824,778,485,835,1016,441
399,896,883,891,525,1387,1326,276,1160,693,471,824,804,489,835,1042,464
388,900,887,893,512,1212,1474,317,1088,765,471,804,982,489,914,1206,486
358,928,889,893,511,858,1829,317,958,866,500,797,935,508,1079,1294,515
358,928,852,930,507,839,1722,447,953,871,373,790,931,510,1071,1328,522
358,928,851,915,523,763,1777,468,931,893,311,807,910,510,1087,1412,674
358,878,901,848,531,812,1787,468,852,972,289,784,901,632,920,1412,674
355,770,1010,850,518,825,1784,471,724,1100,228,816,816,672,917,1429,675
378,708,1092,849,385,959,1784,471,716,1106,198,821,692,720,917,1499,687
378,705,1091,832,406,959,1761,494,716,1096,190,645,689,713,846,1523,691
378,705,1086,820,423,959,1761,494,716,1008,275,628,652,765,704,1519,762
378,476,1314,821,394,988,1719,536,716,947,276,688,652,780,463,1509,822
378,428,1335,722,519,989,1658,597,716,947,267,697,652,837,513,1499,832
370,428,1203,754,627,951,1696,597,716,947,228,736,652,838,715,1315,817
370,309,1293,702,708,770,1877,597,462,940,486,739,652,743,786,1308,805
388,311,1287,612,804,718,1921,605,462,919,507,700,652,592,812,1281,793
375,309,1306,559,858,717,1922,605,319,1062,507,700,651,571,863,1146,793
312,347,1325,410,1013,717,1922,522,340,1073,533,725,651,551,892,1031,783
