Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
1647,370,559,423,857,1214,425,693,703,378,903,1191,721
1745,370,559,421,858,1193,433,693,703,331,903,1160,722
1764,349,580,387,828,1099,433,693,703,331,903,1173,737
1767,300,629,373,799,1004,428,693,703,326,903,1197,734
1803,300,629,364,678,926,402,765,703,321,951,1247,733
1603,500,626,367,661,770,402,866,709,330,1112,1385,624
1587,523,615,378,661,701,402,871,639,367,1159,1384,563
1658,527,561,432,534,700,402,893,648,386,1177,1384,563
1669,527,561,432,471,700,364,972,594,291,1183,1487,796
1649,594,561,421,248,701,356,1100,594,354,1123,1512,796
1649,594,561,417,218,704,435,1106,594,341,1195,1428,796
1649,594,473,408,313,472,435,1096,594,318,1443,1468,796
1647,596,473,343,338,754,435,1008,594,330,1443,1468,796
1647,596,473,335,346,772,488,947,594,345,1443,1468,772
1647,596,473,303,377,695,488,947,594,345,1419,1470,749
1637,606,473,283,397,708,528,947,592,567,1417,1456,740
1299,944,473,283,389,750,630,940,650,653,1417,1456,758
1296,977,473,275,395,748,633,919,685,658,1311,1456,660
1326,980,459,243,441,717,648,1062,684,658,1261,1346,649
1326,900,539,208,476,717,611,1073,661,658,1204,1341,649
1309,871,585,208,476,819,674,1164,711,658,1278,1341,649
1269,841,639,219,482,822,674,1100,757,658,1250,1341,649
1414,765,657,299,472,889,711,1129,702,746,1235,1213,649
1372,805,654,304,471,889,698,1129,702,746,1220,1191,556
1298,879,647,298,476,857,690,1151,543,824,1237,1288,468
1245,932,647,297,462,963,726,1151,879,841,1290,1338,468
1164,1012,646,299,462,960,741,1151,879,836,1175,941,468
1164,1012,564,366,477,954,760,1151,874,810,1213,941,468
902,1400,525,404,423,970,754,1151,874,805,1267,1017,468
1349,1590,499,430,423,1165,864,1158,869,846,1230,1114,468
1303,1646,370,559,423,1083,811,1160,882,848,1122,929,343
1305,1647,370,559,423,1084,1097,1160,889,848,1173,898,339
1209,1745,370,559,421,1084,1101,1160,889,876,1266,879,338
1194,1764,349,580,387,1152,1102,1160,889,876,1383,866,323
1191,1767,300,629,373,1152,1104,1160,889,869,1425,842,323
1155,1803,300,629,364,1152,1104,1088,905,1109,1448,933,325
1158,1603,500,626,367,1152,1105,958,893,1100,1409,803,326
1170,1587,523,615,378,1154,1105,953,892,1063,1376,782,326
1189,1658,527,561,432,1206,1164,931,881,1044,1399,782,376
1178,1669,527,561,432,1207,1164,852,888,977,1401,681,334
1131,1649,594,561,421,1162,1164,724,888,906,1398,656,392
1145,1649,594,561,417,1159,1055,716,888,906,1374,642,456
1312,1649,594,473,408,1159,1055,716,888,1077,1320,591,505
1312,1647,596,473,343,877,1055,716,888,1153,1495,591,505
1312,1647,596,473,335,980,1002,716,888,1138,1529,591,493
1312,1647,596,473,303,1038,1002,716,888,1138,1589,608,507
1312,1637,606,473,283,961,962,716,898,916,1618,624,759
1312,1299,944,473,283,1062,860,462,892,870,1618,625,772
1282,1296,977,473,275,1071,857,462,896,895,1713,629,848
1247,1326,980,459,243,1074,859,319,933,895,1689,629,848
1247,1326,900,539,208,1159,854,340,888,900,1656,629,848
1247,1309,871,585,208,1215,812,378,694,967,1583,629,848
1246,1269,841,639,219,1508,833,344,655,971,1591,629,848
1079,1414,765,657,299,1592,811,315,750,883,1593,629,848
1079,1372,805,654,304,1614,811,319,750,883,1588,629,848
1079,1298,879,647,298,1609,937,299,750,805,1560,532,847
1079,1245,932,647,297,1480,1032,304,366,808,1472,482,847
1079,1164,1012,646,299,1480,1032,304,471,765,1428,482,847
1079,1164,1012,564,366,1479,989,238,490,766,1304,482,957
953,902,1400,525,404,1462,946,238,508,832,1307,367,957
316,1349,1590,499,430,1281,729,231,511,820,1382,219,1024
607,1303,1646,370,559,1247,735,267,498,821,1417,219,1024
604,1305,1647,370,559,1246,451,272,508,821,1369,223,1024
646,1209,1745,370,559,1246,458,276,705,793,1313,223,1027
650,1194,1764,349,580,1178,457,276,727,793,1197,223,1076
702,1191,1767,300,629,1178,467,276,727,793,1155,223,1093
702,1155,1803,300,629,1360,552,317,711,622,1084,82,1091
740,1158,1603,500,626,1392,590,317,749,801,962,88,1134
724,1170,1587,523,615,1390,590,447,749,854,992,124,1273
645,1189,1658,527,561,1375,531,468,754,854,995,124,1657
646,1178,1669,527,561,1374,536,468,747,854,987,122,1456
646,1131,1649,594,561,1398,536,471,747,854,984,122,1398
632,1145,1649,594,561,1399,536,471,747,869,936,134,1334
509,1312,1649,594,473,1399,542,494,786,704,834,188,1285
509,1312,1647,596,473,1402,598,494,786,690,659,222,1286
509,1312,1647,596,473,1392,729,536,786,904,625,501,1252
545,1312,1647,596,473,1339,829,597,786,904,565,482,1297
633,1312,1637,606,473,1340,832,597,776,904,840,465,1045
633,1312,1299,944,473,1197,971,597,743,864,881,465,1055
633,1282,1296,977,473,1194,1021,605,704,879,810,461,1007
633,1247,1326,980,459,1191,1004,605,663,879,899,475,1007
633,1247,1326,900,539,1106,1004,522,832,874,907,531,1007
675,1247,1309,871,585,906,997,433,855,828,906,612,1019
675,1246,1269,841,639,610,977,777,810,877,903,617,1032
