Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
433,694,526,241,1091,522,1046,461,208
224,892,512,266,1091,522,1131,465,222
222,877,529,266,1075,538,1123,488,222
295,877,527,263,1042,576,1161,504,356
208,984,523,228,1082,577,1161,517,364
299,984,523,168,1059,660,1120,523,364
291,992,436,255,1036,683,1108,510,364
291,992,435,251,1021,703,1240,474,353
291,992,435,251,817,901,1240,476,666
291,992,435,251,650,1050,1234,476,678
291,992,435,251,549,1017,1230,476,748
305,984,443,251,482,985,983,367,733
326,955,472,251,440,1026,713,367,733
326,873,515,290,387,1079,713,367,733
327,870,446,362,348,1118,683,367,733
423,870,412,396,339,1127,645,351,733
423,721,514,443,279,1179,645,339,733
444,721,510,447,273,1086,555,333,733
444,721,510,447,273,1073,555,322,733
444,721,510,427,293,1073,555,311,757
444,721,510,427,293,1050,555,311,791
444,689,542,425,273,1072,555,330,791
444,668,563,394,292,1080,458,330,791
431,675,569,393,271,1102,484,330,793
484,675,569,385,271,1026,523,340,793
587,673,571,329,314,1016,549,408,791
568,707,571,329,313,1017,537,492,781
606,669,523,415,313,1017,611,474,754
548,710,538,417,281,1049,594,415,772
548,709,503,453,230,1091,570,406,929
623,640,502,517,235,1091,570,270,937
671,433,694,526,241,1091,570,270,846
695,224,892,512,266,1091,481,274,832
705,222,877,529,266,1075,481,465,854
634,295,877,527,263,1042,443,449,721
614,208,984,523,228,1082,443,436,759
523,299,984,523,168,1059,442,524,1039
523,291,992,436,255,1036,442,538,1156
523,291,992,435,251,1021,274,541,1165
523,291,992,435,251,817,281,539,848
525,291,992,435,251,650,281,561,834
661,291,992,435,251,549,217,561,820
715,305,984,443,251,482,217,561,890
724,326,955,472,251,440,232,561,893
776,326,873,515,290,387,392,561,893
775,327,870,446,362,348,392,561,893
679,423,870,412,396,339,392,564,909
679,423,721,514,443,279,396,569,909
681,444,721,510,447,273,398,571,909
689,444,721,510,447,273,471,571,909
689,444,721,510,427,293,493,571,885
689,444,721,510,427,293,493,571,851
689,444,689,542,425,273,493,547,851
689,444,668,563,394,292,532,557,851
689,431,675,569,393,271,506,598,849
636,484,675,569,385,271,467,605,849
533,587,673,571,329,314,441,600,853
525,568,707,571,329,313,417,555,902
506,606,669,523,415,313,322,593,930
