Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
675,1079,1298,879,647,298,438,854,1024
675,1079,1245,932,647,297,437,725,1110
701,1079,1164,1012,646,299,437,710,1225
888,1079,1164,1012,564,366,437,705,1237
888,953,902,1400,525,404,445,700,1237
888,316,1349,1590,499,430,551,728,1237
587,607,1303,1646,370,559,551,714,1199
587,604,1305,1647,370,559,604,712,1196
574,646,1209,1745,370,559,605,718,1302
573,650,1194,1764,349,580,608,753,1326
523,702,1191,1767,300,629,608,805,1326
523,702,1155,1803,300,629,426,861,1474
482,740,1158,1603,500,626,394,822,1829
479,724,1170,1587,523,615,395,822,1722
464,645,1189,1658,527,561,357,822,1777
465,646,1178,1669,527,561,421,817,1787
465,646,1131,1649,594,561,397,817,1784
465,632,1145,1649,594,561,396,817,1784
421,509,1312,1649,594,473,396,811,1761
421,509,1312,1647,596,473,407,770,1761
421,509,1312,1647,596,473,296,639,1719
385,545,1312,1647,596,473,290,540,1658
345,633,1312,1637,606,473,287,579,1696
612,633,1312,1299,944,473,287,440,1877
722,633,1282,1296,977,473,281,401,1921
731,633,1247,1326,980,459,281,402,1922
908,633,1247,1326,900,539,281,656,1922
868,675,1247,1309,871,585,342,642,1882
873,675,1246,1269,841,639,383,651,1565
896,675,1079,1414,765,657,383,633,1565
905,675,1079,1372,805,654,390,633,1453
962,675,1079,1298,879,647,410,633,1379
1078,675,1079,1245,932,647,454,676,1376
1090,701,1079,1164,1012,646,454,734,1261
912,888,1079,1164,1012,564,454,753,1249
920,888,953,902,1400,525,446,753,1249
920,888,316,1349,1590,499,315,723,1249
920,587,607,1303,1646,370,335,723,1249
920,587,604,1305,1647,370,323,723,1247
889,574,646,1209,1745,370,322,698,1206
882,573,650,1194,1764,349,349,663,1386
891,523,702,1191,1767,300,418,599,1387
891,523,702,1155,1803,300,667,458,1212
891,482,740,1158,1603,500,728,458,858
891,479,724,1170,1587,523,763,458,839
891,464,645,1189,1658,527,763,458,763
889,465,646,1178,1669,527,699,458,812
889,465,646,1131,1649,594,706,458,825
889,465,632,1145,1649,594,767,458,959
985,421,509,1312,1649,594,962,458,959
1082,421,509,1312,1647,596,951,443,959
1090,421,509,1312,1647,596,986,501,988
1090,385,545,1312,1647,596,1014,505,989
1042,345,633,1312,1637,606,1034,478,951
780,612,633,1312,1299,944,1040,500,770
716,722,633,1282,1296,977,1040,490,718
710,731,633,1247,1326,980,1066,490,717
533,908,633,1247,1326,900,1184,237,717
531,868,675,1247,1309,871,1170,239,717
839,873,675,1246,1269,841,1373,229,689
839,896,675,1079,1414,765,1402,229,689
863,905,675,1079,1372,805,1397,229,720
865,962,675,1079,1298,879,1380,229,722
749,1078,675,1079,1245,932,1336,245,634
715,1090,701,1079,1164,1012,1336,270,634
713,912,888,1079,1164,1012,1336,251,727
709,920,888,953,902,1400,1336,251,762
890,920,888,316,1349,1590,1336,251,762
1136,920,587,607,1303,1646,1316,251,762
1144,920,587,604,1305,1647,1275,255,799
1214,889,574,646,1209,1745,1275,279,730
1352,882,573,650,1194,1764,1248,279,526
1470,891,523,702,1191,1767,1180,279,525
1507,891,523,702,1155,1803,931,279,512
1507,891,482,740,1158,1603,882,283,511
1507,891,479,724,1170,1587,896,295,507
1507,891,464,645,1189,1658,896,295,523
1507,889,465,646,1178,1669,896,295,531
1659,889,465,646,1131,1649,1043,299,518
1758,889,465,632,1145,1649,1121,310,385
1805,985,421,509,1312,1649,947,336,406
1768,1082,421,509,1312,1647,977,369,423
1812,1090,421,509,1312,1647,942,311,394
1828,1090,385,545,1312,1647,927,306,519
2000,1042,345,633,1312,1637,907,293,627
2010,780,612,633,1312,1299,901,271,708
2055,716,722,633,1282,1296,990,270,804
2052,710,731,633,1247,1326,964,269,858
2060,533,908,633,1247,1326,846,268,1013
2065,531,868,675,1247,1309,799,266,1046
1789,839,873,675,1246,1269,555,266,1134
1767,839,896,675,1079,1414,526,266,1138
1734,863,905,675,1079,1372,518,266,1108
1675,865,962,675,1079,1298,515,266,1034
1675,749,1078,675,1079,1245,528,207,1034
1683,715,1090,701,1079,1164,528,126,1035
1687,713,912,888,1079,1164,528,124,944
1719,709,920,888,953,902,544,124,909
1538,890,920,888,316,1349,545,124,909
1292,1136,920,587,607,1303,545,124,924
1286,1144,920,587,604,1305,545,120,888
1218,1214,889,574,646,1209,545,96,888
1080,1352,882,573,650,1194,668,97,890
951,1470,891,523,702,1191,670,97,891
914,1507,891,523,702,1155,670,97,893
928,1507,891,482,740,1158,658,93,893
928,1507,891,479,724,1170,608,87,930
997,1507,891,464,645,1189,690,95,915
997,1507,889,465,646,1178,693,116,848
845,1659,889,465,646,1131,562,167,850
746,1758,889,465,632,1145,504,579,849
617,1805,985,421,509,1312,511,589,832
557,1768,1082,421,509,1312,478,564,820
511,1812,1090,421,509,1312,491,698,821
497,1828,1090,385,545,1312,478,708,722
325,2000,1042,345,633,1312,497,784,754
310,2010,780,612,633,1312,513,784,702
219,2055,716,722,633,1282,424,788,612
219,2052,710,731,633,1247,424,860,559
211,2060,533,908,633,1247,425,1055,410
234,2065,531,868,675,1247,573,1208,388
197,1789,839,873,675,1246,693,1302,306
196,1767,839,896,675,1079,778,1608,302
196,1734,863,905,675,1079,936,1659,332
196,1675,865,962,675,1079,937,1671,347
279,1675,749,1078,675,1079,925,1669,377
267,1683,715,1090,701,1079,989,1690,480
256,1687,713,912,888,1079,1032,1719,495
328,1719,709,920,888,953,1146,1737,577
328,1538,890,920,888,316,1162,1758,717
358,1292,1136,920,587,607,1162,1776,809
441,1286,1144,920,587,604,1289,1779,883
440,1218,1214,889,574,646,1352,1779,884
443,1080,1352,882,573,650,1460,1778,882
