Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
512,415,2031,1140,263,587,1049,509,547
543,316,2130,1140,263,549,1091,488,525
590,296,2088,1200,236,560,1168,457,524
633,274,2086,1041,376,603,1240,410,524
611,293,2089,930,486,604,1339,403,524
611,293,2089,924,491,605,1360,403,525
628,291,2008,968,534,605,1391,403,522
665,291,2008,968,534,605,1391,403,522
680,281,2038,918,598,545,1382,403,531
675,255,2069,913,603,544,1315,403,549
635,279,2017,958,626,531,1184,403,549
589,330,1971,976,654,498,1135,403,550
582,343,1965,981,655,481,1141,350,550
588,355,1966,621,1015,461,1142,350,550
592,311,1940,665,1042,365,1169,350,550
590,295,1956,573,1138,364,1242,350,550
607,265,1986,562,1149,342,1123,295,550
582,290,1955,578,1164,255,1160,315,546
490,382,1939,594,1164,151,1229,389,546
487,384,1940,594,1164,150,1139,321,428
487,384,1940,594,1164,150,1021,319,357
486,385,1939,595,1164,150,1021,346,275
486,385,1883,651,1086,228,1019,244,78
486,390,1661,873,1056,258,962,248,52
530,393,1347,1187,1055,246,867,248,52
526,482,1181,1353,975,326,823,250,73
473,516,1182,1417,975,326,815,253,73
536,523,1139,1445,991,326,814,253,73
536,523,765,1765,1045,326,785,247,73
536,513,683,1795,1107,326,785,211,68
536,512,624,1853,1109,263,772,209,63
536,512,415,2031,1140,263,763,209,63
505,543,316,2130,1140,263,622,209,123
458,590,296,2088,1200,236,540,179,124
438,633,274,2086,1041,376,468,185,124
468,611,293,2089,930,486,369,228,124
519,611,293,2089,924,491,348,228,123
549,628,291,2008,968,534,320,228,117
514,665,291,2008,968,534,320,228,122
466,680,281,2038,918,598,320,228,113
466,675,255,2069,913,603,320,246,121
467,635,279,2017,958,626,320,259,124
462,589,330,1971,976,654,320,380,297
456,582,343,1965,981,655,313,538,304
437,588,355,1966,621,1015,308,627,308
434,592,311,1940,665,1042,281,636,308
439,590,295,1956,573,1138,208,636,353
426,607,265,1986,562,1149,204,643,378
457,582,290,1955,578,1164,114,790,534
511,490,382,1939,594,1164,18,709,569
581,487,384,1940,594,1164,11,717,723
640,487,384,1940,594,1164,20,731,723
720,486,385,1939,595,1164,44,692,723
733,486,385,1883,651,1086,44,703,724
743,486,390,1661,873,1056,40,847,719
696,530,393,1347,1187,1055,38,1129,719
611,526,482,1181,1353,975,38,1244,733
565,473,516,1182,1417,975,38,1244,733
494,536,523,1139,1445,991,59,1244,735
546,536,523,765,1765,1045,60,1245,751
604,536,513,683,1795,1107,61,1245,751
683,536,512,624,1853,1109,80,1299,751
744,536,512,415,2031,1140,281,1321,751
761,505,543,316,2130,1140,322,1334,691
761,458,590,296,2088,1200,364,1334,690
745,438,633,274,2086,1041,496,1328,697
744,468,611,293,2089,930,625,1268,697
707,519,611,293,2089,924,625,1268,697
694,549,628,291,2008,968,620,1268,697
692,514,665,291,2008,968,625,1268,692
691,466,680,281,2038,918,626,1268,692
691,466,675,255,2069,913,628,1250,666
690,467,635,279,2017,958,629,1253,663
690,462,589,330,1971,976,631,1133,489
690,456,582,343,1965,981,631,975,482
690,437,588,355,1966,621,631,886,478
710,434,592,311,1940,665,631,882,478
710,439,590,295,1956,573,631,925,433
708,426,607,265,1986,562,632,926,423
705,457,582,290,1955,578,635,753,339
692,511,490,382,1939,594,635,748,345
648,581,487,384,1940,594,655,759,205
589,640,487,384,1940,594,646,745,205
525,720,486,385,1939,595,622,757,205
539,733,486,385,1883,651,627,744,239
543,743,486,390,1661,873,629,596,240
636,696,530,393,1347,1187,629,347,240
636,611,526,482,1181,1353,629,232,224
636,565,473,516,1182,1417,629,229,236
636,494,536,523,1139,1445,608,229,234
584,546,536,523,765,1765,607,228,218
533,604,536,513,683,1795,650,228,218
473,683,536,512,624,1853,895,177,218
413,744,536,512,415,2031,809,158,229
396,761,505,543,316,2130,800,155,229
402,761,458,590,296,2088,892,174,229
462,745,438,633,274,2086,856,174,222
433,744,468,611,293,2089,729,174,222
419,707,519,611,293,2089,782,174,222
381,694,549,628,291,2008,813,174,222
395,692,514,665,291,2008,813,174,228
511,691,466,680,281,2038,815,174,240
555,691,466,675,255,2069,813,174,240
774,690,467,635,279,2017,815,159,240
787,690,462,589,330,1971,926,158,240
787,690,456,582,343,1965,927,158,240
787,690,437,588,355,1966,975,158,240
767,710,434,592,311,1940,1042,153,240
762,710,439,590,295,1956,1042,110,240
784,708,426,607,265,1986,1119,102,225
789,705,457,582,290,1955,1123,102,153
773,692,511,490,382,1939,1123,102,112
773,648,581,487,384,1940,1103,83,106
