Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
944,554,485,644,885,691,646,864,1282
858,579,492,676,870,691,658,863,986
857,550,822,680,1077,691,689,857,620
857,494,822,732,1116,691,689,805,638
857,450,822,756,1090,690,705,805,646
832,438,822,771,1092,668,649,805,662
811,389,814,775,1310,551,577,805,669
789,409,773,776,1171,450,508,772,629
725,473,770,776,1178,385,506,765,629
725,470,779,776,1144,480,506,670,540
607,591,813,776,1098,484,533,557,677
603,594,812,776,1180,464,533,551,677
609,594,812,776,1410,461,533,436,677
610,523,812,776,1516,466,533,416,677
618,557,812,764,1606,417,497,416,677
585,590,930,749,1747,344,497,391,588
584,591,1024,716,1843,272,487,388,532
568,607,991,485,1843,273,470,388,469
551,624,1016,477,1871,286,438,388,469
405,756,1053,514,1911,295,408,388,431
486,756,1053,410,1921,316,389,388,431
717,756,1053,410,1989,251,400,388,431
717,756,1018,354,2059,250,384,254,342
896,769,907,354,2314,295,359,223,316
883,809,858,354,2317,366,312,59,320
667,997,1022,354,2322,383,301,37,320
887,940,1062,410,2331,395,301,65,320
920,936,1003,301,2139,395,266,96,320
1176,931,980,314,2003,419,266,97,320
1208,938,980,339,2003,426,266,97,381
1211,947,980,356,2003,426,272,78,322
1219,944,1190,360,1868,426,273,73,374
1328,858,1177,424,1868,426,261,73,351
1364,857,809,421,1766,426,230,75,541
1402,857,824,391,1727,426,268,75,512
1415,857,824,454,1727,426,252,75,510
1415,832,824,543,1821,426,252,75,494
1415,811,824,540,1628,426,217,75,488
1415,789,824,539,1679,426,158,77,640
1415,725,824,539,1701,426,158,77,682
1415,725,826,539,1659,331,158,77,707
1412,607,792,539,1578,324,209,77,568
1562,603,792,552,1496,363,209,77,568
1588,609,792,552,1283,364,209,132,568
1596,610,792,552,1189,359,209,132,608
1758,618,792,544,1099,359,293,132,626
1816,585,674,544,959,359,350,132,763
1837,584,580,526,863,359,358,142,900
1971,568,579,587,863,364,358,142,900
1971,551,554,587,848,351,358,185,1112
1971,405,494,549,866,342,358,276,1139
1934,486,494,560,866,321,358,352,1139
1703,717,494,603,870,247,324,352,1139
1703,717,510,604,801,232,300,352,1139
1461,896,523,605,546,187,285,352,1139
1434,883,561,605,543,116,285,352,1135
1425,667,354,605,538,131,285,352,1135
1209,887,323,545,529,129,382,406,1135
1205,920,332,544,529,129,443,395,1135
949,1176,392,531,529,105,443,394,1190
910,1208,400,498,529,220,443,508,1140
898,1211,400,481,529,258,436,569,1140
890,1219,190,461,524,363,436,632,1086
781,1328,190,365,524,438,436,632,1083
745,1364,265,364,419,438,436,630,955
707,1402,254,342,419,438,398,630,1028
694,1415,326,255,419,438,398,630,1015
694,1415,326,151,292,438,386,647,1015
807,1415,384,150,288,438,386,647,1014
967,1415,384,150,237,438,386,852,862
1123,1415,384,150,206,559,386,853,820
1123,1415,373,228,206,606,386,853,795
1123,1412,373,258,206,607,391,853,795
973,1562,373,246,207,568,472,864,796
941,1588,373,326,190,622,539,809,796
924,1596,406,326,178,622,539,830,756
820,1758,730,326,236,660,455,832,738
774,1816,731,326,263,763,440,833,601
754,1837,731,326,401,804,439,829,457
620,1971,731,263,416,846,474,829,457
620,1971,731,263,473,900,474,786,245
620,1971,731,263,416,902,474,695,218
678,1934,731,236,656,902,474,619,218
793,1703,731,376,584,902,475,619,218
794,1703,715,486,583,902,581,619,242
799,1461,702,491,583,902,581,619,242
799,1434,664,534,583,902,656,630,245
987,1425,660,534,583,870,656,709,245
982,1209,645,598,586,860,620,689,269
953,1205,635,603,586,860,740,793,376
953,949,575,626,586,860,742,825,330
953,910,567,654,586,738,780,877,418
953,898,567,655,586,700,814,816,535
