Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
989,826,803,721,441,521,1048,582,946
657,1158,832,595,428,522,1354,569,939
610,1221,757,502,433,522,1398,558,948
580,1252,714,386,433,522,1532,514,1147
667,1270,707,336,485,538,1532,472,1391
588,1373,777,314,485,576,1532,472,1343
546,1403,709,314,486,577,1532,472,1240
497,1452,704,278,517,660,1532,472,1221
389,1500,706,278,517,683,1532,472,1222
367,1412,735,278,532,703,1532,472,1104
411,1394,731,319,538,901,1532,472,1070
430,1362,698,319,578,1050,1527,472,1056
430,1362,704,319,578,1017,1528,472,1020
434,1306,712,319,578,985,1521,472,898
448,1296,712,307,578,1026,1493,507,881
534,1296,668,247,522,1079,1489,517,868
654,1296,746,374,515,1118,1489,517,871
683,1296,904,374,513,1127,1489,517,851
690,1296,959,354,506,1179,1517,563,863
694,1150,1014,380,650,1086,1506,586,868
748,1144,1015,387,650,1073,1500,573,954
803,1106,1015,387,635,1073,1372,572,1036
803,1106,1015,387,608,1050,1371,650,1124
815,1088,1015,387,562,1072,1332,701,1188
815,1088,1015,391,545,1080,1318,650,1172
793,1090,1015,384,545,1102,1241,767,1200
792,1047,1036,357,545,1026,1213,777,1205
790,1040,1036,346,530,1016,1279,642,1197
722,1108,1039,345,528,1017,1151,487,1182
746,1111,914,311,530,1017,1058,487,1182
780,1108,836,247,525,1049,1020,490,1181
991,989,738,230,500,1091,782,491,1051
994,657,709,230,516,1091,550,491,1036
978,610,697,230,513,1091,564,491,1092
1049,580,628,230,513,1091,437,495,999
1086,667,622,224,461,1075,438,541,839
1304,588,591,224,461,1042,438,546,907
1243,546,601,225,460,1082,443,592,956
1240,497,707,246,429,1059,445,607,985
1200,389,706,258,429,1036,445,870,987
1199,367,704,270,479,1021,445,925,952
1145,411,801,229,518,817,445,980,952
1126,430,914,239,593,650,445,1012,1144
1126,430,930,239,726,549,443,1212,1147
1122,434,1066,240,745,482,443,1216,1147
1108,448,1066,431,746,440,434,1181,1147
1022,534,1066,444,746,387,434,1171,1157
902,654,988,339,666,348,434,1171,1154
873,683,830,427,605,339,434,1211,1141
866,690,775,433,609,279,406,1275,1128
884,694,720,417,526,273,361,1382,1123
830,748,732,446,558,273,342,1380,1051
775,803,732,446,558,293,314,1419,980
775,803,777,446,555,293,312,1435,924
763,815,880,446,555,273,312,1402,859
776,815,999,442,555,292,312,1469,817
835,793,1016,441,568,271,286,1491,744
835,792,1042,464,568,271,267,1457,707
914,790,1206,486,567,314,198,1448,729
1079,722,1294,515,567,313,324,1448,769
1071,746,1328,522,565,313,366,1448,769
1087,780,1412,674,548,281,367,1445,820
920,991,1412,674,553,230,364,1444,897
917,994,1429,675,543,235,262,1444,874
917,978,1499,687,544,241,329,1469,823
846,1049,1523,691,550,266,322,1479,753
704,1086,1519,762,554,266,321,1433,727
463,1304,1509,822,560,263,321,1428,670
513,1243,1499,832,560,228,316,1382,668
715,1240,1315,817,573,168,317,1367,708
786,1200,1308,805,594,255,317,1105,758
812,1199,1281,793,529,251,317,1050,780
863,1145,1146,793,484,251,317,1091,851
892,1126,1031,783,369,251,317,1059,717
1008,1126,1008,783,236,251,317,859,723
1018,1122,870,782,217,251,317,855,794
1018,1108,920,591,216,251,317,1089,819
1022,1022,955,573,216,290,317,1246,815
1055,902,992,591,216,362,317,1349,923
1231,873,992,516,187,396,317,1368,1135
1254,866,1207,510,190,443,317,1260,1167
1232,884,1211,500,129,447,317,1130,1219
1251,830,1219,634,106,447,317,1130,1280
1251,775,1224,717,106,427,402,1080,1305
1256,775,1179,721,162,427,438,986,1272
1327,763,1076,768,184,425,438,960,1285
1358,776,976,805,189,394,440,857,1404
1299,835,972,875,227,393,440,718,1400
1306,835,954,958,252,385,471,694,1400
1233,914,831,950,252,329,469,693,1378
1068,1079,740,1056,252,329,422,693,1338
1040,1071,706,1104,252,415,409,693,1355
989,1087,621,977,252,417,409,693,1322
945,920,621,977,263,453,409,693,1341
977,917,604,976,265,517,410,693,1375
1094,917,534,964,318,526,282,668,1426
1112,846,510,960,340,512,282,654,1424
1112,704,510,889,342,529,282,654,1374
1158,463,475,829,336,527,282,654,1441
1108,513,475,818,336,523,285,654,1452
917,715,475,815,323,523,282,654,1384
852,786,475,823,302,436,282,653,1331
888,812,475,846,302,435,282,653,1309
930,863,475,856,302,435,282,585,1336
927,892,475,915,342,435,282,646,1330
811,1008,475,922,383,435,282,706,1334
801,1018,469,922,383,443,282,708,1263
803,1018,419,922,406,472,282,530,1263
857,1022,384,922,470,515,282,433,1267
825,1055,347,877,476,446,282,330,1161
696,1231,347,906,476,412,283,271,952
673,1254,132,906,460,514,284,267,920
685,1232,128,906,463,510,284,267,868
674,1251,107,736,455,510,284,267,1064
674,1251,102,653,564,510,202,267,1087
