Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
901,848,531,812,1787,468,852,972,289,784,749,1119,444
1010,850,518,825,1784,471,724,1100,228,816,778,1106,436
1092,849,385,959,1784,471,716,1106,198,821,804,1050,383
1091,832,406,959,1761,494,716,1096,190,645,982,1049,290
1086,820,423,959,1761,494,716,1008,275,628,935,974,169
1314,821,394,988,1719,536,716,947,276,688,931,919,99
1335,722,519,989,1658,597,716,947,267,697,910,886,98
1203,754,627,951,1696,597,716,947,228,736,901,802,98
1293,702,708,770,1877,597,462,940,486,739,816,798,85
1287,612,804,718,1921,605,462,919,507,700,692,706,84
1306,559,858,717,1922,605,319,1062,507,700,689,692,84
1325,410,1013,717,1922,522,340,1073,533,725,652,691,84
1365,388,1046,717,1882,433,378,1164,533,725,652,709,84
1364,306,1134,689,1565,777,344,1100,632,725,652,709,88
1415,302,1138,689,1565,777,315,1129,632,725,652,709,88
1384,332,1108,720,1453,885,319,1129,626,731,652,774,88
1369,347,1034,722,1379,1024,299,1151,627,735,652,845,81
1359,377,1034,634,1376,1110,304,1151,627,735,651,845,263
1255,480,1035,634,1261,1225,304,1151,627,735,651,840,365
1248,495,944,727,1249,1237,238,1151,693,735,651,833,356
1166,577,909,762,1249,1237,238,1151,693,735,632,815,354
1026,717,909,762,1249,1237,231,1158,693,735,625,645,381
919,809,924,762,1249,1199,267,1160,693,732,628,634,750
844,883,888,799,1247,1196,272,1160,693,552,782,602,750
868,884,888,730,1206,1302,276,1160,693,475,820,549,750
898,882,890,526,1386,1326,276,1160,693,471,824,549,750
896,883,891,525,1387,1326,276,1160,693,471,824,519,750
900,887,893,512,1212,1474,317,1088,765,471,804,535,750
928,889,893,511,858,1829,317,958,866,500,797,468,750
928,852,930,507,839,1722,447,953,871,373,790,417,750
928,851,915,523,763,1777,468,931,893,311,807,351,736
878,901,848,531,812,1787,468,852,972,289,784,357,736
770,1010,850,518,825,1784,471,724,1100,228,816,441,764
708,1092,849,385,959,1784,471,716,1106,198,821,604,771
705,1091,832,406,959,1761,494,716,1096,190,645,607,778
705,1086,820,423,959,1761,494,716,1008,275,628,644,775
476,1314,821,394,988,1719,536,716,947,276,688,644,775
428,1335,722,519,989,1658,597,716,947,267,697,641,786
428,1203,754,627,951,1696,597,716,947,228,736,641,786
309,1293,702,708,770,1877,597,462,940,486,739,628,888
311,1287,612,804,718,1921,605,462,919,507,700,621,1042
309,1306,559,858,717,1922,605,319,1062,507,700,622,1063
347,1325,410,1013,717,1922,522,340,1073,533,725,622,1083
316,1365,388,1046,717,1882,433,378,1164,533,725,601,1086
321,1364,306,1134,689,1565,777,344,1100,632,725,620,1077
351,1415,302,1138,689,1565,777,315,1129,632,725,627,1080
359,1384,332,1108,720,1453,885,319,1129,626,731,562,1148
359,1369,347,1034,722,1379,1024,299,1151,627,735,517,1139
339,1359,377,1034,634,1376,1110,304,1151,627,735,556,951
339,1255,480,1035,634,1261,1225,304,1151,627,735,556,848
337,1248,495,944,727,1249,1237,238,1151,693,735,556,837
337,1166,577,909,762,1249,1237,238,1151,693,735,570,837
337,1026,717,909,762,1249,1237,231,1158,693,735,574,835
337,919,809,924,762,1249,1199,267,1160,693,732,708,485
367,844,883,888,799,1247,1196,272,1160,693,552,708,485
342,868,884,888,730,1206,1302,276,1160,693,475,749,485
391,898,882,890,526,1386,1326,276,1160,693,471,778,485
399,896,883,891,525,1387,1326,276,1160,693,471,804,489
388,900,887,893,512,1212,1474,317,1088,765,471,982,489
358,928,889,893,511,858,1829,317,958,866,500,935,508
358,928,852,930,507,839,1722,447,953,871,373,931,510
358,928,851,915,523,763,1777,468,931,893,311,910,510
358,878,901,848,531,812,1787,468,852,972,289,901,632
355,770,1010,850,518,825,1784,471,724,1100,228,816,672
378,708,1092,849,385,959,1784,471,716,1106,198,692,720
378,705,1091,832,406,959,1761,494,716,1096,190,689,713
378,705,1086,820,423,959,1761,494,716,1008,275,652,765
378,476,1314,821,394,988,1719,536,716,947,276,652,780
378,428,1335,722,519,989,1658,597,716,947,267,652,837
370,428,1203,754,627,951,1696,597,716,947,228,652,838
370,309,1293,702,708,770,1877,597,462,940,486,652,743
388,311,1287,612,804,718,1921,605,462,919,507,652,592
375,309,1306,559,858,717,1922,605,319,1062,507,651,571
312,347,1325,410,1013,717,1922,522,340,1073,533,651,551
297,316,1365,388,1046,717,1882,433,378,1164,533,651,548
296,321,1364,306,1134,689,1565,777,344,1100,632,632,548
215,351,1415,302,1138,689,1565,777,315,1129,632,625,545
219,359,1384,332,1108,720,1453,885,319,1129,626,628,477
219,359,1369,347,1034,722,1379,1024,299,1151,627,782,466
219,339,1359,377,1034,634,1376,1110,304,1151,627,820,466
219,339,1255,480,1035,634,1261,1225,304,1151,627,824,462
211,337,1248,495,944,727,1249,1237,238,1151,693,824,534
211,337,1166,577,909,762,1249,1237,238,1151,693,804,547
211,337,1026,717,909,762,1249,1237,231,1158,693,797,571
211,337,919,809,924,762,1249,1199,267,1160,693,790,600
181,367,844,883,888,799,1247,1196,272,1160,693,807,622
181,342,868,884,888,730,1206,1302,276,1160,693,784,648
102,391,898,882,890,526,1386,1326,276,1160,693,816,654
94,399,896,883,891,525,1387,1326,276,1160,693,821,650
124,388,900,887,893,512,1212,1474,317,1088,765,645,650
154,358,928,889,893,511,858,1829,317,958,866,628,631
197,358,928,852,930,507,839,1722,447,953,871,688,629
259,358,928,851,915,523,763,1777,468,931,893,697,629
330,358,878,901,848,531,812,1787,468,852,972,736,507
330,355,770,1010,850,518,825,1784,471,724,1100,739,439
297,378,708,1092,849,385,959,1784,471,716,1106,700,384
297,378,705,1091,832,406,959,1761,494,716,1096,700,388
297,378,705,1086,820,423,959,1761,494,716,1008,725,340
297,378,476,1314,821,394,988,1719,536,716,947,725,326
297,378,428,1335,722,519,989,1658,597,716,947,725,258
297,370,428,1203,754,627,951,1696,597,716,947,725,257
317,370,309,1293,702,708,770,1877,597,462,940,731,250
297,388,311,1287,612,804,718,1921,605,462,919,735,247
292,375,309,1306,559,858,717,1922,605,319,1062,735,247
292,312,347,1325,410,1013,717,1922,522,340,1073,735,247
287,297,316,1365,388,1046,717,1882,433,378,1164,735,290
295,296,321,1364,306,1134,689,1565,777,344,1100,735,492
295,215,351,1415,302,1138,689,1565,777,315,1129,735,578
283,219,359,1384,332,1108,720,1453,885,319,1129,732,578
283,219,359,1369,347,1034,722,1379,1024,299,1151,552,578
283,219,339,1359,377,1034,634,1376,1110,304,1151,475,578
283,219,339,1255,480,1035,634,1261,1225,304,1151,471,578
288,211,337,1248,495,944,727,1249,1237,238,1151,471,505
314,211,337,1166,577,909,762,1249,1237,238,1151,471,492
314,211,337,1026,717,909,762,1249,1237,231,1158,500,448
314,211,337,919,809,924,762,1249,1199,267,1160,373,471
314,181,367,844,883,888,799,1247,1196,272,1160,311,451
352,181,342,868,884,888,730,1206,1302,276,1160,289,479
360,102,391,898,882,890,526,1386,1326,276,1160,228,473
390,94,399,896,883,891,525,1387,1326,276,1160,198,473
360,124,388,900,887,893,512,1212,1474,317,1088,190,473
330,154,358,928,889,893,511,858,1829,317,958,275,473
287,197,358,928,852,930,507,839,1722,447,953,276,473
225,259,358,928,851,915,523,763,1777,468,931,267,473
154,330,358,878,901,848,531,812,1787,468,852,228,475
154,330,355,770,1010,850,518,825,1784,471,724,486,475
144,297,378,708,1092,849,385,959,1784,471,716,507,475
144,297,378,705,1091,832,406,959,1761,494,716,507,476
186,297,378,705,1086,820,423,959,1761,494,716,533,540
186,297,378,476,1314,821,394,988,1719,536,716,533,683
186,297,378,428,1335,722,519,989,1658,597,716,632,721
186,297,370,428,1203,754,627,951,1696,597,716,632,776
179,317,370,309,1293,702,708,770,1877,597,462,626,776
187,297,388,311,1287,612,804,718,1921,605,462,627,935
187,292,375,309,1306,559,858,717,1922,605,319,627,983
187,292,312,347,1325,410,1013,717,1922,522,340,627,983
218,287,297,316,1365,388,1046,717,1882,433,378,693,945
255,295,296,321,1364,306,1134,689,1565,777,344,693,743
364,295,215,351,1415,302,1138,689,1565,777,315,693,662
425,283,219,359,1384,332,1108,720,1453,885,319,693,662
425,283,219,359,1369,347,1034,722,1379,1024,299,693,703
433,283,219,339,1359,377,1034,634,1376,1110,304,693,703
433,283,219,339,1255,480,1035,634,1261,1225,304,693,703
428,288,211,337,1248,495,944,727,1249,1237,238,693,703
402,314,211,337,1166,577,909,762,1249,1237,238,765,703
402,314,211,337,1026,717,909,762,1249,1237,231,866,709
402,314,211,337,919,809,924,762,1249,1199,267,871,639
402,314,181,367,844,883,888,799,1247,1196,272,893,648
364,352,181,342,868,884,888,730,1206,1302,276,972,594
356,360,102,391,898,882,890,526,1386,1326,276,1100,594
