Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
875,1144,1413,492,1206,547,330,711,328,960,1402,598,870
1048,1209,1416,492,1196,557,330,646,393,857,1469,582,946
1354,1188,1465,492,1155,598,330,634,405,718,1491,569,939
1398,1005,1651,492,1138,605,340,609,430,694,1457,558,948
1532,953,1702,493,1075,600,408,574,465,693,1448,514,1147
1532,935,1720,474,1055,555,492,573,466,693,1448,472,1391
1532,935,1666,502,1043,593,474,559,498,693,1448,472,1343
1532,872,1716,515,1043,577,415,382,750,693,1445,472,1240
1532,849,1739,515,1024,594,406,334,809,693,1444,472,1221
1532,731,1857,515,1024,594,270,461,818,693,1444,472,1222
1532,702,1886,515,1022,596,270,461,818,668,1469,472,1104
1532,515,2073,514,989,622,274,465,818,654,1479,472,1070
1527,504,2089,319,1126,466,465,488,818,654,1433,472,1056
1528,504,2072,337,1123,469,449,504,818,654,1428,472,1020
1521,469,2111,340,1123,467,436,517,820,654,1382,472,898
1493,479,2138,340,1123,373,524,523,820,654,1367,507,881
1489,437,2154,370,1123,359,538,510,833,653,1105,517,868
1489,338,2127,496,1123,356,541,474,869,653,1050,517,871
1489,331,2080,550,1123,356,539,476,841,585,1091,517,851
1517,331,2049,581,1123,334,561,476,780,646,1059,563,863
1506,387,2049,581,1123,334,561,476,720,706,859,586,868
1500,412,2034,596,1094,363,561,367,827,708,855,573,954
1372,511,1984,703,1086,371,561,367,771,530,1089,572,1036
1371,509,1742,950,1033,424,561,367,711,433,1246,650,1124
1332,524,1731,871,1144,427,561,367,711,330,1349,701,1188
1318,530,1697,905,1112,464,564,351,727,271,1368,650,1172
1241,572,1406,1257,1029,542,569,339,739,267,1260,767,1200
1213,619,1228,1400,1060,544,571,333,745,267,1130,777,1205
1279,624,1123,1421,1025,663,571,322,756,267,1130,642,1197
1151,758,1132,1411,742,956,571,311,767,267,1080,487,1182
1058,841,1141,1412,731,967,571,311,739,295,986,487,1182
1020,875,1144,1413,492,1206,547,330,711,328,960,490,1181
782,1048,1209,1416,492,1196,557,330,646,393,857,491,1051
550,1354,1188,1465,492,1155,598,330,634,405,718,491,1036
564,1398,1005,1651,492,1138,605,340,609,430,694,491,1092
437,1532,953,1702,493,1075,600,408,574,465,693,495,999
438,1532,935,1720,474,1055,555,492,573,466,693,541,839
438,1532,935,1666,502,1043,593,474,559,498,693,546,907
443,1532,872,1716,515,1043,577,415,382,750,693,592,956
445,1532,849,1739,515,1024,594,406,334,809,693,607,985
445,1532,731,1857,515,1024,594,270,461,818,693,870,987
445,1532,702,1886,515,1022,596,270,461,818,668,925,952
445,1532,515,2073,514,989,622,274,465,818,654,980,952
445,1527,504,2089,319,1126,466,465,488,818,654,1012,1144
443,1528,504,2072,337,1123,469,449,504,818,654,1212,1147
443,1521,469,2111,340,1123,467,436,517,820,654,1216,1147
434,1493,479,2138,340,1123,373,524,523,820,654,1181,1147
434,1489,437,2154,370,1123,359,538,510,833,653,1171,1157
434,1489,338,2127,496,1123,356,541,474,869,653,1171,1154
434,1489,331,2080,550,1123,356,539,476,841,585,1211,1141
406,1517,331,2049,581,1123,334,561,476,780,646,1275,1128
361,1506,387,2049,581,1123,334,561,476,720,706,1382,1123
342,1500,412,2034,596,1094,363,561,367,827,708,1380,1051
314,1372,511,1984,703,1086,371,561,367,771,530,1419,980
312,1371,509,1742,950,1033,424,561,367,711,433,1435,924
312,1332,524,1731,871,1144,427,561,367,711,330,1402,859
