Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1119,1558,605,556,490,444,989,803,721,441
1106,1538,639,556,490,436,657,832,595,428
1050,1549,684,455,591,383,610,757,502,433
1049,1473,761,455,552,290,580,714,386,433
974,1367,942,381,626,169,667,707,336,485
919,1388,771,396,816,99,588,777,314,485
886,1416,740,432,819,98,546,709,314,486
802,1408,806,458,819,98,497,704,278,517
798,1425,788,476,800,85,389,706,278,517
706,1467,845,476,800,84,367,735,278,532
692,1437,797,568,800,84,411,731,319,538
691,1438,671,694,631,84,430,698,319,578
709,1438,628,740,608,84,430,704,319,578
709,1437,629,740,608,88,434,712,319,578
709,1427,639,739,389,88,448,712,307,578
774,1424,642,646,482,88,534,668,247,522
845,1262,802,648,482,81,654,746,374,515
845,1107,955,650,482,263,683,904,374,513
840,1112,955,650,482,365,690,959,354,506
833,1119,955,650,482,356,694,1014,380,650
815,1143,955,650,482,354,748,1015,387,650
645,1316,955,556,576,381,803,1015,387,635
634,1323,959,556,573,750,803,1015,387,608
602,1214,1143,558,573,750,815,1015,387,562
549,1217,1155,600,573,750,815,1015,391,545
549,1180,1187,605,573,750,793,1015,384,545
519,1209,1189,605,556,750,792,1036,357,545
535,1049,1349,605,556,750,790,1036,346,530
468,1079,1453,605,556,750,722,1039,345,528
417,1040,1547,605,556,750,746,914,311,530
351,1127,1547,605,556,736,780,836,247,525
357,1119,1558,605,556,736,991,738,230,500
441,1106,1538,639,556,764,994,709,230,516
604,1050,1549,684,455,771,978,697,230,513
607,1049,1473,761,455,778,1049,628,230,513
644,974,1367,942,381,775,1086,622,224,461
644,919,1388,771,396,775,1304,591,224,461
641,886,1416,740,432,786,1243,601,225,460
641,802,1408,806,458,786,1240,707,246,429
628,798,1425,788,476,888,1200,706,258,429
621,706,1467,845,476,1042,1199,704,270,479
622,692,1437,797,568,1063,1145,801,229,518
622,691,1438,671,694,1083,1126,914,239,593
601,709,1438,628,740,1086,1126,930,239,726
620,709,1437,629,740,1077,1122,1066,240,745
627,709,1427,639,739,1080,1108,1066,431,746
562,774,1424,642,646,1148,1022,1066,444,746
517,845,1262,802,648,1139,902,988,339,666
556,845,1107,955,650,951,873,830,427,605
556,840,1112,955,650,848,866,775,433,609
556,833,1119,955,650,837,884,720,417,526
570,815,1143,955,650,837,830,732,446,558
574,645,1316,955,556,835,775,732,446,558
708,634,1323,959,556,485,775,777,446,555
708,602,1214,1143,558,485,763,880,446,555
749,549,1217,1155,600,485,776,999,442,555
778,549,1180,1187,605,485,835,1016,441,568
804,519,1209,1189,605,489,835,1042,464,568
982,535,1049,1349,605,489,914,1206,486,567
935,468,1079,1453,605,508,1079,1294,515,567
931,417,1040,1547,605,510,1071,1328,522,565
910,351,1127,1547,605,510,1087,1412,674,548
901,357,1119,1558,605,632,920,1412,674,553
816,441,1106,1538,639,672,917,1429,675,543
