Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
291,992,435,251,817,1240,476,666,857,822
291,992,435,251,650,1234,476,678,832,822
291,992,435,251,549,1230,476,748,811,814
305,984,443,251,482,983,367,733,789,773
326,955,472,251,440,713,367,733,725,770
326,873,515,290,387,713,367,733,725,779
327,870,446,362,348,683,367,733,607,813
423,870,412,396,339,645,351,733,603,812
423,721,514,443,279,645,339,733,609,812
444,721,510,447,273,555,333,733,610,812
444,721,510,447,273,555,322,733,618,812
444,721,510,427,293,555,311,757,585,930
444,721,510,427,293,555,311,791,584,1024
444,689,542,425,273,555,330,791,568,991
444,668,563,394,292,458,330,791,551,1016
431,675,569,393,271,484,330,793,405,1053
484,675,569,385,271,523,340,793,486,1053
587,673,571,329,314,549,408,791,717,1053
568,707,571,329,313,537,492,781,717,1018
606,669,523,415,313,611,474,754,896,907
548,710,538,417,281,594,415,772,883,858
548,709,503,453,230,570,406,929,667,1022
623,640,502,517,235,570,270,937,887,1062
671,433,694,526,241,570,270,846,920,1003
695,224,892,512,266,481,274,832,1176,980
705,222,877,529,266,481,465,854,1208,980
634,295,877,527,263,443,449,721,1211,980
614,208,984,523,228,443,436,759,1219,1190
523,299,984,523,168,442,524,1039,1328,1177
523,291,992,436,255,442,538,1156,1364,809
523,291,992,435,251,274,541,1165,1402,824
523,291,992,435,251,281,539,848,1415,824
525,291,992,435,251,281,561,834,1415,824
661,291,992,435,251,217,561,820,1415,824
715,305,984,443,251,217,561,890,1415,824
724,326,955,472,251,232,561,893,1415,824
776,326,873,515,290,392,561,893,1415,826
775,327,870,446,362,392,561,893,1412,792
679,423,870,412,396,392,564,909,1562,792
679,423,721,514,443,396,569,909,1588,792
681,444,721,510,447,398,571,909,1596,792
689,444,721,510,447,471,571,909,1758,792
689,444,721,510,427,493,571,885,1816,674
689,444,721,510,427,493,571,851,1837,580
689,444,689,542,425,493,547,851,1971,579
689,444,668,563,394,532,557,851,1971,554
689,431,675,569,393,506,598,849,1971,494
636,484,675,569,385,467,605,849,1934,494
533,587,673,571,329,441,600,853,1703,494
525,568,707,571,329,417,555,902,1703,510
506,606,669,523,415,322,593,930,1461,523
506,548,710,538,417,322,577,947,1434,561
506,548,709,503,453,322,594,856,1425,354
454,623,640,502,517,322,594,1001,1209,323
406,671,433,694,526,322,596,1002,1205,332
382,695,224,892,512,322,622,1003,949,392
499,705,222,877,529,322,466,993,910,400
497,634,295,877,527,322,469,992,898,400
567,614,208,984,523,322,467,946,890,190
654,523,299,984,523,322,373,666,781,190
682,523,291,992,436,322,359,549,745,265
682,523,291,992,435,322,356,540,707,254
863,523,291,992,435,315,356,589,694,326
900,525,291,992,435,494,334,551,694,326
995,661,291,992,435,623,334,525,807,384
927,715,305,984,443,623,363,458,967,384
1010,724,326,955,472,608,371,455,1123,384
982,776,326,873,515,448,424,455,1123,373
982,775,327,870,446,448,427,455,1123,373
983,679,423,870,412,448,464,439,973,373
1022,679,423,721,514,444,542,439,941,373
1097,681,444,721,510,442,544,439,924,406
1112,689,444,721,510,369,663,439,820,730
1124,689,444,721,510,347,956,439,774,731
1221,689,444,721,510,356,967,439,754,731
1249,689,444,689,542,506,1206,439,620,731
1278,689,444,668,563,473,1196,454,620,731
1278,689,431,675,569,473,1155,469,620,731
1278,636,484,675,569,473,1138,469,678,731
1278,533,587,673,571,473,1075,465,793,731
1271,525,568,707,571,473,1055,527,794,715
1252,506,606,669,523,473,1043,569,799,702
1252,506,548,710,538,473,1043,535,799,664
1252,506,548,709,503,482,1024,647,987,660
1229,454,623,640,502,629,1024,519,982,645
1229,406,671,433,694,629,1022,545,953,635
1229,382,695,224,892,629,989,574,953,575
1233,499,705,222,877,658,1126,568,953,567
1239,497,634,295,877,658,1123,575,953,567
1167,567,614,208,984,658,1123,577,963,567
1081,654,523,299,984,658,1123,709,963,567
1053,682,523,291,992,658,1123,711,963,492
1056,682,523,291,992,658,1123,794,966,567
875,863,523,291,992,658,1123,782,1150,495
836,900,525,291,992,479,1123,778,1162,546
641,995,661,291,992,350,1123,745,1050,488
641,927,715,305,984,350,1094,1020,917,489
539,1010,724,326,955,350,1086,1022,800,532
518,982,776,326,873,350,1033,1024,800,579
537,982,775,327,870,382,1144,1024,802,621
654,983,679,423,870,388,1112,1024,802,647
620,1022,679,423,721,388,1029,1024,805,648
562,1097,681,444,721,388,1060,1024,805,630
539,1112,689,444,721,388,1025,1123,723,368
549,1124,689,444,721,390,742,1123,713,380
453,1221,689,444,721,400,731,1123,910,411
427,1249,689,444,689,250,492,1158,912,554
456,1278,689,444,668,244,492,1143,1092,688
456,1278,689,431,675,285,492,1203,1102,705
456,1278,636,484,675,369,492,1372,1062,813
456,1278,533,587,673,399,493,1419,947,838
456,1271,525,568,707,399,474,1309,946,898
509,1252,506,606,669,410,502,1241,993,899
512,1252,506,548,710,481,515,1272,993,899
518,1252,506,548,709,627,515,1114,805,899
537,1229,454,623,640,517,515,1096,979,933
551,1229,406,671,433,517,515,1069,1110,946
551,1229,382,695,224,518,514,1039,1216,948
420,1233,499,705,222,491,319,1034,1221,952
414,1239,497,634,295,491,337,1027,1221,952
425,1167,567,614,208,491,340,1025,1211,952
456,1081,654,523,299,491,340,901,1211,952
478,1053,682,523,291,491,370,904,1259,952
552,1056,682,523,291,491,496,821,1263,873
624,875,863,523,291,491,550,784,1079,873
645,836,900,525,291,491,581,819,1160,822
618,641,995,661,291,491,581,819,1174,822
757,641,927,715,305,491,596,541,1147,834
746,539,1010,724,326,491,703,553,1108,791
743,518,982,776,326,491,950,552,1108,829
724,537,982,775,327,459,871,598,1137,796
643,654,983,679,423,453,905,616,1137,936
