Accum_y-0,T-1,Accum_y-1,Accum_y-2
647,1016,575,1184
437,1226,575,1431
363,1238,575,1586
232,1330,595,1732
233,1330,620,1900
276,1331,620,1910
283,1381,620,1955
292,1381,629,2013
319,1363,656,2096
465,1362,720,2086
756,1291,720,2177
941,1187,720,2124
1001,1168,720,2111
1011,1164,720,2111
1011,1164,720,2101
1006,1081,699,2101
1010,1014,611,2101
1052,995,501,2101
1038,990,378,2116
1022,989,339,2103
985,1025,224,2068
996,1024,194,2068
1000,989,172,2068
1061,989,172,2068
1068,989,172,2008
1076,878,171,1840
1085,852,162,1747
1096,839,162,1737
1126,800,162,1462
1126,663,162,1349
1126,660,162,1331
1126,647,162,1248
1126,437,162,993
1126,363,163,838
1126,232,178,692
1125,233,172,524
1087,276,172,527
1031,283,172,482
1022,292,163,429
995,319,187,359
849,465,137,201
538,756,223,142
325,941,242,142
257,1001,314,142
247,1011,314,150
247,1011,373,175
244,1006,397,175
256,1010,406,175
214,1052,406,175
223,1038,396,160
236,1022,389,160
274,985,389,147
240,996,389,124
240,1000,389,124
179,1061,389,124
172,1068,389,124
174,1076,389,124
189,1085,389,124
178,1096,389,164
148,1126,389,164
148,1126,407,284
148,1126,407,284
148,1126,407,284
148,1126,413,284
149,1126,417,287
149,1126,382,287
149,1125,363,282
143,1087,363,269
142,1031,378,279
142,1022,383,274
142,995,430,261
142,849,527,246
142,538,445,211
142,325,522,211
142,257,450,211
152,247,450,206
152,247,391,181
152,244,367,456
136,256,360,475
147,214,361,720
161,223,455,753
155,236,584,753
113,274,617,753
104,240,617,748
107,240,638,748
107,179,640,748
107,172,650,748
97,174,662,748
73,189,671,748
73,178,671,708
104,148,671,708
104,148,687,588
104,148,687,588
167,148,687,623
212,148,681,628
225,149,676,625
225,149,676,638
225,149,676,638
227,143,676,638
227,142,661,628
283,142,656,628
350,142,559,628
355,142,456,628
366,142,463,628
366,142,437,628
366,142,437,628
356,152,465,630
358,152,491,658
358,152,504,392
358,136,502,373
347,147,501,128
317,161,407,148
310,155,296,158
310,113,263,158
310,104,271,158
301,107,250,158
301,107,268,158
301,107,282,158
301,97,284,158
315,73,275,428
319,73,330,471
288,104,330,471
288,104,296,471
288,104,296,476
225,167,296,441
197,212,296,436
276,225,296,436
298,225,296,423
323,225,315,423
321,227,317,423
335,227,561,423
601,283,561,423
910,350,560,423
921,355,552,433
917,366,541,463
917,366,471,471
917,366,471,474
957,356,443,469
955,358,417,441
1044,358,404,432
1046,358,404,432
1046,347,404,432
1041,317,404,379
1041,310,386,369
1041,310,404,369
1130,310,557,369
1193,301,557,369
1256,301,537,369
1256,301,590,369
1294,301,576,369
1280,315,591,99
1276,319,540,56
1365,288,542,56
1391,288,561,56
1391,288,592,51
1391,225,677,51
1374,197,684,142
1281,276,684,208
1259,298,697,228
1234,323,712,245
1293,321,724,321
1282,335,480,321
986,601,521,321
620,910,521,336
638,921,521,341
646,917,521,315
662,917,521,307
669,917,521,359
629,957,521,366
629,955,521,376
540,1044,556,485
677,1046,580,486
677,1046,580,538
677,1041,832,538
677,1041,1213,565
677,1041,1290,569
588,1130,1129,587
532,1193,1129,634
469,1256,1129,634
469,1256,1052,634
431,1294,1052,634
431,1280,1048,634
431,1276,1072,634
342,1365,1070,634
316,1391,1091,634
320,1391,1182,634
320,1391,1191,638
320,1374,1184,547
320,1281,1184,481
320,1259,1171,461
381,1234,1258,444
322,1293,1268,368
374,1282,1378,368
351,986,1337,479
541,620,1339,483
512,638,1339,468
510,646,1344,464
494,662,1348,464
488,669,1349,428
640,629,1349,421
682,629,1349,411
707,540,1344,302
568,677,1320,301
568,677,1320,249
568,677,1129,251
608,677,748,372
626,677,653,449
763,588,653,432
900,532,653,385
900,469,653,385
1112,469,653,612
1139,431,663,612
1139,431,807,612
1139,431,779,612
1139,342,779,612
1139,316,739,612
1135,320,617,612
1135,320,523,608
1135,320,523,616
1135,320,523,728
1190,320,525,728
1140,381,464,728
1140,322,667,728
1086,374,573,728
1083,351,638,617
955,541,792,598
1028,512,792,598
1015,510,787,598
1015,494,783,598
1014,488,789,579
862,640,849,579
820,682,879,579
795,707,849,579
795,568,863,596
796,568,903,596
796,568,846,594
756,608,846,446
738,626,846,365
601,763,846,364
457,900,846,364
457,900,916,364
245,1112,921,137
218,1139,1049,137
218,1139,952,141
218,1139,1108,141
242,1139,1121,141
242,1139,1159,141
245,1135,1159,141
245,1135,1159,141
269,1135,1161,133
376,1135,1161,21
330,1190,1159,21
418,1140,1099,21
535,1140,887,47
546,1086,871,47
787,1083,806,47
801,955,695,47
996,1028,707,47
1001,1015,707,52
1001,1015,707,52
1001,1014,701,52
1001,862,641,52
1001,820,611,52
1040,795,611,52
1204,795,605,58
1288,796,565,58
1378,796,561,70
1442,756,561,190
1442,738,561,263
1442,601,561,291
1442,457,568,338
1442,457,498,480
1457,245,493,507
1509,218,369,520
1509,218,311,516
1512,218,161,516
1513,242,148,516
1933,242,110,615
1967,245,207,712
1972,245,214,712
1958,269,212,712
1923,376,212,712
1917,330,212,712
1823,418,216,712
1741,535,201,778
1793,546,201,778
1664,787,201,778
1588,801,218,778
1315,996,206,780
1310,1001,206,868
1310,1001,206,947
1310,1001,205,953
1310,1001,235,961
1349,1001,288,961
1310,1040,289,961
1153,1204,332,938
1069,1288,483,938
979,1378,598,926
915,1442,621,806
915,1442,657,733
915,1442,768,705
915,1442,774,658
915,1442,774,530
900,1457,774,503
848,1509,760,490
848,1509,822,585
845,1512,855,614
820,1513,855,660
400,1933,855,583
364,1967,758,486
384,1972,751,558
383,1958,769,625
311,1923,770,630
319,1917,861,630
328,1823,989,717
294,1741,1016,635
231,1793,1020,792
186,1664,1020,869
219,1588,1049,914
219,1315,1116,912
219,1310,1135,819
219,1310,1166,806
219,1310,1183,906
219,1310,1158,904
181,1349,1138,904
183,1310,1174,904
176,1153,1123,904
175,1069,972,904
175,979,968,904
175,915,971,904
176,915,948,904
176,915,876,904
176,915,1000,904
176,915,1003,890
191,900,1016,890
197,848,1226,890
201,848,1238,795
243,845,1330,766
243,820,1330,720
243,400,1331,698
299,364,1381,698
406,384,1381,626
456,383,1363,559
649,311,1362,554
689,319,1291,554
750,328,1187,467
886,294,1168,457
916,231,1164,300
887,186,1164,223
926,219,1081,199
989,219,1014,287
995,219,995,397
1215,219,990,464
1646,219,989,404
1738,219,1025,513
1845,181,1024,543
1900,183,989,565
1975,176,989,565
1975,175,989,565
1988,175,878,566
1993,175,852,575
2009,176,839,575
2080,176,800,575
2144,176,663,575
2322,176,660,575
2307,191,647,575
2337,197,437,575
2432,201,363,575
2431,243,232,595
2560,243,233,620
2721,243,276,620
2685,299,283,620
