Accum_y-0,T-1,Accum_y-1,Accum_y-2
945,211,1314,1464
938,234,1166,1311
990,197,1101,1217
1012,196,1016,911
1013,196,858,860
1013,196,857,852
930,279,858,897
987,267,828,948
1003,256,799,1015
895,328,678,1006
960,328,661,985
935,358,661,967
861,441,534,964
910,440,471,973
943,443,248,973
772,614,218,968
760,626,313,925
760,612,338,941
759,613,346,904
