Accum_y-0,T-1,Accum_y-1,Accum_y-2
803,924,721,441
832,906,595,428
757,993,502,433
714,1105,386,433
707,1122,336,485
777,1128,314,485
709,1196,314,486
704,1279,278,517
706,1278,278,517
735,1278,278,532
731,1320,319,538
698,1292,319,578
704,1293,319,578
712,1213,319,578
712,1198,307,578
668,1242,247,522
746,1194,374,515
904,1186,374,513
959,1127,354,506
1014,1045,380,650
1015,947,387,650
1015,918,387,635
1015,892,387,608
1015,633,387,562
1015,606,391,545
1015,529,384,545
1036,527,357,545
1036,527,346,530
1039,502,345,528
914,627,311,530
836,705,247,525
738,803,230,500
709,832,230,516
697,757,230,513
628,714,230,513
622,707,224,461
591,777,224,461
601,709,225,460
707,704,246,429
706,706,258,429
704,735,270,479
801,731,229,518
914,698,239,593
930,704,239,726
1066,712,240,745
1066,712,431,746
1066,668,444,746
988,746,339,666
830,904,427,605
775,959,433,609
720,1014,417,526
732,1015,446,558
732,1015,446,558
777,1015,446,555
880,1015,446,555
999,1015,442,555
1016,1015,441,568
1042,1036,464,568
1206,1036,486,567
1294,1039,515,567
1328,914,522,565
1412,836,674,548
1412,738,674,553
1429,709,675,543
1499,697,687,544
1523,628,691,550
1519,622,762,554
1509,591,822,560
1499,601,832,560
1315,707,817,573
1308,706,805,594
1281,704,793,529
1146,801,793,484
1031,914,783,369
1008,930,783,236
870,1066,782,217
920,1066,591,216
955,1066,573,216
992,988,591,216
992,830,516,187
1207,775,510,190
1211,720,500,129
1219,732,634,106
1224,732,717,106
1179,777,721,162
1076,880,768,184
976,999,805,189
972,1016,875,227
954,1042,958,252
831,1206,950,252
740,1294,1056,252
706,1328,1104,252
621,1412,977,252
621,1412,977,263
604,1429,976,265
534,1499,964,318
510,1523,960,340
510,1519,889,342
475,1509,829,336
475,1499,818,336
475,1315,815,323
475,1308,823,302
475,1281,846,302
475,1146,856,302
475,1031,915,342
475,1008,922,383
469,870,922,383
419,920,922,406
384,955,922,470
347,992,877,476
347,992,906,476
132,1207,906,460
128,1211,906,463
107,1219,736,455
102,1224,653,564
102,1179,682,568
102,1076,635,545
83,976,598,551
136,972,528,500
107,954,520,475
66,831,517,475
66,740,382,475
66,706,327,545
90,621,302,568
92,621,317,559
92,604,317,565
198,534,317,607
279,510,427,590
370,510,432,584
370,475,432,584
398,475,432,584
413,475,557,584
433,475,571,677
444,475,548,766
479,475,538,766
638,475,876,726
724,475,869,685
724,469,908,685
762,419,959,662
902,384,1144,723
903,347,1191,721
903,347,1160,722
903,132,1173,737
903,128,1197,734
951,107,1247,733
1112,102,1385,624
1159,102,1384,563
1177,102,1384,563
1183,83,1487,796
1123,136,1512,796
1195,107,1428,796
1443,66,1468,796
1443,66,1468,796
1443,66,1468,772
1419,90,1470,749
1417,92,1456,740
1417,92,1456,758
1311,198,1456,660
1261,279,1346,649
1204,370,1341,649
1278,370,1341,649
1250,398,1341,649
1235,413,1213,649
1220,433,1191,556
1237,444,1288,468
1290,479,1338,468
1175,638,941,468
1213,724,941,468
1267,724,1017,468
1230,762,1114,468
1122,902,929,343
1173,903,898,339
1266,903,879,338
1383,903,866,323
1425,903,842,323
1448,951,933,325
1409,1112,803,326
1376,1159,782,326
1399,1177,782,376
1401,1183,681,334
1398,1123,656,392
1374,1195,642,456
1320,1443,591,505
1495,1443,591,505
1529,1443,591,493
1589,1419,608,507
1618,1417,624,759
1618,1417,625,772
1713,1311,629,848
1689,1261,629,848
1656,1204,629,848
1583,1278,629,848
1591,1250,629,848
1593,1235,629,848
1588,1220,629,848
1560,1237,532,847
1472,1290,482,847
1428,1175,482,847
1304,1213,482,957
1307,1267,367,957
1382,1230,219,1024
1417,1122,219,1024
1369,1173,223,1024
1313,1266,223,1027
1197,1383,223,1076
1155,1425,223,1093
1084,1448,82,1091
962,1409,88,1134
992,1376,124,1273
995,1399,124,1657
987,1401,122,1456
984,1398,122,1398
936,1374,134,1334
834,1320,188,1285
659,1495,222,1286
625,1529,501,1252
565,1589,482,1297
840,1618,465,1045
881,1618,465,1055
810,1713,461,1007
899,1689,475,1007
907,1656,531,1007
906,1583,612,1019
903,1591,617,1032
901,1593,713,1135
901,1588,831,1249
952,1560,832,1249
1009,1472,834,1249
1035,1428,1012,1249
1035,1304,1021,1139
1028,1307,1044,1160
963,1382,1062,1093
974,1417,1132,1093
1304,1369,1113,1093
1268,1313,1113,1092
1267,1197,1363,1044
1267,1155,1469,1087
1267,1084,1553,1087
1267,962,1539,1043
1223,992,1666,904
1179,995,1748,470
1179,987,1748,469
1179,984,1748,469
1179,936,1736,469
1087,834,1682,469
1196,659,1670,468
1202,625,1391,468
1207,565,1391,409
912,840,1391,409
871,881,1390,354
847,810,1390,326
751,899,1376,327
771,907,1320,658
772,906,1239,759
767,903,1234,776
767,901,1138,673
767,901,1020,560
716,952,1022,610
659,1009,1020,652
710,1035,867,652
729,1035,878,652
679,1028,860,631
668,963,842,631
590,974,772,631
256,1304,771,631
255,1268,771,629
312,1267,527,628
312,1267,434,575
312,1267,358,575
479,1267,358,586
489,1223,184,596
530,1179,118,613
530,1179,174,652
530,1179,193,825
544,1179,381,842
549,1087,630,842
440,1196,609,842
434,1202,613,842
429,1207,677,842
420,912,682,842
420,871,682,842
425,847,683,843
476,751,683,842
447,771,683,511
446,772,683,398
446,767,683,368
446,767,683,368
446,767,683,367
446,716,680,317
456,659,680,275
379,710,655,280
360,729,715,323
360,679,747,383
374,668,752,424
375,590,784,477
375,256,934,481
375,255,995,481
318,312,990,483
318,312,977,476
318,312,969,476
151,479,976,465
380,489,977,455
352,530,961,438
352,530,928,493
352,530,927,338
338,544,739,402
333,549,490,471
333,440,489,522
333,434,485,547
406,429,421,547
409,420,416,552
509,420,423,552
615,425,422,561
592,476,422,561
624,447,485,563
624,446,485,573
680,446,565,573
690,446,580,573
690,446,580,647
690,446,628,665
680,456,636,680
680,379,695,675
826,360,697,632
832,360,758,572
856,374,782,539
855,375,776,486
873,375,885,482
873,375,851,520
893,318,927,518
937,318,929,542
946,318,929,569
946,151,947,593
716,380,946,593
707,352,947,593
826,352,924,499
1158,352,906,607
1221,338,993,619
1252,333,1105,666
1270,333,1122,671
1373,333,1128,668
1403,406,1196,668
1452,409,1279,699
1500,509,1278,699
1412,615,1278,689
1394,592,1320,689
1362,624,1292,687
1362,624,1293,677
1306,680,1213,677
1296,690,1198,689
1296,690,1242,680
1296,690,1194,667
1296,680,1186,660
1296,680,1127,680
1150,826,1045,680
1144,832,947,680
1106,856,918,672
1106,855,892,672
1088,873,633,672
1088,873,606,634
1090,893,529,642
1047,937,527,645
1040,946,527,629
1108,946,502,606
1111,716,627,640
1108,707,705,704
989,826,803,721
657,1158,832,595
610,1221,757,502
580,1252,714,386
667,1270,707,336
588,1373,777,314
546,1403,709,314
497,1452,704,278
389,1500,706,278
367,1412,735,278
411,1394,731,319
430,1362,698,319
430,1362,704,319
434,1306,712,319
448,1296,712,307
534,1296,668,247
654,1296,746,374
683,1296,904,374
690,1296,959,354
694,1150,1014,380
748,1144,1015,387
803,1106,1015,387
803,1106,1015,387
815,1088,1015,387
815,1088,1015,391
793,1090,1015,384
792,1047,1036,357
790,1040,1036,346
722,1108,1039,345
746,1111,914,311
780,1108,836,247
991,989,738,230
994,657,709,230
978,610,697,230
1049,580,628,230
1086,667,622,224
1304,588,591,224
1243,546,601,225
1240,497,707,246
1200,389,706,258
1199,367,704,270
1145,411,801,229
1126,430,914,239
1126,430,930,239
1122,434,1066,240
1108,448,1066,431
1022,534,1066,444
902,654,988,339
873,683,830,427
866,690,775,433
884,694,720,417
830,748,732,446
775,803,732,446
775,803,777,446
763,815,880,446
776,815,999,442
835,793,1016,441
835,792,1042,464
914,790,1206,486
1079,722,1294,515
1071,746,1328,522
1087,780,1412,674
920,991,1412,674
917,994,1429,675
917,978,1499,687
846,1049,1523,691
704,1086,1519,762
463,1304,1509,822
513,1243,1499,832
715,1240,1315,817
786,1200,1308,805
812,1199,1281,793
863,1145,1146,793
892,1126,1031,783
1008,1126,1008,783
1018,1122,870,782
1018,1108,920,591
1022,1022,955,573
1055,902,992,591
1231,873,992,516
1254,866,1207,510
1232,884,1211,500
1251,830,1219,634
1251,775,1224,717
1256,775,1179,721
1327,763,1076,768
1358,776,976,805
1299,835,972,875
1306,835,954,958
1233,914,831,950
1068,1079,740,1056
1040,1071,706,1104
989,1087,621,977
