Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
582,788,519,1143,454,851,791,946
569,801,444,1203,469,849,793,939
558,812,275,1372,469,849,793,948
514,856,228,1419,465,853,791,1147
472,898,227,1309,527,902,781,1391
472,898,225,1241,569,930,754,1343
472,844,247,1272,535,947,772,1240
472,715,356,1114,647,856,929,1221
472,562,502,1096,519,1001,937,1222
472,559,505,1069,545,1002,846,1104
472,559,505,1039,574,1003,832,1070
472,559,504,1034,568,993,854,1056
472,536,527,1027,575,992,721,1020
472,536,527,1025,577,946,759,898
507,535,520,901,709,666,1039,881
517,535,515,904,711,549,1156,868
517,535,515,821,794,540,1165,871
517,535,515,784,782,589,848,851
563,537,480,819,778,551,834,863
586,537,480,819,745,525,820,868
573,552,479,541,1020,458,890,954
572,564,465,553,1022,455,893,1036
650,493,535,552,1024,455,893,1124
701,496,494,598,1024,455,893,1188
650,547,512,616,1024,439,909,1172
767,508,551,616,1024,439,909,1200
777,496,611,616,1024,439,909,1205
642,609,631,529,1123,439,909,1197
487,763,631,530,1123,439,885,1182
487,681,713,530,1123,439,851,1182
490,598,796,495,1158,439,851,1181
491,582,788,519,1143,454,851,1051
491,569,801,444,1203,469,849,1036
491,558,812,275,1372,469,849,1092
495,514,856,228,1419,465,853,999
541,472,898,227,1309,527,902,839
546,472,898,225,1241,569,930,907
592,472,844,247,1272,535,947,956
607,472,715,356,1114,647,856,985
870,472,562,502,1096,519,1001,987
925,472,559,505,1069,545,1002,952
980,472,559,505,1039,574,1003,952
1012,472,559,504,1034,568,993,1144
1212,472,536,527,1027,575,992,1147
1216,472,536,527,1025,577,946,1147
1181,507,535,520,901,709,666,1147
1171,517,535,515,904,711,549,1157
1171,517,535,515,821,794,540,1154
1211,517,535,515,784,782,589,1141
1275,563,537,480,819,778,551,1128
1382,586,537,480,819,745,525,1123
1380,573,552,479,541,1020,458,1051
1419,572,564,465,553,1022,455,980
1435,650,493,535,552,1024,455,924
1402,701,496,494,598,1024,455,859
1469,650,547,512,616,1024,439,817
1491,767,508,551,616,1024,439,744
1457,777,496,611,616,1024,439,707
1448,642,609,631,529,1123,439,729
1448,487,763,631,530,1123,439,769
1448,487,681,713,530,1123,439,769
1445,490,598,796,495,1158,439,820
1444,491,582,788,519,1143,454,897
1444,491,569,801,444,1203,469,874
1469,491,558,812,275,1372,469,823
1479,495,514,856,228,1419,465,753
1433,541,472,898,227,1309,527,727
1428,546,472,898,225,1241,569,670
1382,592,472,844,247,1272,535,668
1367,607,472,715,356,1114,647,708
1105,870,472,562,502,1096,519,758
1050,925,472,559,505,1069,545,780
1091,980,472,559,505,1039,574,851
1059,1012,472,559,504,1034,568,717
859,1212,472,536,527,1027,575,723
855,1216,472,536,527,1025,577,794
1089,1181,507,535,520,901,709,819
1246,1171,517,535,515,904,711,815
1349,1171,517,535,515,821,794,923
1368,1211,517,535,515,784,782,1135
1260,1275,563,537,480,819,778,1167
1130,1382,586,537,480,819,745,1219
1130,1380,573,552,479,541,1020,1280
1080,1419,572,564,465,553,1022,1305
986,1435,650,493,535,552,1024,1272
960,1402,701,496,494,598,1024,1285
857,1469,650,547,512,616,1024,1404
718,1491,767,508,551,616,1024,1400
694,1457,777,496,611,616,1024,1400
693,1448,642,609,631,529,1123,1378
693,1448,487,763,631,530,1123,1338
693,1448,487,681,713,530,1123,1355
693,1445,490,598,796,495,1158,1322
693,1444,491,582,788,519,1143,1341
693,1444,491,569,801,444,1203,1375
668,1469,491,558,812,275,1372,1426
654,1479,495,514,856,228,1419,1424
654,1433,541,472,898,227,1309,1374
654,1428,546,472,898,225,1241,1441
654,1382,592,472,844,247,1272,1452
654,1367,607,472,715,356,1114,1384
653,1105,870,472,562,502,1096,1331
653,1050,925,472,559,505,1069,1309
585,1091,980,472,559,505,1039,1336
646,1059,1012,472,559,504,1034,1330
706,859,1212,472,536,527,1027,1334
708,855,1216,472,536,527,1025,1263
530,1089,1181,507,535,520,901,1263
433,1246,1171,517,535,515,904,1267
330,1349,1171,517,535,515,821,1161
271,1368,1211,517,535,515,784,952
267,1260,1275,563,537,480,819,920
267,1130,1382,586,537,480,819,868
267,1130,1380,573,552,479,541,1064
267,1080,1419,572,564,465,553,1087
295,986,1435,650,493,535,552,1117
328,960,1402,701,496,494,598,1123
393,857,1469,650,547,512,616,1057
405,718,1491,767,508,551,616,1209
430,694,1457,777,496,611,616,1209
465,693,1448,642,609,631,529,1209
466,693,1448,487,763,631,530,1288
498,693,1448,487,681,713,530,1271
750,693,1445,490,598,796,495,1253
809,693,1444,491,582,788,519,1157
818,693,1444,491,569,801,444,1123
818,668,1469,491,558,812,275,1058
818,654,1479,495,514,856,228,1021
818,654,1433,541,472,898,227,1013
818,654,1428,546,472,898,225,929
820,654,1382,592,472,844,247,871
820,654,1367,607,472,715,356,870
833,653,1105,870,472,562,502,870
869,653,1050,925,472,559,505,881
841,585,1091,980,472,559,505,787
780,646,1059,1012,472,559,504,779
720,706,859,1212,472,536,527,769
827,708,855,1216,472,536,527,785
771,530,1089,1181,507,535,520,760
711,433,1246,1171,517,535,515,750
711,330,1349,1171,517,535,515,748
727,271,1368,1211,517,535,515,745
739,267,1260,1275,563,537,480,745
745,267,1130,1382,586,537,480,745
756,267,1130,1380,573,552,479,474
767,267,1080,1419,572,564,465,415
739,295,986,1435,650,493,535,385
711,328,960,1402,701,496,494,366
646,393,857,1469,650,547,512,312
634,405,718,1491,767,508,551,157
609,430,694,1457,777,496,611,157
574,465,693,1448,642,609,631,159
573,466,693,1448,487,763,631,90
559,498,693,1448,487,681,713,117
382,750,693,1445,490,598,796,117
334,809,693,1444,491,582,788,117
461,818,693,1444,491,569,801,117
461,818,668,1469,491,558,812,208
465,818,654,1479,495,514,856,222
488,818,654,1433,541,472,898,222
504,818,654,1428,546,472,898,356
517,820,654,1382,592,472,844,364
523,820,654,1367,607,472,715,364
510,833,653,1105,870,472,562,364
474,869,653,1050,925,472,559,353
476,841,585,1091,980,472,559,666
476,780,646,1059,1012,472,559,678
476,720,706,859,1212,472,536,748
367,827,708,855,1216,472,536,733
367,771,530,1089,1181,507,535,733
367,711,433,1246,1171,517,535,733
367,711,330,1349,1171,517,535,733
351,727,271,1368,1211,517,535,733
339,739,267,1260,1275,563,537,733
333,745,267,1130,1382,586,537,733
322,756,267,1130,1380,573,552,733
311,767,267,1080,1419,572,564,757
311,739,295,986,1435,650,493,791
330,711,328,960,1402,701,496,791
330,646,393,857,1469,650,547,791
330,634,405,718,1491,767,508,793
340,609,430,694,1457,777,496,793
408,574,465,693,1448,642,609,791
492,573,466,693,1448,487,763,781
474,559,498,693,1448,487,681,754
415,382,750,693,1445,490,598,772
406,334,809,693,1444,491,582,929
270,461,818,693,1444,491,569,937
270,461,818,668,1469,491,558,846
274,465,818,654,1479,495,514,832
465,488,818,654,1433,541,472,854
449,504,818,654,1428,546,472,721
436,517,820,654,1382,592,472,759
524,523,820,654,1367,607,472,1039
538,510,833,653,1105,870,472,1156
541,474,869,653,1050,925,472,1165
539,476,841,585,1091,980,472,848
561,476,780,646,1059,1012,472,834
561,476,720,706,859,1212,472,820
561,367,827,708,855,1216,472,890
561,367,771,530,1089,1181,507,893
561,367,711,433,1246,1171,517,893
561,367,711,330,1349,1171,517,893
564,351,727,271,1368,1211,517,909
569,339,739,267,1260,1275,563,909
571,333,745,267,1130,1382,586,909
571,322,756,267,1130,1380,573,909
571,311,767,267,1080,1419,572,885
571,311,739,295,986,1435,650,851
547,330,711,328,960,1402,701,851
557,330,646,393,857,1469,650,851
598,330,634,405,718,1491,767,849
605,340,609,430,694,1457,777,849
600,408,574,465,693,1448,642,853
555,492,573,466,693,1448,487,902
593,474,559,498,693,1448,487,930
577,415,382,750,693,1445,490,947
594,406,334,809,693,1444,491,856
594,270,461,818,693,1444,491,1001
596,270,461,818,668,1469,491,1002
622,274,465,818,654,1479,495,1003
466,465,488,818,654,1433,541,993
469,449,504,818,654,1428,546,992
467,436,517,820,654,1382,592,946
373,524,523,820,654,1367,607,666
359,538,510,833,653,1105,870,549
356,541,474,869,653,1050,925,540
356,539,476,841,585,1091,980,589
334,561,476,780,646,1059,1012,551
334,561,476,720,706,859,1212,525
363,561,367,827,708,855,1216,458
371,561,367,771,530,1089,1181,455
424,561,367,711,433,1246,1171,455
427,561,367,711,330,1349,1171,455
464,564,351,727,271,1368,1211,439
542,569,339,739,267,1260,1275,439
544,571,333,745,267,1130,1382,439
663,571,322,756,267,1130,1380,439
956,571,311,767,267,1080,1419,439
967,571,311,739,295,986,1435,439
1206,547,330,711,328,960,1402,439
1196,557,330,646,393,857,1469,454
1155,598,330,634,405,718,1491,469
1138,605,340,609,430,694,1457,469
1075,600,408,574,465,693,1448,465
1055,555,492,573,466,693,1448,527
1043,593,474,559,498,693,1448,569
1043,577,415,382,750,693,1445,535
1024,594,406,334,809,693,1444,647
1024,594,270,461,818,693,1444,519
1022,596,270,461,818,668,1469,545
989,622,274,465,818,654,1479,574
1126,466,465,488,818,654,1433,568
1123,469,449,504,818,654,1428,575
1123,467,436,517,820,654,1382,577
1123,373,524,523,820,654,1367,709
1123,359,538,510,833,653,1105,711
1123,356,541,474,869,653,1050,794
1123,356,539,476,841,585,1091,782
1123,334,561,476,780,646,1059,778
1123,334,561,476,720,706,859,745
1094,363,561,367,827,708,855,1020
1086,371,561,367,771,530,1089,1022
1033,424,561,367,711,433,1246,1024
1144,427,561,367,711,330,1349,1024
1112,464,564,351,727,271,1368,1024
1029,542,569,339,739,267,1260,1024
1060,544,571,333,745,267,1130,1024
1025,663,571,322,756,267,1130,1123
742,956,571,311,767,267,1080,1123
731,967,571,311,739,295,986,1123
492,1206,547,330,711,328,960,1158
492,1196,557,330,646,393,857,1143
492,1155,598,330,634,405,718,1203
492,1138,605,340,609,430,694,1372
493,1075,600,408,574,465,693,1419
474,1055,555,492,573,466,693,1309
