Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
803,924,928,174,1748,122,681,721
832,906,927,193,1748,122,656,595
757,993,739,381,1736,134,642,502
714,1105,490,630,1682,188,591,386
707,1122,489,609,1670,222,591,336
777,1128,485,613,1391,501,591,314
709,1196,421,677,1391,482,608,314
704,1279,416,682,1391,465,624,278
706,1278,423,682,1390,465,625,278
735,1278,422,683,1390,461,629,278
731,1320,422,683,1376,475,629,319
698,1292,485,683,1320,531,629,319
704,1293,485,683,1239,612,629,319
712,1213,565,683,1234,617,629,319
712,1198,580,683,1138,713,629,307
668,1242,580,683,1020,831,629,247
746,1194,628,680,1022,832,532,374
904,1186,636,680,1020,834,482,374
959,1127,695,655,867,1012,482,354
1014,1045,697,715,878,1021,482,380
1015,947,758,747,860,1044,367,387
1015,918,782,752,842,1062,219,387
1015,892,776,784,772,1132,219,387
1015,633,885,934,771,1113,223,387
1015,606,851,995,771,1113,223,391
1015,529,927,990,527,1363,223,384
1036,527,929,977,434,1469,223,357
1036,527,929,969,358,1553,82,346
1039,502,947,976,358,1539,88,345
914,627,946,977,184,1666,124,311
836,705,947,961,118,1748,124,247
738,803,924,928,174,1748,122,230
709,832,906,927,193,1748,122,230
697,757,993,739,381,1736,134,230
628,714,1105,490,630,1682,188,230
622,707,1122,489,609,1670,222,224
591,777,1128,485,613,1391,501,224
601,709,1196,421,677,1391,482,225
707,704,1279,416,682,1391,465,246
706,706,1278,423,682,1390,465,258
704,735,1278,422,683,1390,461,270
801,731,1320,422,683,1376,475,229
914,698,1292,485,683,1320,531,239
930,704,1293,485,683,1239,612,239
1066,712,1213,565,683,1234,617,240
1066,712,1198,580,683,1138,713,431
1066,668,1242,580,683,1020,831,444
988,746,1194,628,680,1022,832,339
830,904,1186,636,680,1020,834,427
775,959,1127,695,655,867,1012,433
720,1014,1045,697,715,878,1021,417
732,1015,947,758,747,860,1044,446
732,1015,918,782,752,842,1062,446
777,1015,892,776,784,772,1132,446
880,1015,633,885,934,771,1113,446
999,1015,606,851,995,771,1113,442
1016,1015,529,927,990,527,1363,441
1042,1036,527,929,977,434,1469,464
1206,1036,527,929,969,358,1553,486
1294,1039,502,947,976,358,1539,515
1328,914,627,946,977,184,1666,522
1412,836,705,947,961,118,1748,674
1412,738,803,924,928,174,1748,674
1429,709,832,906,927,193,1748,675
1499,697,757,993,739,381,1736,687
1523,628,714,1105,490,630,1682,691
1519,622,707,1122,489,609,1670,762
1509,591,777,1128,485,613,1391,822
1499,601,709,1196,421,677,1391,832
1315,707,704,1279,416,682,1391,817
1308,706,706,1278,423,682,1390,805
1281,704,735,1278,422,683,1390,793
1146,801,731,1320,422,683,1376,793
1031,914,698,1292,485,683,1320,783
1008,930,704,1293,485,683,1239,783
870,1066,712,1213,565,683,1234,782
920,1066,712,1198,580,683,1138,591
955,1066,668,1242,580,683,1020,573
992,988,746,1194,628,680,1022,591
992,830,904,1186,636,680,1020,516
1207,775,959,1127,695,655,867,510
1211,720,1014,1045,697,715,878,500
1219,732,1015,947,758,747,860,634
1224,732,1015,918,782,752,842,717
1179,777,1015,892,776,784,772,721
1076,880,1015,633,885,934,771,768
976,999,1015,606,851,995,771,805
972,1016,1015,529,927,990,527,875
954,1042,1036,527,929,977,434,958
831,1206,1036,527,929,969,358,950
740,1294,1039,502,947,976,358,1056
706,1328,914,627,946,977,184,1104
621,1412,836,705,947,961,118,977
621,1412,738,803,924,928,174,977
604,1429,709,832,906,927,193,976
534,1499,697,757,993,739,381,964
510,1523,628,714,1105,490,630,960
510,1519,622,707,1122,489,609,889
475,1509,591,777,1128,485,613,829
475,1499,601,709,1196,421,677,818
475,1315,707,704,1279,416,682,815
475,1308,706,706,1278,423,682,823
475,1281,704,735,1278,422,683,846
475,1146,801,731,1320,422,683,856
475,1031,914,698,1292,485,683,915
475,1008,930,704,1293,485,683,922
469,870,1066,712,1213,565,683,922
419,920,1066,712,1198,580,683,922
384,955,1066,668,1242,580,683,922
347,992,988,746,1194,628,680,877
347,992,830,904,1186,636,680,906
132,1207,775,959,1127,695,655,906
128,1211,720,1014,1045,697,715,906
107,1219,732,1015,947,758,747,736
102,1224,732,1015,918,782,752,653
102,1179,777,1015,892,776,784,682
102,1076,880,1015,633,885,934,635
83,976,999,1015,606,851,995,598
136,972,1016,1015,529,927,990,528
107,954,1042,1036,527,929,977,520
66,831,1206,1036,527,929,969,517
66,740,1294,1039,502,947,976,382
66,706,1328,914,627,946,977,327
90,621,1412,836,705,947,961,302
92,621,1412,738,803,924,928,317
92,604,1429,709,832,906,927,317
198,534,1499,697,757,993,739,317
279,510,1523,628,714,1105,490,427
370,510,1519,622,707,1122,489,432
370,475,1509,591,777,1128,485,432
398,475,1499,601,709,1196,421,432
413,475,1315,707,704,1279,416,557
433,475,1308,706,706,1278,423,571
444,475,1281,704,735,1278,422,548
479,475,1146,801,731,1320,422,538
638,475,1031,914,698,1292,485,876
724,475,1008,930,704,1293,485,869
724,469,870,1066,712,1213,565,908
762,419,920,1066,712,1198,580,959
902,384,955,1066,668,1242,580,1144
903,347,992,988,746,1194,628,1191
903,347,992,830,904,1186,636,1160
903,132,1207,775,959,1127,695,1173
903,128,1211,720,1014,1045,697,1197
