Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
647,1016,774,493,921,653,1052,575
437,1226,760,369,1049,663,1052,575
363,1238,822,311,952,807,1048,575
232,1330,855,161,1108,779,1072,595
233,1330,855,148,1121,779,1070,620
276,1331,855,110,1159,739,1091,620
283,1381,758,207,1159,617,1182,620
292,1381,751,214,1159,523,1191,629
319,1363,769,212,1161,523,1184,656
465,1362,770,212,1161,523,1184,720
756,1291,861,212,1159,525,1171,720
941,1187,989,216,1099,464,1258,720
1001,1168,1016,201,887,667,1268,720
1011,1164,1020,201,871,573,1378,720
1011,1164,1020,201,806,638,1337,720
1006,1081,1049,218,695,792,1339,699
1010,1014,1116,206,707,792,1339,611
1052,995,1135,206,707,787,1344,501
1038,990,1166,206,707,783,1348,378
1022,989,1183,205,701,789,1349,339
985,1025,1158,235,641,849,1349,224
996,1024,1138,288,611,879,1349,194
1000,989,1174,289,611,849,1344,172
1061,989,1123,332,605,863,1320,172
1068,989,972,483,565,903,1320,172
1076,878,968,598,561,846,1129,171
1085,852,971,621,561,846,748,162
1096,839,948,657,561,846,653,162
1126,800,876,768,561,846,653,162
1126,663,1000,774,568,846,653,162
1126,660,1003,774,498,916,653,162
1126,647,1016,774,493,921,653,162
1126,437,1226,760,369,1049,663,162
1126,363,1238,822,311,952,807,163
1126,232,1330,855,161,1108,779,178
1125,233,1330,855,148,1121,779,172
1087,276,1331,855,110,1159,739,172
1031,283,1381,758,207,1159,617,172
1022,292,1381,751,214,1159,523,163
995,319,1363,769,212,1161,523,187
849,465,1362,770,212,1161,523,137
538,756,1291,861,212,1159,525,223
325,941,1187,989,216,1099,464,242
257,1001,1168,1016,201,887,667,314
247,1011,1164,1020,201,871,573,314
247,1011,1164,1020,201,806,638,373
244,1006,1081,1049,218,695,792,397
256,1010,1014,1116,206,707,792,406
214,1052,995,1135,206,707,787,406
223,1038,990,1166,206,707,783,396
236,1022,989,1183,205,701,789,389
274,985,1025,1158,235,641,849,389
240,996,1024,1138,288,611,879,389
240,1000,989,1174,289,611,849,389
179,1061,989,1123,332,605,863,389
172,1068,989,972,483,565,903,389
174,1076,878,968,598,561,846,389
189,1085,852,971,621,561,846,389
178,1096,839,948,657,561,846,389
148,1126,800,876,768,561,846,389
148,1126,663,1000,774,568,846,407
148,1126,660,1003,774,498,916,407
148,1126,647,1016,774,493,921,407
148,1126,437,1226,760,369,1049,413
149,1126,363,1238,822,311,952,417
149,1126,232,1330,855,161,1108,382
149,1125,233,1330,855,148,1121,363
143,1087,276,1331,855,110,1159,363
142,1031,283,1381,758,207,1159,378
142,1022,292,1381,751,214,1159,383
142,995,319,1363,769,212,1161,430
142,849,465,1362,770,212,1161,527
142,538,756,1291,861,212,1159,445
142,325,941,1187,989,216,1099,522
142,257,1001,1168,1016,201,887,450
152,247,1011,1164,1020,201,871,450
152,247,1011,1164,1020,201,806,391
152,244,1006,1081,1049,218,695,367
136,256,1010,1014,1116,206,707,360
147,214,1052,995,1135,206,707,361
161,223,1038,990,1166,206,707,455
155,236,1022,989,1183,205,701,584
113,274,985,1025,1158,235,641,617
104,240,996,1024,1138,288,611,617
107,240,1000,989,1174,289,611,638
107,179,1061,989,1123,332,605,640
107,172,1068,989,972,483,565,650
97,174,1076,878,968,598,561,662
73,189,1085,852,971,621,561,671
73,178,1096,839,948,657,561,671
104,148,1126,800,876,768,561,671
104,148,1126,663,1000,774,568,687
104,148,1126,660,1003,774,498,687
167,148,1126,647,1016,774,493,687
212,148,1126,437,1226,760,369,681
225,149,1126,363,1238,822,311,676
225,149,1126,232,1330,855,161,676
