Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
901,848,531,812,1787,468,852,1119
1010,850,518,825,1784,471,724,1106
1092,849,385,959,1784,471,716,1050
1091,832,406,959,1761,494,716,1049
1086,820,423,959,1761,494,716,974
1314,821,394,988,1719,536,716,919
1335,722,519,989,1658,597,716,886
1203,754,627,951,1696,597,716,802
1293,702,708,770,1877,597,462,798
1287,612,804,718,1921,605,462,706
1306,559,858,717,1922,605,319,692
1325,410,1013,717,1922,522,340,691
1365,388,1046,717,1882,433,378,709
1364,306,1134,689,1565,777,344,709
1415,302,1138,689,1565,777,315,709
1384,332,1108,720,1453,885,319,774
1369,347,1034,722,1379,1024,299,845
1359,377,1034,634,1376,1110,304,845
1255,480,1035,634,1261,1225,304,840
1248,495,944,727,1249,1237,238,833
1166,577,909,762,1249,1237,238,815
1026,717,909,762,1249,1237,231,645
919,809,924,762,1249,1199,267,634
844,883,888,799,1247,1196,272,602
868,884,888,730,1206,1302,276,549
898,882,890,526,1386,1326,276,549
896,883,891,525,1387,1326,276,519
900,887,893,512,1212,1474,317,535
928,889,893,511,858,1829,317,468
928,852,930,507,839,1722,447,417
928,851,915,523,763,1777,468,351
878,901,848,531,812,1787,468,357
770,1010,850,518,825,1784,471,441
708,1092,849,385,959,1784,471,604
705,1091,832,406,959,1761,494,607
705,1086,820,423,959,1761,494,644
476,1314,821,394,988,1719,536,644
428,1335,722,519,989,1658,597,641
428,1203,754,627,951,1696,597,641
309,1293,702,708,770,1877,597,628
311,1287,612,804,718,1921,605,621
309,1306,559,858,717,1922,605,622
347,1325,410,1013,717,1922,522,622
316,1365,388,1046,717,1882,433,601
321,1364,306,1134,689,1565,777,620
351,1415,302,1138,689,1565,777,627
359,1384,332,1108,720,1453,885,562
359,1369,347,1034,722,1379,1024,517
339,1359,377,1034,634,1376,1110,556
339,1255,480,1035,634,1261,1225,556
337,1248,495,944,727,1249,1237,556
337,1166,577,909,762,1249,1237,570
337,1026,717,909,762,1249,1237,574
337,919,809,924,762,1249,1199,708
367,844,883,888,799,1247,1196,708
342,868,884,888,730,1206,1302,749
391,898,882,890,526,1386,1326,778
399,896,883,891,525,1387,1326,804
388,900,887,893,512,1212,1474,982
358,928,889,893,511,858,1829,935
358,928,852,930,507,839,1722,931
358,928,851,915,523,763,1777,910
358,878,901,848,531,812,1787,901
355,770,1010,850,518,825,1784,816
378,708,1092,849,385,959,1784,692
378,705,1091,832,406,959,1761,689
378,705,1086,820,423,959,1761,652
378,476,1314,821,394,988,1719,652
378,428,1335,722,519,989,1658,652
370,428,1203,754,627,951,1696,652
370,309,1293,702,708,770,1877,652
388,311,1287,612,804,718,1921,652
375,309,1306,559,858,717,1922,651
312,347,1325,410,1013,717,1922,651
297,316,1365,388,1046,717,1882,651
296,321,1364,306,1134,689,1565,632
215,351,1415,302,1138,689,1565,625
219,359,1384,332,1108,720,1453,628
219,359,1369,347,1034,722,1379,782
219,339,1359,377,1034,634,1376,820
219,339,1255,480,1035,634,1261,824
211,337,1248,495,944,727,1249,824
211,337,1166,577,909,762,1249,804
211,337,1026,717,909,762,1249,797
211,337,919,809,924,762,1249,790
181,367,844,883,888,799,1247,807
181,342,868,884,888,730,1206,784
102,391,898,882,890,526,1386,816
94,399,896,883,891,525,1387,821
124,388,900,887,893,512,1212,645
154,358,928,889,893,511,858,628
197,358,928,852,930,507,839,688
259,358,928,851,915,523,763,697
330,358,878,901,848,531,812,736
330,355,770,1010,850,518,825,739
